Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,79.50,79.50,75.75,75.75,100,75.75
2015-07-16,79.70,79.70,79.70,79.70,000,79.70
2015-07-15,73.15,79.70,73.15,79.70,100,79.70
2015-07-14,77.70,78.00,71.80,76.95,000,76.95
2015-07-13,75.00,75.00,75.00,75.00,000,75.00
2015-07-10,76.25,76.25,75.00,75.00,100,75.00
2015-07-09,72.70,72.75,71.15,72.75,100,72.75
2015-07-08,69.15,75.10,69.00,69.30,100,69.30
2015-07-07,70.05,74.65,70.05,71.60,200,71.60
2015-07-06,72.10,72.10,71.00,71.10,1200,71.10
2015-07-03,78.80,78.80,73.20,74.15,1700,74.15
2015-07-02,73.25,77.75,73.15,75.05,1100,75.05
2015-07-01,76.95,76.95,76.95,76.95,100,76.95
2015-06-30,77.45,83.50,77.45,80.95,100,80.95
2015-06-29,81.50,81.50,81.50,81.50,100,81.50
2015-06-26,80.00,82.00,80.00,82.00,000,82.00
2015-06-25,79.65,79.65,79.65,79.65,000,79.65
2015-06-24,79.65,79.65,79.65,79.65,000,79.65
2015-06-23,70.35,74.90,70.35,74.90,000,74.90
2015-06-22,80.70,80.70,68.60,76.90,000,76.90
2015-06-19,70.00,75.00,70.00,75.00,000,75.00
2015-06-18,65.00,68.80,65.00,68.80,000,68.80
2015-06-17,62.65,68.00,62.10,62.55,400,62.55
2015-06-16,69.00,69.00,69.00,69.00,000,69.00
2015-06-15,64.60,64.60,63.90,63.90,200,63.90
2015-06-12,54.50,64.60,54.50,64.60,100,64.60
2015-06-11,58.80,58.80,58.80,58.80,000,58.80
2015-06-10,58.80,58.80,58.80,58.80,000,58.80
2015-06-09,64.30,64.50,63.90,64.10,26700,64.10
2015-06-08,74.95,75.00,71.00,71.00,000,71.00
2015-06-05,73.10,73.10,73.10,73.10,000,73.10
2015-06-04,75.00,75.00,73.10,73.10,000,73.10
2015-06-03,76.90,76.90,76.90,76.90,000,76.90
2015-06-02,79.70,79.70,75.00,75.00,000,75.00
2015-06-01,75.95,75.95,75.95,75.95,000,75.95
2015-05-29,74.05,79.90,73.95,79.90,500,79.90
2015-05-28,75.30,79.70,75.30,79.70,100,79.70
2015-05-27,78.50,78.75,78.50,78.75,600,78.75
2015-05-26,74.10,75.00,74.10,75.00,500,75.00
2015-05-25,78.35,78.40,71.00,78.00,500,78.00
2015-05-22,74.40,74.95,68.25,74.70,100,74.70
2015-05-21,71.40,71.40,71.40,71.40,100,71.40
2015-05-20,64.50,68.05,64.50,68.00,000,68.00
2015-05-19,66.95,66.95,66.95,66.95,200,66.95
2015-05-18,66.80,66.80,61.90,63.80,000,63.80
2015-05-15,68.25,68.25,62.30,63.65,000,63.65
2015-05-14,60.35,65.00,60.35,65.00,300,65.00
2015-05-13,62.20,63.10,62.20,63.10,300,63.10
2015-05-12,64.65,64.65,64.65,64.65,000,64.65
2015-05-11,64.25,64.65,64.25,64.65,100,64.65
2015-05-08,67.00,69.55,67.00,67.45,600,67.45
2015-05-07,66.20,68.90,66.20,66.25,500,66.25
2015-05-06,63.55,69.65,63.55,69.65,000,69.65
2015-05-05,66.05,67.00,66.05,66.55,200,66.55
2015-05-04,63.70,69.90,63.65,69.00,900,69.00
2015-05-01,67.00,67.00,67.00,67.00,000,67.00
2015-04-30,66.05,67.00,66.05,67.00,000,67.00
2015-04-29,64.85,70.00,64.80,66.85,900,66.85
2015-04-28,67.65,68.00,67.65,67.65,2400,67.65
2015-04-27,74.90,74.90,71.20,71.20,1100,71.20
