Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,21.45,21.45,19.70,20.05,800,20.05
2015-07-16,20.20,21.80,20.20,21.80,600,21.80
2015-07-15,20.10,22.00,20.10,21.00,300,21.00
2015-07-14,20.00,21.95,18.70,20.30,5100,20.30
2015-07-13,21.85,21.85,19.45,20.05,2000,20.05
2015-07-10,22.00,22.00,19.85,20.20,700,20.20
2015-07-09,22.00,22.00,21.25,21.80,700,21.80
2015-07-08,21.95,21.95,19.10,20.00,1100,20.00
2015-07-07,20.00,21.90,19.90,20.10,1800,20.10
2015-07-06,23.00,23.00,19.80,19.95,900,19.95
2015-07-03,21.10,22.55,21.10,22.00,1500,22.00
2015-07-02,21.90,23.40,21.90,22.85,000,22.85
2015-07-01,20.00,20.00,20.00,20.00,000,20.00
2015-06-30,20.00,20.00,20.00,20.00,000,20.00
2015-06-29,18.35,21.00,18.05,20.00,200,20.00
2015-06-26,22.00,22.50,22.00,22.35,000,22.35
2015-06-25,22.50,22.50,20.00,20.10,000,20.10
2015-06-24,20.00,20.10,20.00,20.00,1000,20.00
2015-06-23,18.75,19.00,18.75,19.00,500,19.00
2015-06-22,21.50,22.00,18.10,18.55,1100,18.55
2015-06-19,18.20,21.75,17.70,21.75,700,21.75
2015-06-18,18.90,18.90,18.15,18.15,000,18.15
2015-06-17,17.15,19.00,17.15,18.90,300,18.90
2015-06-16,19.00,19.40,16.70,16.95,000,16.95
2015-06-15,16.55,16.55,16.55,16.55,000,16.55
2015-06-12,17.00,18.00,16.20,16.90,600,16.90
2015-06-11,17.50,19.40,14.90,19.00,000,19.00
2015-06-10,17.75,17.75,17.75,17.75,000,17.75
2015-06-09,21.35,21.35,17.75,17.75,000,17.75
2015-06-08,20.00,20.00,20.00,20.00,000,20.00
2015-06-05,18.00,20.50,16.50,20.00,700,20.00
2015-06-04,19.00,21.00,16.00,19.35,2000,19.35
2015-06-03,21.80,21.90,17.50,19.05,2300,19.05
2015-06-02,20.65,20.65,20.65,20.65,000,20.65
2015-06-01,22.00,24.45,20.20,20.65,900,20.65
2015-05-29,21.00,21.00,20.00,20.00,1100,20.00
2015-05-28,18.00,20.70,16.15,19.05,600,19.05
2015-05-27,19.00,20.45,16.60,17.25,500,17.25
2015-05-26,19.00,19.00,19.00,19.00,200,19.00
2015-05-25,24.10,24.10,17.50,19.25,000,19.25
2015-05-22,24.85,24.85,19.55,20.15,20400,20.15
2015-05-21,20.00,24.50,20.00,22.05,100,22.05
2015-05-20,21.00,21.50,20.10,21.20,000,21.20
2015-05-19,22.10,26.10,21.05,21.95,600,21.95
2015-05-18,22.00,24.80,21.50,21.80,1300,21.80
2015-05-15,21.00,22.15,21.00,21.50,000,21.50
2015-05-14,23.80,24.00,19.00,20.05,1900,20.05
2015-05-13,21.55,24.50,21.15,21.65,300,21.65
2015-05-12,21.55,21.55,21.00,21.20,000,21.20
2015-05-11,21.65,21.65,21.20,21.35,000,21.35
2015-05-08,19.55,19.55,19.55,19.55,000,19.55
2015-05-07,20.50,20.50,19.55,19.55,1400,19.55
2015-05-06,19.00,22.65,18.20,19.20,1200,19.20
2015-05-05,24.00,24.00,21.10,22.00,500,22.00
2015-05-04,22.75,23.15,21.05,22.80,1400,22.80
2015-05-01,19.30,19.30,19.30,19.30,000,19.30
2015-04-30,21.00,21.00,19.20,19.30,100,19.30
2015-04-29,22.65,24.25,21.70,21.90,900,21.90
2015-04-28,20.20,22.40,20.20,20.50,1000,20.50
2015-04-27,21.75,25.00,21.75,21.80,1300,21.80
2015-04-24,22.95,24.85,21.25,22.75,9200,22.75
2015-04-23,25.80,26.50,21.10,21.25,200,21.25
2015-04-22,23.00,23.00,23.00,23.00,000,23.00
2015-04-21,23.00,23.00,23.00,23.00,000,23.00
2015-04-20,22.00,23.90,21.00,23.00,200,23.00
2015-04-17,23.80,26.00,21.15,22.65,400,22.65
2015-04-16,21.00,24.40,21.00,23.75,600,23.75
2015-04-15,23.90,23.90,22.70,23.10,300,23.10
2015-04-14,23.50,23.50,23.50,23.50,000,23.50
2015-04-13,24.30,24.30,22.25,23.50,1100,23.50
2015-04-10,25.70,25.80,22.00,22.95,3000,22.95
2015-04-09,25.95,26.90,24.25,24.70,1700,24.70
2015-04-08,22.50,27.80,22.50,24.10,1000,24.10
2015-04-07,25.95,25.95,22.00,23.60,900,23.60
2015-04-06,28.95,29.00,23.25,24.25,8700,24.25
2015-04-03,24.65,24.65,24.65,24.65,000,24.65
2015-04-02,24.65,24.65,24.65,24.65,000,24.65
2015-04-01,26.50,26.50,21.10,24.65,6600,24.65
2015-03-31,20.60,22.90,20.00,22.90,6700,22.90
2015-03-30,20.60,22.00,19.00,19.10,7900,19.10
2015-03-27,18.05,21.60,18.05,20.85,13600,20.85
2015-03-26,20.00,22.40,17.75,20.65,2300,20.65
2015-03-25,21.10,22.85,19.95,20.50,2600,20.50
2015-03-24,21.60,23.80,21.60,22.80,1700,22.80
2015-03-23,18.10,21.00,18.10,20.70,1200,20.70
2015-03-20,20.00,22.00,19.00,21.40,1800,21.40
2015-03-19,17.65,23.65,17.65,20.50,2700,20.50
2015-03-18,23.00,23.00,20.30,21.30,3200,21.30
2015-03-17,20.90,22.95,20.00,22.95,6100,22.95
2015-03-16,23.20,23.20,21.25,21.45,1000,21.45
2015-03-13,24.90,24.90,20.30,21.20,4300,21.20
2015-03-12,22.10,27.95,22.10,22.60,3200,22.60
2015-03-11,23.55,25.85,22.65,23.95,7400,23.95
2015-03-10,26.90,26.90,22.35,24.85,200,24.85
2015-03-09,24.10,25.60,21.80,23.65,2300,23.65
2015-03-06,24.10,24.10,24.10,24.10,000,24.10
2015-03-05,23.65,25.70,23.55,24.10,2400,24.10
2015-03-04,25.70,25.75,25.25,25.25,500,25.25
2015-03-03,25.10,26.00,25.00,25.75,3000,25.75
2015-03-02,25.00,27.15,25.00,25.35,5200,25.35
2015-02-27,28.00,28.00,24.00,26.35,8700,26.35
2015-02-26,25.70,26.95,25.10,25.60,700,25.60
2015-02-25,26.10,27.00,25.55,25.55,3000,25.55
2015-02-24,27.80,28.00,25.50,26.35,3800,26.35
2015-02-23,28.40,28.40,25.30,25.90,1300,25.90
2015-02-20,29.00,29.00,24.50,26.10,4200,26.10
2015-02-19,28.15,28.30,24.45,26.70,3000,26.70
2015-02-18,27.90,27.95,25.50,26.45,9000,26.45
2015-02-17,25.90,25.90,25.90,25.90,000,25.90
2015-02-16,25.55,28.95,24.25,25.90,17000,25.90
2015-02-13,23.75,28.00,23.75,26.40,1600,26.40
2015-02-12,27.10,28.85,25.55,26.05,3500,26.05
2015-02-11,28.00,29.50,27.55,27.65,3200,27.65
2015-02-10,30.95,30.95,26.50,28.80,3300,28.80
2015-02-09,31.90,31.90,28.00,28.65,3700,28.65
2015-02-06,32.00,32.35,28.00,29.70,3000,29.70
2015-02-05,29.50,32.90,29.10,29.85,2600,29.85
2015-02-04,29.25,33.85,29.25,31.80,5800,31.80
2015-02-03,28.05,30.85,27.30,30.85,6400,30.85
2015-02-02,25.90,28.75,25.15,28.05,2700,28.05
2015-01-30,25.60,29.35,25.60,27.05,2300,27.05
2015-01-29,30.40,30.40,27.75,27.95,3000,27.95
2015-01-28,34.00,34.25,28.10,30.10,10000,30.10
2015-01-27,31.00,31.20,29.30,31.20,14000,31.20
2015-01-26,28.40,28.40,28.40,28.40,000,28.40
2015-01-23,28.00,30.35,25.55,28.40,4100,28.40
2015-01-22,28.00,32.00,24.50,27.65,3100,27.65
2015-01-21,31.85,31.85,27.15,28.65,5700,28.65
2015-01-20,24.00,29.00,21.00,27.90,25200,27.90
2015-01-19,22.00,26.55,20.20,25.00,17800,25.00
2015-01-16,20.30,25.40,20.30,23.40,8500,23.40
2015-01-15,22.00,23.00,20.25,21.75,1500,21.75
2015-01-14,22.10,26.35,22.10,22.45,3400,22.45
2015-01-13,21.10,27.00,21.10,24.95,900,24.95
2015-01-12,21.20,24.00,20.30,22.60,3700,22.60
2015-01-09,21.10,24.30,20.50,23.85,8900,23.85
2015-01-08,18.25,21.90,18.25,20.30,14200,20.30
2015-01-07,17.05,19.25,17.05,19.20,4000,19.20
2015-01-06,19.15,19.15,17.60,17.90,1300,17.90
2015-01-05,18.75,19.20,17.15,17.60,2100,17.60
2015-01-02,18.40,18.40,16.00,17.50,13100,17.50
2015-01-01,19.90,19.90,14.40,17.00,2200,17.00
2014-12-31,21.00,21.00,18.00,18.00,000,18.00
2014-12-30,20.50,20.50,17.80,18.00,2600,18.00
2014-12-29,19.50,19.50,19.35,19.35,000,19.35
2014-12-26,18.00,18.50,18.00,18.50,100,18.50
2014-12-25,18.25,18.25,18.25,18.25,000,18.25
2014-12-24,21.05,21.05,17.65,18.25,500,18.25
2014-12-23,17.85,20.50,17.85,19.05,5200,19.05
2014-12-22,21.05,21.10,18.05,20.30,3800,20.30
2014-12-19,20.35,20.35,17.45,17.60,9300,17.60
2014-12-18,18.00,21.10,17.10,20.40,7800,20.40
2014-12-17,18.00,18.00,18.00,18.00,300,18.00
2014-12-16,21.05,21.05,15.55,18.00,200,18.00
2014-12-15,18.50,18.50,17.05,17.80,2611500,17.80
2014-12-12,17.00,18.90,16.05,18.35,100,18.35
2014-12-11,17.50,20.40,17.50,17.95,100,17.95
2014-12-10,18.45,18.45,17.45,18.20,1200,18.20
2014-12-09,19.70,19.70,15.25,18.35,1100,18.35
2014-12-08,17.40,20.70,17.40,18.75,800,18.75
2014-12-05,21.95,21.95,17.50,18.50,600,18.50
2014-12-04,21.10,21.10,17.50,19.50,4500,19.50
2014-12-03,21.05,21.05,18.10,19.85,200,19.85
2014-12-02,20.60,20.60,18.20,19.10,300,19.10
2014-12-01,19.25,19.25,19.25,19.25,000,19.25
2014-11-28,20.60,20.60,18.90,19.25,1200,19.25
2014-11-27,20.50,20.50,17.60,18.70,1000,18.70
2014-11-26,17.25,20.20,17.25,19.20,1500,19.20
2014-11-25,17.05,20.95,14.85,18.95,1800,18.95
2014-11-24,21.10,21.10,17.00,17.70,3700,17.70
2014-11-21,19.55,20.10,18.55,19.80,800,19.80
2014-11-20,18.05,20.40,18.05,20.40,2700,20.40
2014-11-19,17.30,20.20,17.30,18.05,2900,18.05
2014-11-18,17.20,19.25,17.20,18.05,82100,18.05
2014-11-17,19.00,19.45,15.20,18.35,4000,18.35
2014-11-14,18.65,20.25,18.05,18.50,1400,18.50
2014-11-13,17.50,19.00,17.45,18.65,55600,18.65
2014-11-12,19.00,19.00,17.00,17.50,1600,17.50
2014-11-11,16.15,18.85,16.10,17.75,1000,17.75
2014-11-10,17.50,18.75,16.55,18.00,1900,18.00
2014-11-07,17.50,19.95,16.85,18.25,6800,18.25
2014-11-06,17.45,17.45,17.45,17.45,000,17.45
2014-11-05,16.65,18.45,16.55,17.45,3500,17.45
2014-11-04,16.60,16.60,16.60,16.60,000,16.60
2014-11-03,16.60,16.60,16.60,16.60,000,16.60
2014-10-31,18.00,18.00,18.00,18.00,000,18.00
2014-10-30,19.25,19.25,16.30,18.00,100,18.00
2014-10-29,22.30,22.30,15.70,17.40,8400,17.40
2014-10-28,17.00,18.80,16.00,18.65,000,18.65
2014-10-27,18.25,18.25,18.25,18.25,000,18.25
2014-10-24,18.25,18.25,18.25,18.25,000,18.25
2014-10-23,18.25,18.25,18.25,18.25,000,18.25
2014-10-22,15.50,18.65,15.50,18.25,000,18.25
2014-10-21,19.00,19.00,18.00,18.00,1200,18.00
2014-10-20,16.20,18.95,16.20,18.00,1400,18.00
2014-10-17,18.90,19.25,18.85,18.95,000,18.95
2014-10-16,18.80,18.80,18.80,18.80,000,18.80
2014-10-15,18.80,18.80,18.80,18.80,000,18.80
2014-10-14,18.95,19.00,18.80,18.80,300,18.80
2014-10-13,17.25,17.25,17.25,17.25,100,17.25
2014-10-10,17.00,18.00,17.00,18.00,200,18.00
2014-10-09,16.90,18.50,16.00,18.50,1300,18.50
2014-10-08,15.30,18.70,15.30,17.40,3600,17.40
2014-10-07,17.75,17.75,15.60,15.65,100,15.65
2014-10-06,16.20,16.20,16.20,16.20,000,16.20
2014-10-03,16.20,16.20,16.20,16.20,000,16.20
2014-10-02,16.20,16.20,16.20,16.20,000,16.20
2014-10-01,15.55,16.20,15.55,16.20,400,16.20
2014-09-30,14.85,17.90,14.85,15.25,100,15.25
2014-09-29,15.75,16.90,15.00,16.30,500,16.30
2014-09-26,14.45,16.00,14.45,15.40,2800,15.40
2014-09-25,15.10,15.85,15.00,15.85,900,15.85
2014-09-24,15.90,16.60,15.45,16.60,000,16.60
2014-09-23,16.35,18.50,16.35,17.15,2100,17.15
2014-09-22,17.25,20.45,17.15,17.55,800,17.55
2014-09-19,16.05,18.95,16.05,18.95,000,18.95
2014-09-18,17.95,19.25,16.75,17.45,11600,17.45
2014-09-17,19.00,19.00,16.55,17.50,200,17.50
2014-09-16,19.50,19.50,17.00,17.90,600,17.90
2014-09-15,19.40,19.40,16.95,18.10,400,18.10
2014-09-12,18.45,18.45,16.00,17.90,4800,17.90
2014-09-11,17.30,17.30,17.00,17.00,600,17.00
2014-09-10,16.00,16.00,15.90,15.90,600,15.90
2014-09-09,19.00,19.00,16.85,16.85,2000,16.85
2014-09-08,18.70,18.70,16.85,18.50,1300,18.50
2014-09-05,18.45,18.45,15.65,17.20,1200,17.20
2014-09-04,16.75,17.15,16.20,16.90,1500,16.90
2014-09-03,18.25,18.25,17.15,17.45,4300,16.95
2014-09-02,17.40,18.00,17.20,17.95,3000,16.95
2014-09-01,17.35,17.70,17.00,17.70,800,16.71
2014-08-29,17.70,17.70,17.70,17.70,000,16.71
2014-08-28,17.40,17.95,17.35,17.70,900,16.71
2014-08-27,18.15,18.15,17.35,18.10,200,17.09
2014-08-26,18.25,18.25,17.95,17.95,800,16.95
2014-08-25,17.05,18.20,17.00,17.40,4000,16.43
2014-08-22,18.00,18.00,17.25,17.35,2300,16.38
2014-08-21,16.35,17.50,16.35,17.40,1800,16.43
2014-08-20,17.10,17.55,16.10,17.00,5400,16.05
2014-08-19,16.75,17.50,16.75,16.75,1000,15.82
2014-08-18,16.90,18.05,16.90,17.50,3700,16.53
2014-08-15,17.75,17.75,17.75,17.75,000,16.76
2014-08-14,19.20,19.20,17.70,17.75,300,16.76
2014-08-13,18.50,18.50,18.50,18.50,000,17.47
2014-08-12,17.30,18.80,17.30,18.20,900,17.19
2014-08-11,18.90,18.90,17.95,17.95,100,16.95
2014-08-08,18.80,20.15,18.25,18.25,13800,17.23
2014-08-07,19.90,20.00,19.15,19.20,2000,18.13
2014-08-06,19.40,20.30,19.25,19.35,2600,18.27
2014-08-05,19.40,19.40,19.40,19.40,000,18.32
2014-08-04,20.00,20.00,19.25,19.95,100,18.84
2014-08-01,20.30,21.00,19.80,19.80,1700,18.70
2014-07-31,19.05,20.80,19.05,20.80,1800,19.64
2014-07-30,18.50,20.00,18.50,19.85,1500,18.74
2014-07-29,19.05,19.05,19.05,19.05,000,17.99
2014-07-28,19.05,20.25,19.05,19.05,1900,17.99
2014-07-25,19.55,20.45,19.50,19.50,200,18.41
2014-07-24,20.25,21.45,19.90,20.05,800,18.93
2014-07-23,20.10,22.95,20.10,20.95,4400,19.78
2014-07-22,21.30,21.35,18.20,20.90,12400,19.74
2014-07-21,19.70,19.70,18.05,19.45,6700,18.37
2014-07-18,19.00,21.10,18.30,19.65,16700,18.56
2014-07-17,16.35,19.25,16.35,19.25,3300,18.18
2014-07-16,17.10,19.90,17.10,17.95,2300,16.95
2014-07-15,18.80,18.85,15.80,18.85,7000,17.80
2014-07-14,17.30,17.35,17.30,17.35,1000,16.38
2014-07-11,15.10,17.75,15.10,16.00,2200,15.11
2014-07-10,16.35,16.50,15.20,16.35,1500,15.44
2014-07-09,16.00,17.90,16.00,16.55,2100,15.63
2014-07-08,17.55,17.80,17.25,17.25,3200,16.29
2014-07-07,17.25,17.50,16.75,17.50,5600,16.53
2014-07-04,17.90,17.90,17.70,17.70,800,16.71
2014-07-03,18.00,18.00,18.00,18.00,000,17.00
2014-07-02,17.95,18.20,17.45,18.10,6500,17.09
2014-07-01,17.50,18.60,17.25,17.35,3500,16.38
2014-06-30,19.15,19.15,17.55,17.80,4700,16.81
2014-06-27,19.20,19.20,18.25,18.25,200,17.23
2014-06-26,17.55,18.40,17.50,18.40,3100,17.37
2014-06-25,17.60,17.95,17.55,17.55,1400,16.57
2014-06-24,17.75,18.45,17.55,18.45,4400,17.42
2014-06-23,17.05,18.45,17.05,18.45,2500,17.42
2014-06-20,17.60,17.60,17.60,17.60,3800,16.62
2014-06-19,20.00,20.00,18.50,18.50,1900,17.47
2014-06-18,19.95,19.95,18.25,19.45,3500,18.37
2014-06-17,17.70,19.05,17.70,19.00,11600,17.94
2014-06-16,17.50,18.35,16.65,18.35,7300,17.33
2014-06-13,17.70,17.90,16.25,17.50,1900,16.53
2014-06-12,16.90,17.60,16.90,17.05,6600,16.10
2014-06-11,16.80,16.80,16.05,16.80,6700,15.86
2014-06-10,15.75,16.95,15.75,16.00,700,15.11
2014-06-09,16.95,16.95,16.40,16.75,1600,15.82
2014-06-06,17.35,17.35,15.75,16.70,6000,15.77
2014-06-05,16.35,16.55,15.50,16.55,1200,15.63
2014-06-04,15.40,16.20,15.40,15.90,2400,15.01
2014-06-03,16.15,16.20,16.15,16.20,1600,15.30
2014-06-02,16.90,16.90,15.30,15.45,2400,14.59
2014-05-30,16.50,16.50,16.10,16.10,700,15.20
2014-05-29,16.80,17.15,15.55,16.90,4400,15.96
2014-05-28,16.35,16.35,16.35,16.35,400,15.44
2014-05-27,15.70,17.30,15.70,17.20,4500,16.24
2014-05-26,17.25,17.25,16.50,16.50,17000,15.58
2014-05-23,16.45,16.55,16.05,16.45,5500,15.53
2014-05-22,15.30,15.80,15.30,15.80,1400,14.92
2014-05-21,15.05,15.05,15.05,15.05,300,14.21
2014-05-20,13.70,14.35,13.05,14.35,7700,13.55
2014-05-19,12.40,13.70,12.40,13.70,600,12.94
2014-05-16,14.15,14.15,13.00,13.05,700,12.32
2014-05-15,13.65,13.65,13.65,13.65,200,12.89
2014-05-14,14.35,14.35,14.35,14.35,200,13.55
2014-05-13,15.10,15.10,15.10,15.10,000,14.26
2014-05-12,15.10,15.10,15.10,15.10,000,14.26
2014-05-09,15.10,15.10,15.10,15.10,400,14.26
2014-05-08,15.00,15.00,14.50,14.50,500,13.69
2014-05-07,15.25,15.25,15.25,15.25,500,14.40
2014-05-06,16.00,16.00,16.00,16.00,000,15.11
2014-05-05,16.00,16.00,14.75,16.00,2300,15.11
2014-05-02,16.00,16.40,15.25,15.50,4500,14.64
2014-05-01,16.05,16.05,16.05,16.05,000,15.16
2014-04-30,16.20,16.43,14.87,16.05,3700,15.16
2014-04-29,16.80,16.80,15.60,15.65,1300,14.78
2014-04-28,14.88,16.44,14.88,16.42,7300,15.51
2014-04-25,15.60,15.69,14.62,15.66,9100,14.79
2014-04-24,14.95,14.95,14.95,14.95,000,14.12
2014-04-23,14.90,14.95,14.80,14.95,5800,14.12
2014-04-22,13.00,14.24,13.00,14.24,7500,13.45
2014-04-21,12.75,13.57,12.75,13.57,1900,12.81
2014-04-18,12.93,12.93,12.93,12.93,000,12.21
2014-04-17,12.50,12.94,12.39,12.93,1600,12.21
2014-04-16,12.24,12.60,12.24,12.60,500,11.90
2014-04-15,12.05,12.05,12.05,12.05,100,11.38
2014-04-14,12.00,12.00,12.00,12.00,000,11.33
2014-04-11,12.00,12.07,12.00,12.00,2300,11.33
2014-04-10,11.50,11.50,11.50,11.50,000,10.86
2014-04-09,12.00,12.10,12.00,12.00,1900,11.33
2014-04-08,11.55,11.55,11.55,11.55,000,10.91
2014-04-07,11.60,11.60,11.50,11.55,1000,10.91
2014-04-04,11.50,11.50,11.50,11.50,000,10.86
2014-04-03,11.51,11.75,10.98,11.50,2200,10.86
2014-04-02,11.55,11.55,11.55,11.55,100,10.91
2014-04-01,11.00,11.00,11.00,11.00,000,10.39
2014-03-31,11.55,11.55,11.55,11.55,500,10.91
2014-03-28,11.00,11.00,11.00,11.00,000,10.39
2014-03-27,12.00,12.00,11.00,11.00,100,10.39
2014-03-26,11.45,11.45,11.45,11.45,300,10.81
2014-03-25,11.42,11.99,10.85,11.99,3000,11.32
2014-03-24,11.42,11.42,11.42,11.42,300,10.78
2014-03-21,11.43,12.02,11.43,12.02,1000,11.35
2014-03-20,11.45,11.45,11.45,11.45,100,10.81
2014-03-19,11.99,12.00,11.99,12.00,1500,11.33
2014-03-18,12.00,12.43,12.00,12.43,000,11.74
2014-03-17,12.43,12.43,12.43,12.43,000,11.74
2014-03-14,12.43,12.43,12.43,12.43,000,11.74
2014-03-13,13.08,13.08,13.08,13.08,400,12.35
2014-03-12,13.76,13.76,13.76,13.76,000,12.99
2014-03-11,13.76,13.76,13.76,13.76,000,12.99
2014-03-10,13.76,15.20,13.76,13.76,4400,12.99
2014-03-07,14.48,14.48,14.48,14.48,000,13.67
2014-03-06,14.48,14.48,14.48,14.48,300,13.67
2014-03-05,14.13,14.13,14.13,14.13,000,13.34
2014-03-04,14.13,14.13,14.13,14.13,000,13.34
2014-03-03,14.13,14.13,14.13,14.13,000,13.34
2014-02-28,14.13,14.13,14.13,14.13,000,13.34
2014-02-27,14.13,14.13,14.13,14.13,000,13.34
2014-02-26,14.13,14.13,14.13,14.13,000,13.34
2014-02-25,14.13,14.13,14.13,14.13,000,13.34
2014-02-24,14.13,14.13,14.13,14.13,000,13.34
2014-02-21,14.13,14.13,14.13,14.13,000,13.34
