Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,43.00,47.00,43.00,47.00,000,47.00
2015-07-16,46.70,47.70,45.20,45.55,300,45.55
2015-07-15,44.60,51.40,44.60,46.60,900,46.60
2015-07-14,44.05,46.95,44.05,46.90,700,46.90
2015-07-13,45.65,47.25,43.50,44.60,900,44.60
2015-07-10,45.65,45.65,40.50,43.90,3000,43.90
2015-07-09,43.50,45.70,41.20,43.35,1700,43.35
2015-07-08,45.30,45.30,41.55,41.95,100,41.95
2015-07-07,43.40,46.00,43.10,45.95,100,45.95
2015-07-06,42.50,46.80,40.50,42.15,600,42.15
2015-07-03,42.60,42.60,42.60,42.60,000,42.60
2015-07-02,44.30,44.30,41.90,42.80,500,42.80
2015-07-01,41.30,44.70,41.30,42.50,700,42.50
2015-06-30,40.35,44.00,40.35,43.40,000,43.40
2015-06-29,42.10,44.00,42.10,42.10,200,42.10
2015-06-26,42.90,43.50,42.90,43.50,000,43.50
2015-06-25,43.00,43.00,41.25,42.00,100,42.00
2015-06-24,43.40,45.70,42.20,42.85,600,42.85
2015-06-23,44.05,45.10,43.00,44.25,300,44.25
2015-06-22,43.00,45.00,43.00,45.00,200,45.00
2015-06-19,44.20,45.00,42.20,43.70,200,43.70
2015-06-18,45.00,45.00,42.35,44.00,000,44.00
2015-06-17,47.00,47.00,43.70,44.10,200,44.10
2015-06-16,46.50,46.50,44.00,45.95,000,45.95
2015-06-15,45.35,47.00,44.85,45.10,1200,45.10
2015-06-12,47.20,48.00,47.20,47.20,300,47.20
2015-06-11,50.55,51.00,49.40,49.65,900,49.65
2015-06-10,50.40,52.50,47.90,52.00,3700,52.00
2015-06-09,54.00,54.00,50.40,50.40,3500,50.40
2015-06-08,58.40,58.40,53.05,53.05,2400,53.05
2015-06-05,56.05,57.00,52.55,55.80,3600,55.80
2015-06-04,50.60,55.00,50.60,54.45,2800,54.45
2015-06-03,50.00,50.65,46.05,50.30,2900,50.30
2015-06-02,46.50,47.00,43.90,46.05,800,46.05
2015-06-01,36.80,42.75,36.80,42.75,1500,42.75
2015-05-29,41.95,41.95,37.75,39.70,2300,39.70
2015-05-28,40.70,41.40,40.70,41.40,000,41.40
2015-05-27,41.00,41.55,38.90,41.45,600,41.45
2015-05-26,39.70,42.70,39.15,40.15,3200,40.15
2015-05-25,40.80,40.80,35.25,39.70,1000,39.70
2015-05-22,39.30,40.40,35.20,38.00,400,38.00
2015-05-21,39.00,40.00,38.00,38.30,400,38.30
2015-05-20,39.80,40.50,38.60,39.30,500,39.30
2015-05-19,40.30,40.50,40.30,40.45,000,40.45
2015-05-18,41.80,41.80,38.60,38.60,500,38.60
2015-05-15,40.90,40.90,40.90,40.90,000,40.90
2015-05-14,41.40,41.40,37.55,40.90,600,40.90
2015-05-13,41.75,41.75,38.50,40.00,400,40.00
2015-05-12,38.50,41.50,37.30,39.00,200,39.00
2015-05-11,37.50,38.85,36.00,38.20,3100,38.20
2015-05-08,37.50,37.80,35.05,35.35,000,35.35
2015-05-07,35.80,37.00,34.50,36.70,2600,36.70
2015-05-06,38.90,38.90,36.20,38.25,500,38.25
2015-05-05,39.00,39.00,38.00,38.00,100,38.00
2015-05-04,39.95,39.95,36.40,38.95,1600,38.95
2015-05-01,37.40,37.40,37.40,37.40,000,37.40
2015-04-30,37.85,37.85,36.00,37.40,500,37.40
2015-04-29,37.75,37.75,36.50,36.80,100,36.80
2015-04-28,37.05,37.05,37.05,37.05,100,37.05
2015-04-27,38.25,38.25,36.35,37.60,2300,37.60
2015-04-24,38.00,38.80,37.05,37.55,3200,37.55
2015-04-23,37.10,40.00,37.10,37.25,200,37.25
2015-04-22,38.15,38.80,37.10,38.60,1200,38.60
2015-04-21,38.50,38.50,37.50,37.60,1900,37.60
2015-04-20,38.60,38.60,36.00,37.35,200,37.35
2015-04-17,39.00,39.00,37.60,37.65,600,37.65
2015-04-16,38.00,38.70,37.00,38.60,300,38.60
2015-04-15,36.60,38.95,36.05,38.20,2300,38.20
2015-04-14,37.90,37.90,37.90,37.90,000,37.90
2015-04-13,37.90,37.90,37.90,37.90,000,37.90
2015-04-10,39.50,39.50,37.85,37.95,700,37.95
2015-04-09,39.05,39.90,38.65,39.25,1400,39.25
2015-04-08,37.00,39.05,37.00,39.05,6700,39.05
2015-04-07,34.80,35.80,34.80,35.50,2100,35.50
2015-04-06,30.50,33.00,30.50,32.65,2500,32.65
2015-04-03,30.00,30.00,30.00,30.00,000,30.00
2015-04-02,30.00,30.00,30.00,30.00,000,30.00
2015-04-01,28.35,30.00,28.35,30.00,800,30.00
2015-03-31,32.40,32.40,27.05,28.25,1100,28.25
2015-03-30,29.25,29.95,25.25,27.30,5900,27.30
2015-03-27,29.95,30.00,28.55,30.00,11100,30.00
2015-03-26,33.00,33.00,28.50,29.15,3300,29.15
2015-03-25,32.05,32.05,29.05,29.50,11800,29.50
2015-03-24,37.00,37.00,32.00,32.10,6100,32.10
2015-03-23,37.20,37.20,32.70,32.85,1200,32.85
2015-03-20,38.55,38.55,35.00,35.00,2600,35.00
2015-03-19,38.20,41.00,37.00,37.05,5500,37.05
2015-03-18,39.00,39.20,38.00,39.20,500,39.20
2015-03-17,40.05,40.05,37.30,38.40,2500,38.40
2015-03-16,41.50,44.00,38.25,38.65,2600,38.65
2015-03-13,45.00,45.00,41.05,42.30,2700,42.30
2015-03-12,46.00,46.00,43.00,43.95,4300,43.95
2015-03-11,45.00,46.25,45.00,45.65,400,45.65
2015-03-10,44.10,47.30,43.10,45.90,900,45.90
2015-03-09,44.05,44.05,43.45,43.55,700,43.55
2015-03-06,44.15,44.15,44.15,44.15,000,44.15
2015-03-05,45.00,45.00,43.15,44.15,600,44.15
2015-03-04,45.70,47.70,44.60,44.60,2300,44.60
2015-03-03,47.00,49.00,47.00,48.00,800,48.00
2015-03-02,45.50,47.60,45.50,47.45,100,47.45
2015-02-27,49.40,49.40,47.20,49.30,200,49.30
2015-02-26,47.00,49.80,47.00,47.15,700,47.15
2015-02-25,49.10,51.00,47.85,47.90,56300,47.90
2015-02-24,53.00,53.00,47.05,50.00,106800,50.00
2015-02-23,40.25,51.45,40.25,49.20,121500,49.20
2015-02-20,46.50,48.65,46.50,48.65,000,48.65
2015-02-19,49.45,49.45,47.20,49.00,200,49.00
2015-02-18,47.20,49.00,47.20,47.20,800,47.20
2015-02-17,49.00,49.00,49.00,49.00,000,49.00
2015-02-16,49.50,49.50,47.00,49.00,600,49.00
2015-02-13,48.00,49.90,48.00,49.90,100,49.90
2015-02-12,48.75,49.95,47.30,47.40,000,47.40
2015-02-11,48.50,49.90,47.00,49.90,1100,49.90
2015-02-10,46.00,48.50,46.00,48.50,000,48.50
2015-02-09,46.00,48.00,45.00,46.05,1600,46.05
2015-02-06,46.75,46.75,43.70,43.70,600,43.70
2015-02-05,48.50,48.50,46.00,46.35,1500,46.35
2015-02-04,48.30,50.40,46.60,47.50,1700,47.50
2015-02-03,47.40,51.00,47.40,49.45,300,49.45
2015-02-02,48.95,48.95,46.70,47.25,500,47.25
2015-01-30,48.00,49.80,47.00,47.20,900,47.20
2015-01-29,47.90,47.90,47.40,47.80,100,47.80
2015-01-28,48.45,50.85,48.00,49.50,1300,49.50
2015-01-27,50.50,51.80,48.50,49.90,100,49.90
2015-01-26,50.35,50.35,50.35,50.35,000,50.35
2015-01-23,49.50,51.00,49.50,50.35,100,50.35
2015-01-22,49.50,49.50,49.50,49.50,000,49.50
2015-01-21,51.65,51.65,49.50,49.50,1300,49.50
2015-01-20,49.10,52.40,49.10,49.35,600,49.35
2015-01-19,51.00,53.60,50.00,50.00,1100,50.00
2015-01-16,54.00,54.00,48.80,50.35,3600,50.35
2015-01-15,47.55,54.50,47.55,49.95,7300,49.95
2015-01-14,47.40,50.00,47.10,50.00,500,50.00
2015-01-13,46.05,54.95,46.05,48.90,400,48.90
2015-01-12,49.30,49.30,49.30,49.30,100,49.30
2015-01-09,49.50,49.95,49.50,49.95,200,49.95
2015-01-08,48.80,50.15,48.80,50.00,400,50.00
2015-01-07,53.00,53.95,48.10,48.40,800,48.40
2015-01-06,47.50,47.50,47.50,47.50,000,47.50
2015-01-05,56.00,56.00,48.50,50.00,2300,50.00
2015-01-02,50.50,52.70,49.15,51.10,700,51.10
2015-01-01,49.50,55.00,49.50,52.50,500,52.50
2014-12-31,49.00,51.90,49.00,50.50,1100,50.50
2014-12-30,52.95,59.80,48.10,48.10,1100,48.10
2014-12-29,51.00,51.00,48.00,50.80,400,50.80
2014-12-26,53.35,53.35,50.00,52.30,200,52.30
2014-12-25,52.50,52.50,52.50,52.50,000,52.50
2014-12-24,50.00,52.50,50.00,52.50,100,52.50
2014-12-23,52.40,52.45,49.95,51.50,400,51.50
2014-12-22,48.25,51.30,47.60,48.15,600,48.15
2014-12-19,50.00,50.00,48.10,48.10,100,48.10
2014-12-18,51.45,51.45,48.30,49.05,100,49.05
2014-12-17,47.00,49.95,47.00,48.20,200,48.20
2014-12-16,45.90,48.05,42.25,48.00,1900,48.00
2014-12-15,49.30,49.30,49.20,49.20,400,49.20
2014-12-12,54.00,54.00,50.00,51.30,1500,51.30
2014-12-11,50.00,58.90,50.00,58.40,300,58.40
2014-12-10,53.60,53.60,53.60,53.60,000,53.60
2014-12-09,53.60,53.60,53.60,53.60,000,53.60
2014-12-08,54.60,58.00,52.80,53.60,800,53.60
2014-12-05,56.00,58.50,56.00,57.85,600,57.85
2014-12-04,55.00,55.90,52.85,54.10,2000,54.10
2014-12-03,47.00,54.00,47.00,52.00,1700,52.00
2014-12-02,50.00,50.10,49.05,49.55,400,49.55
2014-12-01,57.00,57.00,51.50,52.25,100,52.25
2014-11-28,49.80,59.00,49.80,53.70,1100,53.70
2014-11-27,53.65,53.65,53.65,53.65,000,53.65
2014-11-26,52.95,53.90,51.10,53.65,200,53.65
2014-11-25,55.00,55.00,50.00,50.45,1200,50.45
2014-11-24,54.60,59.00,54.60,55.35,400,55.35
2014-11-21,60.00,60.00,57.35,57.35,1100,57.35
2014-11-20,58.10,66.20,57.30,58.85,600,58.85
2014-11-19,62.00,62.00,62.00,62.00,900,62.00
2014-11-18,62.00,62.00,60.00,61.50,700,61.50
2014-11-17,60.35,65.70,60.35,61.70,5300,61.70
2014-11-14,60.00,69.00,58.00,67.05,5500,67.05
2014-11-13,63.50,63.50,58.15,62.80,200,62.80
2014-11-12,64.80,64.80,59.15,63.10,1400,63.10
2014-11-11,67.00,67.00,60.00,60.10,1400,60.10
2014-11-10,67.90,67.90,62.85,63.20,800,63.20
2014-11-07,66.50,68.40,64.15,66.15,400,66.15
2014-11-06,67.50,67.50,67.50,67.50,000,67.50
2014-11-05,70.00,70.00,66.75,67.50,100,67.50
2014-11-04,68.95,68.95,68.95,68.95,000,68.95
2014-11-03,66.00,69.50,66.00,68.95,300,68.95
2014-10-31,67.55,69.50,66.10,69.20,3400,69.20
2014-10-30,68.00,70.00,66.60,66.60,2700,66.60
2014-10-29,69.00,70.00,67.00,69.90,400,69.90
2014-10-28,68.00,70.00,68.00,69.55,100,69.55
2014-10-27,71.15,71.15,71.15,71.15,000,71.15
