Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,7.05,7.05,7.05,7.05,2100,7.05
2015-07-16,6.72,6.72,6.72,6.72,200,6.72
2015-07-15,6.40,6.40,6.40,6.40,000,6.40
2015-07-14,6.40,6.40,6.40,6.40,000,6.40
2015-07-13,6.40,6.40,6.40,6.40,000,6.40
2015-07-10,6.40,6.40,6.40,6.40,000,6.40
2015-07-09,6.40,6.40,6.40,6.40,000,6.40
2015-07-08,6.40,6.40,6.40,6.40,000,6.40
2015-07-07,6.40,6.40,6.40,6.40,000,6.40
2015-07-06,6.40,6.40,6.40,6.40,000,6.40
2015-07-03,6.40,6.40,6.40,6.40,000,6.40
2015-07-02,6.10,6.10,6.10,6.10,000,6.10
2015-07-01,6.10,6.10,6.10,6.10,000,6.10
2015-06-30,6.10,6.10,6.10,6.10,000,6.10
2015-06-29,6.10,6.10,6.10,6.10,000,6.10
2015-06-26,6.10,6.10,6.10,6.10,600,6.10
2015-06-25,6.36,6.42,6.36,6.42,800,6.42
2015-06-24,7.00,7.00,6.65,6.65,200,6.65
2015-06-23,7.10,7.10,7.00,7.00,200,7.00
2015-06-22,6.77,6.77,6.77,6.77,000,6.77
2015-06-19,6.77,6.77,6.77,6.77,400,6.77
2015-06-18,6.46,6.46,6.46,6.46,000,6.46
2015-06-17,6.46,6.46,6.46,6.46,000,6.46
2015-06-16,6.46,6.46,6.46,6.46,000,6.46
2015-06-15,6.46,6.46,6.46,6.46,100,6.46
2015-06-12,6.80,6.80,6.80,6.80,000,6.80
2015-06-11,7.09,7.09,6.80,6.80,500,6.80
2015-06-10,7.09,7.09,7.09,7.09,100,7.09
2015-06-09,7.71,7.71,7.05,7.05,2000,7.05
2015-06-08,7.42,7.42,7.42,7.42,000,7.42
2015-06-05,7.44,7.44,7.42,7.42,1000,7.42
2015-06-04,7.09,7.09,7.09,7.09,000,7.09
2015-06-03,7.09,7.09,7.09,7.09,000,7.09
2015-06-02,7.09,7.09,7.09,7.09,000,7.09
2015-06-01,7.09,7.09,7.09,7.09,000,7.09
2015-05-29,7.09,7.09,7.09,7.09,000,7.09
2015-05-28,7.09,7.09,7.09,7.09,100,7.09
2015-05-27,6.76,6.76,6.76,6.76,000,6.76
2015-05-26,6.76,6.76,6.76,6.76,100,6.76
2015-05-25,7.09,7.09,7.09,7.09,000,7.09
2015-05-22,6.50,7.09,6.50,7.09,200,7.09
2015-05-21,6.80,6.80,6.80,6.80,000,6.80
2015-05-20,6.88,6.88,6.80,6.80,1100,6.80
2015-05-19,7.22,7.22,6.56,6.56,200,6.56
2015-05-18,7.57,7.57,7.54,6.90,1000,6.90
2015-05-15,6.56,7.24,6.56,7.24,300,7.24
2015-05-14,6.93,6.93,6.27,6.90,500,6.90
2015-05-13,6.60,6.60,6.60,6.60,000,6.60
2015-05-12,6.60,6.60,6.60,6.60,000,6.60
2015-05-11,6.60,6.60,6.60,6.60,000,6.60
2015-05-08,6.60,6.60,6.60,6.60,000,6.60
2015-05-07,6.60,6.60,6.60,6.60,000,6.60
2015-05-06,6.90,6.90,6.90,6.90,000,6.90
2015-05-05,6.60,6.90,6.60,6.90,800,6.90
2015-05-04,6.66,6.66,6.66,6.66,1800,6.66
2015-05-01,6.65,6.65,6.65,6.65,000,6.65
2015-04-30,6.65,6.65,6.65,6.65,000,6.65
2015-04-29,7.33,7.33,6.65,6.65,100,6.65
2015-04-28,7.00,7.00,7.00,7.00,000,7.00
2015-04-27,7.00,7.00,7.00,7.00,000,7.00
2015-04-24,8.05,8.05,7.35,7.35,4800,7.35
2015-04-23,7.73,7.73,7.73,7.73,1200,7.73
2015-04-22,8.12,8.13,8.12,8.13,5900,8.13
2015-04-21,7.81,7.81,7.80,7.80,1300,7.80
2015-04-20,7.44,7.44,7.44,7.44,4500,7.44
2015-04-17,7.09,7.09,7.09,7.09,1700,7.09
2015-04-16,6.76,6.76,6.76,6.76,1500,6.76
2015-04-15,6.44,6.44,6.44,6.44,1000,6.44
2015-04-14,6.14,6.14,6.14,6.14,000,6.14
2015-04-13,6.14,6.14,6.14,6.14,2100,6.14
2015-04-10,5.85,5.85,5.85,5.85,1000,5.85
2015-04-09,5.58,5.58,5.58,5.58,1500,5.58
2015-04-08,5.86,5.86,5.32,5.32,14300,5.32
2015-04-07,5.59,5.59,5.59,5.59,10200,5.59
2015-04-06,5.88,5.88,5.88,5.88,1000,5.88
2015-04-03,6.18,6.18,6.18,6.18,000,6.18
2015-04-02,6.18,6.18,6.18,6.18,000,6.18
2015-04-01,6.18,6.20,6.18,6.18,3500,6.18
2015-03-31,6.50,6.50,6.50,6.50,2900,6.50
2015-03-30,7.15,7.15,6.50,6.50,5500,6.50
2015-03-27,6.84,6.84,6.84,6.84,2000,6.84
2015-03-26,6.65,7.20,6.65,7.20,900,7.20
2015-03-25,6.99,6.99,6.99,6.99,200,6.99
2015-03-24,7.36,7.36,7.35,7.35,600,7.35
2015-03-23,7.71,7.71,7.71,7.71,5000,7.71
2015-03-20,8.11,8.11,8.11,8.11,200,8.11
2015-03-19,8.53,8.53,8.53,8.53,000,8.53
2015-03-18,8.70,8.70,8.53,8.53,400,8.53
2015-03-17,8.13,8.97,8.13,8.97,400,8.97
2015-03-16,9.43,9.43,8.55,8.55,500,8.55
2015-03-13,8.99,8.99,8.99,8.99,000,8.99
2015-03-12,8.61,8.99,8.61,8.99,800,8.99
2015-03-11,7.85,8.63,7.85,8.63,200,8.63
2015-03-10,8.25,8.25,8.22,8.22,15100,8.22
2015-03-09,8.65,8.65,8.65,8.65,100,8.65
2015-03-06,9.10,9.10,9.10,9.10,000,9.10
2015-03-05,9.10,9.10,9.10,9.10,000,9.10
2015-03-04,9.10,9.10,9.10,9.10,2200,9.10
2015-03-03,9.50,9.50,9.50,9.50,000,9.50
2015-03-02,9.50,9.50,9.50,9.50,100,9.50
2015-02-27,9.95,9.95,9.95,9.95,000,9.95
2015-02-26,9.95,9.95,9.95,9.95,200,9.95
2015-02-25,9.60,9.60,9.60,9.60,1000,9.60
2015-02-24,9.71,9.71,9.24,9.26,700,9.26
2015-02-23,9.50,9.71,9.50,9.71,700,9.71
2015-02-20,9.70,10.11,9.25,9.25,6200,9.25
2015-02-19,9.70,9.70,9.70,9.70,000,9.70
2015-02-18,9.35,9.35,9.35,9.35,100,9.35
2015-02-17,9.00,9.00,9.00,9.00,000,9.00
2015-02-16,9.00,9.00,9.00,9.00,600,9.00
2015-02-13,8.75,8.75,8.75,8.75,1000,8.75
2015-02-12,9.20,9.20,9.20,9.20,000,9.20
2015-02-11,9.20,9.20,9.20,9.20,000,9.20
2015-02-10,9.20,9.20,9.20,9.20,000,9.20
2015-02-09,9.65,9.65,9.25,9.20,000,9.20
2015-02-06,9.20,9.20,9.20,9.20,000,9.20
2015-02-05,9.20,9.20,9.20,9.20,000,9.20
2015-02-04,9.20,9.20,9.20,9.20,000,9.20
2015-02-03,9.20,9.20,9.20,9.20,000,9.20
2015-02-02,9.45,9.45,8.59,9.20,2300,9.20
2015-01-30,9.00,9.00,9.00,9.00,000,9.00
2015-01-29,9.00,9.00,9.00,9.00,000,9.00
2015-01-28,9.00,9.00,9.00,9.00,100,9.00
2015-01-27,9.42,9.42,9.42,9.42,000,9.42
2015-01-26,9.42,9.42,9.42,9.42,000,9.42
2015-01-23,9.85,9.85,9.85,9.42,000,9.42
2015-01-22,9.01,9.42,9.01,9.42,2600,9.42
2015-01-21,8.97,8.98,8.97,8.98,25500,8.98
2015-01-20,9.44,9.44,9.44,9.44,1300,9.44
2015-01-19,9.93,9.93,9.93,9.93,1100,9.93
2015-01-16,10.45,10.45,10.45,10.45,100,10.45
2015-01-15,11.00,11.00,11.00,11.00,500,11.00
2015-01-14,10.86,10.86,10.86,10.86,000,10.86
2015-01-13,11.42,11.42,10.35,10.35,1400,10.35
2015-01-12,11.90,11.90,10.89,10.89,3000,10.89
2015-01-09,12.53,12.53,11.45,11.45,300,11.45
2015-01-08,12.00,12.00,11.95,11.95,10200,11.95
2015-01-07,11.94,11.94,11.94,11.94,200,11.94
2015-01-06,11.50,11.50,11.50,11.50,000,11.50
2015-01-05,10.94,11.50,10.94,11.50,1000,11.50
2015-01-02,11.50,11.50,11.50,11.50,200,11.50
2015-01-01,11.53,11.53,11.53,11.53,000,11.53
2014-12-31,12.13,12.13,12.13,12.13,200,12.13
2014-12-30,11.57,11.57,11.57,11.57,100,11.57
2014-12-29,11.57,11.57,11.57,11.57,200,11.57
2014-12-26,11.02,11.02,11.02,11.02,000,11.02
2014-12-25,11.02,11.02,11.02,11.02,000,11.02
2014-12-24,11.02,11.02,11.02,11.02,000,11.02
2014-12-23,10.50,11.02,10.50,11.02,400,11.02
2014-12-22,10.50,10.50,10.50,10.50,000,10.50
2014-12-19,10.00,10.00,10.00,10.00,100,10.00
2014-12-18,10.45,10.45,10.45,10.45,000,10.45
2014-12-17,10.45,10.45,10.45,10.45,000,10.45
2014-12-16,9.49,10.45,9.49,10.45,800,10.45
2014-12-15,9.98,9.98,9.98,9.98,100,9.98
2014-12-12,10.50,10.50,10.50,10.50,000,10.50
2014-12-11,10.50,10.50,10.50,10.50,000,10.50
2014-12-10,10.50,10.50,10.50,10.50,000,10.50
2014-12-09,9.50,10.50,9.50,10.50,1000,10.50
2014-12-08,10.00,10.46,10.00,10.00,900,10.00
2014-12-05,10.00,10.00,10.00,10.00,000,10.00
2014-12-04,10.50,10.60,10.00,10.00,600,10.00
2014-12-03,11.00,11.00,11.00,11.00,100,11.00
2014-12-02,10.90,10.90,10.90,10.90,000,10.90
2014-12-01,10.05,12.09,10.05,12.09,000,12.09
2014-11-28,11.12,11.12,11.12,11.12,100,11.12
2014-11-27,10.66,12.63,10.66,12.35,300,12.35
2014-11-26,11.78,11.78,11.78,11.78,300,11.78
2014-11-25,13.79,13.79,11.40,12.60,400,12.60
2014-11-24,12.65,12.65,12.65,12.65,000,12.65
2014-11-21,12.65,12.65,12.65,12.65,000,12.65
2014-11-20,12.65,12.65,12.65,12.65,000,12.65
2014-11-19,11.61,11.61,11.01,11.61,1500,11.61
2014-11-18,10.56,10.56,10.56,10.56,000,10.56
2014-11-17,12.50,12.50,11.25,11.25,700,11.25
2014-11-14,12.50,12.50,12.50,12.50,000,12.50
2014-11-13,12.59,12.59,12.50,12.50,600,12.50
2014-11-12,12.59,12.59,12.59,12.59,6500,12.59
2014-11-11,11.49,11.49,11.49,11.49,2300,11.49
2014-11-10,10.45,10.45,10.45,10.45,100,10.45
2014-11-07,11.00,11.00,11.00,11.00,000,11.00
2014-11-06,11.00,11.00,11.00,11.00,000,11.00
2014-11-05,11.00,11.00,11.00,11.00,000,11.00
2014-11-04,11.00,11.00,11.00,11.00,000,11.00
2014-11-03,11.77,11.77,11.00,11.00,900,11.00
2014-10-31,11.21,11.21,11.21,11.21,000,11.21
2014-10-30,11.21,11.21,11.21,11.21,000,11.21
2014-10-29,11.76,11.76,11.21,11.21,8400,11.21
2014-10-28,11.20,11.20,11.20,11.20,000,11.20
2014-10-27,12.00,12.00,11.20,11.20,2200,11.20
2014-10-24,11.56,11.56,11.56,11.56,000,11.56
2014-10-23,11.56,11.56,11.56,11.56,000,11.56
2014-10-22,12.45,12.45,11.25,11.56,11200,11.56
2014-10-21,12.30,12.45,12.29,12.45,2200,12.45
2014-10-20,13.65,13.65,13.65,13.65,100,13.65
2014-10-17,14.00,14.00,13.70,13.70,200,13.70
2014-10-16,13.75,14.70,13.70,14.70,8800,14.70
2014-10-15,15.20,15.20,15.20,15.20,000,15.20
2014-10-14,15.20,15.20,15.20,15.20,000,15.20
2014-10-13,15.20,15.20,15.20,15.20,100,15.20
2014-10-10,15.00,16.84,14.49,16.84,200,16.84
2014-10-09,14.11,15.90,14.10,15.90,700,15.90
2014-10-08,14.90,14.90,14.90,14.90,400,14.90
2014-10-07,16.25,16.25,16.25,16.25,000,16.25
2014-10-06,14.85,14.85,14.85,14.85,000,14.85
2014-10-03,14.85,14.85,14.85,14.85,000,14.85
2014-10-02,14.85,14.85,14.85,14.85,000,14.85
2014-10-01,14.85,14.85,14.85,14.85,000,14.85
2014-09-30,14.85,14.85,14.85,14.85,000,14.85
2014-09-29,15.00,15.05,15.00,15.05,000,15.05
2014-09-26,16.00,16.00,16.00,16.00,200,16.00
2014-09-25,15.80,15.80,15.30,15.30,1100,15.30
2014-09-24,16.65,16.65,16.65,16.65,000,16.65
2014-09-23,16.65,16.65,16.65,16.65,100,16.65
2014-09-22,17.00,17.35,17.00,17.35,1000,17.35
2014-09-19,17.45,17.45,17.45,17.45,000,17.45
2014-09-18,15.40,17.45,15.40,17.45,200,17.45
2014-09-17,16.00,16.00,16.00,16.00,000,16.00
2014-09-16,17.50,17.90,16.05,16.05,1300,16.05
2014-09-15,16.80,17.10,16.55,16.55,1600,16.55
2014-09-12,16.00,17.00,15.90,15.95,4400,15.95
2014-09-11,16.30,16.30,15.95,16.00,4100,16.00
2014-09-10,15.00,15.00,15.00,15.00,300,15.00
2014-09-09,15.00,15.00,13.35,14.65,3700,14.65
2014-09-08,15.00,15.00,13.95,13.95,500,13.95
2014-09-05,14.65,15.00,14.65,14.65,2500,14.65
2014-09-04,15.20,15.20,15.20,15.20,000,15.20
2014-09-03,16.15,17.20,16.00,16.00,1900,16.00
2014-09-02,16.80,16.80,16.80,16.80,000,16.80
2014-09-01,16.05,16.05,16.05,16.05,000,16.05
2014-08-29,16.05,16.05,16.05,16.05,000,16.05
2014-08-28,16.05,16.05,16.05,16.05,200,16.05
2014-08-27,16.80,16.80,16.80,16.80,000,16.80
2014-08-26,16.80,16.80,16.80,16.80,100,16.80
2014-08-25,16.60,16.65,16.60,16.65,1200,16.65
2014-08-22,16.75,16.75,15.75,15.90,100,15.90
2014-08-21,16.05,16.05,16.00,16.00,900,16.00
2014-08-20,17.50,17.50,16.15,16.50,300,16.50
2014-08-19,17.00,17.00,17.00,17.00,100,17.00
2014-08-18,17.80,17.80,17.80,17.80,000,17.80
2014-08-15,17.00,17.00,17.00,17.00,000,17.00
2014-08-14,17.00,17.00,17.00,17.00,000,17.00
2014-08-13,17.00,17.00,17.00,17.00,000,17.00
2014-08-12,16.30,17.10,16.30,16.30,1000,16.30
2014-08-11,17.20,17.20,17.10,17.10,400,17.10
2014-08-08,18.00,18.00,18.00,18.00,000,18.00
2014-08-07,18.00,18.00,18.00,18.00,000,18.00
2014-08-06,17.80,18.40,17.80,18.00,300,18.00
2014-08-05,18.55,18.60,18.55,18.60,000,18.60
2014-08-04,16.60,17.90,16.60,17.90,1200,17.90
2014-08-01,17.90,18.20,17.05,17.05,400,17.05
2014-07-31,17.25,17.35,17.25,17.35,1000,17.35
2014-07-30,17.80,17.80,16.55,16.55,200,16.55
2014-07-29,17.00,17.00,17.00,17.00,000,17.00
2014-07-28,17.35,17.35,17.00,17.00,000,17.00
2014-07-25,16.55,16.55,16.55,16.55,000,16.55
2014-07-24,16.55,16.55,16.55,16.55,100,16.55
2014-07-23,17.05,17.05,16.90,16.90,1300,16.90
2014-07-22,18.95,19.00,17.35,17.65,6600,17.65
2014-07-21,18.00,18.40,17.15,18.25,2900,18.25
2014-07-18,17.50,17.55,17.30,17.55,2400,17.55
2014-07-17,15.50,16.90,15.50,16.75,9600,16.75
2014-07-16,16.30,16.30,16.30,16.30,2500,16.30
2014-07-15,17.15,17.15,17.15,17.15,1600,17.15
2014-07-14,18.05,18.05,18.05,18.05,1000,18.05
2014-07-11,18.75,19.00,18.75,19.00,100,19.00
2014-07-10,19.70,20.00,19.70,19.70,1400,19.70
2014-07-09,20.70,20.70,20.70,20.70,200,20.70
2014-07-08,22.60,22.60,21.60,21.75,2400,21.75
2014-07-07,20.80,22.60,20.80,22.60,100,22.60
2014-07-04,21.85,21.85,21.65,21.65,1100,21.65
2014-07-03,22.50,22.75,22.50,22.75,500,22.75
2014-07-02,21.90,21.90,19.90,21.75,3400,21.75
2014-07-01,22.90,22.90,20.90,20.90,400,20.90
2014-06-30,22.00,22.00,21.95,21.95,500,21.95
2014-06-27,23.10,23.10,23.10,23.10,000,23.10
2014-06-26,23.25,23.25,23.00,23.10,500,23.10
2014-06-25,22.30,24.20,22.30,24.15,400,24.15
2014-06-24,25.80,25.80,23.45,23.45,600,23.45
2014-06-23,24.65,24.65,24.60,24.60,4500,24.60
2014-06-20,23.60,23.60,23.60,23.60,000,23.60
2014-06-19,24.70,24.70,23.50,23.60,900,23.60
2014-06-18,24.70,24.70,24.70,24.70,400,24.70
2014-06-17,25.95,25.95,25.95,25.95,000,25.95
2014-06-16,25.95,25.95,25.95,25.95,000,25.95
2014-06-13,24.50,25.40,24.50,25.40,100,25.40
2014-06-12,24.50,24.50,24.50,24.50,000,24.50
2014-06-11,24.50,24.50,24.50,24.50,2200,24.50
2014-06-10,22.70,23.60,22.70,23.60,800,23.60
2014-06-09,22.50,22.50,22.50,22.50,100,22.50
2014-06-06,23.95,24.05,21.90,22.80,1800,22.80
2014-06-05,20.90,22.95,20.90,22.95,000,22.95
2014-06-04,21.95,21.95,21.95,21.95,300,21.95
2014-06-03,21.95,21.95,21.95,21.95,000,21.95
2014-06-02,21.25,21.25,21.25,21.25,000,21.25
2014-05-30,21.60,21.60,21.60,21.60,200,21.60
2014-05-29,22.65,22.65,22.65,22.65,000,22.65
2014-05-28,22.65,22.65,22.65,22.65,000,22.65
2014-05-27,22.65,22.65,22.65,22.65,000,22.65
