Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,119.70,122.00,118.00,120.10,63500,120.10
2015-07-16,117.50,121.00,115.60,118.10,38800,118.10
2015-07-15,114.00,123.00,114.00,116.00,32200,116.00
2015-07-14,110.00,116.00,110.00,113.80,11700,113.80
2015-07-13,108.20,112.00,108.00,110.30,3900,110.30
2015-07-10,109.90,111.00,108.00,109.50,3600,109.50
2015-07-09,108.00,110.00,108.00,108.50,1300,108.50
2015-07-08,108.00,109.70,106.50,106.90,8200,106.90
2015-07-07,110.00,111.20,108.20,111.10,5200,111.10
2015-07-06,107.50,111.00,104.00,108.10,11100,108.10
2015-07-03,108.20,115.40,107.00,109.30,19300,109.30
2015-07-02,100.00,111.00,100.00,106.80,22000,106.80
2015-07-01,100.50,103.00,98.80,102.30,5400,102.30
2015-06-30,97.80,102.50,97.60,100.90,13200,100.90
2015-06-29,95.20,95.90,93.00,94.40,5100,94.40
2015-06-26,98.00,100.20,97.40,97.80,3400,97.80
2015-06-25,98.10,99.50,96.30,97.80,4500,97.80
2015-06-24,101.70,102.70,97.20,98.10,3900,98.10
2015-06-23,98.70,105.50,98.70,100.60,16700,100.60
2015-06-22,97.10,98.00,95.90,97.60,2900,97.60
2015-06-19,97.00,99.10,94.00,94.70,11100,94.70
2015-06-18,95.00,98.80,95.00,95.70,9000,95.70
2015-06-17,93.50,95.90,93.50,94.30,10100,94.30
2015-06-16,99.00,99.00,92.90,93.40,5600,93.40
2015-06-15,94.00,98.20,93.10,97.30,5000,97.30
2015-06-12,94.70,95.50,93.00,93.30,2700,93.30
2015-06-11,100.60,100.80,93.40,94.50,11700,94.50
2015-06-10,102.90,104.50,100.00,100.80,9000,100.80
2015-06-09,101.80,103.20,99.00,100.00,7000,100.00
2015-06-08,105.50,106.50,102.00,103.50,15100,103.50
2015-06-05,105.00,107.00,103.90,104.50,10800,104.50
2015-06-04,104.60,106.80,103.00,105.00,5900,105.00
2015-06-03,112.50,117.30,100.20,103.00,40700,103.00
2015-06-02,126.00,128.30,109.00,111.30,72700,111.30
2015-06-01,110.00,116.70,110.00,116.70,14900,116.70
2015-05-29,100.00,107.50,100.00,106.10,6100,106.10
2015-05-28,102.50,102.50,97.00,98.00,4500,98.00
2015-05-27,101.50,103.80,100.00,100.80,4900,100.80
2015-05-26,104.40,105.00,104.00,105.00,600,105.00
2015-05-25,106.50,106.80,103.00,103.50,3600,103.50
2015-05-22,110.10,110.80,107.00,107.80,5800,107.80
2015-05-21,110.00,113.00,109.80,111.60,3800,111.60
2015-05-20,108.90,112.00,108.30,110.90,3800,110.90
2015-05-19,111.60,113.60,108.00,108.30,3800,108.30
2015-05-18,109.00,112.80,106.20,109.20,7200,109.20
2015-05-15,110.80,113.00,99.00,104.90,15200,104.90
2015-05-14,105.00,110.70,104.60,108.20,1800,108.20
2015-05-13,109.00,109.60,104.30,105.00,3300,105.00
2015-05-12,109.80,111.80,107.00,108.00,3100,108.00
2015-05-11,110.00,114.10,108.40,109.60,7800,109.60
2015-05-08,109.00,114.60,109.00,110.00,15800,110.00
2015-05-07,116.50,118.00,109.10,109.50,10000,109.50
2015-05-06,120.00,125.00,114.00,118.40,14900,118.40
2015-05-05,125.70,125.70,116.00,119.00,15100,119.00
2015-05-04,126.50,131.80,124.40,127.20,17800,127.20
2015-05-01,125.40,125.40,125.40,125.40,000,125.40
2015-04-30,116.00,125.40,116.00,125.40,48900,125.40
2015-04-29,103.50,114.00,103.50,114.00,16900,114.00
2015-04-28,108.00,110.00,102.10,103.70,18900,103.70
2015-04-27,120.00,120.50,110.40,112.10,21400,112.10
2015-04-24,130.00,133.00,120.00,122.60,25000,122.60
2015-04-23,127.00,129.00,126.00,127.50,33200,127.50
2015-04-22,127.00,130.80,123.90,129.20,26700,129.20
2015-04-21,130.00,133.00,124.50,130.30,20200,130.30
2015-04-20,134.00,135.00,126.50,128.90,18400,128.90
2015-04-17,134.00,137.00,131.00,133.40,44900,133.40
2015-04-16,132.00,135.80,131.10,133.20,19300,133.20
2015-04-15,134.00,140.00,128.00,131.30,35300,131.30
2015-04-14,135.40,135.40,135.40,135.40,000,135.40
2015-04-13,135.00,140.70,134.00,135.40,24200,135.40
2015-04-10,134.00,142.90,133.00,136.40,96100,136.40
2015-04-09,138.00,140.00,126.00,133.60,45200,133.60
2015-04-08,138.00,143.00,136.00,137.20,25800,137.20
2015-04-07,136.40,140.40,128.00,138.30,38100,138.30
2015-04-06,139.10,141.20,134.80,135.90,38300,135.90
2015-04-03,138.70,138.70,138.70,138.70,000,138.70
2015-04-02,138.70,138.70,138.70,138.70,000,138.70
2015-04-01,138.00,144.80,136.00,138.70,84900,138.70
2015-03-31,138.60,144.40,128.00,137.95,147400,137.95
2015-03-30,130.00,135.90,125.40,135.90,159000,135.90
2015-03-27,115.00,123.55,115.00,123.55,115700,123.55
2015-03-26,107.60,117.00,102.30,112.35,92000,112.35
2015-03-25,122.65,125.00,112.95,113.60,89300,113.60
2015-03-24,123.00,134.90,120.25,125.45,356400,125.45
2015-03-23,115.00,126.00,103.75,126.00,330400,126.00
2015-03-20,99.05,116.50,99.05,114.55,499300,114.55
2015-03-19,84.00,98.55,84.00,98.10,185400,98.10
2015-03-18,73.00,83.00,72.80,82.15,107500,82.15
2015-03-17,71.10,76.00,69.55,73.60,18600,73.60
2015-03-16,74.70,76.25,71.55,72.80,17200,72.80
2015-03-13,77.40,78.00,73.85,74.20,14900,74.20
2015-03-12,77.50,78.00,75.50,75.95,19000,75.95
2015-03-11,78.00,78.00,76.30,77.00,23600,77.00
2015-03-10,77.15,78.50,76.45,77.20,10200,77.20
2015-03-09,73.10,80.00,72.60,77.10,34700,77.10
2015-03-06,72.70,72.70,72.70,72.70,000,72.70
