Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,223.89999,226.00,217.80,222.89999,7100,222.89999
2015-07-16,229.89999,230.00,216.89999,218.70,16700,218.70
2015-07-15,210.00,213.00,205.39999,208.20,5800,207.70
2015-07-14,205.00,214.00,204.00,210.80,7300,210.29376
2015-07-13,199.50,210.00,199.50,208.10001,7500,207.60025
2015-07-10,196.00,200.00,194.20,198.80,10300,198.32258
2015-07-09,199.89999,200.20,196.39999,196.80,1900,196.32738
2015-07-08,200.00,200.00,191.10001,197.00,1800,196.5269
2015-07-07,199.60001,203.50,197.50,201.00,2900,200.51729
2015-07-06,198.00,204.50,197.50,198.89999,6000,198.42233
2015-07-03,201.00,201.00,198.00,199.89999,4400,199.41993
2015-07-02,199.00,201.00,197.89999,198.00,3100,197.5245
2015-07-01,199.00,202.00,194.00,195.50,700,195.0305
2015-06-30,194.00,197.00,193.80,197.00,500,196.5269
2015-06-29,196.00,196.00,190.00,194.20,500,193.73362
2015-06-26,196.10001,199.70,196.10001,198.39999,1800,197.92353
2015-06-25,195.00,197.89999,193.00,196.20,400,195.72882
2015-06-24,200.00,201.00,192.00,195.10001,300,194.63147
2015-06-23,195.50,202.89999,195.50,198.20,1200,197.72401
2015-06-22,190.00,197.89999,189.60001,195.30,600,194.83098
2015-06-19,188.00,193.20,187.39999,190.10001,500,189.14468
2015-06-18,187.00,191.00,0.01,190.10001,3500,189.14468
2015-06-17,185.00,195.00,183.30,184.60001,3100,183.67232
2015-06-16,185.00,185.00,179.60001,181.39999,2400,180.48839
2015-06-15,184.89999,188.00,183.10001,184.70,1500,183.77181
2015-06-12,183.50,184.00,177.50,182.60001,200,181.68237
2015-06-11,183.00,186.30,180.50,182.89999,800,181.98085
2015-06-10,187.00,190.00,181.50,183.39999,800,182.47834
2015-06-09,184.00,188.00,182.00,184.00,1000,183.07533
2015-06-08,185.00,185.00,175.00,184.00,2700,183.07533
2015-06-05,185.00,188.00,180.60001,182.00,300,181.08538
2015-06-04,183.00,189.80,181.89999,185.60001,100,184.66729
2015-06-03,187.70,187.70,178.10001,182.70,1100,181.78186
2015-06-02,187.50,191.89999,185.60001,187.30,800,186.35875
2015-06-01,190.00,190.00,186.89999,186.89999,100,185.96075
2015-05-29,190.00,192.60001,190.00,192.39999,100,191.43311
2015-05-28,190.00,190.00,187.50,188.50,300,187.55271
2015-05-27,185.00,192.00,185.00,190.10001,1600,189.14468
2015-05-26,184.00,188.80,183.00,185.39999,300,184.46829
2015-05-25,186.60001,189.00,182.50,184.00,700,183.07533
2015-05-22,192.39999,193.80,185.00,186.20,1500,185.26427
2015-05-21,195.00,197.30,188.00,189.70,500,188.74668
2015-05-20,195.00,195.50,189.00,190.10001,2600,189.14468
2015-05-19,197.20,197.20,190.10001,190.80,1300,189.84116
2015-05-18,196.60001,199.50,193.10001,193.60001,4400,192.62709
2015-05-15,198.00,200.80,196.00,198.70,5100,197.70145
2015-05-14,198.70,198.70,194.39999,194.39999,500,193.42306
2015-05-13,196.10001,203.00,195.39999,197.00,5000,196.01
2015-05-12,192.80,196.89999,186.00,193.50,9600,192.52759
2015-05-11,191.00,197.00,187.50,189.50,1100,188.54769
2015-05-08,191.10001,194.80,183.00,186.00,8000,185.06528
2015-05-07,194.10001,197.00,190.10001,191.39999,600,190.43813
2015-05-06,202.00,202.00,192.00,193.60001,1400,192.62709
2015-05-05,202.00,204.00,198.50,200.80,600,199.79091
2015-05-04,201.00,206.00,200.00,202.00,2700,200.98487
2015-05-01,199.50,199.50,199.50,199.50,000,198.49744
2015-04-30,203.39999,203.60001,198.60001,199.50,700,198.49744
2015-04-29,201.10001,210.00,197.50,199.50,7500,198.49744
2015-04-28,198.80,218.00,195.00,210.20,66000,209.14366
2015-04-27,196.00,196.00,185.00,186.30,4500,185.36377
2015-04-24,206.00,206.00,195.00,196.30,1500,195.31352
2015-04-23,197.00,206.00,194.00,205.50,2300,204.46728
2015-04-22,200.00,200.00,192.00,194.30,1500,193.32357
2015-04-21,192.00,205.00,192.00,199.60001,300,198.59694
2015-04-20,204.00,208.00,195.00,195.60001,4200,194.61704
2015-04-17,215.00,215.60001,198.50,200.60001,3300,199.59191
2015-04-16,226.39999,226.39999,207.20,209.60001,3100,208.54668
2015-04-15,203.80,229.80,200.00,221.70,11400,220.58587
2015-04-14,200.50,200.50,200.50,200.50,000,199.49241
2015-04-13,204.00,205.00,198.10001,200.50,500,199.49241
2015-04-10,197.00,208.50,195.70,204.20,3500,203.17381
2015-04-09,196.00,199.89999,193.50,195.89999,500,194.91552
2015-04-08,200.00,200.00,192.00,192.70,2600,191.7316
2015-04-07,194.00,214.89999,189.00,198.70,3100,197.70145
2015-04-06,196.00,203.00,187.30,191.20,1200,190.23914
2015-04-03,194.00,194.00,194.00,194.00,000,193.02507
2015-04-02,194.00,194.00,194.00,194.00,000,193.02507
2015-04-01,194.00,197.89999,192.60001,194.00,600,193.02507
2015-03-31,190.00,199.89999,183.00,192.60001,12900,191.63212
2015-03-30,183.00,189.89999,183.00,188.89999,1700,187.9507
2015-03-27,183.00,186.00,183.00,183.00,2300,182.08035
2015-03-26,183.50,185.80,183.00,183.10001,9100,182.17986
2015-03-25,182.80,185.00,182.50,184.89999,1500,183.9708
2015-03-24,185.00,185.00,180.00,180.89999,1700,179.9909
2015-03-23,183.00,185.60001,179.00,183.70,3300,182.77683
2015-03-20,177.80,184.00,177.80,181.10001,2000,180.18991
2015-03-19,177.10001,184.89999,176.89999,180.20,2600,179.29442
2015-03-18,183.00,183.00,174.10001,177.89999,2600,177.00598
2015-03-17,181.00,185.00,178.00,182.50,1700,181.58287
2015-03-16,186.00,186.30,179.30,181.00,1300,180.0904
2015-03-13,188.00,189.50,186.00,186.10001,6800,185.16478
2015-03-12,185.00,189.50,179.39999,188.39999,2500,187.45321
2015-03-11,188.00,188.50,182.80,184.89999,5100,183.9708
2015-03-10,191.50,191.50,185.00,188.10001,2800,187.15473
2015-03-09,196.00,198.00,190.00,191.10001,4400,190.13965
2015-03-06,197.89999,197.89999,197.89999,197.89999,000,196.90547
2015-03-05,194.00,198.50,192.00,197.89999,3000,196.90547
2015-03-04,195.00,195.00,191.50,193.89999,3400,192.92557
2015-03-03,195.00,197.00,193.00,194.80,2000,193.82106
2015-03-02,199.50,200.10001,193.10001,193.39999,2100,192.42808
2015-02-27,199.00,199.00,195.00,196.30,9300,195.31352
2015-02-26,198.00,200.00,196.50,197.20,13200,196.20899
2015-02-25,199.00,200.89999,196.00,197.80,3800,196.80598
2015-02-24,200.00,202.50,198.60001,199.00,5000,197.99995
2015-02-23,200.00,204.00,197.50,199.89999,7600,198.89542
2015-02-20,201.50,202.89999,198.39999,200.00,4900,198.99492
2015-02-19,200.00,202.70,198.89999,200.60001,7700,199.59191
2015-02-18,204.00,204.60001,197.50,199.89999,27800,198.89542
2015-02-17,203.60001,203.60001,203.60001,203.60001,000,202.57684
2015-02-16,205.00,205.00,202.00,203.60001,4400,202.57684
2015-02-13,202.00,208.50,200.20,204.50,4700,203.47231
2015-02-12,200.00,205.00,197.50,201.20,1200,200.18889
2015-02-11,202.50,203.00,195.50,200.00,18100,198.99492
2015-02-10,208.00,208.00,201.00,201.89999,10800,200.88537
2015-02-09,211.50,211.50,201.00,205.30,5500,204.26829
2015-02-06,211.00,214.89999,205.00,211.05,7800,209.9894
2015-02-05,232.89999,233.00,205.55,210.80,14800,209.74065
2015-02-04,214.00,249.89999,208.50,231.60001,71100,230.43613
2015-02-03,210.50,215.00,209.00,213.95,2600,212.87482
2015-02-02,210.50,213.10001,206.95,210.35001,6100,209.29292
2015-01-30,205.00,214.00,204.00,210.25,7500,209.19341
2015-01-29,210.00,213.80,205.05,207.35001,2900,206.30799
2015-01-28,214.00,214.00,206.39999,210.00,6900,208.94467
2015-01-27,212.50,214.00,210.00,213.75,2200,212.67582
2015-01-26,212.35001,212.35001,212.35001,212.35001,000,211.28287
2015-01-23,215.50,216.00,211.05,212.35001,1300,211.28287
2015-01-22,215.50,217.00,213.25,215.14999,1200,214.06878
2015-01-21,214.50,215.89999,211.64999,213.64999,1200,212.57632
2015-01-20,216.50,219.00,212.30,212.55,2100,211.48186
2015-01-19,216.50,220.20,212.20,214.60001,2200,213.52156
2015-01-16,217.50,220.00,211.95,214.50,1900,213.42205
2015-01-15,219.50,222.00,212.39999,215.80,3000,214.71552
2015-01-14,224.00,224.00,215.30,219.10001,1400,217.99894
2015-01-13,222.00,226.50,217.55,224.00,1200,222.87431
2015-01-12,228.00,228.25,218.05,220.14999,4400,219.04366
2015-01-09,233.00,234.00,226.30,229.00,9600,227.84919
2015-01-08,234.00,236.00,231.00,232.55,1200,231.38135
2015-01-07,229.50,235.89999,229.50,232.10001,1500,230.93361
2015-01-06,240.00,240.00,227.00,227.05,2300,225.90899
2015-01-05,236.05,243.14999,231.30,239.95,5200,238.74416
2015-01-02,237.50,244.80,231.00,235.70,500,234.51551
2015-01-01,242.00,242.00,230.00,235.89999,1500,234.71451
2014-12-31,241.00,243.00,238.00,241.85001,1000,240.63462
2014-12-30,238.50,241.95,236.00,240.55,1600,239.34115
2014-12-29,232.50,240.00,231.00,236.95,9700,235.75923
2014-12-26,232.00,235.75,228.05,232.10001,1100,230.93361
2014-12-25,231.75,231.75,231.75,231.75,000,230.58537
2014-12-24,230.00,233.89999,225.05,231.75,700,230.58537
2014-12-23,226.50,232.00,222.00,229.70,4100,228.54567
2014-12-22,210.00,227.39999,210.00,226.20,13600,225.06325
2014-12-19,208.00,209.95,204.00,208.70,1300,207.6512
2014-12-18,205.00,208.85001,205.00,206.25,900,205.21351
2014-12-17,205.00,208.85001,201.60001,203.30,354000,202.27834
2014-12-16,219.00,219.00,202.00,204.80,6200,203.7708
2014-12-15,220.00,222.50,216.55,218.89999,400,217.79994
2014-12-12,227.50,227.50,218.25,219.00,900,217.89944
2014-12-11,230.00,232.50,225.05,227.30,700,226.15773
2014-12-10,222.00,232.39999,220.50,230.89999,3500,229.73963
2014-12-09,225.00,227.50,220.00,220.20,400,219.09341
2014-12-08,223.00,227.50,221.00,223.05,1800,221.92909
2014-12-05,222.00,227.50,217.00,221.25,3600,220.13813
2014-12-04,221.00,224.00,217.64999,220.10001,3900,218.99392
2014-12-03,220.00,223.50,214.00,219.45,5100,218.34718
2014-12-02,217.50,224.00,215.00,219.70,1200,218.59592
2014-12-01,227.00,227.00,215.25,215.55,3200,214.46678
2014-11-28,225.00,225.10001,219.00,222.45,3200,221.3321
2014-11-27,223.50,226.00,219.55,224.89999,3300,223.76978
2014-11-26,222.00,226.75,219.50,221.85001,1600,220.73512
2014-11-25,224.00,224.00,221.00,221.64999,2000,220.53612
2014-11-24,223.50,227.00,221.50,223.50,2300,222.37683
2014-11-21,224.50,235.00,222.85001,223.45,1900,222.32707
2014-11-20,229.50,230.00,222.00,224.20,2000,223.07331
2014-11-19,233.50,236.50,226.60001,227.60001,3500,226.45623
