Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,286.60,286.60,279.60,282.20,5500,282.20
2015-07-16,287.05,287.10,282.00,284.40,3600,284.40
2015-07-15,295.00,295.00,286.40,288.80,9500,288.80
2015-07-14,288.00,295.00,286.65,290.70,2900,290.70
2015-07-13,285.45,290.00,285.05,286.30,1900,286.30
2015-07-10,288.00,289.65,280.00,281.45,1800,281.45
2015-07-09,289.50,295.70,284.00,289.25,4800,289.25
2015-07-08,287.90,299.00,280.00,288.65,230400,288.65
2015-07-07,283.00,285.95,281.05,281.05,1200,281.05
2015-07-06,280.55,287.00,276.00,286.00,1500,286.00
2015-07-03,287.00,289.25,282.55,287.55,2400,287.55
2015-07-02,285.20,286.90,282.00,284.70,4100,284.70
2015-07-01,275.50,285.75,275.50,284.15,5400,284.15
2015-06-30,275.00,277.80,273.85,275.45,2500,275.45
2015-06-29,269.50,280.15,266.40,279.45,3200,279.45
2015-06-26,272.50,277.00,270.00,272.15,700,272.15
2015-06-25,272.00,273.00,267.00,272.05,700,272.05
2015-06-24,275.00,277.35,272.00,273.15,1900,273.15
2015-06-23,278.00,278.00,271.40,273.00,1500,273.00
2015-06-22,276.00,277.20,271.95,276.85,2300,276.85
2015-06-19,273.00,277.00,272.00,276.70,3000,276.70
2015-06-18,273.00,276.00,270.05,275.00,3100,275.00
2015-06-17,267.00,278.00,267.00,274.85,4500,274.85
2015-06-16,268.00,271.90,265.55,267.80,3600,267.80
2015-06-15,270.00,272.45,264.00,265.40,12800,265.40
2015-06-12,270.00,270.00,268.25,269.90,7500,269.90
2015-06-11,272.50,272.50,268.00,270.20,1200,270.20
2015-06-10,273.00,276.80,270.60,272.20,4700,272.20
2015-06-09,277.80,277.80,268.00,268.65,2700,268.65
2015-06-08,275.00,276.50,273.00,273.00,800,273.00
2015-06-05,271.05,274.00,271.00,272.50,1600,272.50
2015-06-04,269.00,273.00,268.00,269.50,1700,269.50
2015-06-03,267.00,272.00,262.00,270.45,7100,270.45
2015-06-02,270.55,270.65,268.00,268.25,2800,268.25
2015-06-01,273.05,273.05,265.50,270.25,1000,270.25
2015-05-29,273.00,276.00,273.00,275.00,200,275.00
2015-05-28,272.00,274.00,270.00,273.00,2100,273.00
2015-05-27,272.05,273.00,266.00,269.45,21200,269.45
2015-05-26,272.00,273.45,271.00,271.65,8600,271.65
2015-05-25,274.70,276.00,270.00,270.60,400,270.60
2015-05-22,272.10,275.00,271.25,272.00,1200,272.00
2015-05-21,270.00,274.45,267.70,273.15,4000,273.15
2015-05-20,263.40,269.80,263.10,268.25,1400,268.25
2015-05-19,270.00,271.00,264.20,266.25,6500,266.25
2015-05-18,274.95,274.95,268.00,269.20,2600,269.20
2015-05-15,272.25,277.55,266.95,269.60,1800,269.60
2015-05-14,273.05,274.10,269.20,272.50,600,272.50
2015-05-13,280.05,282.00,273.10,275.30,600,275.30
2015-05-12,268.10,290.85,268.10,278.30,8800,278.30
2015-05-11,269.80,274.90,257.70,268.65,6200,268.65
2015-05-08,270.15,273.00,262.65,270.20,4500,270.20
2015-05-07,270.00,272.00,270.00,271.00,900,271.00
2015-05-06,270.00,271.00,270.00,270.50,900,270.50
2015-05-05,271.00,274.00,268.60,272.20,7800,272.20
2015-05-04,275.00,278.80,270.00,271.40,1200,271.40
2015-05-01,272.45,272.45,272.45,272.45,000,272.45
2015-04-30,271.10,273.95,270.00,272.45,400,272.45
2015-04-29,271.55,275.00,270.00,271.10,1000,271.10
2015-04-28,279.70,279.75,271.25,273.55,4100,273.55
2015-04-27,282.00,282.00,271.05,271.55,13600,271.55
2015-04-24,282.00,282.95,280.00,282.00,26100,282.00
2015-04-23,282.15,283.60,280.00,281.55,8100,281.55
2015-04-22,283.95,284.00,280.00,281.10,5800,281.10
2015-04-21,279.05,281.00,279.00,280.00,2100,280.00
2015-04-20,285.00,289.85,275.00,278.80,3200,278.80
2015-04-17,276.90,295.00,270.00,285.30,193900,285.30
2015-04-16,278.65,281.95,267.05,275.60,2000,275.60
2015-04-15,268.00,279.55,268.00,275.95,13200,275.95
2015-04-14,270.25,270.25,270.25,270.25,000,270.25
2015-04-13,265.00,275.00,265.00,270.25,1500,270.25
2015-04-10,268.80,268.80,264.75,266.55,800,266.55
2015-04-09,267.50,269.95,265.25,268.85,1400,268.85
2015-04-08,268.05,268.60,263.60,265.80,1700,265.80
2015-04-07,269.95,273.40,265.55,269.35,1100,269.35
2015-04-06,265.00,273.00,261.95,270.05,1500,270.05
2015-04-03,264.85,264.85,264.85,264.85,000,264.85
2015-04-02,264.85,264.85,264.85,264.85,000,264.85
2015-04-01,272.00,272.00,264.15,264.85,600,264.85
2015-03-31,260.90,280.00,260.00,273.80,5400,273.80
2015-03-30,257.00,261.00,256.85,260.00,900,260.00
2015-03-27,255.35,257.15,255.00,257.00,2700,257.00
2015-03-26,261.00,261.00,256.25,257.50,800,257.50
2015-03-25,263.25,264.50,259.10,259.95,1300,259.95
2015-03-24,267.65,267.65,261.50,264.85,6400,264.85
2015-03-23,266.75,268.65,266.75,268.00,900,268.00
2015-03-20,265.70,268.65,265.65,266.85,2000,266.85
2015-03-19,269.95,270.25,266.00,266.95,4100,266.95
2015-03-18,270.85,271.65,265.00,267.05,4600,267.05
2015-03-17,268.05,271.70,265.30,270.60,2200,270.60
2015-03-16,267.45,271.85,265.00,267.25,3900,267.25
2015-03-13,270.00,273.00,267.15,271.15,1900,271.15
2015-03-12,273.65,275.35,267.20,268.95,2700,268.95
2015-03-11,274.10,276.00,270.25,270.50,1300,270.50
2015-03-10,280.50,280.50,271.50,275.70,2200,275.70
2015-03-09,293.00,295.00,272.00,273.95,1600,273.95
2015-03-06,288.35,288.35,288.35,288.35,000,288.35
2015-03-05,267.00,297.45,267.00,288.35,14800,288.35
2015-03-04,272.05,272.70,265.10,270.70,3300,270.70
2015-03-03,273.00,273.00,268.10,270.00,1400,270.00
2015-03-02,266.70,272.00,264.00,271.65,7400,271.65
2015-02-27,266.65,269.00,266.55,266.70,1000,266.70
2015-02-26,270.00,271.40,264.00,266.60,1800,266.60
2015-02-25,268.85,274.00,263.25,267.20,2400,267.20
2015-02-24,269.75,272.90,268.50,271.35,1400,271.35
2015-02-23,270.20,272.70,267.00,270.15,3500,270.15
2015-02-20,269.80,277.00,267.00,271.05,6700,271.05
2015-02-19,272.50,276.40,269.25,269.90,1600,269.90
2015-02-18,272.30,278.45,270.20,271.05,4100,271.05
2015-02-17,274.90,274.90,274.90,274.90,000,274.90
2015-02-16,273.65,281.00,269.00,274.90,3600,274.90
2015-02-13,268.75,278.00,268.75,273.15,2800,273.15
2015-02-12,267.00,280.00,266.30,270.35,8400,270.35
2015-02-11,275.70,275.70,267.15,269.00,2300,269.00
2015-02-10,280.00,280.50,269.00,270.25,7100,270.25
2015-02-09,278.00,287.00,265.50,275.65,5500,275.65
2015-02-06,294.10,294.55,278.00,280.00,7500,280.00
2015-02-05,312.05,316.80,286.20,294.40,45600,294.40
2015-02-04,268.65,322.85,264.05,310.25,240200,310.25
2015-02-03,268.85,270.30,268.10,269.05,4200,269.05
2015-02-02,268.50,270.00,265.00,268.65,5100,268.65
2015-01-30,270.00,270.75,267.00,268.85,1400,268.85
2015-01-29,268.90,269.95,265.00,267.60,4600,267.60
2015-01-28,267.90,270.00,261.00,265.40,6900,265.40
2015-01-27,268.00,270.00,264.90,268.00,4700,268.00
2015-01-26,269.00,269.00,269.00,269.00,000,269.00
2015-01-23,273.45,273.45,268.50,269.00,5000,269.00
2015-01-22,270.50,272.70,268.35,271.60,5400,271.60
2015-01-21,271.80,274.85,267.00,269.40,6100,269.40
2015-01-20,276.00,277.45,266.50,270.00,28000,270.00
2015-01-19,272.55,275.00,268.00,271.15,4800,271.15
2015-01-16,277.00,278.00,268.25,269.85,7300,269.85
2015-01-15,295.95,297.00,271.00,273.20,28300,273.20
2015-01-14,265.85,266.00,258.35,258.35,700,258.35
2015-01-13,263.00,265.00,261.15,262.45,5800,262.45
2015-01-12,262.50,265.00,250.00,260.05,11200,260.05
2015-01-09,264.55,268.25,259.10,260.95,2200,260.95
2015-01-08,265.80,267.60,260.00,264.55,5500,264.55
2015-01-07,267.55,267.70,259.10,262.00,2400,262.00
2015-01-06,266.20,267.50,261.10,261.10,2000,261.10
2015-01-05,269.00,271.50,268.00,268.00,1900,268.00
2015-01-02,272.25,274.95,268.00,269.30,1700,269.30
2015-01-01,263.00,273.00,263.00,271.10,1100,271.10
2014-12-31,265.20,270.90,265.20,267.90,800,267.90
2014-12-30,267.00,270.00,259.15,268.80,2500,268.80
2014-12-29,270.00,270.00,268.50,268.85,1000,268.85
2014-12-26,264.20,269.45,263.50,268.35,1000,268.35
2014-12-25,267.40,267.40,267.40,267.40,000,267.40
2014-12-24,270.00,271.55,263.95,267.40,300,267.40
2014-12-23,261.00,269.00,259.00,267.45,8700,267.45
2014-12-22,272.70,278.00,254.05,260.25,4700,260.25
2014-12-19,280.00,283.00,270.00,273.15,4900,273.15
2014-12-18,275.00,280.95,272.25,279.50,5200,279.50
2014-12-17,258.00,276.00,253.00,272.10,7500,272.10
2014-12-16,265.70,269.80,258.00,259.60,4900,259.60
2014-12-15,275.00,275.00,265.00,268.90,1800,268.90
2014-12-12,280.00,283.00,275.00,276.15,3000,276.15
2014-12-11,299.85,299.85,276.15,281.40,1300,281.40
2014-12-10,286.35,289.15,283.10,285.40,2100,285.40
2014-12-09,280.00,288.40,279.80,284.00,3900,284.00
2014-12-08,289.95,293.00,273.00,275.30,9800,275.30
2014-12-05,294.95,295.00,284.80,288.20,7200,288.20
2014-12-04,290.00,290.30,281.00,286.10,5200,286.10
2014-12-03,291.80,297.00,288.00,291.00,9100,291.00
2014-12-02,290.00,291.90,281.80,285.60,5300,285.60
2014-12-01,290.00,295.00,286.10,291.80,10800,291.80
2014-11-28,287.05,287.20,280.50,284.15,6000,284.15
2014-11-27,279.00,287.00,276.15,285.65,9300,285.65
2014-11-26,276.00,281.00,272.00,278.70,9900,278.70
2014-11-25,287.00,288.00,273.00,275.80,24800,275.80
2014-11-24,265.00,284.00,264.00,282.10,13600,282.10
2014-11-21,260.00,264.65,257.75,261.45,3700,261.45
2014-11-20,265.50,271.80,261.00,262.30,4300,262.30
2014-11-19,276.00,277.80,268.30,271.60,3500,271.60
2014-11-18,266.10,278.00,266.00,272.55,9700,272.55
2014-11-17,260.00,270.00,259.00,267.85,19700,267.85
2014-11-14,256.15,259.85,256.10,258.20,3400,258.20
2014-11-13,258.10,260.00,255.15,256.00,2800,256.00
2014-11-12,256.30,261.00,256.00,258.80,3200,258.80
2014-11-11,259.50,260.00,255.25,259.25,1400,259.25
2014-11-10,260.90,260.90,258.10,258.75,1900,258.75
2014-11-07,258.10,260.00,258.00,259.65,95000,259.65
2014-11-06,257.20,257.20,257.20,257.20,000,257.20
2014-11-05,258.50,261.00,257.05,257.20,1100,257.20
2014-11-04,259.30,259.30,259.30,259.30,000,259.30
2014-11-03,260.00,262.00,257.20,259.30,5000,259.30
2014-10-31,258.50,264.55,256.45,260.00,2700,260.00
2014-10-30,257.00,260.00,254.05,257.85,1200,257.85
2014-10-29,257.00,257.95,252.55,256.60,4000,256.60
2014-10-28,248.15,256.90,248.10,254.40,4700,254.40
2014-10-27,251.50,251.50,248.00,250.10,2000,250.10
2014-10-24,248.10,248.10,248.10,248.10,000,248.10
2014-10-23,248.10,248.10,248.10,248.10,000,248.10
2014-10-22,248.55,252.00,247.50,248.10,5100,248.10
2014-10-21,250.45,250.55,243.10,245.00,2700,245.00
2014-10-20,260.00,262.75,248.50,249.50,6300,249.50
2014-10-17,245.10,261.55,245.10,256.50,19300,256.50
2014-10-16,252.00,254.00,246.50,247.50,1100,247.50
2014-10-15,250.90,250.90,250.90,250.90,000,250.90
2014-10-14,250.05,254.00,250.00,250.90,1600,250.90
2014-10-13,253.00,257.20,250.00,252.45,1500,252.45
