Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,605.75,618.00,605.25,618.00,100,598.00
2015-07-16,618.75,618.75,608.00,618.00,000,598.00
2015-07-15,608.00,620.00,608.00,619.50,200,599.45146
2015-07-14,600.00,615.00,600.00,605.00,000,585.42071
2015-07-13,600.00,605.00,600.00,605.00,000,585.42071
2015-07-10,624.75,624.75,599.25,614.50,100,594.61327
2015-07-09,585.00,610.00,585.00,608.75,000,589.04935
2015-07-08,613.00,613.00,585.00,587.00,000,568.00324
2015-07-07,576.75,600.00,576.75,580.00,000,561.22977
2015-07-06,571.00,601.75,571.00,595.00,000,575.74434
2015-07-03,580.00,585.00,576.00,583.00,200,564.13269
2015-07-02,584.50,585.00,569.50,572.25,100,553.73058
2015-07-01,571.00,585.00,571.00,579.25,000,560.50404
2015-06-30,552.50,571.00,552.00,570.00,000,551.5534
2015-06-29,548.25,548.50,548.25,548.50,000,530.74919
2015-06-26,548.75,548.75,548.75,548.75,000,530.9911
2015-06-25,527.00,573.00,527.00,548.75,100,530.9911
2015-06-24,561.25,565.00,558.50,563.75,000,545.50566
2015-06-23,574.00,580.00,557.00,570.50,200,552.03722
2015-06-22,540.00,555.00,540.00,555.00,000,537.03883
2015-06-19,548.00,555.00,548.00,555.00,000,537.03883
2015-06-18,550.00,571.75,546.50,549.50,100,531.71683
2015-06-17,549.00,573.00,549.00,572.75,000,554.2144
2015-06-16,533.25,547.50,533.25,547.50,000,529.78155
2015-06-15,570.00,578.50,560.00,568.00,000,549.61812
2015-06-12,560.00,567.00,560.00,566.00,100,547.68285
2015-06-11,535.00,568.00,535.00,540.00,000,522.52427
2015-06-10,550.00,550.00,545.00,550.00,200,532.20065
2015-06-09,548.75,555.00,535.00,535.00,200,517.68608
2015-06-08,545.00,545.00,545.00,545.00,000,527.36246
2015-06-05,535.00,536.00,528.25,536.00,000,518.65372
2015-06-04,540.00,540.00,536.00,540.00,100,522.52427
2015-06-03,568.00,568.00,543.00,543.00,000,525.42718
2015-06-02,554.00,560.00,550.00,556.50,400,538.49029
2015-06-01,590.00,590.00,570.00,570.00,000,551.5534
2015-05-29,580.00,580.00,580.00,580.00,000,561.22977
2015-05-28,570.00,580.00,570.00,580.00,000,561.22977
2015-05-27,574.75,575.00,561.25,575.00,000,556.39158
2015-05-26,552.50,568.00,552.00,567.50,200,549.1343
2015-05-25,565.25,565.25,557.00,557.00,100,538.97411
2015-05-22,560.00,562.00,560.00,562.00,000,543.8123
2015-05-21,552.00,585.00,551.00,580.00,600,561.22977
2015-05-20,560.00,591.50,560.00,578.25,1300,559.53641
2015-05-19,550.00,551.75,534.00,551.75,000,533.89401
2015-05-18,536.00,536.00,536.00,536.00,000,518.65372
2015-05-15,527.50,545.00,527.50,536.00,600,518.65372
2015-05-14,540.00,559.00,540.00,555.00,100,537.03883
2015-05-13,556.00,575.00,540.00,562.00,600,543.8123
2015-05-12,559.00,563.00,550.00,558.00,000,539.94175
2015-05-11,515.00,555.00,512.25,554.25,200,536.31311
2015-05-08,523.50,540.00,522.00,540.00,000,522.52427
2015-05-07,504.25,548.75,504.25,520.00,000,503.17152
2015-05-06,510.00,580.00,510.00,517.00,400,500.26861
2015-05-05,510.00,560.00,510.00,520.25,400,503.41343
2015-05-04,510.00,540.00,510.00,540.00,400,522.52427
2015-05-01,525.25,525.25,525.25,525.25,000,508.25162
2015-04-30,506.00,527.00,506.00,525.25,000,508.25162
2015-04-29,521.00,527.50,516.00,519.00,000,502.20388
2015-04-28,505.75,505.75,505.75,505.75,000,489.38269
2015-04-27,502.00,520.00,502.00,505.75,000,489.38269
2015-04-24,516.00,516.50,510.00,514.50,000,497.84951
2015-04-23,536.00,536.00,520.00,520.50,1000,503.65534
2015-04-22,559.00,560.00,505.50,532.75,000,515.5089
2015-04-21,536.00,536.00,536.00,536.00,000,518.65372
2015-04-20,540.00,546.00,535.00,545.00,500,527.36246
2015-04-17,552.50,568.75,552.50,564.50,000,546.23139
2015-04-16,550.00,570.00,541.25,566.75,300,548.40858
2015-04-15,540.00,551.50,524.25,531.00,200,513.81553
2015-04-14,540.25,540.25,540.25,540.25,000,522.76618
2015-04-13,540.00,550.00,522.25,540.25,000,522.76618
2015-04-10,512.00,550.00,512.00,550.00,200,532.20065
2015-04-09,530.00,550.00,525.00,550.00,000,532.20065
2015-04-08,523.00,541.00,523.00,540.00,000,522.52427
2015-04-07,560.25,560.25,531.00,550.25,000,532.44256
2015-04-06,530.00,560.00,510.00,552.75,100,534.86165
2015-04-03,540.00,540.00,540.00,540.00,000,522.52427
2015-04-02,540.00,540.00,540.00,540.00,000,522.52427
2015-04-01,511.00,540.00,511.00,540.00,000,522.52427
2015-03-31,531.00,531.00,531.00,531.00,000,513.81553
2015-03-30,505.00,531.00,505.00,531.00,000,513.81553
2015-03-27,532.50,532.50,505.00,518.25,200,501.47815
2015-03-26,505.00,532.00,505.00,520.00,2400,503.17152
2015-03-25,498.00,515.00,496.00,515.00,800,498.33333
2015-03-24,504.00,519.00,501.00,513.75,000,497.12379
2015-03-23,515.00,529.50,510.00,510.25,100,493.73705
2015-03-20,530.00,541.75,510.00,522.00,700,505.1068
2015-03-19,526.00,526.00,526.00,526.00,000,508.97735
2015-03-18,549.75,549.75,522.25,522.25,000,505.3487
2015-03-17,526.00,550.00,516.50,548.00,100,530.26537
2015-03-16,525.00,530.00,515.00,530.00,200,512.8479
2015-03-13,530.00,540.00,526.00,526.50,400,509.46116
2015-03-12,553.00,553.00,532.50,532.50,000,515.26699
2015-03-11,540.00,540.00,540.00,540.00,000,522.52427
