Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,2243.00,2264.50,2181.00,2240.00,100,2238.50
2015-07-16,2050.00,2299.00,2050.00,2239.50,200,2238.00
2015-07-15,2050.00,2085.00,2050.00,2060.50,100,2059.12
2015-07-14,2049.50,2049.50,2000.00,2012.50,000,2011.15
2015-07-13,2030.00,2042.00,2006.00,2006.00,000,2004.66
2015-07-10,1998.00,2036.50,1980.00,2009.50,000,2008.15
2015-07-09,1981.00,1989.50,1975.00,1977.00,000,1975.68
2015-07-08,2000.00,2000.00,1960.00,1980.50,000,1979.17
2015-07-07,2035.00,2042.50,2000.00,2000.00,400,1998.66
2015-07-06,2027.00,2089.00,2027.00,2062.50,200,2061.12
2015-07-03,2100.00,2130.00,2100.00,2111.00,000,2109.59
2015-07-02,2131.00,2136.50,2090.00,2100.50,200,2099.09
2015-07-01,2160.00,2160.00,2125.00,2126.50,000,2125.08
2015-06-30,2166.50,2166.50,2100.00,2130.00,000,2128.57
2015-06-29,2150.00,2150.00,2150.00,2150.00,000,2148.56
2015-06-26,2214.50,2214.50,2175.00,2178.00,000,2176.54
2015-06-25,2201.00,2223.50,2162.50,2167.00,000,2165.55
2015-06-24,2236.00,2236.00,2235.00,2235.50,000,2199.03
2015-06-23,2092.00,2250.00,2092.00,2235.00,000,2198.53
2015-06-22,2225.00,2283.00,2210.00,2251.50,200,2214.77
2015-06-19,2205.00,2212.50,2200.00,2212.50,000,2176.40
2015-06-18,2170.00,2189.00,2150.00,2185.00,100,2149.35
2015-06-17,2249.00,2249.00,2000.00,2131.50,200,2096.72
2015-06-16,2175.00,2240.00,2134.00,2142.50,400,2107.54
2015-06-15,2219.00,2249.00,2219.00,2249.00,000,2212.31
2015-06-12,2175.00,2185.00,2175.00,2185.00,100,2149.35
2015-06-11,2210.00,2241.00,2200.00,2218.00,100,2181.81
2015-06-10,2230.00,2240.00,2190.00,2230.00,15500,2193.62
2015-06-09,2190.00,2240.00,2189.00,2225.00,300,2188.70
2015-06-08,2075.50,2175.00,2075.50,2175.00,000,2139.51
2015-06-05,2019.50,2150.00,2019.50,2149.00,300,2113.94
2015-06-04,1976.50,2066.00,1955.50,2013.00,800,1980.16
2015-06-03,2010.00,2048.00,1990.00,2022.00,000,1989.01
2015-06-02,2084.50,2098.00,1975.00,2022.00,400,1989.01
2015-06-01,2040.00,2050.00,2005.00,2037.00,200,2003.77
2015-05-29,2061.00,2061.00,1955.00,2004.00,200,1971.30
2015-05-28,2108.00,2118.00,2030.00,2050.00,500,2016.55
2015-05-27,2170.00,2170.00,2050.00,2095.50,400,2061.31
2015-05-26,2216.00,2216.00,2120.00,2153.50,100,2118.36
2015-05-25,2225.00,2225.00,2050.00,2175.00,100,2139.51
2015-05-22,2226.00,2226.00,2190.00,2201.00,100,2162.14
2015-05-21,2200.00,2240.00,2195.00,2203.50,100,2164.59
2015-05-20,2190.00,2247.50,2180.00,2236.00,100,2196.52
2015-05-19,2245.00,2250.00,2202.00,2217.00,000,2177.86
2015-05-18,2249.00,2250.00,2175.00,2239.00,300,2199.47
2015-05-15,2246.00,2259.00,2205.00,2254.00,300,2214.20
2015-05-14,2273.00,2275.00,2225.00,2225.00,100,2185.71
2015-05-13,2233.50,2250.00,2233.50,2246.50,100,2206.83
2015-05-12,2210.50,2245.00,2200.00,2230.00,200,2190.63
2015-05-11,2190.00,2250.00,2171.50,2228.00,500,2188.66
2015-05-08,2130.00,2249.00,2130.00,2240.50,20100,2200.94
2015-05-07,2240.00,2248.00,2179.50,2220.00,300,2180.80
2015-05-06,2134.50,2248.00,2134.50,2241.50,1000,2201.92
2015-05-05,2150.00,2240.00,2091.50,2216.50,500,2177.36
2015-05-04,2099.00,2240.00,2099.00,2207.50,900,2168.52
2015-05-01,2092.50,2092.50,2092.50,2092.50,000,2055.55
2015-04-30,1931.00,2199.50,1931.00,2092.50,1000,2055.55
2015-04-29,1915.00,2050.00,1881.50,2044.00,300,2007.91
2015-04-28,1952.00,1985.50,1952.00,1980.00,000,1945.04
2015-04-27,1960.00,1975.00,1925.50,1970.00,100,1935.22
2015-04-24,2007.00,2048.00,1950.00,2004.50,100,1969.11
2015-04-23,1971.00,2069.50,1971.00,2044.00,000,2007.91
2015-04-22,2030.00,2106.00,1999.00,2031.00,100,1995.14
2015-04-21,2019.50,2085.50,2019.50,2050.00,100,2013.80
2015-04-20,2050.00,2100.00,2030.00,2095.50,000,2058.50
2015-04-17,2049.50,2075.50,2025.00,2049.50,1400,2013.31
2015-04-16,2088.00,2100.00,2055.00,2089.00,000,2052.12
2015-04-15,2087.50,2100.00,2052.00,2092.50,300,2055.55
2015-04-14,2059.00,2059.00,2059.00,2059.00,000,2022.65
2015-04-13,2120.00,2134.50,2000.50,2059.00,500,2022.65
2015-04-10,2130.00,2130.00,2063.00,2066.00,100,2029.52
2015-04-09,2086.50,2133.50,2086.50,2110.00,000,2072.75
2015-04-08,2140.50,2140.50,2075.00,2080.50,300,2043.77
2015-04-07,2071.50,2147.50,2071.50,2147.50,200,2109.58
2015-04-06,2115.50,2133.00,2100.00,2117.00,100,2079.62
2015-04-03,2133.00,2133.00,2133.00,2133.00,000,2095.34
2015-04-02,2133.00,2133.00,2133.00,2133.00,000,2095.34
2015-04-01,2133.00,2145.00,2121.50,2133.00,200,2095.34
2015-03-31,2100.00,2150.00,2064.00,2120.00,300,2082.57
2015-03-30,2034.00,2098.00,1970.00,2084.50,400,2047.70
2015-03-27,1987.50,2045.00,1946.00,1960.25,900,1925.64
2015-03-26,2010.00,2045.00,1983.25,2009.00,800,1973.53
2015-03-25,2010.00,2042.00,1992.50,2012.75,100,1977.21
2015-03-24,1953.00,2047.00,1941.00,2006.00,1000,1970.58
2015-03-23,2037.75,2037.75,1985.00,2003.00,100,1967.63
2015-03-20,1910.25,2035.00,1910.25,2017.50,100,1981.88
2015-03-19,1971.50,1999.00,1905.00,1996.25,200,1961.00
2015-03-18,1932.00,2035.50,1925.00,1988.50,600,1953.39
2015-03-17,1947.00,2017.00,1890.00,1967.25,300,1932.52
2015-03-16,2048.00,2048.00,1956.00,1970.25,600,1935.46
2015-03-13,2009.25,2049.00,1978.00,2030.50,100,1994.65
2015-03-12,2042.25,2083.00,2006.00,2032.00,400,1996.12
2015-03-11,1941.50,2140.00,1862.00,2016.00,900,1980.40
2015-03-10,1927.00,1956.75,1875.00,1914.50,800,1880.70
2015-03-09,1833.50,1920.00,1833.50,1906.00,100,1872.35
2015-03-06,1894.75,1894.75,1894.75,1894.75,000,1861.30
2015-03-05,1857.25,1894.75,1857.25,1894.75,000,1861.30
2015-03-04,1850.00,1869.00,1847.25,1868.75,100,1835.75
2015-03-03,1800.00,1884.25,1800.00,1860.00,500,1827.16
2015-03-02,1803.50,1891.00,1790.00,1842.00,800,1809.48
2015-02-27,1767.75,1820.00,1767.75,1811.25,700,1779.27
2015-02-26,1750.00,1820.00,1750.00,1804.50,900,1772.64
2015-02-25,1767.25,1809.00,1717.75,1803.00,11300,1771.17
2015-02-24,1774.00,1790.25,1745.00,1749.50,1000,1718.61
2015-02-23,1758.00,1782.00,1757.25,1774.50,800,1743.17
2015-02-20,1760.25,1775.00,1748.50,1774.75,100,1743.41
2015-02-19,1773.25,1794.00,1773.00,1791.25,000,1759.62
2015-02-18,1760.00,1789.00,1760.00,1789.00,100,1757.41
2015-02-17,1767.25,1767.25,1767.25,1767.25,000,1736.05
2015-02-16,1720.25,1774.00,1720.25,1767.25,300,1736.05
2015-02-13,1724.50,1790.00,1724.50,1787.50,200,1755.94
2015-02-12,1750.00,1750.00,1700.00,1728.20,200,1697.69
2015-02-11,1685.00,1749.90,1675.00,1709.00,500,1678.83
2015-02-10,1683.05,1752.00,1655.80,1686.75,300,1656.97
2015-02-09,1758.00,1788.95,1650.05,1679.00,500,1644.44
2015-02-06,1800.50,1899.95,1700.00,1737.90,500,1702.13
