Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,47.00,47.00,45.60,45.85,5300,45.85
2015-07-16,48.40,48.40,44.50,46.50,10300,46.50
2015-07-15,48.00,48.40,46.55,47.25,27500,47.25
2015-07-14,45.05,48.50,45.00,46.70,54300,46.70
2015-07-13,44.60,45.00,44.20,44.65,6700,44.65
2015-07-10,43.35,47.80,43.20,44.15,44600,44.15
2015-07-09,42.80,43.85,42.70,43.05,6400,43.05
2015-07-08,43.90,43.90,42.10,42.75,3200,42.75
2015-07-07,43.45,44.50,43.45,43.50,2500,43.50
2015-07-06,43.00,43.60,42.25,43.45,3600,43.45
2015-07-03,44.10,44.15,43.25,43.70,3400,43.70
2015-07-02,43.20,44.55,43.20,43.60,8000,43.60
2015-07-01,42.90,43.55,42.50,43.05,3600,43.05
2015-06-30,41.45,42.90,41.45,42.10,3000,42.10
2015-06-29,42.05,42.60,41.50,41.70,10100,41.70
2015-06-26,44.70,44.70,42.70,43.00,12700,43.00
2015-06-25,43.75,44.00,43.10,43.30,4800,43.30
2015-06-24,44.70,44.90,44.00,44.40,3000,44.40
2015-06-23,43.80,45.55,43.80,44.45,3300,44.45
2015-06-22,45.25,45.30,44.00,44.85,2300,44.85
2015-06-19,44.70,44.70,43.30,43.65,7000,43.65
2015-06-18,46.10,46.90,43.65,43.80,12000,43.80
2015-06-17,42.80,47.00,42.30,45.40,45600,45.40
2015-06-16,42.55,42.55,41.15,42.30,4900,42.30
2015-06-15,41.50,42.20,41.20,41.50,1700,41.50
2015-06-12,41.65,42.00,41.50,41.85,7500,41.85
2015-06-11,43.00,43.00,41.40,41.95,8900,41.95
2015-06-10,42.85,43.35,42.75,42.75,7300,42.75
2015-06-09,41.20,42.45,40.55,42.05,6700,42.05
2015-06-08,42.75,44.20,42.05,43.00,11900,43.00
2015-06-05,41.00,43.30,40.50,42.35,22100,42.35
2015-06-04,40.60,41.20,40.50,40.85,7700,40.85
2015-06-03,43.10,43.80,41.25,41.50,6800,41.50
2015-06-02,43.40,44.35,43.00,43.60,6300,43.60
2015-06-01,42.20,46.10,42.20,42.90,23300,42.90
2015-05-29,48.50,48.80,44.60,45.05,65900,45.05
2015-05-28,52.90,52.90,51.20,51.40,1300,51.40
2015-05-27,52.00,53.35,51.45,52.45,6300,52.45
2015-05-26,52.15,52.75,51.75,52.15,3400,52.15
2015-05-25,51.65,53.00,51.45,52.45,5200,52.45
2015-05-22,52.45,52.95,50.00,51.65,19200,51.65
2015-05-21,55.00,56.80,51.95,52.75,73900,52.75
2015-05-20,49.50,54.95,49.15,54.40,47200,54.40
2015-05-19,49.05,49.90,49.00,49.45,3400,49.45
2015-05-18,50.05,50.30,49.35,49.75,4800,49.75
2015-05-15,49.60,50.40,49.10,49.30,4900,49.30
2015-05-14,48.00,50.00,48.00,48.80,7700,48.80
2015-05-13,48.15,49.30,48.15,48.40,4200,48.40
2015-05-12,48.05,48.20,47.70,47.75,2700,47.75
2015-05-11,48.45,49.20,48.30,48.35,5700,48.35
2015-05-08,48.50,49.40,48.00,48.15,6500,48.15
2015-05-07,49.65,49.65,47.75,48.05,4800,48.05
2015-05-06,51.00,51.00,47.50,48.00,16400,48.00
2015-05-05,48.95,51.35,48.80,50.40,16100,50.40
2015-05-04,47.60,49.70,47.60,48.60,5500,48.60
2015-05-01,46.30,46.30,46.30,46.30,000,46.30
2015-04-30,46.85,47.25,46.10,46.30,6600,46.30
2015-04-29,47.60,47.60,47.00,47.20,3600,47.20
2015-04-28,46.25,47.50,46.00,47.15,7000,47.15
2015-04-27,48.65,48.65,45.90,46.45,20500,46.45
2015-04-24,50.30,50.30,49.15,49.20,9700,49.20
