Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,58.60,61.70,56.60,59.70,382700,59.70
2015-07-16,60.45,60.45,57.55,58.00,181600,58.00
2015-07-15,62.70,63.00,59.10,59.70,493300,59.70
2015-07-14,60.35,61.90,60.00,60.30,414600,60.30
2015-07-13,58.85,59.90,58.00,59.50,237300,59.50
2015-07-10,60.00,61.15,57.85,58.35,541300,58.35
2015-07-09,53.80,58.50,53.60,56.15,382100,56.15
2015-07-08,53.50,55.65,52.60,53.20,159900,53.20
2015-07-07,52.50,56.80,52.50,54.15,287500,54.15
2015-07-06,48.95,53.20,48.95,52.95,234200,52.95
2015-07-03,50.25,51.50,49.70,50.10,118500,50.10
2015-07-02,48.90,50.95,48.65,49.75,139100,49.75
2015-07-01,48.90,49.90,48.20,48.50,63300,48.50
2015-06-30,47.50,48.90,47.30,48.00,61200,48.00
2015-06-29,47.15,47.60,46.15,47.00,61000,47.00
2015-06-26,49.60,49.70,48.25,48.50,73100,48.50
2015-06-25,50.25,50.60,49.50,49.70,46000,49.70
2015-06-24,51.25,52.45,50.05,50.40,140500,50.40
2015-06-23,50.80,51.75,50.20,50.55,76700,50.55
2015-06-22,50.45,51.75,50.45,50.75,54500,50.75
2015-06-19,52.40,53.05,49.70,50.30,230400,50.30
2015-06-18,48.25,51.65,48.20,51.30,296900,51.30
2015-06-17,47.90,49.10,47.00,47.70,57900,47.70
2015-06-16,48.90,48.90,46.65,47.15,26800,47.15
2015-06-15,46.30,49.25,46.25,48.15,114900,48.15
2015-06-12,46.20,46.60,45.00,45.65,33500,45.65
2015-06-11,48.15,48.25,46.35,46.55,55000,46.55
2015-06-10,47.20,48.50,47.10,47.60,29400,47.60
2015-06-09,47.30,47.60,46.35,46.60,59400,46.60
2015-06-08,49.50,49.50,47.25,47.60,33600,47.60
2015-06-05,51.10,51.30,48.25,49.00,41200,49.00
2015-06-04,49.15,49.70,47.20,48.90,49300,48.90
