Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,0.24,0.25,0.20,0.21,13199200,0.21
2015-07-16,0.21,0.25,0.21,0.24,20825300,0.24
2015-07-15,0.21,0.23,0.21,0.21,3016300,0.21
2015-07-14,0.24,0.24,0.20,0.21,17207000,0.21
2015-07-13,0.21,0.24,0.21,0.24,10010500,0.24
2015-07-10,0.22,0.23,0.20,0.20,9443400,0.20
2015-07-09,0.23,0.23,0.22,0.22,1239200,0.22
2015-07-08,0.25,0.25,0.21,0.23,4885700,0.23
2015-07-07,0.25,0.27,0.24,0.24,2580400,0.24
2015-07-06,0.25,0.25,0.23,0.24,13334000,0.24
2015-07-03,0.25,0.26,0.24,0.25,1346200,0.25
2015-07-02,0.26,0.26,0.25,0.26,2046600,0.26
2015-07-01,0.26,0.27,0.25,0.26,2524900,0.26
2015-06-30,0.27,0.27,0.25,0.27,512300,0.27
2015-06-29,0.26,0.28,0.26,0.27,729100,0.27
2015-06-26,0.28,0.29,0.27,0.28,1168500,0.28
2015-06-25,0.28,0.28,0.26,0.28,121000,0.28
2015-06-24,0.28,0.29,0.26,0.27,14623100,0.27
2015-06-23,0.29,0.30,0.26,0.28,15420400,0.28
2015-06-22,0.29,0.30,0.27,0.29,10797800,0.29
2015-06-19,0.29,0.30,0.28,0.30,164600,0.30
2015-06-18,0.27,0.30,0.27,0.29,2922100,0.29
2015-06-17,0.28,0.30,0.27,0.28,1039200,0.28
2015-06-16,0.31,0.31,0.28,0.29,5904300,0.29
2015-06-15,0.30,0.31,0.28,0.30,613600,0.30
2015-06-12,0.30,0.31,0.27,0.29,896000,0.29
2015-06-11,0.28,0.32,0.25,0.29,2178100,0.29
2015-06-10,0.26,0.29,0.26,0.28,1030200,0.28
2015-06-09,0.28,0.28,0.26,0.26,686300,0.26
2015-06-08,0.27,0.27,0.26,0.27,457000,0.27
2015-06-05,0.27,0.27,0.26,0.27,1647600,0.27
2015-06-04,0.27,0.28,0.26,0.27,16464000,0.27
2015-06-03,0.33,0.33,0.28,0.29,7644500,0.29
2015-06-02,0.32,0.36,0.30,0.32,18745300,0.32
2015-06-01,0.32,0.36,0.30,0.31,4015300,0.31
2015-05-29,0.32,0.32,0.30,0.31,1510800,0.31
2015-05-28,0.32,0.33,0.30,0.30,1596500,0.30
2015-05-27,0.31,0.33,0.30,0.31,11210300,0.31
2015-05-26,0.30,0.33,0.29,0.31,780600,0.31
2015-05-25,0.30,0.31,0.28,0.30,5050200,0.30
2015-05-22,0.31,0.31,0.30,0.30,11290900,0.30
2015-05-21,0.32,0.32,0.30,0.31,3625300,0.31
2015-05-20,0.31,0.33,0.30,0.31,18065000,0.31
2015-05-19,0.31,0.32,0.30,0.31,7460300,0.31
2015-05-18,0.31,0.31,0.30,0.31,16373400,0.31
2015-05-15,0.32,0.32,0.30,0.30,12810400,0.30
2015-05-14,0.31,0.31,0.30,0.31,10924100,0.31
2015-05-13,0.31,0.32,0.30,0.30,1869800,0.30
2015-05-12,0.32,0.32,0.30,0.31,1761800,0.31
2015-05-11,0.36,0.39,0.30,0.31,6648200,0.31
2015-05-08,0.31,0.36,0.30,0.36,21090200,0.36
2015-05-07,0.31,0.33,0.30,0.30,13293400,0.30
2015-05-06,0.31,0.32,0.30,0.31,14844600,0.31
2015-05-05,0.32,0.33,0.31,0.32,16692900,0.32
2015-05-04,0.32,0.33,0.31,0.32,1757900,0.32
2015-05-01,0.31,0.31,0.31,0.31,000,0.31
2015-04-30,0.33,0.34,0.31,0.31,1760400,0.31
2015-04-29,0.33,0.34,0.32,0.33,342600,0.33
2015-04-28,0.35,0.36,0.32,0.32,1300200,0.32
2015-04-27,0.35,0.37,0.35,0.35,1563800,0.35
2015-04-24,0.37,0.37,0.36,0.36,772500,0.36
2015-04-23,0.37,0.37,0.35,0.36,512600,0.36
2015-04-22,0.36,0.37,0.35,0.36,9127100,0.36
2015-04-21,0.36,0.38,0.36,0.36,11939600,0.36
