Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,93.40,95.10,93.10,93.80,78200,93.80
2015-07-16,92.90,94.00,92.60,93.30,21500,93.30
2015-07-15,93.00,93.80,92.60,92.70,36300,92.70
2015-07-14,94.40,95.35,92.85,93.40,41500,93.40
2015-07-13,92.95,94.10,92.60,93.95,94800,93.95
2015-07-10,92.70,93.00,91.20,92.70,57500,92.70
2015-07-09,92.10,93.25,92.05,92.65,62600,92.65
2015-07-08,92.00,93.35,91.50,92.15,151800,92.15
2015-07-07,91.00,93.50,91.00,92.85,29800,92.85
2015-07-06,89.90,91.50,88.80,91.00,76700,91.00
2015-07-03,90.30,91.60,89.60,89.95,35300,89.95
2015-07-02,91.60,91.70,89.80,89.90,29400,89.90
2015-07-01,91.75,92.95,91.20,91.45,66200,91.45
2015-06-30,92.45,94.00,91.55,91.75,63400,91.75
2015-06-29,90.25,93.00,88.60,92.30,117600,92.30
2015-06-26,90.10,92.20,90.10,90.95,40100,90.95
2015-06-25,92.55,93.00,91.30,92.30,73600,92.30
2015-06-24,94.00,94.35,92.75,92.95,51600,92.95
2015-06-23,94.20,95.40,93.60,94.15,22700,94.15
2015-06-22,93.00,95.00,93.00,94.55,176600,94.55
2015-06-19,93.40,94.35,92.10,93.80,53200,93.80
2015-06-18,92.00,93.70,91.95,93.10,96300,93.10
2015-06-17,91.00,92.05,91.00,91.60,34200,91.60
2015-06-16,93.00,93.40,92.80,93.10,19500,91.10
2015-06-15,92.30,93.50,91.75,93.15,150200,91.1489
2015-06-12,92.20,92.35,91.00,91.75,31400,89.779
2015-06-11,93.90,94.40,90.90,91.70,148500,89.7301
2015-06-10,93.90,94.95,93.05,93.50,15200,91.4914
2015-06-09,94.25,94.80,93.00,93.60,45800,91.5893
2015-06-08,95.00,96.40,93.60,94.10,40800,92.0785
2015-06-05,96.90,96.90,95.10,95.70,76300,93.6441
2015-06-04,95.90,97.20,95.35,96.60,63100,94.5248
2015-06-03,97.90,97.90,92.55,95.40,94400,93.3506
2015-06-02,99.00,100.20,97.65,98.40,42400,96.2861
2015-06-01,100.40,102.30,98.70,99.30,145600,97.1668
2015-05-29,99.85,101.70,98.05,99.70,45800,97.5582
2015-05-28,99.50,99.90,98.50,98.60,43900,96.4818
2015-05-27,99.10,100.85,98.00,99.15,36300,97.02
2015-05-26,100.00,100.00,98.80,99.10,172500,96.9711
2015-05-25,101.25,101.50,99.70,99.80,14900,97.6561
2015-05-22,102.90,102.90,100.65,101.35,19100,99.1728
2015-05-21,102.95,103.15,102.10,102.40,27100,100.2002
2015-05-20,103.25,103.85,102.60,103.05,21200,100.8363
2015-05-19,103.65,104.35,102.55,102.80,231300,100.5916
2015-05-18,104.45,104.50,102.80,103.30,24400,101.0809
2015-05-15,104.50,105.40,103.80,104.65,76900,102.4019
