Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,7.02,7.24,6.75,6.98,70000,6.98
2015-07-16,7.64,7.64,7.02,7.15,84700,7.15
2015-07-15,7.33,7.63,6.90,7.29,530900,7.29
2015-07-14,6.09,7.23,6.00,7.11,1285500,7.11
2015-07-13,6.15,6.28,5.80,6.03,58700,6.03
2015-07-10,6.35,6.59,6.10,6.17,135100,6.17
2015-07-09,5.80,6.78,5.80,6.17,224900,6.17
2015-07-08,5.00,5.99,5.00,5.76,98900,5.76
2015-07-07,4.80,5.16,4.80,5.15,38600,5.15
2015-07-06,4.86,5.00,4.80,4.95,8200,4.95
2015-07-03,5.10,5.10,4.85,4.86,9300,4.86
2015-07-02,5.10,5.15,4.90,4.96,20400,4.96
2015-07-01,5.28,5.28,5.10,5.18,32300,5.18
2015-06-30,5.35,5.35,5.00,5.12,19600,5.12
2015-06-29,4.82,5.15,4.82,5.01,6400,5.01
2015-06-26,5.10,5.30,5.02,5.10,37900,5.10
2015-06-25,5.00,5.31,4.88,5.28,44000,5.28
2015-06-24,4.96,5.10,4.96,5.05,21100,5.05
2015-06-23,4.99,4.99,4.85,4.86,8600,4.86
2015-06-22,4.99,5.00,4.82,4.85,6200,4.85
2015-06-19,4.90,4.90,4.88,4.88,3200,4.88
2015-06-18,5.02,5.09,4.96,5.00,5700,5.00
2015-06-17,5.00,5.10,4.82,4.90,20600,4.90
2015-06-16,5.10,5.10,4.82,4.93,5400,4.93
2015-06-15,5.10,5.10,4.86,5.10,16200,5.10
2015-06-12,4.75,5.05,4.66,4.72,12400,4.72
2015-06-11,4.80,5.30,4.80,4.83,22500,4.83
2015-06-10,4.66,4.70,4.62,4.69,3100,4.69
2015-06-09,4.80,4.80,4.56,4.73,5000,4.73
2015-06-08,4.60,4.79,4.53,4.65,3700,4.65
2015-06-05,5.20,5.20,4.70,4.70,5900,4.70
2015-06-04,5.00,5.00,4.80,5.00,14400,5.00
2015-06-03,5.00,5.00,4.55,4.97,27700,4.97
2015-06-02,5.08,5.17,4.70,4.95,16500,4.95
2015-06-01,5.24,5.24,5.10,5.15,6200,5.15
2015-05-29,5.12,5.20,5.10,5.10,18500,5.10
2015-05-28,5.29,5.29,5.11,5.11,2200,5.11
2015-05-27,5.15,5.29,5.05,5.05,8100,5.05
2015-05-26,5.16,5.38,5.11,5.11,4000,5.11
2015-05-25,5.25,5.34,5.09,5.09,7700,5.09
2015-05-22,5.50,5.50,5.28,5.32,12500,5.32
2015-05-21,5.40,5.40,5.25,5.32,6200,5.32
2015-05-20,5.31,5.42,5.20,5.25,13800,5.25
2015-05-19,5.55,5.55,5.36,5.50,2800,5.50
2015-05-18,5.50,5.64,5.20,5.49,15800,5.49
2015-05-15,5.08,5.32,5.08,5.20,10400,5.20
2015-05-14,5.07,5.25,5.05,5.24,12300,5.24
2015-05-13,5.10,5.45,5.02,5.11,19000,5.11
2015-05-12,5.02,5.27,5.02,5.15,5800,5.15
2015-05-11,5.38,5.38,5.10,5.16,29600,5.16
2015-05-08,5.65,5.65,5.20,5.27,16800,5.27
2015-05-07,5.55,5.65,5.21,5.31,26500,5.31
2015-05-06,5.93,5.93,5.51,5.70,24600,5.70
2015-05-05,5.79,5.98,5.65,5.70,30100,5.70
2015-05-04,6.20,6.20,5.50,5.67,105400,5.67
2015-05-01,5.79,5.79,5.79,5.79,000,5.79
2015-04-30,6.00,6.40,5.61,5.79,40700,5.79
2015-04-29,5.92,6.20,5.92,6.03,23300,6.03
2015-04-28,5.87,6.20,5.71,6.12,79700,6.12
2015-04-27,6.40,6.58,5.80,6.05,77700,6.05
2015-04-24,6.70,6.70,6.40,6.46,48700,6.46
2015-04-23,6.81,6.90,6.50,6.68,52700,6.68
2015-04-22,6.65,7.15,6.40,6.62,125600,6.62
2015-04-21,6.35,6.49,6.03,6.46,39700,6.46
2015-04-20,6.89,6.89,6.12,6.22,29700,6.22
2015-04-17,6.22,6.58,6.22,6.42,44100,6.42
2015-04-16,6.20,6.43,6.00,6.27,54400,6.27
2015-04-15,6.60,6.70,6.15,6.24,177000,6.24
2015-04-14,6.66,6.66,6.66,6.66,000,6.66
2015-04-13,6.75,6.95,6.66,6.66,69800,6.66
2015-04-10,6.60,6.70,6.55,6.66,33300,6.66
2015-04-09,6.95,6.95,6.65,6.66,49000,6.66
2015-04-08,7.25,7.30,6.90,7.08,209700,7.08
2015-04-07,6.43,7.19,6.35,6.93,146800,6.93
2015-04-06,6.06,6.19,6.00,6.10,19400,6.10
2015-04-03,6.28,6.28,6.28,6.28,000,6.28
2015-04-02,6.28,6.28,6.28,6.28,000,6.28
2015-04-01,6.11,6.45,5.85,6.28,85700,6.28
2015-03-31,5.95,6.40,5.95,6.36,30500,6.36
2015-03-30,5.75,6.00,5.66,5.90,37200,5.90
2015-03-27,5.50,5.70,5.50,5.59,23200,5.59
2015-03-26,5.98,5.99,5.40,5.48,124100,5.48
2015-03-25,5.35,6.05,5.35,5.69,89200,5.69
2015-03-24,5.41,5.64,5.32,5.50,36100,5.50
2015-03-23,5.85,5.87,5.56,5.65,15800,5.65
2015-03-20,6.10,6.12,5.80,5.88,32100,5.88
2015-03-19,6.30,6.30,6.10,6.19,7600,6.19
2015-03-18,6.05,6.27,5.90,6.22,30800,6.22
2015-03-17,6.30,6.30,5.80,6.02,82100,6.02
2015-03-16,6.50,6.51,6.01,6.17,122400,6.17
2015-03-13,6.65,6.79,6.40,6.47,66100,6.47
2015-03-12,6.73,6.85,6.53,6.66,93400,6.66
2015-03-11,6.60,6.75,6.40,6.49,98200,6.49
2015-03-10,7.20,7.20,6.37,6.49,118500,6.49
2015-03-09,6.71,6.79,6.51,6.68,57900,6.68
2015-03-06,6.80,6.80,6.80,6.80,000,6.80
2015-03-05,6.85,7.05,6.61,6.80,87100,6.80
2015-03-04,7.40,7.40,6.85,6.88,205300,6.88
2015-03-03,6.88,7.20,6.60,6.94,298700,6.94
2015-03-02,6.39,6.80,6.30,6.75,228100,6.75
2015-02-27,6.70,6.85,6.00,6.05,193200,6.05
2015-02-26,6.99,7.20,6.52,6.63,630200,6.63
2015-02-25,5.90,6.80,5.55,6.71,992300,6.71
2015-02-24,4.80,5.71,4.78,5.71,719400,5.71
