Date,Open,High,Low,Close,Volume,Adj Close
2015-07-16,13.83,13.83,13.83,13.83,1200,13.83
2015-07-15,14.00,14.00,14.00,14.00,1000,14.00
2015-07-09,13.60,13.60,13.60,13.60,3500,13.60
2015-07-08,13.76,13.76,13.76,13.76,2000,13.76
2015-07-07,13.61,13.61,13.61,13.61,1000,13.61
2015-07-06,13.22,13.80,13.20,13.80,11300,13.80
2015-07-02,13.60,13.60,13.60,13.60,1200,13.60
2015-07-01,13.55,13.55,13.53,13.53,2900,13.53
2015-06-30,13.23,13.23,13.23,13.23,000,13.23
2015-06-29,13.20,13.20,13.20,13.20,100,13.20
2015-06-26,13.02,13.02,13.02,13.02,1200,13.02
2015-06-25,13.00,13.58,13.00,13.58,800,13.58
2015-06-22,13.60,13.60,12.77,13.00,2700,13.00
2015-06-17,13.20,13.20,13.20,13.20,000,13.20
2015-06-16,12.46,12.87,12.45,12.61,900,12.61
2015-06-15,13.00,13.00,13.00,13.00,000,13.00
2015-06-10,13.00,13.00,12.71,12.96,6100,12.96
2015-06-05,13.80,13.80,13.80,13.80,000,13.80
2015-06-04,13.00,13.00,13.00,13.00,1500,13.00
2015-06-01,13.40,13.42,13.40,13.40,1700,13.40
2015-05-26,13.10,13.42,13.10,13.42,1000,13.42
2015-05-25,13.95,13.95,13.95,13.95,000,13.95
2015-05-22,13.36,13.36,13.35,13.35,3000,13.35
2015-05-21,13.02,13.02,13.02,13.02,600,13.02
2015-05-20,14.00,14.00,13.94,13.94,600,13.94
2015-05-19,13.15,13.15,13.15,13.15,000,13.15
2015-05-15,14.06,14.06,13.35,13.35,300,13.35
2015-05-14,13.39,13.40,13.01,13.40,1100,13.40
2015-05-12,13.00,13.00,12.72,12.83,1400,12.83
2015-05-11,13.00,13.15,12.90,13.00,16100,13.00
2015-05-08,12.70,12.70,12.70,12.70,6300,12.70
2015-05-07,12.70,12.70,12.70,12.70,7500,12.70
2015-05-06,12.90,12.95,12.80,12.92,6000,12.92
2015-05-05,13.15,13.50,13.15,13.50,6300,13.50
2015-05-04,13.39,13.40,13.39,13.40,200,13.40
2015-04-30,12.56,12.56,12.56,12.56,200,12.56
2015-04-29,12.48,12.98,12.48,12.90,2000,12.90
2015-04-28,12.70,13.00,12.70,13.00,1000,13.00
2015-04-22,13.23,13.23,13.23,13.23,100,13.23
2015-04-21,14.35,14.35,13.50,13.68,3700,13.68
2015-04-20,14.90,14.90,13.90,13.90,1100,13.90
2015-04-16,13.75,14.35,13.70,14.35,3800,14.35
2015-04-15,15.00,15.00,14.15,14.15,1100,14.15
2015-04-13,14.00,14.25,14.00,14.00,1500,14.00
2015-04-10,14.00,14.00,14.00,14.00,1000,14.00
2015-04-09,13.70,13.90,13.70,13.90,35300,13.90
2015-04-08,13.40,13.71,13.40,13.70,2600,13.70
2015-04-07,13.40,13.70,13.40,13.70,2500,13.70
2015-04-06,14.40,14.40,14.40,14.40,000,14.40
2015-03-30,12.99,12.99,12.99,12.99,1200,12.99
2015-03-27,13.30,13.35,13.30,13.35,20000,13.35
2015-03-26,12.81,14.14,12.80,14.00,1200,14.00
2015-03-25,13.15,13.15,13.15,13.15,100,13.15
2015-03-24,12.96,13.25,12.96,13.15,10000,13.15
2015-03-23,13.00,13.22,13.00,13.22,300,13.22
2015-03-20,14.00,14.14,13.09,13.36,1500,13.36
2015-03-19,13.10,13.75,13.05,13.75,17800,13.75
2015-03-18,13.50,14.10,13.50,14.00,000,14.00
2015-03-16,14.00,14.00,13.28,13.28,4900,13.28
2015-03-11,14.14,14.14,14.14,14.14,100,14.14
2015-03-10,13.40,13.40,13.40,13.40,900,13.40
2015-03-09,14.00,14.00,13.22,13.70,2400,13.70
2015-03-05,14.00,14.00,14.00,14.00,000,14.00
2015-03-04,13.85,13.90,13.85,13.90,1000,13.90
2015-03-03,13.84,13.84,13.84,13.84,10000,13.84
2015-03-02,13.35,13.73,13.35,13.50,10000,13.50
2015-02-26,13.25,13.25,13.09,13.09,200,13.09
2015-02-25,13.25,13.30,13.25,13.30,2200,13.30
2015-02-20,13.70,13.70,13.70,13.70,900,13.70
2015-02-19,13.99,13.99,13.99,13.99,100,13.99
2015-02-18,13.40,13.70,13.20,13.50,5100,13.50
2015-02-16,14.25,14.25,14.25,14.25,000,14.25
2015-02-13,13.01,13.45,13.01,13.40,2500,13.40
2015-02-12,13.44,13.44,13.44,13.44,10000,13.44
2015-02-11,13.05,13.45,13.05,13.05,700,13.05
2015-02-10,12.78,12.78,12.77,12.77,1200,12.77
2015-02-09,12.73,13.00,12.73,13.00,500,13.00
2015-02-06,13.05,13.05,13.05,13.05,1300,13.05
2015-02-05,13.97,13.97,13.97,13.97,400,13.97
2015-02-03,14.00,14.00,14.00,14.00,000,14.00
2015-02-02,13.50,13.50,13.50,13.50,1200,13.50
2015-01-28,13.95,13.95,13.95,13.95,000,13.95
2015-01-27,13.00,13.44,13.00,13.44,19200,13.44
2015-01-23,13.38,13.41,12.97,13.40,23400,13.40
2015-01-22,13.40,13.40,13.07,13.20,18100,13.20
2015-01-21,13.15,13.37,13.15,13.37,400,13.37
2015-01-15,13.19,13.19,13.07,13.07,100,13.07
2015-01-14,12.59,13.39,12.59,12.95,5000,12.95
2015-01-12,13.75,13.75,13.75,13.75,000,13.75
2015-01-09,13.75,13.75,13.75,13.75,4000,13.75
2015-01-08,12.86,12.86,12.86,12.86,100,12.86
2015-01-06,12.85,12.85,12.85,12.85,1000,12.85
2015-01-05,13.50,13.50,12.71,13.00,2500,13.00
2015-01-02,12.60,13.15,12.52,13.10,13000,13.10
2014-12-30,12.33,12.80,12.33,12.35,2400,12.35
2014-12-24,12.25,12.25,12.25,12.25,100,12.25
2014-12-23,12.51,12.60,12.50,12.60,300,12.60
2014-12-22,12.25,12.75,12.25,12.50,1000,12.50
2014-12-19,12.32,12.32,12.32,12.32,3000,12.32
2014-12-18,12.08,12.40,12.08,12.40,2700,12.40
2014-12-17,11.76,11.91,11.76,11.84,200,11.84
2014-12-15,12.36,12.79,12.30,12.79,6300,12.79
2014-12-11,12.50,12.50,12.50,12.50,100,12.50
2014-12-10,12.65,12.90,12.50,12.90,13400,12.90
2014-12-05,12.71,13.06,12.70,13.05,3700,13.05
2014-12-04,12.60,13.00,12.50,13.00,1300,13.00
2014-12-02,12.60,12.79,12.30,12.35,2300,12.35
2014-12-01,12.30,12.30,12.30,12.30,600,12.30
2014-11-28,12.60,12.60,12.60,12.60,100,12.60
2014-11-24,12.71,12.71,12.71,12.71,1800,12.71
2014-11-21,12.40,12.75,12.35,12.36,4000,12.36
2014-11-20,13.52,13.53,12.36,12.36,200,12.36
2014-11-17,13.55,13.55,13.55,13.55,500,13.55
2014-11-12,12.50,12.70,12.50,12.70,6000,12.70
2014-11-11,12.50,12.50,12.00,12.50,78900,12.50
2014-11-03,12.00,12.00,12.00,12.00,1200,12.00
2014-10-31,12.30,12.30,12.30,12.30,000,12.30
2014-10-30,11.70,12.15,11.70,12.13,4700,12.13
2014-10-29,12.19,12.19,12.08,12.08,100,12.08
2014-10-27,11.55,12.10,11.31,12.10,3300,12.10
2014-10-22,11.65,11.65,11.65,11.65,000,11.65
2014-10-21,11.67,11.67,11.67,11.67,173700,11.67
2014-10-20,12.25,12.37,11.63,11.63,200,11.63
2014-10-17,10.85,11.35,10.25,11.18,23300,11.18
2014-10-16,11.75,11.75,11.75,11.75,000,11.75
2014-10-09,11.33,11.33,11.33,11.33,1600,11.33
2014-10-08,13.20,13.20,11.17,11.17,500,11.17
2014-10-01,11.28,11.28,11.28,11.28,3100,11.28
2014-09-30,11.55,11.90,11.55,11.90,3600,11.90
2014-09-29,11.21,11.77,11.21,11.77,51800,11.77
2014-09-26,11.34,11.99,11.20,11.20,4300,11.20
2014-09-25,11.50,11.50,11.41,11.41,3200,11.41
2014-09-24,11.50,11.50,11.26,11.26,4400,11.26
2014-09-22,12.97,12.97,11.87,11.87,600,11.87
2014-09-19,11.35,11.95,11.35,11.95,200,11.95
2014-09-18,11.65,12.40,11.65,12.40,400,12.40
2014-09-17,11.42,11.42,11.41,11.41,1200,11.41
2014-09-16,12.70,13.75,11.84,11.90,3100,11.90
2014-09-15,12.30,12.95,12.30,12.90,18600,12.90
2014-09-12,12.02,12.30,12.02,12.30,1400,12.30
2014-09-10,12.05,12.05,12.05,12.05,200,12.05
2014-09-09,11.72,12.00,11.71,12.00,3000,12.00
2014-09-08,11.85,11.99,11.70,11.99,11500,11.99
2014-09-04,11.40,11.60,11.40,11.60,1400,11.60
2014-09-03,11.63,11.90,11.63,11.90,7400,11.90
2014-09-02,11.45,11.51,11.45,11.51,100,11.51
2014-09-01,11.95,12.00,11.95,12.00,1000,12.00
2014-08-28,11.11,11.89,10.81,11.39,11800,11.39
2014-08-25,12.00,12.00,12.00,12.00,100,12.00
2014-08-22,11.70,11.70,11.70,11.70,2000,11.70
2014-08-21,11.16,11.79,11.16,11.41,6300,11.41
2014-08-20,12.95,12.95,11.11,11.12,4300,11.12
2014-08-19,11.99,11.99,11.15,11.40,10200,11.40
2014-08-18,11.50,11.50,11.00,11.50,1500,11.50
2014-08-12,11.10,11.10,11.10,11.10,600,11.10
2014-08-11,10.82,11.00,10.77,11.00,10100,11.00
2014-08-08,11.00,11.00,11.00,11.00,5600,11.00
2014-08-06,11.21,11.21,11.20,11.20,000,11.20
2014-08-05,11.08,11.25,11.08,11.25,1100,11.25
2014-08-04,10.81,10.81,10.81,10.81,400,10.81
2014-07-31,11.15,11.15,11.15,11.15,1200,11.15
2014-07-25,11.20,11.20,11.00,11.00,600,11.00
2014-07-24,11.15,11.20,11.15,11.20,88600,11.20
2014-07-23,11.99,12.20,11.70,11.70,000,11.70
2014-07-22,11.69,11.70,11.41,11.41,1600,11.41
2014-07-21,11.70,11.70,11.30,11.40,3800,11.40
2014-07-18,11.00,11.15,11.00,11.15,400,11.15
2014-07-16,11.20,11.20,11.20,11.20,2200,11.20
2014-07-15,12.25,12.25,10.85,10.85,2600,10.85
2014-07-14,10.44,10.75,10.44,10.75,800,10.75
2014-07-11,11.05,11.30,11.00,11.30,1200,11.30
2014-07-10,11.20,11.80,11.20,11.80,300,11.80
2014-07-08,11.65,12.00,11.60,11.60,4000,11.60
2014-07-07,11.61,11.70,11.61,11.70,1700,11.70
2014-07-04,11.80,11.80,11.61,11.80,10200,11.80
2014-07-03,11.52,11.52,11.52,11.52,1200,11.52
2014-07-02,11.40,11.70,11.40,11.69,12300,11.69
2014-07-01,11.50,11.60,11.50,11.60,3600,11.60
2014-06-30,11.27,11.27,11.26,11.26,3400,11.26
2014-06-27,11.13,11.13,11.05,11.05,6400,11.05
2014-06-26,11.10,11.30,11.10,11.21,4100,11.21
2014-06-25,11.30,11.30,11.30,11.30,500,11.30
2014-06-24,11.00,11.05,11.00,11.05,3100,11.05
2014-06-20,11.42,11.42,10.71,10.71,1500,10.71
2014-06-19,10.58,10.97,10.58,10.97,1200,10.97
2014-06-18,10.90,10.95,10.60,10.95,2000,10.95
2014-06-17,11.50,11.50,11.50,11.50,400,11.50
2014-06-13,11.00,11.10,10.80,10.80,3300,10.80
2014-06-12,10.91,11.35,10.91,10.91,1300,10.91
2014-06-11,11.06,11.60,10.90,11.60,6500,11.60
2014-06-09,11.50,11.50,11.11,11.45,2000,11.45
2014-06-06,11.00,11.50,11.00,11.25,2900,11.25
2014-06-05,10.90,10.90,10.90,10.90,2200,10.90
2014-06-04,10.65,10.65,10.65,10.65,000,10.65
2014-06-03,10.60,10.60,10.60,10.60,1200,10.60
2014-06-02,10.60,10.60,10.40,10.60,27300,10.60
2014-05-30,10.16,10.22,10.10,10.16,2900,10.16
2014-05-29,10.30,10.35,10.30,10.35,300,10.35
2014-05-28,10.90,10.90,10.20,10.40,6500,10.40
2014-05-27,10.50,10.50,10.17,10.17,3000,10.17
2014-05-26,10.70,10.75,10.26,10.41,15800,10.41
2014-05-23,10.70,10.70,10.66,10.66,1900,10.66
2014-05-22,10.32,10.99,10.32,10.99,4900,10.99
2014-05-21,10.05,10.55,10.05,10.51,100,10.51
2014-05-20,9.88,10.25,9.88,10.20,4300,10.20
2014-05-19,9.80,10.00,9.77,9.77,4500,9.77
2014-05-16,9.70,9.99,9.66,9.81,32900,9.81
