Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,14.51,15.23,14.48,15.08,1000,15.08
2015-07-16,14.10,15.39,14.10,14.90,5300,14.90
2015-07-15,15.34,15.34,14.56,14.75,1000,14.75
2015-07-14,14.85,15.54,14.70,14.72,3000,14.72
2015-07-13,15.70,15.70,14.45,14.89,2200,14.89
2015-07-10,15.20,15.44,14.81,15.09,1600,15.09
2015-07-09,15.50,15.50,14.50,14.88,5900,14.88
2015-07-08,15.00,15.50,15.00,15.00,1000,15.00
2015-07-07,15.80,15.80,15.01,15.50,1100,15.50
2015-07-06,15.50,15.50,14.61,15.38,10000,15.38
2015-07-03,15.75,16.00,15.50,15.85,3900,15.85
2015-07-02,15.90,16.50,15.60,15.60,1100,15.60
2015-07-01,15.10,15.10,15.10,15.10,000,15.10
2015-06-30,14.95,15.25,14.55,14.80,2900,14.80
2015-06-29,14.69,14.70,14.30,14.60,1100,14.60
2015-06-26,14.95,15.00,14.40,14.95,300,14.95
2015-06-25,15.00,15.00,14.85,15.00,5000,15.00
2015-06-24,14.90,16.00,14.20,15.00,8100,15.00
2015-06-23,14.75,14.75,14.36,14.37,100,14.37
2015-06-22,14.89,14.89,14.89,14.89,000,14.89
2015-06-19,14.15,14.89,14.15,14.89,2200,14.89
2015-06-18,14.69,14.69,14.69,14.69,100,14.69
2015-06-17,14.50,14.50,14.49,14.49,300,14.49
2015-06-16,15.70,15.70,13.72,14.22,3600,14.22
2015-06-15,14.75,14.75,14.20,14.64,1100,14.64
2015-06-12,14.30,14.69,13.53,14.29,2100,14.29
2015-06-11,15.10,15.10,14.10,14.31,7300,14.31
2015-06-10,13.88,15.40,13.16,15.00,48700,15.00
2015-06-09,13.15,13.45,13.15,13.45,000,13.45
2015-06-08,14.90,14.90,13.74,13.80,17500,13.80
2015-06-05,16.00,16.00,13.36,13.94,6700,13.94
2015-06-04,13.50,14.42,13.00,13.69,13800,13.69
2015-06-03,14.30,14.30,13.50,13.67,1800,13.67
2015-06-02,14.50,14.78,14.02,14.65,2200,14.65
2015-06-01,14.55,15.00,14.55,14.65,5600,14.65
2015-05-29,15.50,15.50,14.65,14.95,10100,14.95
2015-05-28,15.35,15.35,14.65,14.95,000,14.95
2015-05-27,15.20,15.20,15.20,15.20,000,15.20
2015-05-26,15.00,15.00,15.00,15.00,000,15.00
2015-05-25,14.95,15.70,14.80,15.40,12400,15.40
2015-05-22,15.50,15.50,14.70,15.05,5400,15.05
2015-05-21,15.45,15.45,14.60,14.60,200,14.60
2015-05-20,15.60,15.60,14.70,15.10,500,15.10
2015-05-19,14.70,15.40,14.70,15.00,10000,15.00
2015-05-18,14.90,15.60,14.90,15.30,14400,15.30
2015-05-15,15.45,15.50,14.90,15.30,2000,15.30
2015-05-14,15.90,16.10,14.55,15.25,28800,15.25
2015-05-13,15.25,15.70,14.95,15.00,20500,15.00
2015-05-12,17.50,17.50,14.65,14.75,14200,14.75
2015-05-11,15.50,15.50,14.75,14.90,2100,14.90
2015-05-08,14.65,15.20,14.65,15.00,3000,15.00
2015-05-07,15.10,15.30,14.70,14.90,1400,14.90
2015-05-06,15.90,15.90,15.00,15.45,56200,15.45
2015-05-05,17.50,17.50,15.90,15.90,10700,15.90
2015-05-04,16.55,16.55,15.70,16.25,600,16.25
2015-05-01,15.90,15.90,15.90,15.90,000,15.90
2015-04-30,15.70,16.30,15.50,15.90,1500,15.90
2015-04-29,15.65,16.30,15.65,16.30,200,16.30
2015-04-28,15.85,16.10,15.50,16.10,300,16.10
2015-04-27,15.65,16.10,15.50,15.55,7500,15.55
2015-04-24,17.50,17.50,16.10,16.45,12000,16.45
2015-04-23,16.40,16.60,16.20,16.30,9300,16.30
2015-04-22,16.45,16.80,16.40,16.40,4300,16.40
2015-04-21,16.25,17.00,16.25,16.60,100,16.60
2015-04-20,17.75,17.80,16.60,16.60,7000,16.60
2015-04-17,16.80,17.80,16.80,17.50,2700,17.50
2015-04-16,17.85,17.85,16.80,17.15,14100,17.15
2015-04-15,17.50,17.85,17.30,17.75,2000,17.75
2015-04-14,17.60,17.60,17.60,17.60,000,17.60
2015-04-13,17.55,18.50,17.50,17.60,6800,17.60
2015-04-10,17.90,18.45,17.45,17.65,2900,17.65
2015-04-09,17.10,18.50,17.10,17.75,8700,17.75
2015-04-08,18.15,18.75,17.25,18.45,1500,18.45
2015-04-07,18.10,19.75,16.05,18.80,11100,18.80
2015-04-06,15.25,17.95,15.25,17.25,200,17.25
2015-04-03,17.30,17.30,17.30,17.30,000,17.30
2015-04-02,17.30,17.30,17.30,17.30,000,17.30
2015-04-01,16.20,18.00,16.20,17.30,8000,17.30
2015-03-31,17.00,17.00,16.00,16.10,4700,16.10
2015-03-30,16.10,16.55,16.10,16.55,2500,16.55
2015-03-27,14.25,16.45,14.25,15.90,3400,15.90
2015-03-26,18.30,18.30,15.30,16.00,11300,16.00
2015-03-25,15.50,16.25,15.40,15.55,2400,15.55
2015-03-24,15.55,17.00,15.50,16.20,1300,16.20
2015-03-23,15.40,17.35,15.25,16.45,2300,16.45
2015-03-20,16.85,17.00,16.80,16.80,900,16.80
2015-03-19,16.70,17.65,16.70,17.00,1500,17.00
2015-03-18,17.80,17.90,17.25,17.40,5800,17.40
2015-03-17,16.75,18.10,16.75,17.55,2400,17.55
2015-03-16,17.00,18.10,16.55,17.25,2400,17.25
2015-03-13,17.90,18.10,17.65,17.65,3700,17.65
2015-03-12,17.65,18.25,17.55,17.70,500,17.70
2015-03-11,18.30,18.75,17.55,18.00,3500,18.00
2015-03-10,18.20,18.75,18.05,18.15,2700,18.15
2015-03-09,18.15,19.25,18.10,18.40,4700,18.40
2015-03-06,18.70,18.70,18.70,18.70,000,18.70
2015-03-05,21.45,21.50,18.70,18.70,13100,18.70
2015-03-04,18.95,19.25,18.15,18.85,13600,18.85
2015-03-03,19.50,19.50,18.70,18.95,6900,18.95
2015-03-02,19.35,19.75,18.95,19.40,9800,19.40
2015-02-27,19.55,21.00,19.40,20.65,18300,20.65
2015-02-26,21.10,21.20,18.95,19.90,31600,19.90
2015-02-25,23.00,23.00,20.55,20.90,121100,20.90
2015-02-24,18.05,19.20,18.05,19.20,700,19.20
2015-02-23,19.00,19.30,18.45,18.55,2300,18.55
2015-02-20,18.65,20.00,18.65,19.60,17600,19.60
2015-02-19,18.75,19.80,18.50,19.40,40000,19.40
2015-02-18,17.90,18.40,17.00,17.60,9500,17.60
2015-02-17,17.65,17.65,17.65,17.65,000,17.65
2015-02-16,17.40,17.65,17.05,17.65,2800,17.65
2015-02-13,17.60,17.60,16.80,16.85,1800,16.85
2015-02-12,17.45,17.70,16.75,17.50,1100,17.50
2015-02-11,17.50,17.60,17.05,17.40,3100,17.40
2015-02-10,18.30,18.30,17.50,17.50,8800,17.50
2015-02-09,17.00,18.90,15.65,17.80,5300,17.80
2015-02-06,19.65,19.80,18.25,18.65,5200,18.65
2015-02-05,20.00,20.00,18.25,19.25,35800,19.25
2015-02-04,19.85,19.85,18.30,18.90,1400,18.90
2015-02-03,20.40,20.40,19.00,19.70,6000,19.70
2015-02-02,16.50,20.75,16.50,19.40,3400,19.40
2015-01-30,18.10,19.00,18.10,18.30,2400,18.30
2015-01-29,19.50,19.50,18.05,18.10,11100,18.10
2015-01-28,18.25,19.70,18.10,18.50,2500,18.50
2015-01-27,21.00,21.00,19.25,19.45,13200,19.45
2015-01-26,19.95,19.95,19.95,19.95,000,19.95
2015-01-23,20.95,21.00,19.75,19.95,16800,19.95
2015-01-22,20.65,20.80,19.55,19.90,11000,19.90
2015-01-21,20.70,20.70,19.20,20.65,7500,20.65
2015-01-20,20.15,20.75,19.75,19.80,5300,19.80
2015-01-19,20.90,20.90,19.95,20.85,5200,20.85
2015-01-16,21.20,21.20,20.00,20.80,4600,20.80
2015-01-15,20.85,21.25,20.05,20.30,2100,20.30
2015-01-14,21.25,22.20,21.00,21.00,2300,21.00
2015-01-13,22.00,25.00,21.00,21.80,9700,21.80
2015-01-12,22.00,22.00,20.60,22.00,100,22.00
2008-07-07,8.60,8.75,8.02,8.40,200,8.40
2008-07-04,18.55,18.55,18.00,18.00,000,18.00
2008-07-03,47.70,47.70,47.70,47.70,10000,47.70
2008-07-02,8.58,8.58,8.58,8.58,15000,8.58
2008-07-01,12.50,12.50,12.50,12.50,1000,12.50
2008-06-30,1311.00,1311.00,1311.00,1311.00,000,1311.00
2008-06-27,7.28,7.28,7.28,7.28,000,7.28
2008-06-26,19.20,19.20,19.15,19.15,67000,19.15
2008-06-25,1061.40,1061.40,1061.40,1061.40,20500,1061.40
2008-06-24,138.00,138.00,138.00,138.00,000,138.00
2008-06-23,8.45,8.45,8.45,8.45,000,8.45
2008-06-20,100.00,100.00,100.00,100.00,200,100.00
2008-06-19,22.30,22.30,22.30,22.30,000,22.30
2008-06-18,23.80,23.80,23.80,23.80,100,23.80
2008-06-17,24.55,24.55,24.55,24.55,31800,24.55
2008-06-16,7.59,7.59,7.59,7.59,700,7.59
2008-06-13,90.00,90.00,90.00,90.00,200,90.00
2008-06-12,11.34,11.34,11.34,11.34,1300,11.34
2008-06-11,271.40,271.40,271.40,271.40,100,271.40
2008-06-10,10.60,10.60,10.60,10.60,40000,10.60
2008-06-09,157.00,157.00,157.00,157.00,000,157.00
2008-06-06,16.00,16.00,16.00,16.00,100,16.00
2008-06-05,14.45,14.45,14.45,14.45,000,14.45
2008-06-04,4.98,4.99,4.98,4.98,883800,4.98
2008-06-03,2.38,2.38,2.38,2.38,11500,2.38
2008-06-02,0.31,0.31,0.31,0.31,000,0.31
2008-05-30,1.02,1.02,1.01,1.01,900,1.01
2008-05-29,15.00,15.00,15.00,15.00,400,15.00
2008-05-28,25.05,25.05,24.00,24.00,000,24.00
2008-05-27,52.00,52.00,48.25,51.95,300,51.95
2008-05-23,2064.00,2064.00,2064.00,2064.00,700,2064.00
2008-05-22,11.55,11.55,11.55,11.55,200,11.55
