Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,66.05,66.05,62.45,64.15,55200,64.15
2015-07-16,68.60,68.90,63.25,65.80,53200,65.80
2015-07-15,67.60,69.00,67.20,67.45,30100,67.45
2015-07-14,68.65,69.10,67.00,67.55,17800,67.55
2015-07-13,71.00,71.00,67.00,68.15,552700,68.15
2015-07-10,69.40,69.75,68.00,69.20,25400,69.20
2015-07-09,69.80,71.95,68.90,70.05,582000,70.05
2015-07-08,70.50,71.40,69.25,70.35,71200,70.35
2015-07-07,67.95,72.00,66.75,70.55,67800,70.55
2015-07-06,64.00,70.05,64.00,67.95,64800,67.95
2015-07-03,71.50,72.40,69.55,69.90,24000,69.90
2015-07-02,68.55,73.00,68.55,71.45,38900,71.45
2015-07-01,69.15,72.50,69.00,70.30,142800,70.30
2015-06-30,64.10,71.75,63.30,70.05,78400,70.05
2015-06-29,58.60,68.00,58.00,64.90,80900,64.90
2015-06-26,60.00,60.90,59.00,60.00,29900,60.00
2015-06-25,60.05,60.50,58.35,60.05,13900,60.05
2015-06-24,61.00,61.00,60.00,60.05,8800,60.05
2015-06-23,58.65,61.50,57.95,60.95,256200,60.95
2015-06-22,59.85,60.55,57.00,58.90,177300,58.90
2015-06-19,60.25,61.90,59.40,60.25,7200,60.25
2015-06-18,57.95,60.75,57.65,60.25,21700,60.25
2015-06-17,58.00,59.00,57.40,58.90,42700,58.90
2015-06-16,56.00,58.25,56.00,58.00,10500,58.00
2015-06-15,56.25,57.95,56.25,57.60,11100,57.60
2015-06-12,56.50,58.60,55.95,56.75,36600,56.75
2015-06-11,56.00,57.10,55.30,56.40,26900,56.40
2015-06-10,51.95,62.00,51.95,56.55,217300,56.55
2015-06-09,52.75,53.45,52.15,52.70,500,52.70
2015-06-08,52.75,54.80,51.20,52.05,3600,52.05
2015-06-05,53.00,54.80,53.00,54.05,5600,54.05
2015-06-04,55.25,55.25,52.75,53.95,19900,53.95
2015-06-03,55.00,55.55,52.50,54.10,5100,54.10
2015-06-02,57.60,58.00,54.50,55.00,16300,55.00
2015-06-01,59.80,60.00,57.00,57.15,93500,57.15
2015-05-29,58.50,58.50,57.25,57.40,5700,57.40
2015-05-28,58.05,58.45,58.00,58.35,11600,58.35
2015-05-27,58.65,59.00,57.85,58.05,17200,58.05
2015-05-26,60.05,60.05,58.00,58.35,24600,58.35
2015-05-25,59.70,59.70,58.10,58.45,12800,58.45
2015-05-22,60.70,60.70,59.10,59.75,66900,59.75
2015-05-21,61.85,62.10,59.30,59.95,725000,59.95
2015-05-20,63.60,63.60,61.00,61.85,67200,61.85
2015-05-19,64.90,65.30,61.50,61.80,39600,61.80
2015-05-18,71.35,71.35,65.60,66.05,251900,66.05
2015-05-15,75.25,76.30,68.85,70.15,120400,70.15
2015-05-14,70.00,79.50,69.30,76.75,20200,76.75
2015-05-13,73.00,74.55,69.10,70.75,5600,70.75
2015-05-12,75.85,76.40,73.20,73.70,2200,73.70
2015-05-11,71.55,76.55,71.55,74.45,14900,74.45
2015-05-08,72.65,72.65,69.40,70.45,7000,70.45
2015-05-07,80.60,80.65,68.50,70.35,11600,70.35
2015-05-06,81.00,82.30,79.50,81.10,11000,81.10
2015-05-05,86.00,86.00,79.10,80.60,17000,80.60
2015-05-04,86.10,86.55,85.60,86.50,38100,86.50
2015-05-01,86.10,86.10,86.10,86.10,000,86.10
2015-04-30,87.00,87.20,85.90,86.10,269200,86.10
2015-04-29,87.25,87.55,86.75,87.05,528000,87.05
2015-04-28,87.00,87.80,86.90,87.40,51000,87.40
2015-04-27,86.35,87.00,86.15,86.95,71600,86.95
2015-04-24,86.55,87.00,86.50,86.80,40300,86.80
2015-04-23,86.15,87.00,86.15,86.55,417900,86.55
2015-04-22,86.65,86.85,86.25,86.55,230500,86.55
2015-04-21,88.00,88.00,86.80,86.90,489700,86.90
2015-04-20,87.70,87.85,86.95,87.05,951400,87.05
2015-04-17,87.90,87.90,87.20,87.45,40800,87.45
2015-04-16,88.00,88.00,86.10,87.20,12200,87.20
2015-04-15,87.50,88.50,86.30,87.10,2256600,87.10
2015-04-14,87.55,87.55,87.55,87.55,000,87.55
