Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,279.00,285.00,275.00,275.30,137800,273.30
2015-07-16,278.70,282.00,276.60,280.10,5300,278.07
2015-07-15,276.00,281.10,275.00,280.70,12100,278.66
2015-07-14,274.70,278.00,269.80,277.50,29200,275.48
2015-07-13,273.20,275.90,271.50,274.30,3000,272.31
2015-07-10,274.60,276.10,273.00,275.20,7000,273.20
2015-07-09,268.60,276.00,266.00,275.10,16800,273.10
2015-07-08,265.00,272.20,265.00,271.20,6400,269.23
2015-07-07,268.10,273.00,265.00,270.00,8700,268.04
2015-07-06,265.00,272.00,260.00,269.80,10000,267.84
2015-07-03,262.50,271.00,262.50,267.90,10100,265.95
2015-07-02,254.80,262.50,253.50,258.60,2500,256.72
2015-07-01,245.40,253.70,244.30,250.30,4200,248.48
2015-06-30,242.00,248.00,241.30,246.00,2000,244.21
2015-06-29,241.40,245.00,239.00,242.40,2600,240.64
2015-06-26,250.20,252.70,247.00,249.00,5600,247.19
2015-06-25,247.00,250.80,244.50,246.00,2200,244.21
2015-06-24,248.90,252.70,245.10,247.10,3000,245.30
2015-06-23,244.80,249.00,244.00,246.40,1600,244.61
2015-06-22,246.00,248.00,241.20,242.80,2100,241.04
2015-06-19,244.00,247.90,242.40,243.90,5100,242.13
2015-06-18,239.00,244.50,239.00,241.70,1000,239.94
2015-06-17,239.10,241.80,236.00,241.30,1300,239.55
2015-06-16,233.40,238.90,232.00,237.20,6700,235.48
2015-06-15,233.60,236.00,229.20,233.40,3800,231.70
2015-06-12,227.00,237.30,223.70,228.30,2400,226.64
2015-06-11,236.70,236.70,224.00,226.90,1500,225.25
2015-06-10,228.00,235.80,227.20,234.60,4500,232.90
2015-06-09,229.20,232.20,220.10,228.10,3500,226.44
2015-06-08,235.00,235.30,225.00,228.00,1300,226.34
2015-06-05,237.00,239.60,234.10,234.10,2800,232.40
2015-06-04,244.00,244.90,236.60,237.60,4700,235.87
2015-06-03,248.60,250.50,243.90,245.00,5700,243.22
2015-06-02,249.60,250.90,248.50,248.90,2200,247.09
2015-06-01,252.10,252.30,249.00,249.20,2700,247.39
2015-05-29,248.40,254.00,248.40,252.10,2100,250.27
2015-05-28,248.70,251.60,247.10,250.00,4800,248.18
