Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,90.40,91.30,89.10,89.30,561500,89.30
2015-07-16,91.75,92.25,90.05,90.35,507100,90.35
2015-07-15,91.90,94.35,90.00,91.00,1276700,91.00
2015-07-14,90.85,94.00,88.50,91.10,1529600,91.10
2015-07-13,86.50,91.70,86.50,90.25,1342000,90.25
2015-07-10,88.40,90.40,85.55,86.20,824200,86.20
2015-07-09,93.05,94.80,88.00,88.40,1911300,88.40
2015-07-08,86.00,94.45,83.00,92.40,3654100,92.40
2015-07-07,87.00,91.90,87.00,87.75,2828400,87.75
2015-07-06,68.60,84.60,68.60,84.60,5808500,84.60
2015-07-03,71.20,72.55,69.40,70.50,1389500,70.50
2015-07-02,68.20,71.85,66.50,70.65,2214900,70.65
2015-07-01,64.10,69.80,63.80,67.90,2093900,67.90
2015-06-30,58.85,64.40,58.85,63.70,2126100,63.70
2015-06-29,58.00,59.40,56.75,58.75,514000,58.75
2015-06-26,59.90,59.90,58.80,59.40,274300,59.40
2015-06-25,60.55,61.05,59.00,59.80,267300,59.80
2015-06-24,63.00,63.45,60.75,61.20,394500,61.20
2015-06-23,61.85,64.20,60.95,62.50,936900,62.50
2015-06-22,58.50,62.40,56.80,61.40,870300,61.40
2015-06-19,60.00,60.20,58.40,58.75,265200,58.75
2015-06-18,58.90,59.35,58.90,59.35,314800,59.35
2015-06-17,57.75,59.40,57.30,58.70,414300,58.70
2015-06-16,57.00,57.55,56.20,57.25,333300,57.25
2015-06-15,57.70,58.50,56.80,56.95,234000,56.95
2015-06-12,57.85,57.85,56.05,57.65,282800,57.65
2015-06-11,60.80,60.80,57.15,57.45,297500,57.45
2015-06-10,60.45,60.50,59.25,60.15,291900,60.15
2015-06-09,60.20,61.10,59.30,59.50,307400,59.50
2015-06-08,60.50,62.25,60.10,60.45,306300,60.45
2015-06-05,58.85,60.70,58.55,59.80,399600,59.80
2015-06-04,59.25,60.65,57.70,58.80,400200,58.80
2015-06-03,61.40,61.40,56.10,58.45,761100,58.45
2015-06-02,64.00,65.30,61.00,61.40,567700,61.40
2015-06-01,62.50,65.40,57.15,63.95,1073100,63.95
2015-05-29,59.20,62.40,59.05,61.80,597600,61.80
2015-05-28,58.30,59.80,58.30,58.70,212600,58.70
2015-05-27,58.60,58.70,58.00,58.20,231000,58.20
2015-05-26,60.50,60.90,58.50,58.95,290000,58.95
2015-05-25,59.00,60.95,58.15,60.00,461200,60.00
2015-05-22,59.85,59.85,58.20,58.45,307600,58.45
2015-05-21,60.10,60.70,59.05,59.40,329200,59.40
2015-05-20,62.30,62.85,60.00,60.60,371400,60.60
2015-05-19,59.40,63.75,58.85,61.80,1064800,61.80
2015-05-18,59.20,59.75,58.85,59.20,282300,59.20
2015-05-15,59.40,59.65,58.40,58.60,265900,58.60
2015-05-14,58.35,58.85,57.75,58.35,317800,58.35
2015-05-13,58.30,59.60,57.80,58.45,345400,58.45
2015-05-12,58.20,58.30,57.00,57.70,359000,57.70
2015-05-11,57.30,59.15,57.30,58.45,361600,58.45
