Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,6.84,7.28,6.81,7.14,3700,7.14
2015-07-16,7.01,7.33,7.01,7.02,12100,7.02
2015-07-15,7.00,7.00,7.00,7.00,700,7.00
2015-07-14,6.81,7.25,6.81,7.15,400,7.15
2015-07-13,6.51,7.25,6.51,7.02,6900,7.02
2015-07-10,7.10,7.16,6.82,6.85,4600,6.85
2015-07-09,6.75,6.75,6.75,6.75,000,6.75
2015-07-08,6.90,6.90,6.63,6.90,1400,6.90
2015-07-07,6.80,7.05,6.80,6.93,800,6.93
2015-07-06,6.61,7.00,6.60,7.00,5400,7.00
2015-07-03,7.00,7.04,6.62,6.75,12700,6.75
2015-07-02,6.71,6.94,6.60,6.85,4700,6.85
2015-07-01,6.76,7.24,6.50,6.82,49100,6.82
2015-06-30,6.80,7.25,6.80,6.85,1300,6.85
2015-06-29,6.63,6.95,6.61,6.80,1000,6.80
2015-06-26,7.57,7.57,6.85,7.07,14600,7.07
2015-06-25,6.62,7.09,6.62,7.09,3900,7.09
2015-06-24,6.72,7.25,6.72,6.85,500,6.85
2015-06-23,6.81,7.07,6.81,6.96,000,6.96
2015-06-22,6.78,7.27,6.78,7.10,1900,7.10
2015-06-19,7.29,7.29,6.85,6.85,000,6.85
2015-06-18,6.92,7.15,6.80,6.98,1100,6.98
2015-06-17,7.38,7.38,6.87,6.91,1000,6.91
2015-06-16,6.75,7.00,6.75,7.00,10600,7.00
2015-06-15,7.04,7.40,7.03,7.05,1600,7.05
2015-06-12,7.70,7.86,7.70,7.83,500,7.83
2015-06-11,7.98,8.34,7.60,7.60,10800,7.60
2015-06-10,6.99,7.59,6.57,7.35,7100,7.35
2015-06-09,6.45,6.96,6.40,6.55,4900,6.55
2015-06-08,6.53,6.94,6.53,6.56,1800,6.56
2015-06-05,6.30,6.88,6.30,6.88,1600,6.88
2015-06-04,7.30,7.30,6.98,6.98,000,6.98
2015-06-03,6.56,6.99,6.56,6.99,3000,6.99
2015-06-02,6.91,6.91,6.90,6.90,8900,6.90
2015-06-01,6.59,7.05,6.59,7.05,500,7.05
2015-05-29,6.91,6.91,6.91,6.91,000,6.91
2015-05-28,6.91,6.91,6.91,6.91,000,6.91
2015-05-27,6.86,7.19,6.86,7.01,3900,7.01
2015-05-26,6.81,7.19,6.81,7.00,2400,7.00
2015-05-25,7.34,7.38,6.90,6.91,200,6.91
2015-05-22,6.75,7.29,6.75,6.87,1500,6.87
2015-05-21,6.72,7.05,6.71,7.00,1900,7.00
2015-05-20,5.69,7.20,5.69,6.86,600,6.86
2015-05-19,7.15,7.15,6.82,6.82,800,6.82
2015-05-18,6.42,7.39,6.42,6.81,25400,6.81
2015-05-15,6.41,6.80,6.41,6.79,3500,6.79
2015-05-14,6.42,6.94,6.42,6.65,3400,6.65
2015-05-13,6.61,6.99,6.61,6.67,800,6.67
2015-05-12,7.30,7.30,6.63,7.00,200,7.00
2015-05-11,7.37,7.37,6.72,7.08,3400,7.08
2015-05-08,7.76,7.76,6.53,6.87,2100,6.87
2015-05-07,7.10,7.10,6.80,7.10,2500,7.10
2015-05-06,6.88,7.19,6.88,6.90,1200,6.90
2015-05-05,7.23,7.23,7.13,7.16,1700,7.16
2015-05-04,7.28,7.88,7.23,7.40,3500,7.40
2015-05-01,7.60,7.60,7.60,7.60,000,7.60
2015-04-30,7.79,7.79,7.35,7.60,2100,7.60
2015-04-29,7.70,7.87,7.25,7.79,8900,7.79
2015-04-28,6.94,7.93,6.94,7.49,22900,7.49
2015-04-27,7.30,7.30,6.89,6.99,2400,6.99
2015-04-24,6.95,7.18,6.70,6.72,5700,6.72
2015-04-23,7.30,7.30,6.99,7.07,13100,7.07
2015-04-22,7.16,7.60,7.16,7.24,2100,7.24
2015-04-21,7.08,7.50,7.08,7.45,3300,7.45
2015-04-20,8.00,8.00,7.27,7.28,7300,7.28
2015-04-17,7.71,7.85,7.17,7.67,15600,7.67
2015-04-16,6.21,7.75,6.21,7.64,21700,7.64
2015-04-15,7.21,7.55,7.16,7.30,2900,7.30
2015-04-14,7.16,7.16,7.16,7.16,000,7.16
2015-04-13,7.45,7.47,7.10,7.16,4200,7.16
2015-04-10,7.00,7.40,6.91,7.14,3800,7.14
2015-04-09,7.00,7.20,6.86,7.12,3400,7.12
2015-04-08,7.48,7.48,6.90,6.97,53700,6.97
2015-04-07,7.90,7.90,7.00,7.49,38300,7.49
2015-04-06,7.50,7.55,7.13,7.26,2500,7.26
2015-04-03,7.30,7.30,7.30,7.30,000,7.30
2015-04-02,7.30,7.30,7.30,7.30,000,7.30
2015-04-01,7.25,7.37,6.73,7.30,21500,7.30
2015-03-31,7.00,7.00,6.75,6.95,3200,6.95
2015-03-30,6.70,7.19,6.60,6.81,1800,6.81
2015-03-27,7.00,7.45,6.60,6.97,11300,6.97
2015-03-26,7.50,8.88,6.85,7.00,43700,7.00
2015-03-25,7.68,8.20,7.50,7.50,16200,7.50
2015-03-24,7.10,7.96,7.10,7.77,5600,7.77
2015-03-23,7.08,7.65,6.80,7.43,11600,7.43
2015-03-20,7.35,8.09,7.31,7.32,2000,7.32
2015-03-19,7.68,7.80,7.52,7.71,1400,7.71
2015-03-18,8.95,8.95,7.55,7.95,1500,7.95
2015-03-17,7.33,9.00,7.30,8.33,23100,8.33
2015-03-16,7.78,7.92,7.45,7.54,20000,7.54
2015-03-13,8.50,8.50,7.90,8.21,3800,8.21
2015-03-12,8.89,8.92,8.38,8.41,1900,8.41
2015-03-11,8.41,8.86,8.31,8.36,3700,8.36
2015-03-10,8.70,8.93,8.40,8.78,25000,8.78
2015-03-09,9.00,9.00,8.36,8.44,14600,8.44
2015-03-06,8.85,8.85,8.85,8.85,000,8.85
2015-03-05,8.60,9.10,8.59,8.85,1800,8.85
2015-03-04,9.49,9.49,8.81,8.81,7600,8.81
2015-03-03,8.02,9.45,8.02,9.00,3400,9.00
2015-03-02,7.95,9.30,7.95,8.90,3900,8.90
2015-02-27,8.60,9.06,8.60,8.95,600,8.95
2015-02-26,9.03,9.38,8.82,9.08,500,9.08
2015-02-25,9.22,9.24,9.01,9.01,2200,9.01
2015-02-24,9.40,9.69,9.21,9.26,2400,9.26
2015-02-23,9.52,10.10,9.41,9.41,7700,9.41
2015-02-20,10.45,10.45,9.68,9.80,13900,9.80
2015-02-19,9.70,9.82,9.00,9.50,12100,9.50
2015-02-18,9.20,9.70,9.02,9.56,12500,9.56
2015-02-17,9.16,9.16,9.16,9.16,000,9.16
