Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,529.95,543.20,520.00,535.85,35800,535.85
2015-07-16,518.15,536.90,518.15,529.95,64300,529.95
2015-07-15,498.40,516.95,498.00,513.15,57300,513.15
2015-07-14,499.00,500.90,495.00,495.90,22500,495.90
2015-07-13,485.00,503.05,485.00,495.90,30200,495.90
2015-07-10,493.75,499.00,487.00,494.30,38300,494.30
2015-07-09,497.35,503.80,485.00,488.30,33800,488.30
2015-07-08,496.50,515.80,489.65,493.85,70300,493.85
2015-07-07,520.00,521.75,502.00,506.00,58700,506.00
2015-07-06,496.05,543.85,496.05,518.90,194100,518.90
2015-07-03,490.00,507.95,490.00,504.15,53800,504.15
2015-07-02,488.00,507.80,487.25,488.20,30300,488.20
2015-07-01,481.70,486.45,480.00,485.95,22700,485.95
2015-06-30,490.00,491.80,481.00,483.65,27200,483.65
2015-06-29,480.00,491.80,470.00,489.55,34700,489.55
2015-06-26,494.00,496.30,482.05,486.85,44600,486.85
2015-06-25,489.30,501.15,489.30,497.05,32800,497.05
2015-06-24,489.50,491.60,487.55,489.90,5200,489.90
2015-06-23,492.00,492.00,485.00,489.90,74500,489.90
2015-06-22,487.00,491.00,485.00,488.85,33000,488.85
2015-06-19,485.30,486.70,478.05,484.25,22500,484.25
2015-06-18,485.00,488.90,0.01,482.15,144700,482.15
2015-06-17,482.00,486.75,476.20,483.85,32000,483.85
2015-06-16,472.60,484.55,463.30,479.95,199800,479.95
2015-06-15,466.00,478.00,462.60,467.60,22600,467.60
2015-06-12,480.80,480.80,464.25,466.55,23200,466.55
2015-06-11,486.25,489.00,480.00,481.35,38600,481.35
2015-06-10,481.65,487.80,478.00,484.45,35100,484.45
2015-06-09,480.00,487.85,478.00,483.50,56600,483.50
2015-06-08,485.00,485.00,475.00,481.70,29900,481.70
2015-06-05,477.00,492.70,470.00,486.85,48600,486.85
2015-06-04,480.00,481.00,465.00,477.00,86900,477.00
2015-06-03,480.00,508.00,476.00,483.95,356700,483.95
2015-06-02,490.00,498.85,481.20,484.70,79500,484.70
2015-06-01,472.15,489.65,468.30,487.40,85000,487.40
2015-05-29,475.65,481.85,465.80,468.80,35600,468.80
2015-05-28,481.25,481.50,465.65,472.00,59600,472.00
2015-05-27,462.75,484.70,459.10,480.20,251500,480.20
2015-05-26,476.00,478.40,463.00,465.90,118000,465.90
2015-05-25,457.90,476.50,456.70,473.90,80500,473.90
2015-05-22,460.55,469.80,452.45,456.80,42800,456.80
2015-05-21,466.00,468.85,455.55,460.35,49200,460.35
2015-05-20,473.75,473.75,461.35,468.40,43700,468.40
2015-05-19,450.00,470.60,446.40,467.25,43300,467.25
2015-05-18,445.15,464.55,445.10,451.75,252300,451.75
2015-05-15,457.90,458.50,445.70,447.40,18400,447.40
2015-05-14,431.75,477.70,430.00,454.50,151800,454.50
2015-05-13,428.20,438.30,427.00,433.70,17600,433.70
2015-05-12,423.45,433.25,419.90,427.10,22100,427.10
2015-05-11,428.75,433.95,421.00,423.85,18300,423.85
2015-05-08,433.75,433.80,422.10,424.30,21900,424.30
2015-05-07,423.90,445.00,423.30,429.30,61600,429.30
2015-05-06,438.70,440.00,421.30,424.70,24500,424.70
2015-05-05,453.90,456.80,439.20,440.80,18200,440.80
2015-05-04,431.00,457.90,427.00,454.95,67000,454.95
2015-05-01,427.55,427.55,427.55,427.55,000,427.55
2015-04-30,428.20,432.30,417.85,427.55,31700,427.55
2015-04-29,429.00,432.00,419.45,428.20,16500,428.20
2015-04-28,408.35,435.80,408.35,428.55,38600,428.55
2015-04-27,425.30,425.35,405.10,410.45,51600,410.45
2015-04-24,434.70,437.40,421.15,425.35,29900,425.35
2015-04-23,438.00,443.75,432.00,438.30,26400,438.30
2015-04-22,441.00,446.95,434.30,437.20,49200,437.20
2015-04-21,443.00,447.75,436.20,439.40,55500,439.40
2015-04-20,465.40,465.40,438.25,445.55,51300,445.55
2015-04-17,480.35,480.40,461.30,463.60,35300,463.60
2015-04-16,488.00,488.00,476.70,479.80,26200,479.80
2015-04-15,480.00,492.00,475.00,479.45,140100,479.45
2015-04-14,482.55,482.55,482.55,482.55,000,482.55
2015-04-13,490.00,490.00,475.40,482.55,25900,482.55
2015-04-10,497.90,499.40,487.10,491.40,145600,491.40
2015-04-09,480.00,490.90,472.00,487.40,103500,487.40
2015-04-08,466.55,472.00,463.05,469.30,15000,469.30
2015-04-07,459.80,471.70,457.00,466.25,42400,466.25
2015-04-06,447.85,462.80,447.85,458.60,31800,458.60
2015-04-03,449.20,449.20,449.20,449.20,000,449.20
2015-04-02,449.20,449.20,449.20,449.20,000,449.20
2015-04-01,435.00,452.80,433.00,449.20,51600,449.20
2015-03-31,450.00,450.00,423.95,431.15,74800,431.15
2015-03-30,441.90,449.00,432.00,446.15,51100,446.15
2015-03-27,450.80,452.50,427.70,435.05,79200,435.05
2015-03-26,431.10,449.20,431.00,443.35,67800,443.35
2015-03-25,440.00,447.75,436.50,437.65,47100,437.65
2015-03-24,443.30,444.95,437.00,438.20,27200,438.20
2015-03-23,447.05,455.00,440.00,445.90,42500,445.90
2015-03-20,460.00,460.50,440.60,444.75,59200,444.75
2015-03-19,459.75,464.30,455.55,459.55,87600,459.55
2015-03-18,445.00,460.00,445.00,454.80,47000,454.80
2015-03-17,460.55,464.00,454.35,459.00,84800,459.00
2015-03-16,474.25,474.95,428.00,457.45,210600,457.45
2015-03-13,513.00,521.00,461.50,468.30,852600,468.30
2015-03-12,482.00,514.30,481.00,488.20,400200,488.20
2015-03-11,456.50,471.30,450.00,462.80,149500,462.80
2015-03-10,463.00,464.00,454.20,455.80,14400,455.80
2015-03-09,465.00,471.85,456.20,460.05,28100,460.05
2015-03-06,468.30,468.30,468.30,468.30,000,468.30
2015-03-05,468.85,473.50,460.30,468.30,62000,468.30
2015-03-04,474.00,477.05,462.85,465.65,27900,465.65
2015-03-03,470.00,485.00,470.00,473.30,109400,473.30
2015-03-02,471.40,477.55,465.00,470.70,93000,470.70
2015-02-27,445.20,450.45,437.35,440.85,29700,440.85
2015-02-26,442.20,452.75,435.00,442.45,37400,442.45
2015-02-25,452.90,456.00,434.35,440.60,52000,440.60
2015-02-24,455.00,459.95,440.10,447.45,65900,447.45
2015-02-23,467.00,475.20,450.10,455.55,75200,455.55
2015-02-20,464.25,483.65,460.00,462.30,72600,462.30
2015-02-19,475.60,475.60,464.10,465.95,27200,465.95
2015-02-18,474.00,480.00,469.15,471.90,32100,471.90
2015-02-17,469.60,469.60,469.60,469.60,000,469.60
2015-02-16,477.00,478.95,468.00,469.60,26100,469.60
2015-02-13,467.00,485.90,467.00,472.35,89000,472.35
2015-02-12,471.80,477.75,453.00,457.60,73700,457.60
2015-02-11,463.00,478.30,460.05,468.20,72200,468.20
2015-02-10,454.60,474.70,448.00,459.60,47600,459.60
2015-02-09,469.00,469.00,451.85,457.30,36400,457.30
2015-02-06,482.25,488.40,463.00,471.35,49700,471.35
2015-02-05,500.50,520.00,476.20,486.35,134400,486.35
2015-02-04,503.00,509.10,495.70,503.95,87900,503.95
2015-02-03,503.35,521.00,482.65,498.75,191400,498.75
2015-02-02,479.00,511.35,473.50,499.20,193500,499.20
2015-01-30,488.00,489.50,467.30,474.50,68900,474.50
2015-01-29,499.00,501.00,480.05,485.70,106200,485.70
2015-01-28,497.50,522.00,493.35,497.90,1015100,497.90
2015-01-27,464.00,505.00,463.00,492.75,1460300,492.75
2015-01-26,454.55,454.55,454.55,454.55,000,454.55
2015-01-23,423.00,470.10,423.00,454.55,420400,454.55
2015-01-22,427.80,428.40,418.00,421.00,124100,421.00
2015-01-21,424.80,428.90,416.45,426.85,74700,426.85
2015-01-20,404.00,424.90,404.00,417.75,113100,417.75
2015-01-19,407.95,412.00,400.95,404.40,74900,404.40
2015-01-16,405.60,409.00,401.40,406.25,32100,406.25
2015-01-15,410.00,411.50,399.55,400.55,32900,400.55
2015-01-14,419.30,423.00,405.50,407.55,119300,407.55
2015-01-13,386.00,408.00,386.00,404.90,43200,404.90
2015-01-12,390.00,406.50,385.85,396.20,73700,396.20
2015-01-09,391.00,395.00,388.10,391.50,48900,391.50
2015-01-08,390.00,394.50,387.50,389.85,24900,389.85
2015-01-07,381.10,398.00,381.10,386.10,48800,386.10
2015-01-06,393.00,396.00,383.50,384.95,71800,384.95
2015-01-05,387.00,416.00,385.00,393.95,350900,393.95
2015-01-02,394.30,395.25,386.05,387.70,18600,387.70
2015-01-01,397.00,397.00,390.00,391.80,13700,391.80
2014-12-31,383.55,398.00,383.55,394.90,45900,394.90
2014-12-30,381.25,390.70,381.25,387.40,31400,387.40
2014-12-29,380.00,388.20,380.00,385.10,35600,385.10
2014-12-26,385.35,390.80,378.50,383.10,91300,383.10
2014-12-25,387.55,387.55,387.55,387.55,000,387.55
2014-12-24,379.00,399.70,375.40,387.55,302500,387.55
2014-12-23,376.00,387.55,370.00,380.00,93400,380.00
2014-12-22,370.00,388.45,370.00,379.35,113900,379.35
2014-12-19,372.00,377.35,368.55,371.10,87200,371.10
2014-12-18,375.00,380.00,365.00,368.50,61600,368.50
2014-12-17,366.00,375.35,358.50,362.45,80300,362.45
2014-12-16,390.00,391.20,362.65,369.65,92500,369.65
2014-12-15,383.00,397.00,378.70,392.15,69600,392.15
2014-12-12,402.80,404.15,382.85,385.95,86200,385.95
2014-12-11,407.95,413.20,396.85,399.80,148500,399.80
2014-12-10,393.50,423.65,391.40,409.30,605700,409.30
2014-12-09,398.00,402.15,384.45,388.55,120800,388.55
2014-12-08,405.00,405.00,379.35,383.25,34300,383.25
2014-12-05,400.00,401.20,392.40,394.65,23100,394.65
2014-12-04,400.05,406.85,396.00,398.95,34400,398.95
2014-12-03,379.00,407.80,377.05,400.00,203000,400.00
2014-12-02,371.70,378.70,368.90,374.10,15800,374.10
2014-12-01,374.00,378.80,363.60,375.45,18600,375.45
2014-11-28,381.75,386.60,362.00,366.05,54600,366.05
2014-11-27,375.90,383.90,375.55,380.45,25200,380.45
2014-11-26,383.00,384.00,373.00,375.25,23000,375.25
2014-11-25,394.20,394.20,375.50,379.25,26200,379.25
