Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,69.60,72.95,69.20,70.90,749500,70.90
2015-07-16,68.70,70.95,67.25,69.30,445500,69.30
2015-07-15,67.80,69.25,67.00,67.25,219000,67.25
2015-07-14,66.85,69.35,65.90,67.40,564800,67.40
2015-07-13,68.00,69.20,65.35,65.80,433400,65.80
2015-07-10,64.40,70.40,64.00,68.15,761800,68.15
2015-07-09,66.20,68.60,64.05,64.95,279100,64.95
2015-07-08,66.90,68.35,64.10,65.80,367200,65.80
2015-07-07,71.50,72.70,67.25,68.10,788300,68.10
2015-07-06,67.00,71.25,66.15,70.65,720000,70.65
2015-07-03,70.25,71.50,66.60,67.95,365900,67.95
2015-07-02,73.80,75.70,69.20,69.85,369600,69.85
2015-07-01,73.35,77.85,72.50,73.75,911200,73.75
2015-06-30,64.45,72.10,64.15,71.40,544800,71.40
2015-06-29,64.50,65.40,62.45,64.60,130700,64.60
2015-06-26,68.35,68.60,66.30,67.10,110000,67.10
2015-06-25,68.85,69.70,66.75,68.15,126900,68.15
2015-06-24,70.50,73.75,67.70,68.45,432700,68.45
2015-06-23,65.35,71.40,65.10,70.30,441800,70.30
2015-06-22,65.75,66.25,63.90,64.95,168300,64.95
2015-06-19,62.90,65.90,61.75,64.70,352200,64.70
2015-06-18,60.45,61.50,60.45,61.50,130400,61.50
2015-06-17,59.45,62.10,59.25,60.25,216800,60.25
2015-06-16,58.55,59.90,57.45,59.10,161800,59.10
2015-06-15,58.20,60.55,57.40,59.05,151200,59.05
2015-06-12,58.00,60.00,57.15,57.80,105100,57.80
2015-06-11,63.65,63.85,56.55,58.60,121500,58.60
2015-06-10,60.95,63.40,60.95,62.40,98300,62.40
2015-06-09,60.85,61.60,58.65,59.90,87100,59.90
2015-06-08,63.10,63.55,59.45,60.30,76500,60.30
2015-06-05,61.20,63.80,61.20,62.85,173700,62.85
2015-06-04,62.20,64.70,60.15,61.90,146200,61.90
2015-06-03,65.30,65.90,55.10,62.45,255300,62.45
2015-06-02,67.00,69.80,64.80,65.30,223300,65.30
2015-06-01,71.00,71.25,66.30,66.85,253400,66.85
2015-05-29,71.70,74.10,69.75,70.45,420200,70.45
2015-05-28,66.30,71.65,66.00,71.00,546900,71.00
2015-05-27,63.40,66.90,62.80,65.75,123400,65.75
2015-05-26,64.50,65.75,63.00,63.80,84400,63.80
2015-05-25,63.25,66.60,62.45,63.90,178800,63.90
2015-05-22,64.00,64.75,62.70,63.10,62600,63.10
2015-05-21,64.50,64.75,62.15,64.05,140700,64.05
2015-05-20,66.40,66.90,63.80,64.20,103800,64.20
2015-05-19,67.50,68.50,65.10,65.70,163000,65.70
2015-05-18,66.00,68.60,64.60,67.35,207500,67.35
2015-05-15,60.10,67.00,60.10,65.05,464600,65.05
2015-05-14,58.50,60.90,57.80,59.80,112100,59.80
2015-05-13,58.45,59.90,57.05,58.90,72400,58.90
2015-05-12,60.70,61.50,57.35,57.90,61800,57.90
2015-05-11,60.60,62.20,60.40,61.15,110000,61.15
2015-05-08,59.15,61.20,58.85,60.05,161600,60.05
2015-05-07,60.75,62.75,56.50,57.90,256500,57.90
2015-05-06,66.60,67.15,61.20,61.75,198500,61.75
2015-05-05,69.00,71.80,66.05,67.00,249600,67.00
2015-05-04,65.50,69.25,65.20,68.10,204300,68.10
2015-05-01,65.00,65.00,65.00,65.00,000,65.00
2015-04-30,66.00,66.80,64.05,65.00,155200,65.00
2015-04-29,67.00,68.40,63.30,65.90,243100,65.90
2015-04-28,60.50,66.30,59.15,65.50,294800,65.50
2015-04-27,67.90,68.00,61.75,62.40,210400,62.40
2015-04-24,72.95,72.95,66.20,67.20,249600,67.20
2015-04-23,74.00,74.70,71.40,72.50,139600,72.50
2015-04-22,73.80,74.25,70.45,72.85,202800,72.85
2015-04-21,71.95,75.80,70.30,73.20,232300,73.20
2015-04-20,76.50,76.60,70.45,71.80,186000,71.80
2015-04-17,78.60,81.45,75.75,76.20,214100,76.20
2015-04-16,80.70,81.60,77.45,79.15,173100,79.15
2015-04-15,83.00,84.40,79.40,80.45,211700,80.45
2015-04-14,82.95,82.95,82.95,82.95,000,82.95
2015-04-13,82.25,85.30,81.55,82.95,400000,82.95
2015-04-10,81.50,84.30,80.50,81.75,205500,81.75
2015-04-09,84.25,85.60,79.15,82.55,263000,82.55
2015-04-08,84.45,88.75,81.50,83.75,735200,83.75
2015-04-07,75.45,87.20,73.25,84.55,1202100,84.55
2015-04-06,72.00,75.40,70.35,74.05,325100,74.05
2015-04-03,72.00,72.00,72.00,72.00,000,72.00
2015-04-02,72.00,72.00,72.00,72.00,000,72.00
2015-04-01,68.75,73.30,68.00,72.00,218100,72.00
2015-03-31,71.75,72.70,68.25,68.95,269700,68.95
2015-03-30,64.00,68.50,64.00,68.50,185500,68.50
2015-03-27,63.50,64.10,58.20,62.30,198200,62.30
2015-03-26,64.75,65.00,61.55,62.55,137600,62.55
2015-03-25,67.00,67.70,65.10,65.55,113600,65.55
2015-03-24,67.30,68.30,66.10,66.70,156500,66.70
2015-03-23,66.05,69.30,64.05,66.20,258600,66.20
2015-03-20,68.60,69.85,64.55,65.20,153300,65.20
2015-03-19,71.60,73.25,67.35,68.25,461800,68.25
2015-03-18,67.45,73.00,65.20,70.60,531800,70.60
