Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,98.50,98.95,98.00,98.00,66800,98.00
2015-07-16,99.70,100.00,98.05,98.40,32400,98.40
2015-07-15,98.00,99.80,98.00,99.25,27500,99.25
2015-07-14,99.20,100.30,98.50,99.20,26400,99.20
2015-07-13,99.70,99.70,98.00,98.25,32600,98.25
2015-07-10,99.55,100.15,98.00,98.50,22100,98.50
2015-07-09,98.50,101.75,98.35,99.05,55400,99.05
2015-07-08,96.00,100.40,96.00,98.05,47300,98.05
2015-07-07,100.10,102.20,98.60,99.40,87500,99.40
2015-07-06,96.00,104.70,96.00,100.50,207800,100.50
2015-07-03,95.90,99.40,95.00,97.55,154000,97.55
2015-07-02,99.80,100.00,95.20,95.25,287900,95.25
2015-07-01,92.90,94.90,90.35,94.90,304500,94.90
2015-06-30,75.85,82.80,75.00,79.10,42800,79.10
2015-06-29,74.65,74.65,72.00,74.00,7600,74.00
2015-06-26,79.00,79.45,75.00,75.85,19100,75.85
2015-06-25,74.55,78.70,74.50,77.85,12100,77.85
2015-06-24,75.00,76.95,74.00,76.20,18800,76.20
2015-06-23,72.95,75.90,71.90,75.00,15100,75.00
2015-06-22,73.10,73.10,71.60,72.20,8700,72.20
2015-06-19,73.15,74.10,71.50,73.25,5000,73.25
2015-06-18,68.45,74.50,67.00,73.65,32100,73.65
2015-06-17,66.65,69.35,66.10,68.35,14000,68.35
2015-06-16,68.10,68.30,64.55,64.95,19200,64.95
2015-06-15,68.10,68.20,65.75,66.50,4600,66.50
2015-06-12,66.15,67.55,65.70,65.90,4500,65.90
2015-06-11,69.80,71.20,66.00,66.35,5400,66.35
2015-06-10,69.00,70.45,68.05,69.90,3000,69.90
2015-06-09,71.20,72.05,67.75,68.35,11200,68.35
2015-06-08,74.35,74.35,69.90,71.15,46400,71.15
2015-06-05,74.00,75.40,73.50,74.25,13600,74.25
2015-06-04,74.35,75.00,73.45,74.00,4600,74.00
2015-06-03,76.35,76.35,72.45,73.45,12900,73.45
2015-06-02,78.30,78.35,76.35,77.00,34200,77.00
2015-06-01,74.90,76.80,74.00,76.15,17600,76.15
2015-05-29,76.70,78.00,74.00,74.00,18300,74.00
2015-05-28,77.40,77.55,75.90,75.90,3400,75.90
2015-05-27,76.05,78.30,76.05,77.85,4600,77.85
2015-05-26,77.60,77.70,77.00,77.35,1700,77.35
2015-05-25,76.80,79.50,76.80,77.75,6100,77.75
2015-05-22,79.45,79.50,77.15,78.05,8600,78.05
2015-05-21,81.00,81.00,78.15,79.05,5100,79.05
2015-05-20,81.70,82.50,80.05,80.25,4500,80.25
2015-05-19,79.00,81.50,79.00,80.70,6600,80.70
2015-05-18,78.40,80.00,77.30,79.20,28500,79.20
2015-05-15,79.50,79.90,77.00,77.20,8600,77.20
2015-05-14,78.60,79.90,78.25,79.90,2500,79.90
2015-05-13,76.30,79.35,76.30,78.00,6300,78.00
2015-05-12,78.90,78.90,76.10,77.00,17200,77.00
2015-05-11,74.25,79.95,74.25,79.55,7300,79.55
2015-05-08,74.90,76.40,74.00,74.35,24900,74.35
2015-05-07,76.85,77.00,73.25,73.80,15000,73.80
2015-05-06,80.20,80.20,78.00,78.85,5600,78.85
2015-05-05,81.60,82.00,80.15,80.40,8700,80.40
2015-05-04,80.00,82.15,80.00,81.00,7700,81.00
2015-05-01,79.25,79.25,79.25,79.25,000,79.25
2015-04-30,78.35,80.45,78.35,79.25,4000,79.25
2015-04-29,80.30,81.10,78.00,78.95,8200,78.95
2015-04-28,79.55,80.95,78.55,79.75,9600,79.75
2015-04-27,81.50,81.50,77.00,78.15,37600,78.15
2015-04-24,83.35,83.60,79.50,80.35,14700,80.35
2015-04-23,85.00,86.85,83.55,84.30,19800,84.30
2015-04-22,85.70,86.85,82.70,84.75,10600,84.75
2015-04-21,86.70,87.00,84.95,85.25,8700,85.25
2015-04-20,88.05,88.50,85.50,86.05,4500,86.05
2015-04-17,89.70,89.90,87.65,88.70,9300,88.70
2015-04-16,90.70,90.70,88.60,89.05,8200,89.05
2015-04-15,93.10,94.00,89.50,90.05,12900,90.05
2015-04-14,93.20,93.20,93.20,93.20,000,93.20
2015-04-13,94.45,96.45,92.55,93.20,52200,93.20
2015-04-10,94.05,96.70,94.05,95.10,19500,95.10
2015-04-09,95.00,99.70,93.40,95.40,45700,95.40
2015-04-08,92.80,96.50,92.60,94.50,35600,94.50
2015-04-07,91.50,93.00,89.25,92.50,61000,92.50
2015-04-06,88.20,92.60,86.90,91.50,20000,91.50
2015-04-03,87.50,87.50,87.50,87.50,000,87.50
2015-04-02,87.50,87.50,87.50,87.50,000,87.50
2015-04-01,83.50,88.85,83.50,87.50,25900,87.50
2015-03-31,85.00,85.50,83.15,83.50,20200,83.50
2015-03-30,82.70,85.00,81.90,84.25,20900,84.25
2015-03-27,80.70,82.40,80.20,80.95,19500,80.95
2015-03-26,82.00,83.00,79.00,79.60,28500,79.60
2015-03-25,79.40,84.00,78.95,83.30,45300,83.30
2015-03-24,83.20,83.45,78.80,79.40,39200,79.40
2015-03-23,87.05,88.00,82.35,82.90,47800,82.90
2015-03-20,89.00,90.55,86.15,87.00,22200,87.00
2015-03-19,92.00,93.45,88.60,89.65,33000,89.65
2015-03-18,90.10,93.95,90.05,91.10,50000,91.10
2015-03-17,92.90,95.30,90.50,90.95,27800,90.95
2015-03-16,94.00,96.45,91.00,92.50,27700,92.50
2015-03-13,94.80,95.45,92.25,92.60,20200,92.60
2015-03-12,94.00,97.10,92.40,94.00,21200,94.00
2015-03-11,94.80,95.90,92.65,93.90,21300,93.90
2015-03-10,97.00,97.40,93.25,94.05,21200,94.05
2015-03-09,100.00,100.95,96.00,96.50,33700,96.50
2015-03-06,101.50,101.50,101.50,101.50,000,101.50
2015-03-05,100.80,104.40,100.10,101.50,142000,101.50
2015-03-04,100.00,104.95,97.60,98.65,391900,98.65
2015-03-03,90.10,92.00,89.95,91.10,18300,91.10
2015-03-02,92.20,92.95,89.70,89.90,25100,89.90
2015-02-27,93.55,94.50,91.15,92.75,23900,92.75
2015-02-26,90.15,92.95,89.50,91.95,48600,91.95
2015-02-25,91.50,91.65,89.00,89.55,20600,89.55
2015-02-24,92.15,92.75,90.00,90.10,25300,90.10
2015-02-23,94.80,94.80,92.00,92.50,41800,92.50
2015-02-20,93.00,96.65,92.00,92.55,59200,92.55
2015-02-19,92.25,95.90,90.75,92.55,110600,92.55
2015-02-18,89.80,96.65,88.20,93.65,74400,93.65
2015-02-17,88.95,88.95,88.95,88.95,000,88.95
2015-02-16,89.00,89.95,86.60,88.95,47900,88.95
2015-02-13,91.75,93.10,89.05,90.90,52000,90.90
2015-02-12,91.90,94.60,89.55,90.00,67700,90.00
2015-02-11,90.70,92.05,90.15,90.90,25200,90.90
2015-02-10,93.70,95.15,89.00,89.75,19800,89.75
2015-02-09,94.00,95.70,91.95,92.55,21100,92.55
2015-02-06,101.40,102.45,93.60,94.35,100700,94.35
2015-02-05,103.00,105.35,98.95,100.45,84400,100.45
2015-02-04,103.50,106.10,98.40,102.80,173200,102.80
2015-02-03,107.95,107.95,101.50,102.55,204600,102.55
2015-02-02,98.00,114.00,98.00,110.80,1058100,110.80
2015-01-30,94.80,99.00,94.70,97.95,67700,97.95
2015-01-29,95.05,96.00,94.50,95.10,56600,95.10
2015-01-28,91.40,95.70,91.40,94.80,121200,94.80
2015-01-27,88.50,91.50,88.00,90.90,8000,90.90
2015-01-26,88.80,88.80,88.80,88.80,000,88.80
2015-01-23,88.10,89.45,87.00,88.80,22600,88.80
2015-01-22,90.95,90.95,86.95,87.20,16500,87.20
2015-01-21,88.00,90.50,85.00,89.55,57800,89.55
2015-01-20,85.00,89.65,85.00,86.00,17400,86.00
2015-01-19,87.75,88.10,84.00,84.30,14800,84.30
2015-01-16,85.40,89.00,84.80,87.05,24200,87.05
2015-01-15,81.05,88.20,80.70,87.00,58900,87.00
2015-01-14,81.30,82.45,80.00,80.45,7900,80.45
2015-01-13,82.60,82.60,82.05,82.15,4200,82.15
2015-01-12,82.00,82.55,80.00,82.05,6700,82.05
2015-01-09,83.00,83.50,78.70,79.00,15100,79.00
2015-01-08,79.00,83.80,77.30,82.40,74600,82.40
2015-01-07,77.00,79.00,76.20,76.90,9800,76.90
2015-01-06,81.00,81.00,76.10,77.00,10800,77.00
2015-01-05,82.50,82.80,81.30,81.55,2800,81.55
2015-01-02,84.25,84.25,81.70,82.45,9800,82.45
2015-01-01,81.85,84.85,81.55,83.90,46000,83.90
2014-12-31,76.20,82.25,76.20,81.00,36400,81.00
2014-12-30,76.00,77.40,75.40,76.75,5500,76.75
2014-12-29,75.20,76.20,74.70,75.20,7500,75.20
2014-12-26,76.65,77.00,73.15,74.65,15500,74.65
2014-12-25,77.10,77.10,77.10,77.10,000,77.10
2014-12-24,77.40,77.80,75.95,77.10,16300,77.10
2014-12-23,78.65,78.70,77.05,77.35,10800,77.35
2014-12-22,78.20,82.30,77.25,77.75,23400,77.75
2014-12-19,80.40,81.50,78.55,79.15,11300,79.15
2014-12-18,77.00,79.25,76.55,78.60,6200,78.60
2014-12-17,79.85,81.45,75.25,76.25,20800,76.25
2014-12-16,83.05,83.30,80.00,80.60,16000,80.60
2014-12-15,87.00,87.10,83.25,83.80,11100,83.80
2014-12-12,85.05,85.80,83.45,84.40,8800,84.40
2014-12-11,87.05,87.65,83.50,84.45,59100,84.45
2014-12-10,84.00,88.20,84.00,88.05,62300,88.05
2014-12-09,85.00,85.95,83.75,84.10,54600,84.10
2014-12-08,87.00,87.50,84.25,84.30,13800,84.30
2014-12-05,87.80,87.85,85.15,85.50,9600,85.50
2014-12-04,89.85,90.00,86.40,87.35,20700,87.35
2014-12-03,87.45,90.00,86.05,88.85,23800,88.85
2014-12-02,85.05,87.00,84.55,86.55,10900,86.55
2014-12-01,86.00,86.05,84.50,84.75,14900,84.75
2014-11-28,84.65,88.80,84.55,86.40,14800,86.40
2014-11-27,85.55,88.25,85.55,86.45,6800,86.45
