Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,824.00,826.50,815.50,819.75,12300,819.75
2015-07-16,820.00,828.75,816.25,820.00,7100,820.00
2015-07-15,810.00,834.00,810.00,822.25,7800,822.25
2015-07-14,809.25,829.00,809.00,811.00,8900,811.00
2015-07-13,810.00,815.00,805.00,809.00,3700,809.00
2015-07-10,810.00,815.00,803.00,806.25,3400,806.25
2015-07-09,809.00,816.00,801.00,803.25,3000,803.25
2015-07-08,805.00,811.75,800.00,805.75,3000,805.75
2015-07-07,818.75,820.00,807.00,809.50,4900,809.50
2015-07-06,801.00,819.75,801.00,812.75,5500,812.75
2015-07-03,801.75,810.75,801.50,807.25,2500,807.25
2015-07-02,805.00,808.00,794.00,796.50,5000,796.50
2015-07-01,805.25,808.00,800.00,802.25,4000,802.25
2015-06-30,800.50,805.50,792.00,800.75,4500,800.75
2015-06-29,796.00,807.75,787.00,800.50,5600,800.50
2015-06-26,810.00,813.50,802.00,804.25,3900,804.25
2015-06-25,807.00,815.00,806.75,812.50,3400,812.50
2015-06-24,815.00,820.00,805.00,806.50,6500,806.50
2015-06-23,822.25,824.75,811.25,815.00,7400,815.00
2015-06-22,820.00,835.00,811.00,818.25,14700,818.25
2015-06-19,815.00,829.75,813.50,825.50,10700,825.50
2015-06-18,821.25,825.75,0.01,816.75,3300,816.75
2015-06-17,827.00,834.75,810.00,814.50,10800,814.50
2015-06-16,836.75,856.00,818.50,822.00,13800,822.00
2015-06-15,826.00,843.00,817.00,838.25,6400,838.25
2015-06-12,820.00,849.75,812.00,827.75,9200,827.75
2015-06-11,820.00,850.00,790.00,835.75,6600,835.75
2015-06-10,788.25,816.00,788.25,810.25,3700,810.25
2015-06-09,772.00,785.50,768.00,780.75,1600,780.75
2015-06-08,792.00,800.50,770.50,772.00,2000,772.00
2015-06-05,786.75,798.25,785.25,790.50,2400,790.50
2015-06-04,785.00,796.50,775.25,783.25,3000,783.25
2015-06-03,795.00,796.50,764.50,782.75,7300,782.75
2015-06-02,815.25,815.25,795.25,799.00,2700,799.00
2015-06-01,823.50,828.75,813.50,814.25,2600,814.25
2015-05-29,819.00,827.00,809.75,815.75,3700,815.75
2015-05-28,820.00,828.00,815.50,816.50,2400,816.50
2015-05-27,825.00,826.25,810.00,816.25,3400,816.25
2015-05-26,833.00,835.00,820.25,824.50,1500,824.50
2015-05-25,841.75,843.00,826.00,829.75,1000,829.75
2015-05-22,837.00,854.00,835.00,843.25,2400,843.25
2015-05-21,837.00,846.00,825.25,837.25,2800,837.25
2015-05-20,834.25,852.00,832.75,837.00,4400,837.00
2015-05-19,826.50,838.25,823.25,833.00,2500,833.00
2015-05-18,823.75,826.50,817.25,821.75,1200,821.75
2015-05-15,822.25,825.75,815.50,817.50,1200,817.50
2015-05-14,822.00,828.25,815.50,817.50,1600,817.50
2015-05-13,823.50,837.00,820.50,824.50,1600,824.50
2015-05-12,815.00,823.75,810.00,815.75,2800,815.75
2015-05-11,820.00,827.50,815.00,821.00,4300,821.00
2015-05-08,827.50,829.00,811.00,815.75,6400,815.75
2015-05-07,824.75,831.50,795.00,800.50,10100,800.50
2015-05-06,862.75,863.00,817.50,826.00,4900,826.00
2015-05-05,850.00,864.00,848.25,858.25,3300,858.25
2015-05-04,842.50,852.75,836.00,848.75,2800,848.75
2015-05-01,839.25,839.25,839.25,839.25,000,839.25
2015-04-30,825.50,842.25,821.00,839.25,4100,839.25
2015-04-29,815.25,838.00,815.25,830.00,3000,830.00
