Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,84.00,84.45,83.00,83.00,500,83.00
2015-07-16,85.80,85.80,83.00,83.85,1500,83.85
2015-07-15,85.00,86.80,84.50,85.50,100,85.50
2015-07-14,83.50,86.80,83.50,84.50,1400,84.50
2015-07-13,84.00,84.00,83.50,83.55,000,83.55
2015-07-10,85.05,85.15,83.10,83.50,600,83.50
2015-07-09,87.00,88.00,85.00,85.85,1000,85.85
2015-07-08,86.90,88.80,83.15,84.30,2000,84.30
2015-07-07,87.80,90.50,85.50,85.90,2700,85.90
2015-07-06,88.00,89.00,86.30,86.40,1300,86.40
2015-07-03,88.00,88.00,86.80,87.10,400,87.10
2015-07-02,90.00,90.00,86.00,87.80,200,87.80
2015-07-01,90.00,90.00,88.00,88.00,000,88.00
2015-06-30,90.00,91.30,87.00,87.50,200,87.50
2015-06-29,89.00,89.00,87.00,88.00,000,88.00
2015-06-26,91.95,91.95,91.95,91.95,000,91.95
2015-06-25,91.00,91.95,90.50,91.95,000,91.95
2015-06-24,90.00,90.80,88.90,90.80,300,90.80
2015-06-23,90.50,91.75,90.00,91.75,2500,91.75
2015-06-22,90.00,93.00,90.00,92.05,000,92.05
2015-06-19,87.50,90.00,87.50,89.00,500,89.00
2015-06-18,88.00,88.00,88.00,88.00,000,88.00
2015-06-17,89.00,89.00,87.00,88.00,100,88.00
2015-06-16,90.70,90.70,90.70,90.70,000,90.70
2015-06-15,91.00,92.00,89.60,90.70,1100,90.70
2015-06-12,88.60,92.00,88.60,91.10,9000,91.10
2015-06-11,88.50,88.50,88.50,88.50,000,88.50
2015-06-10,91.90,91.90,88.50,88.50,000,88.50
2015-06-09,88.00,92.00,88.00,92.00,000,92.00
2015-06-08,90.00,91.95,88.00,91.95,500,91.95
2015-06-05,92.00,92.00,92.00,92.00,000,92.00
2015-06-04,90.00,92.00,90.00,92.00,100,92.00
2015-06-03,90.00,90.00,88.05,88.10,200,88.10
2015-06-02,90.10,90.10,90.10,90.10,000,90.10
2015-06-01,92.00,93.00,90.10,90.10,300,90.10
2015-05-29,91.00,91.00,90.00,91.00,600,91.00
2015-05-28,91.00,93.05,89.90,91.90,6100,91.90
2015-05-27,92.00,92.00,91.00,91.00,200,91.00
2015-05-26,92.35,92.35,91.00,91.00,000,91.00
2015-05-25,90.00,92.80,90.00,92.80,200,92.80
2015-05-22,89.20,90.00,89.00,89.90,1500,89.90
2015-05-21,91.65,91.65,89.05,90.35,400,90.35
2015-05-20,92.00,92.00,92.00,92.00,000,92.00
2015-05-19,92.00,92.00,92.00,92.00,000,92.00
2015-05-18,92.00,92.00,92.00,92.00,000,92.00
2015-05-15,92.00,92.00,92.00,92.00,100,92.00
2015-05-14,90.00,90.00,90.00,90.00,000,90.00
2015-05-13,90.00,90.00,90.00,90.00,100,90.00
2015-05-12,92.00,92.00,90.00,90.00,000,90.00
2015-05-11,90.00,92.00,90.00,92.00,000,92.00
2015-05-08,90.00,92.00,89.20,89.80,1100,89.80
2015-05-07,89.85,89.85,89.85,89.85,000,89.85
2015-05-06,92.00,92.00,88.05,89.85,100,89.85
2015-05-05,91.00,92.00,91.00,92.00,200,92.00
2015-05-04,90.00,93.00,90.00,91.90,900,91.90
2015-05-01,90.00,90.00,90.00,90.00,000,90.00
2015-04-30,90.00,90.00,90.00,90.00,500,90.00
2015-04-29,87.00,88.75,87.00,88.75,000,88.75
2015-04-28,88.50,88.50,86.10,87.00,000,87.00
2015-04-27,91.00,92.50,87.80,90.00,800,90.00
2015-04-24,89.50,90.00,89.50,90.00,500,90.00
2015-04-23,89.50,89.50,86.25,89.25,200,89.25
2015-04-22,87.00,87.00,87.00,87.00,000,87.00
2015-04-21,87.40,87.40,87.00,87.00,200,87.00
2015-04-20,88.00,88.90,86.20,86.25,900,86.25
2015-04-17,90.00,95.00,87.00,89.50,8000,89.50
