Date,Open,High,Low,Close,Volume,Adj Close
2015-06-05,28.35,28.35,26.55,26.55,59200,26.55
2015-06-04,26.05,28.75,26.05,27.90,235100,27.90
2015-06-03,27.40,27.40,27.40,27.40,9100,27.40
2015-06-02,28.80,28.80,28.80,28.80,12800,28.80
2015-06-01,30.30,30.30,30.30,30.30,9500,30.30
2015-05-29,34.20,34.20,31.85,31.85,112200,31.85
2015-05-28,32.85,33.50,32.10,33.50,213900,33.50
2015-05-27,30.50,31.95,29.40,31.95,129800,31.95
2015-05-26,31.10,31.75,30.40,30.45,168300,30.45
2015-05-25,32.10,33.90,31.95,32.00,206200,32.00
2015-05-22,36.00,36.10,33.60,33.60,277400,33.60
2015-05-21,33.40,35.35,31.70,35.35,613600,35.35
2015-05-20,29.90,32.35,28.55,32.15,360800,32.15
2015-05-19,30.05,30.90,28.80,29.45,236800,29.45
2015-05-18,28.40,30.40,28.20,30.00,392800,30.00
2015-05-15,27.50,28.75,27.50,27.85,218800,27.85
2015-05-14,25.75,28.30,25.75,27.65,270800,27.65
2015-05-13,25.50,27.20,25.30,26.20,128600,26.20
2015-05-12,27.05,27.05,25.00,25.20,74100,25.20
2015-05-11,26.95,27.90,26.55,26.95,105400,26.95
2015-05-08,26.25,27.20,25.95,26.50,263800,26.50
2015-05-07,24.35,27.10,24.35,25.55,364400,25.55
2015-05-06,26.00,26.65,24.40,24.65,132400,24.65
2015-05-05,25.60,27.00,24.50,26.75,210300,26.75
2015-05-04,29.00,29.40,25.40,26.35,375600,26.35
2015-05-01,28.05,28.05,28.05,28.05,000,28.05
2015-04-30,26.00,28.65,25.35,28.05,315900,28.05
2015-04-29,25.50,27.65,24.00,26.50,338500,26.50
2015-04-28,24.40,26.90,23.40,25.30,482100,25.30
2015-04-27,27.00,28.75,25.95,25.95,311000,25.95
2015-04-24,34.00,35.10,28.80,28.80,2505200,28.80
2015-04-23,30.45,31.95,30.20,31.95,653400,31.95
2015-04-22,27.50,29.05,27.00,29.05,1431100,29.05
2015-04-21,23.00,27.00,22.75,26.45,1116300,26.45
2015-04-20,23.80,23.80,21.70,22.50,823600,22.50
2015-04-17,20.00,24.40,20.00,24.20,2146500,24.20
2015-04-16,21.95,22.35,19.75,20.35,368300,20.35
2015-04-15,22.25,23.05,21.20,21.45,532100,21.45
2015-04-14,21.75,21.75,21.75,21.75,000,21.75
2015-04-13,21.40,23.25,20.40,21.75,973900,21.75
2015-04-10,19.30,21.50,19.30,20.80,707200,20.80
2015-04-09,20.00,21.75,18.70,19.05,368100,19.05
2015-04-08,19.40,22.90,19.35,19.70,841000,19.70
2015-04-07,16.50,19.25,16.50,19.10,1600200,19.10
2015-04-06,16.95,16.95,15.55,16.05,230200,16.05
2015-04-03,16.20,16.20,16.20,16.20,000,16.20
2015-04-02,16.20,16.20,16.20,16.20,000,16.20
2015-04-01,15.00,16.45,15.00,16.20,102100,16.20
2015-03-31,15.10,15.98,14.46,15.27,105200,15.27
2015-03-30,15.00,15.93,13.80,14.86,579900,14.86
2015-03-27,16.50,16.50,14.00,14.49,59400,14.49
2015-03-26,16.25,16.70,15.00,15.06,29600,15.06
2015-03-25,17.35,17.35,16.00,16.48,112900,16.48
2015-03-24,16.10,17.65,16.10,16.73,30200,16.73
2015-03-23,16.10,17.80,16.10,16.70,5800,16.70
2015-03-20,19.69,19.69,17.16,17.30,27900,17.30
2015-03-19,20.29,20.29,18.80,19.06,290100,19.06
2015-03-18,19.80,20.03,18.25,18.45,253200,18.45
2015-03-17,16.00,18.21,14.50,18.21,48900,18.21
2015-03-16,13.00,15.63,13.00,15.18,46500,15.18
2015-03-13,13.05,13.10,12.95,13.03,3200,13.03
2015-03-12,12.70,13.40,12.70,13.11,900,13.11
2015-03-11,12.75,13.47,12.25,13.01,8500,13.01
2015-03-10,13.00,13.25,12.15,12.30,10500,12.30
2015-03-09,13.74,13.74,12.05,12.05,1600,12.05
2015-03-06,12.56,12.56,12.56,12.56,000,12.56
2015-03-05,12.91,13.25,12.55,12.56,4400,12.56
2015-03-04,12.78,12.90,12.51,12.62,12600,12.62
2015-03-03,13.80,13.80,13.05,13.18,15800,13.18
2015-03-02,13.49,13.60,13.00,13.60,10100,13.60
2015-02-27,12.00,12.00,11.65,11.99,5600,11.99
2015-02-26,12.00,12.25,11.80,11.86,8300,11.86
2015-02-25,12.70,12.70,11.51,11.71,700,11.71
2015-02-24,12.01,12.25,11.50,12.25,4600,12.25
2015-02-23,12.50,12.51,12.00,12.50,6000,12.50
2015-02-20,11.22,13.97,11.22,12.65,21900,12.65
2015-02-19,11.75,12.90,11.65,12.33,4800,12.33
2015-02-18,12.00,12.00,11.03,11.39,7600,11.39
2015-02-17,11.34,11.34,11.34,11.34,000,11.34
2015-02-16,12.95,12.95,11.31,11.34,15900,11.34
2015-02-13,12.50,13.40,11.65,12.60,17000,12.60
2015-02-12,12.20,12.95,10.75,12.44,16300,12.44
2015-02-11,11.99,11.99,10.51,11.41,1000,11.41
2015-02-10,10.11,12.55,10.11,11.15,15800,11.15
2015-02-09,10.00,10.62,10.00,10.50,1600,10.50
2015-02-06,10.00,10.70,10.00,10.01,1300,10.01
2015-02-05,10.10,10.10,10.10,10.10,2000,10.10
2015-02-04,10.21,10.30,10.10,10.16,1300,10.16
2015-02-03,10.21,11.10,10.00,10.45,1500,10.45
2015-02-02,10.50,10.75,10.50,10.75,500,10.75
2015-01-30,10.02,10.80,10.00,10.80,1100,10.80
2015-01-29,10.00,11.30,10.00,10.51,11900,10.51
2015-01-28,9.90,10.98,9.90,10.66,3400,10.66
2015-01-27,10.50,10.60,10.05,10.46,3700,10.46
2015-01-26,10.40,10.40,10.40,10.40,000,10.40
2015-01-23,10.70,10.98,10.01,10.40,1500,10.40
2015-01-22,10.90,10.90,9.60,10.47,20400,10.47
2015-01-21,10.46,10.90,10.46,10.68,2300,10.68
2015-01-20,10.75,11.10,10.50,10.99,1200,10.99
2015-01-19,11.50,11.50,10.65,11.11,4300,11.11
2015-01-16,9.72,11.79,9.72,11.27,6900,11.27
2015-01-15,11.40,11.97,11.15,11.70,600,11.70
2015-01-14,11.00,11.45,11.00,11.45,1900,11.45
