Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,31.95,32.00,31.35,31.35,1200,31.35
2015-07-16,30.65,32.00,30.65,31.50,700,31.50
2015-07-15,33.00,33.00,30.75,30.90,5600,30.90
2015-07-14,30.50,33.50,30.50,31.55,3600,31.55
2015-07-13,29.90,30.35,29.10,30.35,200,30.35
2015-07-10,29.50,30.50,29.35,30.40,2800,30.40
2015-07-09,30.00,31.35,29.80,30.65,500,30.65
2015-07-08,30.50,31.40,29.70,30.20,1600,30.20
2015-07-07,30.40,30.85,30.00,30.85,100,30.85
2015-07-06,30.95,30.95,30.95,30.95,000,30.95
2015-07-03,29.50,33.00,29.50,30.75,4400,30.75
2015-07-02,30.00,31.25,30.00,31.25,000,31.25
2015-07-01,30.90,30.90,29.25,30.35,800,30.35
2015-06-30,30.90,31.20,29.05,31.05,800,31.05
2015-06-29,29.30,29.30,29.30,29.30,500,29.30
2015-06-26,29.90,30.15,28.40,29.45,600,29.45
2015-06-25,29.70,30.00,29.00,29.60,900,29.60
2015-06-24,28.70,28.70,28.70,28.70,100,28.70
2015-06-23,29.95,32.00,29.00,29.10,1500,29.10
2015-06-22,27.10,32.35,27.05,29.55,1400,29.55
2015-06-19,27.60,28.40,26.90,27.55,000,27.55
2015-06-18,28.40,28.50,28.40,28.50,500,28.50
2015-06-17,29.50,29.50,27.30,27.65,500,27.65
2015-06-16,28.50,28.50,28.50,28.50,000,28.50
2015-06-15,27.80,28.50,27.50,28.50,1900,28.50
2015-06-12,29.25,29.25,29.25,29.25,000,29.25
2015-06-11,29.25,29.25,29.25,29.25,000,29.25
2015-06-10,28.55,30.00,28.50,29.25,2200,29.25
2015-06-09,27.75,28.50,27.65,28.50,000,28.50
2015-06-08,28.60,29.30,27.20,27.20,1200,27.20
2015-06-05,28.30,31.00,28.30,30.50,3000,30.50
2015-06-04,30.25,30.25,28.15,29.40,1000,29.40
2015-06-03,30.00,31.00,28.60,28.85,1400,28.85
2015-06-02,29.10,30.00,28.60,28.75,1500,28.75
2015-06-01,30.00,33.00,29.30,29.30,4000,29.30
2015-05-29,31.20,31.20,31.05,31.05,100,31.05
2015-05-28,31.05,31.05,31.05,31.05,100,31.05
2015-05-27,31.90,32.40,31.90,32.40,500,32.40
2015-05-26,31.50,32.20,30.80,31.00,500,31.00
2015-05-25,33.50,33.50,31.70,32.10,1200,32.10
2015-05-22,31.60,33.00,30.30,32.70,2300,32.70
2015-05-21,30.20,30.85,30.20,30.85,100,30.85
2015-05-20,32.00,32.20,30.70,30.80,300,30.80
2015-05-19,32.05,32.05,31.30,31.75,2100,31.75
2015-05-18,33.00,33.00,33.00,33.00,000,33.00
2015-05-15,33.55,34.45,33.00,33.00,3500,33.00
2015-05-14,33.70,33.80,31.85,31.85,1300,31.85
2015-05-13,33.40,33.40,31.60,32.80,3300,32.80
2015-05-12,32.00,32.00,31.25,31.25,000,31.25
2015-05-11,32.55,32.55,32.55,32.55,000,32.55
2015-05-08,32.50,33.70,32.05,32.55,2000,32.55
2015-05-07,31.70,33.40,31.55,32.20,1000,32.20
2015-05-06,33.70,34.40,32.05,32.55,3300,32.55
2015-05-05,33.90,35.60,31.85,32.05,1500,32.05
2015-05-04,32.30,37.70,32.30,33.40,600,33.40
2015-05-01,32.90,32.90,32.90,32.90,000,32.90
2015-04-30,32.00,33.15,32.00,32.90,200,32.90
2015-04-29,34.25,34.30,31.50,32.55,1400,32.55
2015-04-28,30.55,32.50,30.50,32.50,600,32.50
2015-04-27,32.40,32.55,32.40,32.45,000,32.45
2015-04-24,32.10,32.10,31.05,31.10,2400,31.10
2015-04-23,33.00,34.00,32.95,33.90,1300,33.90
2015-04-22,31.20,33.00,31.20,32.20,1300,32.20
2015-04-21,33.20,34.30,31.75,32.90,13300,32.90
2015-04-20,34.00,35.00,32.50,33.10,2200,33.10
2015-04-17,33.50,35.20,33.00,33.95,7800,33.95
2015-04-16,33.00,34.05,32.25,33.45,8400,33.45
2015-04-15,32.90,33.00,31.30,32.25,13900,32.25
2015-04-14,32.60,32.60,32.60,32.60,000,32.60
2015-04-13,32.75,34.00,31.55,32.60,6900,32.60
2015-04-10,32.85,35.00,32.85,33.25,1900,33.25
2015-04-09,33.65,34.20,32.50,32.95,1500,32.95
2015-04-08,33.00,34.95,33.00,33.90,4600,33.90
2015-04-07,31.00,33.45,31.00,32.90,2100,32.90
2015-04-06,30.70,30.70,30.70,30.70,700,30.70
2015-04-03,30.25,30.25,30.25,30.25,000,30.25
2015-04-02,30.25,30.25,30.25,30.25,000,30.25
2015-04-01,30.80,30.90,28.50,30.25,3700,30.25
2015-03-31,30.00,30.60,29.35,29.45,800,29.45
2015-03-30,30.95,30.95,29.70,30.05,1100,30.05
2015-03-27,30.50,30.90,28.50,29.50,5000,29.50
2015-03-26,30.50,30.50,29.45,29.45,2000,29.45
2015-03-25,31.00,31.05,31.00,31.00,4900,31.00
2015-03-24,31.35,32.25,31.00,31.05,5200,31.05
2015-03-23,32.85,32.90,31.15,32.50,368000,32.50
2015-03-20,32.90,33.75,31.35,31.40,4900,31.40
2015-03-19,32.20,32.40,31.20,32.15,6900,32.15
2015-03-18,32.95,32.95,30.80,30.90,1700,30.90
2015-03-17,33.10,33.10,31.40,31.50,900,31.50
2015-03-16,31.80,33.45,31.10,31.95,2900,31.95
2015-03-13,33.90,33.90,32.25,32.50,4000,32.50
2015-03-12,32.05,33.70,32.00,33.35,101600,33.35
2015-03-11,32.05,33.50,31.80,32.25,800,32.25
2015-03-10,33.00,33.25,32.00,33.20,6300,33.20
2015-03-09,34.50,35.25,32.70,33.00,7700,33.00
2015-03-06,34.40,34.40,34.40,34.40,000,34.40
2015-03-05,34.60,35.50,34.15,34.40,3700,34.40
2015-03-04,37.90,37.90,34.55,34.85,28800,34.85
2015-03-03,34.00,36.10,32.70,36.10,16400,36.10
2015-03-02,35.50,35.50,34.30,34.40,13400,34.40
2015-02-27,36.40,36.40,36.40,36.40,2500,36.40
2015-02-26,34.70,34.70,31.40,34.70,79800,34.70
2015-02-25,33.05,33.05,33.05,33.05,1600,33.05
2015-02-24,31.50,31.50,31.50,31.50,7500,31.50
2015-02-23,30.00,30.00,30.00,30.00,600,30.00
2015-02-20,28.60,28.60,28.60,28.60,1500,28.60
2015-02-19,27.25,27.25,24.80,27.25,46200,27.25
2015-02-18,24.80,24.80,24.80,24.80,151200,24.80
2015-02-17,22.55,22.55,22.55,22.55,000,22.55
2015-02-16,22.55,22.55,22.55,22.55,7200,22.55
2015-02-13,20.50,20.50,20.40,20.50,41400,20.50
2015-02-12,20.10,21.50,18.45,18.65,120800,18.65
2015-02-11,19.00,20.90,18.00,20.45,40700,20.45
2015-02-10,24.80,25.15,19.65,19.65,194900,19.65
2015-02-09,27.45,27.50,24.00,24.55,22700,24.55
2015-02-06,27.10,27.15,26.30,26.35,900,26.35
2015-02-05,29.25,29.40,27.00,27.50,800,27.50
2015-02-04,27.90,27.90,27.90,27.90,000,27.90
2015-02-03,28.00,29.75,28.00,28.30,3300,28.30
2015-02-02,27.50,27.90,27.50,27.90,24000,27.90
2015-01-30,27.40,28.20,27.40,28.05,2000,28.05
2015-01-29,26.50,26.50,26.00,26.15,2900,26.15
2015-01-28,26.95,27.00,26.45,26.45,600,26.45
2015-01-27,27.00,27.00,27.00,27.00,300,27.00
2015-01-26,27.00,27.00,27.00,27.00,000,27.00
2015-01-23,27.00,27.00,26.50,27.00,1700,27.00
2015-01-22,28.60,28.80,27.25,27.30,8200,27.30
2015-01-21,27.35,28.40,27.35,28.40,2700,28.40
2015-01-20,27.95,28.80,27.50,27.70,15900,27.70
2015-01-19,29.25,29.25,27.95,28.10,5200,28.10
2015-01-16,28.50,29.00,28.45,28.45,1000,28.45
2015-01-15,30.50,30.50,28.50,28.55,5100,28.55
2015-01-14,28.75,29.00,28.15,28.55,2600,28.55
2015-01-13,28.25,28.25,28.25,28.25,300,28.25
2015-01-12,28.05,29.00,28.00,29.00,1300,29.00
2015-01-09,28.60,29.00,28.30,28.30,500,28.30
2015-01-08,28.70,30.00,28.15,28.75,18200,28.75
2015-01-07,28.30,28.30,27.70,27.90,1200,27.90
2015-01-06,29.20,30.20,28.10,28.10,3000,28.10
2015-01-05,28.80,30.70,28.80,29.75,200,29.75
2015-01-02,29.50,30.20,28.85,29.80,800,29.80
2015-01-01,29.50,31.05,28.30,29.15,5900,29.15
2014-12-31,28.00,30.50,27.75,28.45,5300,28.45
2014-12-30,28.20,28.20,28.00,28.00,300,28.00
2014-12-29,27.50,31.00,27.50,28.25,11300,28.25
2014-12-26,26.30,28.90,26.30,28.60,13800,28.60
2014-12-25,26.20,26.20,26.20,26.20,000,26.20
2014-12-24,27.40,28.00,26.00,26.20,3600,26.20
2014-12-23,26.05,27.05,25.75,26.20,100,26.20
2014-12-22,26.20,27.90,26.20,27.50,2700,27.50
2014-12-19,26.50,27.15,26.45,26.45,75000,26.45
2014-12-18,26.90,27.00,24.50,26.75,5300,26.75
2014-12-17,26.95,26.95,24.30,25.70,9400,25.70
2014-12-16,27.20,27.55,24.75,25.15,8800,25.15
2014-12-15,27.10,28.00,27.00,27.30,3200,27.30
2014-12-12,27.05,28.40,27.05,27.50,2500,27.50
2014-12-11,27.50,28.90,27.45,27.50,3900,27.50
2014-12-10,28.85,28.85,27.50,28.05,6800,28.05
2014-12-09,28.55,28.60,27.85,27.85,400,27.85
2014-12-08,28.10,28.20,28.00,28.20,1100,28.20
2014-12-05,29.00,29.00,29.00,29.00,000,29.00
2014-12-04,29.00,29.50,28.95,28.95,8900,28.95
2014-12-03,28.20,29.00,28.20,28.95,6200,28.95
2014-12-02,27.90,29.50,27.70,28.90,3300,28.90
