Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,189.50,201.00,185.10,198.20,24900,198.20
2015-07-16,189.00,194.00,187.00,187.80,18200,187.80
2015-07-15,187.00,189.80,184.00,188.10,24100,188.10
2015-07-14,180.90,187.00,180.00,185.20,15200,185.20
2015-07-13,179.60,181.30,176.40,180.90,8500,180.90
2015-07-10,181.50,182.00,177.50,178.20,5400,178.20
2015-07-09,176.80,181.00,176.00,179.40,8000,179.40
2015-07-08,178.70,179.00,173.50,175.70,5500,175.70
2015-07-07,178.50,182.50,178.00,178.90,9400,178.90
2015-07-06,174.00,182.00,172.80,180.00,11800,180.00
2015-07-03,178.10,180.80,176.00,177.30,6400,177.30
2015-07-02,175.50,181.00,173.30,176.60,8900,176.60
2015-07-01,169.00,179.00,169.00,173.80,16100,173.80
2015-06-30,171.00,171.00,167.00,168.20,10900,168.20
2015-06-29,170.40,170.40,167.40,169.70,9100,169.70
2015-06-26,176.50,177.00,173.10,173.70,15900,173.70
2015-06-25,175.00,181.00,173.50,175.70,23400,175.70
2015-06-24,174.80,179.50,174.80,177.00,15200,177.00
2015-06-23,172.00,175.90,172.00,174.60,5700,174.60
2015-06-22,171.00,173.50,167.20,171.80,20300,171.80
2015-06-19,168.00,173.00,167.20,170.20,7900,170.20
2015-06-18,166.00,169.60,165.50,168.30,5500,168.30
2015-06-17,164.70,168.20,162.00,166.40,18200,166.40
2015-06-16,162.00,164.80,160.20,163.20,17600,163.20
2015-06-15,161.80,162.60,158.70,161.50,5900,161.50
2015-06-12,161.80,163.30,157.40,159.20,10100,159.20
2015-06-11,170.00,170.90,159.00,159.80,14800,159.80
2015-06-10,170.00,170.40,166.10,168.50,11400,168.50
2015-06-09,163.40,166.90,162.50,165.10,8600,165.10
2015-06-08,168.00,168.00,163.60,163.60,3100,163.60
2015-06-05,165.40,168.00,164.00,166.00,12700,166.00
2015-06-04,159.20,170.70,158.00,169.00,40400,169.00
2015-06-03,165.50,165.50,157.30,160.30,10400,160.30
2015-06-02,169.80,172.00,162.00,164.00,23900,164.00
2015-06-01,173.40,174.90,167.50,169.50,7300,169.50
2015-05-29,171.30,176.00,170.30,172.30,8100,172.30
2015-05-28,176.40,176.50,172.10,173.00,14400,173.00
2015-05-27,172.00,180.60,172.00,173.60,55000,173.60
2015-05-26,174.90,175.10,170.10,171.80,11200,171.80
2015-05-25,172.60,180.00,172.00,173.20,24900,173.20
2015-05-22,172.00,176.20,168.10,171.70,32300,171.70
2015-05-21,174.70,174.70,168.00,168.60,10500,168.60
2015-05-20,175.80,184.90,172.70,173.20,23300,173.20
2015-05-19,169.00,175.10,169.00,172.70,4700,172.70
2015-05-18,172.10,173.40,169.00,169.50,4700,169.50
2015-05-15,169.50,170.80,169.00,169.70,3200,169.70
2015-05-14,168.00,169.00,166.00,166.50,4700,166.50
2015-05-13,169.90,171.10,166.30,167.00,9000,167.00
2015-05-12,170.10,170.10,165.00,166.70,10100,166.70
2015-05-11,173.00,174.90,167.10,171.40,6900,171.40
2015-05-08,168.00,171.50,168.00,170.70,5100,170.70
2015-05-07,167.00,172.00,162.90,165.30,17200,165.30
2015-05-06,173.00,175.50,168.00,169.50,14800,169.50
2015-05-05,177.40,181.90,173.20,174.50,14200,174.50
2015-05-04,174.90,179.70,170.00,176.30,6500,176.30
2015-05-01,172.50,172.50,172.50,172.50,000,172.50
2015-04-30,174.00,176.10,169.00,172.50,4900,172.50
2015-04-29,175.00,177.90,172.30,176.20,14200,176.20
2015-04-28,162.60,174.30,162.50,172.10,9000,172.10
2015-04-27,171.80,171.80,162.00,165.70,10500,165.70
2015-04-24,176.30,178.10,169.30,170.60,17300,170.60
2015-04-23,178.60,181.00,175.50,176.20,17100,176.20
2015-04-22,176.90,181.70,174.30,178.50,26800,178.50
2015-04-21,180.20,182.00,173.80,174.90,24900,174.90
2015-04-20,190.00,190.00,179.00,180.40,20300,180.40
2015-04-17,198.10,199.90,189.30,190.40,11800,190.40
2015-04-16,200.10,203.20,193.00,196.60,10500,196.60
2015-04-15,208.80,208.90,197.20,199.30,24800,199.30
2015-04-14,206.50,206.50,206.50,206.50,000,206.50
2015-04-13,199.00,218.70,194.00,206.50,154800,206.50
2015-04-10,184.80,200.00,184.30,198.60,42800,198.60
2015-04-09,183.20,185.00,182.30,182.80,7500,182.80
