Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,24.00,24.40,22.75,23.85,36500,23.85
2015-07-16,22.50,24.40,22.50,23.55,208100,23.55
2015-07-15,21.15,22.85,21.00,22.55,77700,22.55
2015-07-14,20.60,21.25,20.60,21.20,1500,21.20
2015-07-13,20.70,21.45,20.70,20.80,1700,20.80
2015-07-10,21.00,21.70,20.60,21.00,12500,21.00
2015-07-09,21.95,21.95,20.65,20.80,3200,20.80
2015-07-08,21.65,21.65,20.75,21.10,4900,21.10
2015-07-07,19.85,23.00,19.85,21.40,58600,21.40
2015-07-06,19.75,19.75,19.75,19.75,000,19.75
2015-07-03,21.45,21.45,17.20,19.75,21500,19.75
2015-07-02,22.75,22.75,20.70,20.75,19100,20.75
2015-07-01,20.60,21.20,20.50,20.95,22700,20.95
2015-06-30,20.00,20.75,20.00,20.40,8600,20.40
2015-06-29,19.10,19.50,19.05,19.50,1800,19.50
2015-06-26,20.00,20.05,20.00,20.00,2900,20.00
2015-06-25,19.95,20.20,19.65,19.90,6600,19.90
2015-06-24,19.60,20.10,19.60,19.75,5600,19.75
2015-06-23,20.05,20.05,19.35,19.60,3400,19.60
2015-06-22,20.50,20.50,19.40,19.60,1800,19.60
2015-06-19,19.60,19.65,19.00,19.20,18900,19.20
2015-06-18,19.20,19.55,18.95,19.50,2700,19.50
2015-06-17,18.95,19.50,18.90,19.45,3500,19.45
2015-06-16,19.05,19.05,18.50,18.85,2900,18.85
2015-06-15,18.45,19.00,18.45,18.90,1300,18.90
2015-06-12,18.80,19.30,18.80,19.00,200,19.00
2015-06-11,19.30,19.50,19.10,19.10,900,19.10
2015-06-10,19.50,20.00,19.35,19.70,600,19.70
2015-06-09,19.45,21.20,19.00,19.20,8000,19.20
2015-06-08,19.45,19.65,19.45,19.65,200,19.65
2015-06-05,19.70,20.85,19.40,19.80,1200,19.80
2015-06-04,20.00,20.00,19.60,19.65,8700,19.65
2015-06-03,20.25,20.95,19.90,20.50,6400,20.50
2015-06-02,21.10,21.40,20.35,20.45,6900,20.45
2015-06-01,22.55,23.00,21.60,21.80,6200,21.80
