Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,279.00,279.00,275.20,279.00,000,279.00
2015-07-16,280.00,281.00,275.25,276.42,300,276.42
2015-07-15,276.00,278.00,276.00,278.00,800,278.00
2015-07-14,278.90,278.90,275.00,275.00,000,275.00
2015-07-13,273.10,277.50,273.10,277.31,300,277.31
2015-07-10,275.90,276.50,275.00,276.11,600,276.11
2015-07-09,276.00,276.00,274.88,274.91,2400,274.91
2015-07-08,272.00,276.70,270.00,275.91,500,275.91
2015-07-07,273.00,278.00,270.00,277.48,1200,277.48
2015-07-06,281.70,281.70,273.00,273.49,300,273.49
2015-07-03,277.90,277.90,277.90,277.90,100,277.90
2015-07-02,278.00,278.78,271.05,278.19,100,278.19
2015-07-01,278.90,278.90,275.00,275.00,900,275.00
2015-06-30,273.00,273.00,271.00,271.00,000,271.00
2015-06-29,279.90,279.90,274.00,274.95,100,274.95
2015-06-25,286.00,286.00,276.50,280.00,400,280.00
2015-06-24,287.00,287.00,278.25,284.45,800,284.45
2015-06-22,284.70,284.70,278.11,278.25,000,278.25
2015-06-18,284.50,284.50,284.50,284.50,000,284.50
2015-06-17,282.00,282.00,279.90,281.90,400,281.90
2015-06-16,280.00,284.00,278.00,284.00,500,284.00
2015-06-15,279.00,287.00,278.00,286.40,000,286.40
2015-06-12,279.00,282.80,279.00,281.90,000,281.90
2015-06-11,278.10,278.10,275.00,276.40,300,276.40
2015-06-10,287.00,289.00,278.15,286.75,300,286.75
2015-06-09,289.90,289.90,276.00,283.95,300,283.95
2015-06-08,295.00,297.50,288.00,290.00,100,290.00
2015-06-05,280.38,289.00,280.38,289.00,000,289.00
2015-06-04,290.00,291.00,281.60,281.62,200,281.62
2015-06-03,277.00,283.00,277.00,280.08,200,280.08
2015-06-01,282.00,285.00,282.00,285.00,000,285.00
2015-05-29,275.00,288.00,271.50,285.00,300,285.00
2015-05-28,285.00,285.00,277.00,277.00,100,277.00
2015-05-27,283.00,291.00,280.40,284.94,200,284.94
2015-05-26,280.50,280.50,280.00,280.00,000,280.00
2015-05-25,279.10,279.10,279.10,279.10,000,279.10
2015-05-22,286.50,286.50,279.10,279.10,000,279.10
2015-05-21,286.50,286.50,286.50,286.50,5000,286.50
2015-05-20,284.90,285.00,284.80,284.80,000,284.80
2015-05-15,280.00,280.00,280.00,280.00,000,280.00
2015-05-14,280.00,280.00,279.95,280.00,600,280.00
