Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,123.00,123.60,118.10,121.70,19700,121.70
2015-07-16,124.40,125.30,121.00,122.10,17100,122.10
2015-07-15,124.40,125.90,123.00,123.90,36500,123.90
2015-07-14,124.00,128.70,123.10,124.40,38200,124.40
2015-07-13,121.50,122.80,119.60,121.90,19300,121.90
2015-07-10,121.60,123.00,120.00,121.50,27500,121.50
2015-07-09,122.00,124.20,120.10,121.10,21300,121.10
2015-07-08,119.30,124.70,118.30,119.60,35500,119.60
2015-07-07,123.80,125.00,118.00,121.10,43800,121.10
2015-07-06,121.00,123.50,115.00,121.70,47000,121.70
2015-07-03,118.30,119.50,117.30,118.30,12600,118.30
2015-07-02,119.50,121.50,116.70,117.90,33600,117.90
2015-07-01,115.00,122.70,115.00,118.60,112300,118.60
2015-06-30,107.00,113.85,105.00,112.90,64300,112.90
2015-06-29,108.00,112.40,100.20,107.00,46800,107.00
2015-06-26,108.30,113.80,108.25,109.10,33900,109.10
2015-06-25,109.00,112.40,106.90,109.35,45800,109.35
2015-06-24,111.00,117.40,104.55,109.60,227100,109.60
2015-06-23,92.90,110.60,92.90,108.75,197300,108.75
2015-06-22,88.85,94.20,88.80,92.20,8700,92.20
2015-06-19,90.80,92.00,89.15,89.80,9500,89.80
2015-06-18,91.00,91.70,90.40,90.65,4500,90.65
2015-06-17,90.00,90.95,89.15,89.95,11000,89.95
2015-06-16,91.10,91.45,88.00,89.60,12600,89.60
2015-06-15,92.50,93.20,89.65,89.85,6400,89.85
2015-06-12,91.05,91.20,89.10,89.35,6200,89.35
2015-06-11,91.60,91.70,89.25,90.10,2700,90.10
2015-06-10,90.80,92.75,90.80,91.70,4300,91.70
2015-06-09,92.00,92.50,90.50,90.70,4900,90.70
2015-06-08,95.25,95.25,91.05,91.30,3300,91.30
2015-06-05,91.30,95.90,91.30,93.55,4700,93.55
2015-06-04,94.60,95.95,92.00,92.35,7600,92.35
2015-06-03,99.00,99.00,91.00,93.65,12700,93.65
2015-06-02,99.00,102.50,96.20,98.30,34400,98.30
2015-06-01,95.00,102.00,92.20,98.55,83400,98.55
2015-05-29,93.25,93.30,89.25,90.75,8000,90.75
2015-05-28,91.40,91.40,89.80,90.50,3000,90.50
2015-05-27,90.05,91.65,88.35,90.50,4900,90.50
2015-05-26,90.50,91.85,90.40,90.90,4300,90.90
2015-05-25,93.15,93.30,91.00,91.05,5100,91.05
2015-05-22,91.35,92.50,91.35,91.65,3100,91.65
2015-05-21,91.90,92.50,91.70,92.00,5900,92.00
2015-05-20,90.10,93.00,90.10,91.80,3600,91.80
2015-05-19,92.00,92.50,90.20,91.25,11500,91.25
2015-05-18,91.00,92.75,90.10,91.15,7900,91.15
2015-05-15,90.10,91.95,88.75,90.25,15800,90.25
2015-05-14,89.20,91.05,89.15,90.00,5500,90.00
2015-05-13,90.50,91.50,89.95,90.35,4800,90.35
2015-05-12,91.00,91.50,88.45,89.50,2700,89.50
2015-05-11,91.90,92.20,91.00,91.50,4400,91.50
2015-05-08,91.05,92.20,91.00,91.70,1300,91.70
2015-05-07,93.00,93.00,88.80,89.25,3600,89.25
2015-05-06,95.50,96.25,90.30,92.70,4600,92.70
2015-05-05,95.50,97.00,94.80,95.50,6000,95.50
2015-05-04,94.50,98.75,94.00,94.75,11300,94.75
2015-05-01,94.15,94.15,94.15,94.15,000,94.15
2015-04-30,89.50,94.60,89.50,94.15,1600,94.15
2015-04-29,91.00,94.00,91.00,92.45,5600,92.45
2015-04-28,89.15,91.95,89.10,91.65,4500,91.65
2015-04-27,93.00,93.00,88.65,89.45,6600,89.45
2015-04-24,94.90,94.90,92.00,92.15,4100,92.15
2015-04-23,94.05,95.90,94.05,95.10,2800,95.10
2015-04-22,93.50,97.00,93.00,93.80,20100,93.80
2015-04-21,97.50,97.50,94.10,94.90,157300,94.90
2015-04-20,103.15,103.15,95.50,95.95,13600,95.95
2015-04-17,102.00,105.10,101.30,102.75,12800,102.75
2015-04-16,104.00,105.45,101.10,102.70,15700,102.70
2015-04-15,105.85,109.00,103.60,104.65,37900,104.65
2015-04-14,103.90,103.90,103.90,103.90,000,103.90
2015-04-13,103.00,105.90,101.00,103.90,15900,103.90
2015-04-10,100.90,103.55,97.75,103.20,25000,103.20
2015-04-09,96.00,101.40,95.00,99.20,28500,99.20
2015-04-08,94.90,97.00,91.70,95.25,20300,95.25
2015-04-07,92.60,95.00,90.00,91.20,18300,91.20
2015-04-06,92.00,93.90,91.00,93.25,16200,93.25
2015-04-03,91.45,91.45,91.45,91.45,000,91.45
2015-04-02,91.45,91.45,91.45,91.45,000,91.45
2015-04-01,87.30,92.50,87.00,91.45,36600,91.45
2015-03-31,86.50,90.65,85.80,86.80,7700,86.80
2015-03-30,84.05,90.00,83.05,89.45,27200,89.45
2015-03-27,80.50,84.90,80.50,83.90,35500,83.90
2015-03-26,82.15,83.30,80.20,82.10,32900,82.10
2015-03-25,83.00,84.50,80.10,82.90,44400,82.90
2015-03-24,85.10,86.20,82.50,83.20,17200,83.20
2015-03-23,88.55,90.05,85.00,85.55,32000,85.55
2015-03-20,91.25,91.70,89.00,89.95,13800,89.95
2015-03-19,93.30,94.05,90.10,91.20,10900,91.20
2015-03-18,92.20,94.60,91.75,92.75,5700,92.75
2015-03-17,92.35,94.45,91.10,93.55,15700,93.55
2015-03-16,95.85,96.40,91.50,91.80,7100,91.80
2015-03-13,99.00,99.00,93.75,94.60,13900,94.60
2015-03-12,94.85,103.40,94.80,98.50,57000,98.50
2015-03-11,94.60,95.95,94.00,94.90,23100,94.90
2015-03-10,98.25,98.55,94.00,94.60,9000,94.60
2015-03-09,100.35,100.35,92.05,98.15,15900,98.15
2015-03-06,99.50,99.50,99.50,99.50,000,99.50
2015-03-05,98.00,101.20,98.00,99.50,26800,99.50
2015-03-04,98.10,102.60,97.05,99.00,56100,99.00
2015-03-03,95.20,99.00,94.55,97.05,19500,97.05
2015-03-02,98.75,98.75,94.25,95.60,24700,95.60
2015-02-27,98.40,103.05,96.60,100.30,61500,100.30
2015-02-26,97.15,99.30,95.80,98.15,26400,98.15
2015-02-25,95.00,98.00,95.00,97.50,20400,97.50
2015-02-24,95.15,96.50,94.35,94.90,13400,94.90
2015-02-23,95.20,96.35,94.00,95.60,13500,95.60
2015-02-20,95.30,96.00,94.25,94.85,7500,94.85
2015-02-19,95.90,95.90,92.70,94.85,11800,94.85
2015-02-18,91.65,97.60,91.65,95.75,144400,95.75
2015-02-17,89.75,89.75,89.75,89.75,000,89.75
2015-02-16,91.80,94.30,89.50,89.75,28900,89.75
2015-02-13,94.40,94.40,90.65,91.95,14300,91.95
2015-02-12,89.90,92.00,85.85,91.75,23900,91.75
2015-02-11,86.00,89.95,86.00,87.60,6300,87.60
2015-02-10,92.95,92.95,86.25,86.70,25300,86.70
2015-02-09,92.70,93.70,89.10,89.95,24300,89.95
2015-02-06,92.50,92.75,89.85,90.00,23000,90.00
2015-02-05,96.30,96.30,91.30,92.10,17400,92.10
2015-02-04,94.50,96.50,92.75,93.90,44500,93.90
2015-02-03,93.00,93.00,91.10,92.30,18700,92.30
2015-02-02,92.25,94.20,91.25,92.65,8300,92.65
2015-01-30,93.55,93.60,91.35,91.95,8500,91.95
2015-01-29,91.55,92.95,91.50,92.00,5100,92.00
2015-01-28,92.40,94.00,90.90,91.65,10900,91.65
2015-01-27,92.55,94.50,92.50,92.65,30400,92.65
2015-01-26,92.45,92.45,92.45,92.45,000,92.45
2015-01-23,94.40,94.50,92.00,92.45,6500,92.45
2015-01-22,94.35,95.90,93.55,93.70,31600,93.70
2015-01-21,94.75,95.50,93.80,94.25,7500,94.25
2015-01-20,94.45,94.80,93.40,94.05,11400,94.05
2015-01-19,94.45,95.95,93.30,94.10,15000,94.10
2015-01-16,95.15,95.55,92.30,93.25,18100,93.25
2015-01-15,95.00,95.95,94.55,94.90,9800,94.90
2015-01-14,95.50,95.95,93.70,93.95,5700,93.95
2015-01-13,95.20,96.45,94.80,95.60,5500,95.60
2015-01-12,96.50,96.85,95.20,96.20,4600,96.20
2015-01-09,96.60,97.00,94.85,95.50,6500,95.50
2015-01-08,96.00,96.80,95.00,95.95,29200,95.95
2015-01-07,94.65,95.85,93.60,93.90,9800,93.90
2015-01-06,96.10,97.60,95.00,96.20,8000,96.20
2015-01-05,99.95,101.50,97.85,98.25,20900,98.25
2015-01-02,98.85,100.00,97.90,98.70,19100,98.70
2015-01-01,95.95,98.65,95.50,98.05,17900,98.05
2014-12-31,95.55,96.80,94.55,96.20,32600,96.20
2014-12-30,95.00,95.95,93.05,95.00,37200,95.00
2014-12-29,95.80,97.00,94.00,94.85,37900,94.85
2014-12-26,95.40,95.95,94.00,94.25,12300,94.25
2014-12-25,95.95,95.95,95.95,95.95,000,95.95
2014-12-24,96.00,96.95,95.00,95.95,28000,95.95
2014-12-23,96.00,97.60,94.85,95.55,13700,95.55
2014-12-22,98.95,98.95,95.00,95.35,13700,95.35
2014-12-19,105.80,105.80,96.80,98.25,42100,98.25
2014-12-18,102.00,104.20,98.95,103.10,39400,103.10
2014-12-17,96.00,96.50,92.80,94.50,20400,94.50
2014-12-16,99.70,99.75,94.00,94.85,18400,94.85
2014-12-15,98.50,102.30,97.00,99.55,29200,99.55
2014-12-12,103.00,105.80,101.20,102.05,43000,102.05
2014-12-11,98.90,104.00,97.35,102.80,20100,102.80
2014-12-10,99.10,99.25,97.20,98.00,18400,98.00
2014-12-09,102.20,103.75,98.50,99.20,28600,99.20
2014-12-08,105.80,106.40,100.80,101.55,36100,101.55
2014-12-05,110.00,112.80,105.75,106.15,39600,106.15
2014-12-04,116.70,116.90,107.10,108.40,79200,108.40
2014-12-03,104.00,115.25,104.00,114.20,247000,114.20
2014-12-02,99.50,100.00,95.35,97.80,16400,97.80
2014-12-01,100.20,102.15,98.30,99.20,20600,99.20
2014-11-28,103.15,104.00,99.80,100.10,31500,100.10
2014-11-27,99.05,104.20,99.00,100.60,32600,100.60
2014-11-26,91.50,100.00,90.50,98.80,40400,98.80
2014-11-25,93.25,93.25,90.00,91.40,18300,91.40
2014-11-24,97.00,97.00,92.00,92.60,20600,92.60
2014-11-21,95.70,97.65,94.55,95.05,17200,95.05
2014-11-20,98.00,98.00,94.50,95.05,15800,95.05
2014-11-19,101.80,101.80,96.10,96.95,29900,96.95
2014-11-18,101.75,101.95,98.50,99.10,19800,99.10
2014-11-17,100.55,104.05,97.50,99.55,23200,99.55
2014-11-14,99.50,102.30,99.20,100.05,17000,100.05
2014-11-13,103.25,105.00,91.50,100.25,97900,100.25
2014-11-12,113.00,113.30,108.80,111.70,45000,111.70
2014-11-11,108.25,114.50,107.15,111.65,54900,111.65
2014-11-10,107.00,109.90,103.95,105.50,11300,105.50
2014-11-07,107.90,109.25,105.65,106.90,20500,106.90
2014-11-06,109.90,109.90,109.90,109.90,000,109.90
2014-11-05,113.05,113.40,109.20,109.90,28500,109.90
2014-11-04,110.80,110.80,110.80,110.80,000,110.80
2014-11-03,105.30,112.80,104.00,110.80,53100,110.80
2014-10-31,94.80,103.00,94.35,103.00,63200,103.00
2014-10-30,93.50,93.90,92.00,93.65,8000,93.65
2014-10-29,97.10,97.10,93.00,93.50,3300,93.50
2014-10-28,94.75,94.75,92.00,92.50,25900,92.50
2014-10-27,95.15,95.50,93.25,93.35,4800,93.35
2014-10-24,93.70,93.70,93.70,93.70,000,93.70
2014-10-23,93.70,93.70,93.70,93.70,000,93.70
2014-10-22,92.45,94.30,90.30,93.70,36100,93.70
2014-10-21,94.00,95.00,90.00,91.05,23100,91.05
2014-10-20,98.25,98.95,92.55,93.25,18900,93.25
2014-10-17,97.00,97.00,94.85,95.65,8500,95.65
2014-10-16,99.30,101.50,96.00,96.50,12600,96.50
2014-10-15,99.65,99.65,99.65,99.65,000,99.65
2014-10-14,103.40,103.40,99.00,99.65,11200,99.65
2014-10-13,103.00,103.00,100.00,101.30,9100,101.30
2014-10-10,102.00,105.50,101.00,102.05,13000,102.05
2014-10-09,106.00,106.60,103.15,105.40,38700,105.40
2014-10-08,100.00,103.00,100.00,102.40,12800,102.40
