Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,8.36,9.12,8.34,8.57,46300,8.57
2015-07-16,8.77,9.23,8.77,8.77,63100,8.77
2015-07-15,9.42,10.10,9.23,9.23,30400,9.23
2015-07-14,9.71,10.73,9.71,9.71,91100,9.71
2015-07-13,10.22,10.75,10.22,10.22,73000,10.22
2015-07-10,10.75,10.75,10.75,10.75,2700,10.75
2015-07-09,12.20,12.20,11.31,11.31,134100,11.31
2015-07-08,11.90,11.90,11.90,11.90,106200,11.90
2015-07-07,11.20,11.34,11.00,11.34,74100,11.34
2015-07-06,10.00,10.31,9.75,10.31,144000,10.31
2015-07-03,9.24,9.38,8.53,9.38,107500,9.38
2015-07-02,7.70,8.53,7.65,8.53,95700,8.53
2015-07-01,6.15,7.11,5.75,7.11,56400,7.11
2015-06-30,5.46,6.20,5.33,5.93,55300,5.93
2015-06-29,6.38,6.38,5.25,5.58,78400,5.58
2015-06-26,5.20,5.44,5.06,5.34,27000,5.34
2015-06-25,5.02,5.70,5.02,5.16,55300,5.16
2015-06-24,5.31,5.60,5.25,5.57,16000,5.57
2015-06-23,5.15,5.43,5.02,5.33,23700,5.33
2015-06-22,5.25,5.48,5.02,5.17,20900,5.17
2015-06-19,6.06,6.06,5.10,5.32,62700,5.32
2015-06-18,5.26,5.64,5.03,5.05,13200,5.05
2015-06-17,5.69,5.69,5.10,5.33,8800,5.33
2015-06-16,5.15,5.59,5.15,5.48,15500,5.48
2015-06-15,5.31,5.94,5.31,5.50,2000,5.50
2015-06-12,5.27,5.87,5.26,5.59,9300,5.59
2015-06-11,5.90,5.92,5.90,5.90,3400,5.90
2015-06-10,6.20,6.24,5.93,5.94,2100,5.94
2015-06-09,6.39,6.39,5.80,6.38,1200,6.38
2015-06-08,6.19,6.19,6.18,6.19,200,6.19
2015-06-05,5.79,6.00,5.70,5.70,12300,5.70
2015-06-04,6.25,6.25,5.36,5.82,27700,5.82
2015-06-03,6.90,6.90,6.12,6.20,35300,6.20
2015-06-02,6.90,7.22,6.70,7.00,38200,7.00
2015-06-01,6.80,6.99,6.80,6.90,5100,6.90
2015-05-29,6.80,6.95,6.80,6.80,3000,6.80
2015-05-28,7.00,7.00,6.80,6.80,1000,6.80
2015-05-27,6.60,7.05,6.60,6.94,7400,6.94
2015-05-26,6.75,7.05,6.73,6.73,7000,6.73
2015-05-25,6.55,6.90,6.55,6.70,3600,6.70
2015-05-22,7.00,7.00,6.92,6.93,3500,6.93
2015-05-21,6.90,6.97,6.60,6.97,4700,6.97
2015-05-20,6.93,7.00,6.93,7.00,1100,7.00
2015-05-19,7.88,7.88,6.91,6.93,6900,6.93
2015-05-18,7.85,7.85,6.90,7.10,12500,7.10
2015-05-15,7.03,7.03,6.95,6.99,8200,6.99
2015-05-14,6.83,7.00,6.83,7.00,1800,7.00
2015-05-13,7.02,7.02,7.01,7.01,200,7.01
2015-05-12,7.05,7.06,7.05,7.05,1200,7.05
2015-05-11,7.06,7.43,7.06,7.22,2600,7.22
2015-05-08,8.15,8.15,7.20,7.20,700,7.20
2015-05-07,7.05,7.05,7.01,7.01,3200,7.01
2015-05-06,6.52,7.31,6.52,7.20,24900,7.20
2015-05-05,7.20,7.20,6.61,7.13,3400,7.13
2015-05-04,7.05,7.20,7.05,7.20,12400,7.20
2015-05-01,7.10,7.10,7.10,7.10,000,7.10
2015-04-30,7.03,7.25,7.03,7.10,6200,7.10
2015-04-29,7.34,7.34,7.05,7.11,3300,7.11
2015-04-28,6.61,7.48,6.61,7.37,57000,7.37
2015-04-27,7.00,7.00,6.53,6.99,2900,6.99
2015-04-24,7.00,7.20,6.65,6.77,8300,6.77
2015-04-23,7.10,7.10,7.00,7.02,2000,7.02
2015-04-22,7.02,7.09,6.76,7.00,11700,7.00
2015-04-21,7.88,7.88,7.12,7.19,15900,7.19
2015-04-20,8.44,8.44,7.13,7.15,4100,7.15
2015-04-17,7.83,7.83,7.40,7.43,13700,7.43
2015-04-16,7.30,8.30,7.30,7.48,14700,7.48
2015-04-15,7.75,7.95,7.50,7.56,13300,7.56
2015-04-14,7.98,7.98,7.98,7.98,000,7.98
2015-04-13,8.25,8.25,7.42,7.98,7500,7.98
2015-04-10,7.63,7.63,7.23,7.25,1300,7.25
2015-04-09,7.30,7.63,7.30,7.40,10300,7.40
2015-04-08,7.70,7.74,7.15,7.69,7200,7.69
2015-04-07,6.78,7.49,6.78,7.49,3800,7.49
2015-04-06,6.85,7.47,6.85,7.05,500,7.05
2015-04-03,6.82,6.82,6.82,6.82,000,6.82
2015-04-02,6.82,6.82,6.82,6.82,000,6.82
2015-04-01,6.78,6.82,6.78,6.82,2100,6.82
2015-03-31,6.85,7.28,6.84,6.88,4800,6.88
2015-03-30,6.75,7.23,6.74,6.90,7000,6.90
2015-03-27,6.76,6.80,6.75,6.80,3800,6.80
2015-03-26,6.53,7.40,6.53,6.98,51000,6.98
2015-03-25,6.82,6.92,6.65,6.70,11700,6.70
2015-03-24,6.75,6.95,6.62,6.82,5100,6.82
2015-03-23,7.01,7.20,7.00,7.00,8900,7.00
2015-03-20,7.21,7.33,7.20,7.33,5200,7.33
2015-03-19,7.15,7.44,7.15,7.35,4800,7.35
2015-03-18,7.15,7.15,7.15,7.15,100,7.15
2015-03-17,7.10,7.35,7.10,7.11,4800,7.11
2015-03-16,6.52,7.48,6.52,7.28,20600,7.28
2015-03-13,6.90,7.01,6.55,7.00,11600,7.00
2015-03-12,7.29,7.29,6.90,6.90,200,6.90
2015-03-11,6.80,7.19,6.71,7.00,11100,7.00
2015-03-10,7.10,7.11,7.10,7.10,6800,7.10
2015-03-09,7.00,7.00,6.94,6.97,5200,6.97
2015-03-06,7.10,7.10,7.10,7.10,000,7.10
2015-03-05,7.00,7.25,6.85,7.10,11500,7.10
2015-03-04,7.03,7.17,7.00,7.15,5100,7.15
2015-03-03,7.01,7.10,7.01,7.10,2200,7.10
2015-03-02,7.13,7.19,6.90,7.00,11600,7.00
2015-02-27,7.85,7.85,7.03,7.29,2600,7.29
2015-02-26,7.40,7.54,7.01,7.45,44800,7.45
2015-02-25,8.99,8.99,7.36,7.54,5700,7.54
2015-02-24,7.35,8.18,7.35,7.77,7900,7.77
2015-02-23,8.42,8.42,7.63,7.73,25100,7.73
2015-02-20,8.45,8.45,7.66,8.05,12600,8.05
2015-02-19,9.00,9.00,7.84,8.18,25500,8.18
2015-02-18,8.25,8.25,7.50,7.83,32000,7.83
2015-02-17,7.38,7.38,7.38,7.38,000,7.38
2015-02-16,6.85,8.00,6.85,7.38,33900,7.38
2015-02-13,7.10,7.10,6.85,6.85,31000,6.85
2015-02-12,6.90,7.38,6.80,6.87,26100,6.87
2015-02-11,7.93,7.93,6.64,6.78,4800,6.78
2015-02-10,7.25,7.27,6.70,6.75,14500,6.75
2015-02-09,7.11,7.21,7.11,7.15,10700,7.15
2015-02-06,8.87,8.87,7.21,7.47,9100,7.47
2015-02-05,7.50,7.57,7.25,7.50,55200,7.50
2015-02-04,7.52,7.82,7.52,7.73,5000,7.73
2015-02-03,8.95,8.95,7.75,7.80,19200,7.80
2015-02-02,7.80,8.20,7.79,7.91,8300,7.91
2015-01-30,7.81,8.05,7.66,7.82,50600,7.82
2015-01-29,8.00,8.45,8.00,8.18,6300,8.18
2015-01-28,8.00,8.24,7.87,8.24,13700,8.24
2015-01-27,8.55,8.55,8.00,8.11,3000,8.11
2015-01-26,8.55,8.55,8.55,8.55,000,8.55
2015-01-23,9.00,9.00,7.75,8.55,14200,8.55
2015-01-22,8.00,8.29,7.72,8.18,9500,8.18
2015-01-21,8.03,8.29,8.03,8.05,500,8.05
2015-01-20,8.99,9.80,8.10,8.10,21800,8.10
2015-01-19,8.05,8.50,8.00,8.49,13100,8.49
2015-01-16,8.00,8.40,8.00,8.20,2300,8.20
2015-01-15,8.16,8.45,8.16,8.27,1300,8.27
2015-01-14,8.12,8.46,8.12,8.46,300,8.46
2015-01-13,8.00,8.47,7.71,8.10,8800,8.10
2015-01-12,8.25,8.29,8.02,8.03,6600,8.03
2015-01-09,8.45,8.45,8.10,8.45,76200,8.45
2015-01-08,8.94,8.94,8.24,8.29,6100,8.29
2015-01-07,8.67,8.67,8.25,8.25,200,8.25
2015-01-06,8.46,8.46,8.21,8.21,2000,8.21
2015-01-05,8.25,8.98,8.25,8.46,5100,8.46
2015-01-02,8.28,8.55,8.28,8.53,6900,8.53
2015-01-01,8.25,8.50,8.25,8.50,200,8.50
2014-12-31,8.26,8.75,8.00,8.04,9300,8.04
2014-12-30,8.30,8.75,8.25,8.31,1800,8.31
2014-12-29,8.36,9.24,8.00,8.55,13400,8.55
2014-12-26,8.97,8.97,8.74,8.79,6400,8.79
2014-12-25,8.62,8.62,8.62,8.62,000,8.62
2014-12-24,8.95,8.95,8.27,8.62,7100,8.62
2014-12-23,8.70,8.70,8.03,8.46,16300,8.46
2014-12-22,9.70,9.70,8.66,8.68,5400,8.68
2014-12-19,8.60,9.00,8.60,8.75,7100,8.75
2014-12-18,9.70,9.70,8.65,8.65,4000,8.65
2014-12-17,8.76,9.00,8.20,8.50,5500,8.50
2014-12-16,9.15,9.49,8.68,8.78,5300,8.78
2014-12-15,9.33,9.67,9.25,9.56,2800,9.56
2014-12-12,10.95,11.40,9.25,9.33,27900,9.33
2014-12-11,9.32,10.00,9.32,9.82,6000,9.82
2014-12-10,10.49,10.49,9.27,9.83,3700,9.83
2014-12-09,9.85,9.95,9.65,9.90,4300,9.90
2014-12-08,10.06,10.06,9.80,10.05,10300,10.05
2014-12-05,10.94,11.00,10.05,10.05,2900,10.05
2014-12-04,10.50,10.98,10.50,10.94,2800,10.94
2014-12-03,9.90,10.79,9.85,10.50,12200,10.50
2014-12-02,9.95,10.23,9.51,9.99,5400,9.99
2014-12-01,10.35,10.35,10.00,10.01,4600,10.01
2014-11-28,10.11,10.70,10.08,10.35,5800,10.35
2014-11-27,9.70,10.74,9.70,10.18,42400,10.18
2014-11-26,11.25,11.47,10.45,10.50,35300,10.50
2014-11-25,11.30,11.99,10.75,11.42,26900,11.42
2014-11-24,11.28,12.20,11.28,11.75,8300,11.75
2014-11-21,12.00,12.10,11.13,11.38,5100,11.38
2014-11-20,11.00,12.00,10.65,11.80,9800,11.80
2014-11-19,11.60,11.75,10.90,11.00,5400,11.00
2014-11-18,11.75,11.75,11.05,11.20,2500,11.20
2014-11-17,11.50,11.99,11.26,11.65,8300,11.65
2014-11-14,12.75,12.75,11.30,12.02,19600,12.02
2014-11-13,12.99,12.99,12.10,12.45,9300,12.45
2014-11-12,12.00,12.99,12.00,12.65,15800,12.65
2014-11-11,11.14,12.00,11.14,11.96,12500,11.96
2014-11-10,11.00,12.75,10.72,11.21,65400,11.21
2014-11-07,10.50,10.75,10.40,10.71,15600,10.71
2014-11-06,10.20,10.20,10.20,10.20,000,10.20
2014-11-05,10.89,10.89,9.90,10.20,24000,10.20
2014-11-04,10.05,10.05,10.05,10.05,000,10.05
2014-11-03,10.50,10.50,10.00,10.05,3000,10.05
2014-10-31,10.00,10.00,9.45,9.95,6600,9.95
2014-10-30,9.50,10.44,9.50,9.91,1800,9.91
2014-10-29,10.35,10.38,9.75,9.85,1700,9.85
2014-10-28,9.90,10.49,9.80,9.80,400,9.80
2014-10-27,11.15,11.15,9.75,9.91,8200,9.91
2014-10-24,10.19,10.19,10.19,10.19,000,10.19
2014-10-23,10.19,10.19,10.19,10.19,000,10.19
2014-10-22,9.50,10.25,9.22,10.19,4700,10.19
2014-10-21,9.64,9.70,9.28,9.50,24600,9.50
2014-10-20,9.84,9.89,9.25,9.49,41400,9.49
2014-10-17,9.81,9.90,9.02,9.28,114300,9.28
