Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,34.70,34.75,33.00,33.70,69300,33.70
2015-07-16,34.70,34.95,33.90,34.00,59800,34.00
2015-07-15,35.05,35.85,33.75,34.10,157200,34.10
2015-07-14,34.85,35.30,34.00,34.80,103100,34.80
2015-07-13,33.60,34.35,33.25,34.05,57500,34.05
2015-07-10,34.00,34.60,33.00,33.35,78900,33.35
2015-07-09,34.80,34.90,33.20,33.70,99800,33.70
2015-07-08,34.00,35.00,32.60,33.70,177000,33.70
2015-07-07,35.15,35.50,34.00,34.05,161400,34.05
2015-07-06,33.60,34.90,32.55,34.30,184300,34.30
2015-07-03,34.70,34.70,33.50,34.00,77500,34.00
2015-07-02,34.80,35.50,33.00,33.85,211900,33.85
2015-07-01,33.85,35.70,33.00,33.65,288600,33.65
2015-06-30,26.95,32.75,26.85,32.75,250900,32.75
2015-06-29,27.70,27.70,25.70,27.30,50200,27.30
2015-06-26,27.00,27.90,27.00,27.80,50900,27.80
2015-06-25,26.65,27.55,26.60,26.85,40100,26.85
2015-06-24,27.35,27.75,26.60,26.75,24900,26.75
2015-06-23,28.00,28.25,27.15,27.50,34600,27.50
2015-06-22,26.55,27.90,26.40,27.40,38700,27.40
2015-06-19,27.00,27.65,26.40,26.55,47200,26.55
2015-06-18,26.50,27.80,26.50,26.85,29800,26.85
2015-06-17,27.05,27.85,26.35,26.60,32300,26.60
2015-06-16,27.75,28.05,26.40,27.05,30500,27.05
2015-06-15,28.70,28.70,28.00,28.15,17300,28.15
2015-06-12,28.95,29.40,27.80,28.40,93500,28.40
2015-06-11,29.50,29.90,27.60,28.55,152900,28.55
2015-06-10,26.50,28.05,25.50,27.75,72500,27.75
2015-06-09,27.00,27.00,24.70,25.05,72900,25.05
2015-06-08,28.50,29.00,26.60,27.00,43500,27.00
2015-06-05,29.10,29.80,28.30,28.95,32700,28.95
2015-06-04,31.30,31.50,29.00,29.00,38400,29.00
2015-06-03,32.00,32.00,27.00,29.35,83900,29.35
2015-06-02,31.00,32.60,30.00,31.00,229100,31.00
2015-06-01,29.45,29.45,27.65,29.45,352500,29.45
2015-05-29,23.50,25.00,22.60,25.00,68900,25.00
2015-05-28,25.00,25.00,23.95,24.35,35000,24.35
2015-05-27,25.60,25.60,24.00,25.00,76400,25.00
2015-05-26,25.55,26.65,25.20,25.55,15000,25.55
2015-05-25,26.55,26.70,25.75,25.85,16600,25.85
2015-05-22,26.30,26.60,25.55,26.20,17500,26.20
2015-05-21,26.05,26.90,25.60,26.05,19700,26.05
2015-05-20,27.65,27.65,26.50,26.85,15300,26.85
2015-05-19,27.20,27.20,26.00,26.30,33400,26.30
2015-05-18,26.75,27.45,25.65,26.30,23000,26.30
2015-05-15,25.70,26.45,25.60,25.95,15900,25.95
2015-05-14,25.50,26.80,25.50,25.55,17000,25.55
2015-05-13,26.00,26.95,26.00,26.20,21800,26.20
2015-05-12,26.95,27.45,25.10,25.80,40800,25.80
2015-05-11,26.80,27.45,26.55,27.00,13400,27.00
2015-05-08,25.00,28.35,25.00,26.75,11600,26.75
2015-05-07,26.20,27.05,24.50,24.90,32700,24.90
2015-05-06,27.70,28.35,26.30,27.45,19700,27.45
2015-05-05,29.95,29.95,27.05,27.70,7800,27.70
2015-05-04,27.00,27.95,27.00,27.80,27000,27.80
2015-05-01,26.55,26.55,26.55,26.55,000,26.55
2015-04-30,26.65,27.05,26.05,26.55,30400,26.55
2015-04-29,27.30,27.35,26.05,26.65,26300,26.65
2015-04-28,25.50,27.50,25.50,26.30,31300,26.30
2015-04-27,26.60,27.50,25.85,26.00,46900,26.00
2015-04-24,28.85,28.85,27.20,27.50,30600,27.50
2015-04-23,29.15,29.15,27.50,28.00,8900,28.00
2015-04-22,28.90,29.75,27.00,27.75,20400,27.75
2015-04-21,28.45,29.45,27.00,28.95,50200,28.95
2015-04-20,28.20,29.00,27.40,27.75,19900,27.75
2015-04-17,29.70,29.90,28.80,29.10,19400,29.10
2015-04-16,30.50,30.50,28.70,29.15,46500,29.15
2015-04-15,30.50,30.90,29.70,29.70,48100,29.70
2015-04-14,30.05,30.05,30.05,30.05,000,30.05
2015-04-13,31.60,31.60,29.65,30.05,27700,30.05
2015-04-10,30.65,31.15,29.55,30.35,68700,30.35
2015-04-09,27.50,29.00,27.00,29.00,41200,29.00
2015-04-08,28.25,28.25,25.55,26.40,116700,26.40
2015-04-07,29.00,29.00,26.50,27.60,79200,27.60
2015-04-06,31.30,31.30,28.50,28.85,60600,28.85
2015-04-03,29.95,29.95,29.95,29.95,000,29.95
2015-04-02,29.95,29.95,29.95,29.95,000,29.95
2015-04-01,29.45,30.30,28.25,29.95,42700,29.95
2015-03-31,28.50,29.00,27.30,28.90,52000,28.90
2015-03-30,27.60,27.65,27.00,27.65,54600,27.65
2015-03-27,27.10,28.45,25.90,26.35,52600,26.35
2015-03-26,28.60,28.70,26.95,27.15,72700,27.15
2015-03-25,29.10,30.40,28.10,28.35,44200,28.35
2015-03-24,29.45,30.85,28.80,29.55,88500,29.55
2015-03-23,30.95,30.95,28.60,29.40,47300,29.40
2015-03-20,31.50,32.40,30.10,30.10,75900,30.10
2015-03-19,31.10,33.40,30.60,31.65,92100,31.65
2015-03-18,31.85,32.45,31.85,31.85,56100,31.85
2015-03-17,37.00,37.00,33.50,33.50,497900,33.50
2015-03-16,35.25,35.25,35.25,35.25,35900,35.25
2015-03-13,33.60,33.60,33.60,33.60,18700,33.60
2015-03-12,32.00,32.00,32.00,32.00,15800,32.00
2015-03-11,30.50,30.50,30.50,30.50,15600,30.50
2015-03-10,26.35,29.05,26.35,29.05,1084200,29.05
2015-03-09,27.70,27.70,27.70,27.70,13600,27.70
2015-03-06,29.15,29.15,29.15,29.15,000,29.15
2015-03-05,29.15,29.15,29.15,29.15,21000,29.15
2015-03-04,30.65,30.65,30.65,30.65,29300,30.65
2015-03-03,32.25,32.25,32.25,32.25,34300,32.25
2015-03-02,33.90,33.90,33.90,33.90,61800,33.90
2015-02-27,38.20,38.75,36.10,37.10,59400,37.10
2015-02-26,40.90,40.90,37.80,38.00,39600,38.00
2015-02-25,41.40,41.45,38.55,39.05,36300,39.05
2015-02-24,41.00,41.00,39.50,40.05,20000,40.05
2015-02-23,43.00,43.00,40.50,40.90,42500,40.90
2015-02-20,39.95,41.65,39.50,41.05,85200,41.05
2015-02-19,42.90,43.25,39.25,39.95,134700,39.95
2015-02-18,41.20,41.20,39.80,41.20,123700,41.20
2015-02-17,39.25,39.25,39.25,39.25,000,39.25
2015-02-16,39.25,39.25,39.25,39.25,61300,39.25
2015-02-13,40.20,40.20,36.95,37.40,37600,37.40
2015-02-12,37.05,38.85,36.35,38.85,47500,38.85
2015-02-11,37.00,37.80,36.55,37.00,33000,37.00
2015-02-10,35.95,38.00,35.90,36.80,44000,36.80
2015-02-09,36.85,39.00,36.70,37.30,47000,37.30
2015-02-06,40.70,41.15,38.10,38.55,197200,38.55
2015-02-05,39.35,39.35,39.35,39.35,15700,39.35
2015-02-04,37.50,37.50,37.50,37.50,13400,37.50
2015-02-03,35.10,35.75,33.55,35.75,55300,35.75
2015-02-02,36.00,36.00,33.55,34.05,111900,34.05
2015-01-30,36.15,36.90,35.30,35.30,100600,35.30
2015-01-29,36.25,38.00,35.90,37.15,17000,37.15
2015-01-28,37.05,39.55,36.35,36.60,27900,36.60
2015-01-27,39.50,39.95,37.45,38.05,102600,38.05
2015-01-26,39.35,39.35,39.35,39.35,000,39.35
2015-01-23,40.95,42.30,38.95,39.35,26700,39.35
2015-01-22,40.70,41.05,38.30,41.00,39100,41.00
2015-01-21,39.00,40.50,39.00,39.10,18400,39.10
2015-01-20,40.55,40.80,39.75,39.80,18400,39.80
2015-01-19,39.05,41.50,39.05,40.55,5400,40.55
2015-01-16,39.50,41.40,39.35,40.50,7300,40.50
2015-01-15,39.80,41.45,39.75,40.65,28900,40.65
2015-01-14,42.50,42.50,39.80,39.95,25300,39.95
2015-01-13,43.45,43.45,41.10,41.85,13800,41.85
2015-01-12,41.85,42.50,40.90,41.55,16600,41.55
2015-01-09,45.65,45.90,41.60,42.50,53600,42.50
2015-01-08,43.40,43.75,42.90,43.75,9600,43.75
2015-01-07,40.15,42.70,40.15,41.70,30100,41.70
2015-01-06,44.35,44.35,41.25,41.50,105700,41.50
2015-01-05,42.25,42.25,42.25,42.25,23000,42.25
2015-01-02,40.00,40.25,40.00,40.25,6900,40.25
2015-01-01,37.15,38.35,37.00,38.35,21200,38.35
2014-12-31,34.70,36.55,34.55,36.55,86200,36.55
2014-12-30,36.60,36.60,34.65,34.85,18900,34.85
2014-12-29,36.00,37.00,34.95,35.10,19200,35.10
2014-12-26,37.00,37.40,35.20,35.90,16000,35.90
2014-12-25,36.15,36.15,36.15,36.15,000,36.15
2014-12-24,35.60,37.10,35.60,36.15,9900,36.15
2014-12-23,39.20,39.40,36.50,36.60,10400,36.60
2014-12-22,37.40,39.30,37.05,38.30,13000,38.30
2014-12-19,38.00,38.10,36.25,37.50,16600,37.50
2014-12-18,36.00,36.35,35.00,36.35,19400,36.35
2014-12-17,36.20,36.20,34.45,34.65,44200,34.65
2014-12-16,39.65,39.65,36.25,36.25,80300,36.25
2014-12-15,36.00,38.15,35.40,38.15,24300,38.15
2014-12-12,36.00,37.50,36.00,36.35,15800,36.35
2014-12-11,37.95,37.95,35.70,36.35,57500,36.35
2014-12-10,36.80,39.75,36.60,37.55,29500,37.55
2014-12-09,38.50,40.00,38.05,38.35,41800,38.35
2014-12-08,40.55,41.90,39.90,40.05,25800,40.05
2014-12-05,42.50,43.00,40.25,41.85,46300,41.85
2014-12-04,43.30,44.00,41.75,42.25,67600,42.25
2014-12-03,42.95,43.80,42.40,43.00,25600,43.00
2014-12-02,42.70,42.75,41.30,42.10,24400,42.10
2014-12-01,43.30,43.30,39.55,42.20,146600,42.20
2014-11-28,40.75,41.25,40.50,41.25,27800,41.25
2014-11-27,38.00,39.30,37.00,39.30,51600,39.30
2014-11-26,36.40,38.40,36.40,37.45,36100,37.45
2014-11-25,39.85,39.90,36.10,36.85,64100,36.85
