Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,53.00,60.90,51.75,57.95,5240300,57.95
2015-07-16,54.10,54.10,51.90,52.10,352400,52.10
2015-07-15,54.85,55.55,53.20,53.35,1409400,53.35
2015-07-14,49.70,52.50,48.00,51.15,896900,51.15
2015-07-13,48.15,49.80,47.95,49.00,190500,49.00
2015-07-10,50.40,50.40,47.70,47.85,127900,47.85
2015-07-09,48.50,50.90,48.40,49.15,287500,49.15
2015-07-08,47.80,49.80,46.65,48.15,295100,48.15
2015-07-07,50.45,50.45,46.80,48.10,287300,48.10
2015-07-06,45.00,51.30,44.50,49.95,731300,49.95
2015-07-03,46.20,47.75,45.30,46.00,467200,46.00
2015-07-02,43.30,45.60,43.20,45.20,487000,45.20
2015-07-01,41.65,43.40,41.50,42.75,205700,42.75
2015-06-30,40.40,41.50,40.05,41.20,64400,41.20
2015-06-29,41.00,41.00,39.55,40.05,102100,40.05
2015-06-26,41.20,42.65,41.20,41.90,204200,41.90
2015-06-25,42.15,42.65,41.40,42.20,78000,42.20
2015-06-24,41.60,43.85,41.30,42.15,385600,42.15
2015-06-23,41.10,41.70,40.30,41.55,132200,41.55
2015-06-22,40.10,41.95,40.10,40.90,190000,40.90
2015-06-19,39.90,41.30,39.40,40.25,322800,40.25
2015-06-18,39.55,40.40,0.01,40.05,77400,40.05
2015-06-17,39.20,39.50,38.30,39.40,130800,39.40
2015-06-16,37.85,38.70,37.15,38.35,172800,38.35
2015-06-15,37.25,38.35,37.25,37.85,104300,37.85
2015-06-12,37.00,38.40,37.00,37.45,49600,37.45
2015-06-11,39.00,39.25,37.55,37.75,60500,37.75
2015-06-10,38.55,38.95,38.15,38.65,75200,38.65
2015-06-09,38.65,38.90,38.00,38.20,84100,38.20
2015-06-08,39.15,40.35,38.05,38.85,148600,38.85
2015-06-05,38.80,39.00,38.40,38.55,19100,38.55
2015-06-04,39.00,39.30,37.75,39.05,135600,39.05
2015-06-03,39.45,39.45,36.45,38.45,154500,38.45
2015-06-02,39.55,40.90,39.10,39.85,216500,39.85
2015-06-01,39.00,39.80,38.50,39.50,104700,39.50
2015-05-29,38.35,39.00,37.95,38.80,75500,38.80
2015-05-28,37.50,38.55,37.50,38.35,131300,38.35
2015-05-27,39.65,40.95,37.05,37.60,862000,37.60
2015-05-26,40.90,41.00,40.00,40.30,67400,40.30
2015-05-25,41.15,41.60,40.15,40.35,92300,40.35
2015-05-22,42.40,43.10,41.25,41.70,180800,41.70
2015-05-21,41.75,42.65,40.20,42.25,277700,42.25
