Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,709.00,749.50,709.00,718.75,123600,714.25
2015-07-16,719.25,724.00,700.00,707.50,59300,703.07
2015-07-15,630.00,721.00,630.00,715.50,163100,711.02
2015-07-14,633.50,645.00,621.25,628.00,26400,624.07
2015-07-13,612.75,636.00,606.25,628.50,49400,624.57
2015-07-10,608.00,618.00,600.25,609.25,9600,605.44
2015-07-09,589.75,612.00,589.75,602.00,15100,598.23
2015-07-08,599.00,603.00,577.25,584.75,12900,581.09
2015-07-07,618.50,625.00,594.25,601.00,20300,597.24
2015-07-06,575.75,625.00,575.75,613.50,76100,609.66
2015-07-03,581.00,598.25,577.00,581.00,10700,577.36
2015-07-02,603.00,603.00,578.75,581.50,10200,577.86
2015-07-01,592.00,611.00,588.75,592.00,26200,588.29
2015-06-30,570.00,607.25,567.00,592.00,53500,588.29
2015-06-29,567.00,591.00,553.50,566.50,76800,562.95
2015-06-26,533.00,598.00,531.75,582.75,85000,579.10
2015-06-25,532.00,546.00,528.25,531.50,5800,528.17
2015-06-24,538.00,548.00,527.00,532.25,8000,528.92
2015-06-23,538.00,545.00,532.25,537.00,6100,533.64
2015-06-22,535.00,544.50,530.00,533.25,6800,529.91
2015-06-19,534.25,538.50,526.50,529.25,6100,525.94
2015-06-18,540.00,546.00,522.50,528.75,10200,525.44
2015-06-17,506.00,552.50,506.00,534.00,20700,530.66
2015-06-16,524.25,527.00,506.00,515.75,5800,512.52
2015-06-15,533.50,538.00,520.00,524.75,4700,521.46
2015-06-12,527.25,543.50,525.00,536.00,12800,532.64
2015-06-11,573.00,582.75,524.00,530.25,41500,526.93
2015-06-10,509.75,575.75,502.00,566.75,75100,563.20
2015-06-09,499.50,520.00,484.00,499.25,22300,496.12
2015-06-08,516.00,520.00,492.00,506.75,5500,503.58
2015-06-05,520.00,529.00,513.00,520.00,1700,516.74
2015-06-04,516.00,527.00,513.50,519.25,5200,516.00
2015-06-03,518.00,524.00,480.00,511.25,19500,508.05
2015-06-02,534.25,541.25,514.25,517.50,5100,514.26
2015-06-01,539.25,545.00,530.50,539.00,5300,535.63
2015-05-29,540.20,546.90,538.00,541.60,7800,538.21
2015-05-28,545.00,547.80,535.50,541.00,3600,537.61
2015-05-27,530.00,552.20,530.00,540.80,7200,537.41
2015-05-26,515.20,553.40,515.20,536.70,18300,533.34
2015-05-25,558.00,558.00,535.10,539.90,22100,536.52
2015-05-22,543.80,570.20,541.00,558.40,71800,554.90
2015-05-21,540.00,545.80,536.00,540.80,10200,537.41
2015-05-20,536.50,544.70,534.90,540.70,18400,537.31
2015-05-19,541.00,554.50,527.00,530.60,39200,527.28
2015-05-18,525.00,543.80,522.80,540.50,78900,537.12
2015-05-15,485.40,531.80,485.00,519.20,156900,515.95
2015-05-14,480.40,495.00,465.50,485.80,40600,482.76
2015-05-13,492.00,507.80,475.60,480.30,123000,477.29
2015-05-12,462.00,471.70,452.00,459.50,9800,456.62
