Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,17.30,17.70,17.00,17.15,45300,17.15
2015-07-16,17.45,17.75,17.15,17.30,69700,17.30
2015-07-15,17.85,18.20,17.35,17.45,111400,17.45
2015-07-14,18.00,18.50,17.50,17.85,218500,17.85
2015-07-13,17.20,17.70,17.10,17.30,89200,17.30
2015-07-10,16.80,17.90,16.60,17.00,167500,17.00
2015-07-09,17.20,17.25,16.40,16.50,78600,16.50
2015-07-08,16.75,16.75,16.00,16.35,84000,16.35
2015-07-07,17.30,17.50,16.50,16.70,109700,16.70
2015-07-06,16.50,17.30,16.40,17.00,96800,17.00
2015-07-03,16.75,17.50,16.60,16.90,114300,16.90
2015-07-02,17.70,18.00,16.65,16.75,130700,16.75
2015-07-01,18.00,18.40,17.50,17.65,136700,17.65
2015-06-30,17.25,18.65,17.10,17.90,193100,17.90
2015-06-29,17.50,17.50,16.25,16.90,122600,16.90
2015-06-26,16.50,18.10,16.00,17.75,356800,17.75
2015-06-25,17.40,17.40,15.85,16.15,83900,16.15
2015-06-24,17.65,17.80,16.40,16.70,160600,16.70
2015-06-23,16.50,18.40,16.50,17.65,430800,17.65
2015-06-22,16.95,17.15,15.90,16.45,177700,16.45
2015-06-19,15.30,17.25,14.20,16.45,623200,16.45
2015-06-18,13.95,15.20,13.95,14.80,123800,14.80
2015-06-17,13.90,14.30,13.85,14.25,18600,14.25
2015-06-16,14.00,14.10,13.70,13.80,10200,13.80
2015-06-15,13.90,14.25,13.85,14.00,15300,14.00
2015-06-12,14.35,14.35,13.70,13.85,20700,13.85
2015-06-11,14.00,14.70,13.10,13.50,24400,13.50
2015-06-10,15.00,15.00,13.85,14.35,24900,14.35
2015-06-09,13.05,13.90,13.00,13.60,43200,13.60
2015-06-08,13.75,14.00,13.40,13.40,49100,13.40
2015-06-05,13.80,14.30,13.70,14.05,39500,14.05
2015-06-04,14.30,14.80,13.80,14.00,73000,14.00
2015-06-03,15.00,15.10,13.60,13.85,129100,13.85
2015-06-02,15.70,16.10,14.95,15.10,86400,15.10
2015-06-01,16.75,16.75,15.55,15.75,46200,15.75
2015-05-29,16.70,16.73,16.00,16.23,485800,16.23
2015-05-28,15.11,15.41,15.00,15.28,10700,15.28
2015-05-27,15.11,15.24,14.61,15.21,29800,15.21
2015-05-26,15.20,15.70,15.12,15.22,12900,15.22
2015-05-25,15.30,15.65,15.00,15.19,40200,15.19
2015-05-22,15.75,15.80,15.26,15.42,38000,15.42
2015-05-21,15.80,16.01,15.25,15.66,36800,15.66
2015-05-20,15.90,16.45,15.59,15.63,42000,15.63
2015-05-19,16.60,16.87,15.55,16.06,100800,16.06
2015-05-18,15.74,16.88,15.20,16.58,331200,16.58
2015-05-15,17.45,17.55,15.01,15.74,498500,15.74
2015-05-14,15.00,16.01,14.50,16.01,701200,16.01
2015-05-13,13.25,14.63,13.25,14.56,101000,14.56
2015-05-12,13.51,13.60,13.15,13.30,49100,13.30
2015-05-11,14.10,14.35,13.50,13.54,14700,13.54
2015-05-08,13.20,13.89,13.20,13.74,66100,13.74
