Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,80.10,80.80,76.70,77.35,82600,77.35
2015-07-16,81.90,82.35,79.20,79.90,35800,79.90
2015-07-15,83.85,84.50,79.10,80.25,98400,80.25
2015-07-14,83.95,85.60,82.30,82.90,78500,82.90
2015-07-13,82.70,84.70,82.20,82.75,59100,82.75
2015-07-10,82.60,85.00,81.45,81.85,60900,81.85
2015-07-09,86.00,86.15,80.70,81.50,127300,81.50
2015-07-08,80.40,86.00,79.45,84.00,210600,84.00
2015-07-07,82.90,83.35,80.05,80.85,67200,80.85
2015-07-06,75.75,82.70,75.15,80.55,112200,80.55
2015-07-03,81.00,81.35,77.95,78.55,64600,78.55
2015-07-02,81.50,83.10,79.50,80.70,119000,80.70
2015-07-01,81.00,85.35,76.10,79.90,407200,79.90
2015-06-30,72.00,78.65,72.00,78.65,346900,78.65
2015-06-29,69.00,73.00,67.40,71.50,128600,71.50
2015-06-26,71.00,75.75,70.40,72.60,221500,72.60
2015-06-25,67.70,73.65,66.10,71.40,271400,71.40
2015-06-24,76.75,76.75,67.90,69.75,493600,69.75
2015-06-23,63.40,75.40,62.45,75.40,1007400,75.40
2015-06-22,54.40,64.50,54.35,62.85,303200,62.85
2015-06-19,55.60,56.50,54.10,54.85,48000,54.85
2015-06-18,58.90,58.90,53.90,55.05,44300,55.05
2015-06-17,53.20,54.25,52.30,53.80,36700,53.80
2015-06-16,54.05,55.20,52.40,53.00,46300,53.00
2015-06-15,56.00,56.50,54.45,54.60,34500,54.60
2015-06-12,56.45,57.15,53.00,55.10,66200,55.10
2015-06-11,57.80,57.80,52.60,53.60,185900,53.60
2015-06-10,59.50,61.40,55.70,56.35,152600,56.35
2015-06-09,58.25,59.70,57.50,59.35,122000,59.35
2015-06-08,56.50,58.90,55.05,58.00,189900,58.00
2015-06-05,51.50,56.95,50.50,56.00,336300,56.00
2015-06-04,49.50,51.60,49.00,50.70,88800,50.70
2015-06-03,51.10,53.00,48.05,49.35,133300,49.35
2015-06-02,48.60,52.90,48.45,51.30,332900,51.30
2015-06-01,47.30,50.00,46.35,48.85,260100,48.85
2015-05-29,44.25,47.45,44.00,46.55,121200,46.55
2015-05-28,44.70,45.45,44.00,44.30,22000,44.30
2015-05-27,45.40,45.95,43.80,44.85,36400,44.85
2015-05-26,46.90,46.90,45.45,45.60,15200,45.60
2015-05-25,46.50,47.00,45.15,45.85,35700,45.85
2015-05-22,47.90,47.90,45.45,45.65,25700,45.65
2015-05-21,46.20,46.40,45.30,45.45,18900,45.45
2015-05-20,46.55,47.00,45.50,45.60,15800,45.60
2015-05-19,46.55,47.50,46.05,46.40,75700,46.40
2015-05-18,44.30,46.70,44.05,46.25,47000,46.25
2015-05-15,46.50,46.50,44.20,44.55,17600,44.55
2015-05-14,44.00,44.70,43.65,44.05,20600,44.05
2015-05-13,44.05,45.00,43.40,44.15,61400,44.15
2015-05-12,45.00,45.00,43.50,43.60,38000,43.60
2015-05-11,44.95,46.00,44.00,45.30,100100,45.30
2015-05-08,44.00,44.90,42.65,42.90,53200,42.90
2015-05-07,44.20,45.40,43.20,43.50,77100,43.50
2015-05-06,45.25,45.50,42.90,44.15,138300,44.15
2015-05-05,47.50,47.50,43.25,44.00,171300,44.00
2015-05-04,47.50,49.20,45.10,46.80,342400,46.80
2015-05-01,46.40,46.40,46.40,46.40,000,46.40
2015-04-30,49.55,49.70,46.10,46.40,146600,46.40
2015-04-29,46.50,50.00,46.05,49.20,330700,49.20
2015-04-28,40.60,46.80,39.65,46.30,420900,46.30
2015-04-27,40.00,40.90,38.50,39.65,61900,39.65
2015-04-24,41.45,41.45,38.80,39.60,139600,39.60
2015-04-23,39.35,41.20,38.65,40.90,97900,40.90
2015-04-22,41.50,41.50,38.00,39.30,32000,39.30
2015-04-21,40.05,40.90,39.30,39.60,111400,39.60
2015-04-20,39.25,41.10,38.75,39.95,134800,39.95
2015-04-17,38.20,39.55,37.70,38.50,51200,38.50
2015-04-16,38.95,39.85,37.30,38.20,77500,38.20
2015-04-15,40.20,40.20,38.10,38.75,124300,38.75
2015-04-14,39.45,39.45,39.45,39.45,000,39.45
2015-04-13,39.00,41.35,38.90,39.45,338000,39.45
2015-04-10,35.50,39.80,35.50,38.45,384300,38.45
2015-04-09,35.00,36.10,34.55,35.10,121000,35.10
2015-04-08,32.25,35.25,32.25,34.60,334800,34.60
2015-04-07,31.00,32.00,30.60,31.85,71900,31.85
2015-04-06,30.20,31.50,30.15,31.05,41200,31.05
2015-04-03,30.10,30.10,30.10,30.10,000,30.10
2015-04-02,30.10,30.10,30.10,30.10,000,30.10
2015-04-01,29.50,30.25,29.50,30.10,7200,30.10
2015-03-31,29.25,30.10,29.25,30.00,20600,30.00
2015-03-30,27.05,30.20,27.05,30.10,17800,30.10
2015-03-27,28.90,28.90,27.60,27.95,25300,27.95
2015-03-26,28.50,29.00,28.20,28.35,10100,28.35
2015-03-25,29.30,29.30,28.50,28.70,17800,28.70
2015-03-24,29.25,29.25,28.35,28.70,34000,28.70
2015-03-23,28.70,29.45,28.60,28.80,15900,28.80
2015-03-20,29.25,29.55,28.60,29.00,45000,29.00
2015-03-19,30.00,30.30,29.20,29.25,11400,29.25
2015-03-18,29.75,30.30,29.10,29.70,24700,29.70
2015-03-17,29.35,29.85,29.25,29.35,14800,29.35
2015-03-16,29.70,29.95,29.30,29.55,16200,29.55
2015-03-13,30.00,30.55,29.80,29.90,26800,29.90
2015-03-12,29.40,30.50,29.40,30.00,38600,30.00
2015-03-11,29.40,29.40,29.10,29.20,10800,29.20
2015-03-10,29.90,29.90,29.00,29.25,9700,29.25
2015-03-09,29.95,29.95,29.05,29.25,21200,29.25
2015-03-06,29.40,29.40,29.40,29.40,000,29.40
2015-03-05,29.50,29.70,29.15,29.40,25900,29.40
2015-03-04,30.35,30.35,29.00,29.10,74100,29.10
2015-03-03,30.00,30.45,29.50,29.70,60400,29.70
2015-03-02,30.95,30.95,29.50,30.25,69400,30.25
2015-02-27,29.50,31.30,29.50,30.75,35300,30.75
2015-02-26,29.50,29.80,29.25,29.45,18300,29.45
2015-02-25,29.90,29.95,29.25,29.50,54000,29.50
2015-02-24,30.05,30.25,29.40,29.50,30100,29.50
2015-02-23,31.30,31.30,30.05,30.10,30500,30.10
2015-02-20,30.90,30.90,30.05,30.20,19500,30.20
2015-02-19,30.80,31.00,30.30,30.45,28700,30.45
2015-02-18,31.50,31.70,30.50,30.70,66500,30.70
2015-02-17,31.25,31.25,31.25,31.25,000,31.25
2015-02-16,31.00,31.50,30.10,31.25,95800,31.25
2015-02-13,30.25,30.70,29.70,30.35,32800,30.35
2015-02-12,30.50,30.80,29.50,30.15,39500,30.15
2015-02-11,30.55,30.55,29.15,29.70,36900,29.70
2015-02-10,31.00,31.45,29.80,30.05,54200,30.05
2015-02-09,29.00,31.95,28.80,30.75,210800,30.75
2015-02-06,30.25,30.25,29.00,29.30,36300,29.30
2015-02-05,30.00,31.45,29.60,29.90,157700,29.90
2015-02-04,28.60,29.75,28.60,29.30,28500,29.30
2015-02-03,29.10,29.10,28.40,28.50,7900,28.50
2015-02-02,29.20,29.20,28.50,28.75,20100,28.75
2015-01-30,30.00,30.00,28.40,28.65,20800,28.65
2015-01-29,29.30,29.30,28.50,29.25,20000,29.25
2015-01-28,29.80,29.80,28.50,28.70,16500,28.70
2015-01-27,29.95,30.00,29.10,29.15,11100,29.15
2015-01-26,29.25,29.25,29.25,29.25,000,29.25
2015-01-23,28.95,29.70,28.40,29.25,29800,29.25
2015-01-22,29.80,29.80,28.55,28.65,17200,28.65
2015-01-21,29.40,29.45,28.75,29.00,27100,29.00
2015-01-20,29.05,29.45,28.70,28.90,12900,28.90
2015-01-19,29.90,29.90,28.50,28.95,16400,28.95
2015-01-16,29.40,29.80,28.80,28.90,45000,28.90
2015-01-15,30.80,30.80,29.30,29.50,19200,29.50
2015-01-14,30.00,30.35,29.00,29.35,42400,29.35
2015-01-13,32.90,32.90,30.00,30.25,24300,30.25
2015-01-12,29.50,31.00,29.25,30.75,70800,30.75
2015-01-09,30.15,30.45,29.45,29.90,62600,29.90
2015-01-08,28.75,29.75,28.55,29.35,29100,29.35
2015-01-07,27.65,28.75,27.65,28.50,41400,28.50
2015-01-06,28.00,28.40,27.60,27.90,14500,27.90
2015-01-05,28.65,28.90,28.35,28.45,11000,28.45
2015-01-02,28.25,29.35,27.90,28.55,31000,28.55
2015-01-01,28.35,28.35,27.55,27.85,23100,27.85
