Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,55.25,55.30,53.00,53.20,911300,53.20
2015-07-16,53.25,55.25,52.40,54.70,1609700,54.70
2015-07-15,53.00,54.00,52.30,52.75,1323100,52.75
2015-07-14,51.85,53.30,51.30,52.15,1292800,52.15
2015-07-13,49.80,51.30,49.45,50.85,886200,50.85
2015-07-10,49.75,50.35,48.65,48.90,540600,48.90
2015-07-09,49.00,51.00,48.80,49.00,949400,49.00
2015-07-08,50.00,51.40,48.55,49.05,2001300,48.05
2015-07-07,50.40,51.90,49.25,50.00,1378100,48.98
2015-07-06,51.10,51.25,49.10,49.85,1419400,48.83
2015-07-03,51.95,52.70,50.40,50.75,751000,49.72
2015-07-02,52.95,54.50,51.25,51.95,1726500,50.89
2015-07-01,51.80,53.30,50.40,52.70,1530700,51.63
2015-06-30,47.60,52.80,47.50,51.80,2545700,50.74
2015-06-29,46.30,47.65,45.75,47.40,734400,46.43
2015-06-26,48.50,49.55,47.60,48.40,628200,47.41
2015-06-25,48.60,49.80,48.10,48.45,552200,47.46
2015-06-24,50.55,51.45,48.15,48.75,1273600,47.76
2015-06-23,46.75,51.75,46.20,50.30,3290800,49.27
2015-06-22,48.05,48.40,46.20,46.65,935800,45.70
2015-06-19,43.10,49.60,42.80,48.00,3600400,47.02
2015-06-18,41.00,43.15,40.80,42.70,615000,41.83
2015-06-17,40.65,41.95,40.40,40.90,267800,40.07
2015-06-16,39.65,41.40,39.50,40.50,258100,39.67
2015-06-15,39.55,40.30,39.30,39.60,123000,38.79
2015-06-12,39.35,39.80,38.80,39.30,149000,38.50
2015-06-11,40.50,40.90,39.30,39.45,177200,38.65
2015-06-10,39.45,40.60,39.40,40.15,190100,39.33
2015-06-09,39.40,39.75,39.15,39.25,109200,38.45
2015-06-08,39.85,40.10,39.00,39.25,116500,38.45
2015-06-05,39.40,40.70,39.20,39.60,162500,38.79
2015-06-04,39.75,40.40,39.00,39.50,257600,38.69
2015-06-03,41.65,42.65,38.20,39.70,551600,38.89
2015-06-02,41.90,43.70,41.30,41.85,512900,41.00
2015-06-01,40.75,42.15,40.60,41.80,204700,40.95
2015-05-29,41.25,41.60,40.60,40.70,88100,39.87
2015-05-28,40.60,41.50,40.55,41.50,114000,40.65
2015-05-27,40.65,41.50,40.20,40.45,261100,39.63
2015-05-26,41.00,41.20,40.60,40.75,122400,39.92
2015-05-25,41.80,41.80,40.60,41.05,119800,40.21
2015-05-22,41.50,43.00,41.15,41.95,227100,41.09
2015-05-21,42.40,42.55,41.30,41.60,149100,40.75
2015-05-20,43.20,43.65,41.70,42.35,268800,41.49
2015-05-19,43.55,44.45,42.50,42.75,450700,41.88
2015-05-18,41.30,43.90,40.70,43.55,861600,42.66
2015-05-15,40.40,41.90,40.40,41.00,432700,40.16
2015-05-14,39.45,40.60,39.25,40.35,144000,39.53
2015-05-13,39.85,40.70,39.20,39.80,264600,38.99
2015-05-12,40.45,40.50,39.00,39.40,363700,38.60
2015-05-11,41.55,42.50,40.00,40.35,595600,39.53
2015-05-08,37.85,42.10,37.50,40.95,1031300,40.12
2015-05-07,38.50,38.80,37.10,37.35,250000,36.59
2015-05-06,39.95,40.00,38.00,38.40,189800,37.62
2015-05-05,40.90,41.00,39.60,40.00,372500,39.18
2015-05-04,41.25,42.10,40.50,40.70,734400,39.87
2015-05-01,39.60,39.60,39.60,39.60,000,38.79
2015-04-30,40.95,41.80,39.10,39.60,311000,38.79
2015-04-29,39.90,41.60,39.80,41.05,248600,40.21
2015-04-28,38.45,40.05,38.15,39.85,133200,39.04
2015-04-27,40.00,40.00,38.45,38.60,228700,37.81
2015-04-24,40.75,41.40,39.40,39.70,366600,38.89
2015-04-23,40.15,41.15,39.25,40.55,177700,39.72
2015-04-22,39.75,40.50,38.40,39.70,157900,38.89
2015-04-21,40.40,40.50,39.10,39.60,134300,38.79
2015-04-20,41.70,41.75,39.75,40.30,219300,39.48
2015-04-17,41.95,43.60,41.15,41.60,421200,40.75
2015-04-16,43.50,43.60,41.40,42.00,267300,41.14
2015-04-15,44.25,44.75,42.85,43.25,378700,42.37
2015-04-14,44.55,44.55,44.55,44.55,000,43.64
2015-04-13,42.70,45.25,42.70,44.55,967900,43.64
2015-04-10,43.35,44.40,42.20,42.50,706200,41.63
2015-04-09,41.80,44.25,41.50,43.25,1152200,42.37
2015-04-08,41.75,42.85,40.95,41.65,687100,40.80
2015-04-07,40.20,42.00,39.80,41.50,736600,40.65
2015-04-06,40.10,40.80,39.30,39.90,330900,39.09
2015-04-03,39.75,39.75,39.75,39.75,000,38.94
2015-04-02,39.75,39.75,39.75,39.75,000,38.94
2015-04-01,37.15,40.15,37.10,39.75,535600,38.94
2015-03-31,38.55,38.55,36.95,37.65,137700,36.88
2015-03-30,36.00,38.60,36.00,37.90,318100,37.13
2015-03-27,35.00,36.25,34.70,35.85,429400,35.12
2015-03-26,35.00,36.15,34.80,35.00,240500,34.29
2015-03-25,36.30,36.65,35.35,35.60,223600,34.87
2015-03-24,35.45,36.65,35.40,36.20,247900,35.46
2015-03-23,35.55,35.70,34.90,35.25,279500,34.53
2015-03-20,36.50,36.60,35.15,35.30,242900,34.58
2015-03-19,36.80,37.65,35.95,36.15,300100,35.41
2015-03-18,36.80,37.00,36.30,36.50,233000,35.76
2015-03-17,35.60,37.50,35.55,36.50,374800,35.76
2015-03-16,35.70,36.10,35.10,35.30,145300,34.58
2015-03-13,36.55,37.45,35.80,35.95,231600,35.22
2015-03-12,36.90,37.50,36.70,36.90,153300,36.15
2015-03-11,38.60,38.60,36.55,36.85,263500,36.10
2015-03-10,37.00,38.90,36.95,37.95,606300,37.18
2015-03-09,36.65,37.00,36.15,36.45,193700,35.71
2015-03-06,36.90,36.90,36.90,36.90,000,36.15
2015-03-05,36.65,37.20,35.50,36.90,245000,36.15
2015-03-04,39.20,39.35,36.20,36.40,494500,35.66
2015-03-03,36.20,39.25,35.55,38.85,875600,38.06
2015-03-02,35.60,36.85,35.15,35.90,322900,35.17
2015-02-27,34.85,36.00,34.65,35.45,214600,34.73
2015-02-26,35.75,35.75,34.45,34.65,169000,33.94
2015-02-25,36.45,36.80,35.25,35.45,376100,34.73
2015-02-24,36.50,37.20,35.75,36.05,290400,35.32
2015-02-23,37.55,37.70,36.10,36.30,320500,35.56
2015-02-20,37.90,38.30,37.10,37.20,287100,36.44
2015-02-19,38.65,38.80,37.10,37.65,232300,36.88
2015-02-18,38.00,40.20,37.50,38.40,655900,37.62
2015-02-17,37.80,37.80,37.80,37.80,000,37.03
2015-02-16,39.90,39.90,37.55,37.80,250800,37.03
2015-02-13,39.50,40.70,39.00,39.15,732400,38.35
2015-02-12,36.80,39.20,36.55,38.40,357100,37.62
2015-02-11,35.90,37.20,35.55,36.50,319100,35.76
2015-02-10,35.40,36.75,35.15,35.60,628200,34.87
2015-02-09,36.25,36.50,35.40,35.55,201700,34.83
2015-02-06,38.00,38.20,36.40,36.60,278200,35.85
2015-02-05,38.50,39.20,37.50,37.75,305700,36.98
2015-02-04,38.50,39.85,37.75,38.05,635500,37.27
2015-02-03,39.50,39.75,37.80,38.15,342300,37.37
2015-02-02,40.40,40.40,39.15,39.35,272300,38.55
2015-01-30,41.40,42.25,39.95,40.20,447200,39.38
2015-01-29,42.65,42.65,40.75,41.10,1025600,40.26
2015-01-28,42.40,42.40,39.70,40.95,622100,40.12
2015-01-27,41.00,42.90,40.80,42.10,700600,41.24
2015-01-26,40.80,40.80,40.80,40.80,000,39.97
2015-01-23,42.35,42.65,40.20,40.80,792900,39.97
2015-01-22,39.25,42.50,38.95,41.70,1732100,40.85
2015-01-21,38.75,40.55,38.50,39.00,974700,38.20
2015-01-20,37.70,39.30,37.70,38.45,361600,37.67
2015-01-19,38.00,38.75,37.55,37.80,259500,37.03
2015-01-16,38.90,39.25,37.55,37.85,264000,37.08
2015-01-15,38.45,39.50,37.75,38.95,368100,38.16
2015-01-14,38.80,39.50,37.70,38.05,353600,37.27
2015-01-13,38.30,40.20,37.70,38.55,904700,37.76
2015-01-12,39.70,39.70,38.00,38.20,608100,37.42
2015-01-09,36.00,40.50,35.25,39.80,2050400,38.99
2015-01-08,34.65,35.95,34.25,35.50,323100,34.78
2015-01-07,34.65,34.85,33.70,34.00,176500,33.31
2015-01-06,35.45,35.45,34.05,34.35,293600,33.65
2015-01-05,36.50,37.15,35.60,36.00,249200,35.27
2015-01-02,36.20,37.65,36.00,36.35,410400,35.61
2015-01-01,34.70,37.15,34.40,36.30,420900,35.56
2014-12-31,33.65,36.60,33.50,35.10,608500,34.38
2014-12-30,33.90,34.30,33.55,33.70,144500,33.01
2014-12-29,33.80,34.70,33.55,33.80,215800,33.11
2014-12-26,34.45,34.70,33.25,33.50,256400,32.82
2014-12-25,34.20,34.20,34.20,34.20,000,33.50
2014-12-24,33.05,35.40,32.50,34.20,416900,33.50
2014-12-23,33.55,34.75,32.55,32.90,335100,32.23
2014-12-22,34.30,35.40,33.35,33.80,487900,33.11
2014-12-19,37.25,37.50,34.10,34.65,495100,33.94
2014-12-18,33.10,36.70,33.10,36.45,574800,35.71
2014-12-17,33.70,34.20,31.90,32.70,483300,32.03
2014-12-16,35.50,35.50,33.30,33.75,359100,33.06
2014-12-15,36.35,36.55,35.20,35.35,760000,34.63
2014-12-12,38.25,38.35,36.40,36.70,261000,35.95
2014-12-11,38.10,39.25,37.55,38.05,233000,37.27
2014-12-10,38.50,39.25,38.05,38.80,225400,38.01
2014-12-09,39.30,40.10,37.55,38.10,306300,37.32
2014-12-08,40.00,40.35,38.70,39.20,199900,38.40
2014-12-05,39.75,41.45,39.60,39.90,376200,39.09
2014-12-04,40.65,41.30,40.00,40.10,394400,39.28
2014-12-03,40.55,41.50,39.70,41.05,715200,40.21
2014-12-02,37.90,40.80,37.90,39.95,464400,39.14
2014-12-01,39.15,39.60,38.00,38.25,283600,37.47
2014-11-28,40.20,41.00,38.55,38.90,374600,38.11
2014-11-27,39.60,40.65,39.60,39.75,242800,38.94
2014-11-26,38.70,40.85,38.70,40.05,570200,39.23
2014-11-25,40.55,41.50,37.30,39.05,806600,38.25
2014-11-24,42.30,42.60,40.70,40.80,318600,39.97
2014-11-21,40.60,42.55,40.60,41.85,787400,41.00
2014-11-20,41.75,42.65,40.75,41.20,597400,40.36
2014-11-19,43.25,44.30,41.50,41.60,579700,40.75
2014-11-18,44.45,44.85,42.55,43.00,755500,42.12
2014-11-17,44.50,45.50,44.10,44.30,414100,43.40
2014-11-14,45.00,46.85,44.25,44.85,601000,43.94
2014-11-13,46.80,47.25,44.60,45.05,589000,44.13
2014-11-12,48.00,49.25,46.25,46.55,1861800,45.60
2014-11-11,45.95,46.75,44.70,45.85,595300,44.92
2014-11-10,46.15,46.90,45.05,45.55,470600,44.62
2014-11-07,48.00,48.80,45.30,45.70,1539600,44.77
2014-11-06,47.05,47.05,47.05,47.05,000,46.09
2014-11-05,47.40,49.15,46.50,47.05,1609200,46.09
2014-11-04,47.45,47.45,47.45,47.45,000,46.48
2014-11-03,42.55,48.25,42.55,47.45,2822100,46.48
2014-10-31,42.00,45.00,42.00,43.35,1453300,42.47
2014-10-30,42.15,42.35,41.50,41.65,287800,40.80
2014-10-29,42.40,43.00,41.60,42.25,373900,41.39
2014-10-28,41.65,42.70,41.15,42.10,596100,41.24
2014-10-27,43.35,43.35,41.15,41.25,334300,40.41
2014-10-24,43.35,43.35,43.35,43.35,000,42.47
2014-10-23,43.35,43.35,43.35,43.35,000,42.47
2014-10-22,39.25,43.85,39.00,43.35,1495200,42.47
2014-10-21,38.90,39.60,38.35,38.80,224000,38.01
2014-10-20,38.90,39.90,38.45,38.60,240900,37.81
2014-10-17,37.80,38.60,36.90,38.00,422700,37.23
2014-10-16,39.25,40.20,36.60,37.10,495300,36.34
2014-10-15,40.00,40.00,40.00,40.00,000,39.18
2014-10-14,42.20,42.20,39.70,40.00,665000,39.18
2014-10-13,41.50,42.20,41.40,41.80,256300,40.95
2014-10-10,42.60,43.10,41.25,41.75,484700,40.90
2014-10-09,42.30,43.80,41.95,43.30,965000,42.42
