Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,281.00,284.10,279.50,280.25,12100,280.25
2015-07-16,290.00,290.00,279.15,280.40,16400,280.40
2015-07-15,287.70,289.70,281.00,281.35,6200,281.35
2015-07-14,292.75,293.70,284.00,286.20,10200,286.20
2015-07-13,287.40,290.60,285.30,287.95,7000,287.95
2015-07-10,286.50,288.00,282.50,283.45,7100,283.45
2015-07-09,283.00,286.00,279.15,283.15,6300,283.15
2015-07-08,280.00,290.00,277.00,282.50,157700,282.50
2015-07-07,284.20,286.70,275.10,284.00,20400,284.00
2015-07-06,280.00,283.00,272.70,280.70,10000,280.70
2015-07-03,278.10,283.75,275.50,276.95,10400,276.95
2015-07-02,281.00,285.95,280.10,281.65,7900,281.65
2015-07-01,279.00,281.00,273.45,278.85,20400,278.85
2015-06-30,277.20,278.15,270.00,271.90,11700,271.90
2015-06-29,273.05,279.40,271.00,277.80,11200,277.80
2015-06-26,282.00,284.70,277.00,278.40,10400,278.40
2015-06-25,284.65,287.00,273.00,282.60,7000,282.60
2015-06-24,291.00,291.70,285.00,285.30,6100,283.30
2015-06-23,297.00,298.50,290.10,291.15,9600,289.11
2015-06-22,301.00,307.00,294.00,296.15,37100,294.07
2015-06-19,303.10,303.15,295.00,296.80,3000,294.72
2015-06-18,301.35,303.00,296.25,301.05,4100,298.94
2015-06-17,302.05,305.45,299.65,301.90,4700,299.78
2015-06-16,284.55,301.00,284.55,299.15,27000,297.05
2015-06-15,285.40,288.95,280.40,283.10,7000,281.12
2015-06-12,279.10,289.00,278.00,284.90,7800,282.90
2015-06-11,288.00,293.70,276.85,280.05,19900,278.09
2015-06-10,282.60,292.45,278.00,284.60,16800,282.60
2015-06-09,293.15,295.90,281.35,282.75,7500,280.77
2015-06-08,292.40,296.25,289.30,290.25,4100,288.22
2015-06-05,297.80,302.90,291.00,291.00,13100,288.96
2015-06-04,295.85,304.00,283.50,298.05,15500,295.96
2015-06-03,312.00,312.00,285.75,295.85,17900,293.78
2015-06-02,312.00,321.00,308.10,309.70,39900,307.53
2015-06-01,308.30,312.85,307.10,309.25,11200,307.08
2015-05-29,305.00,310.40,304.10,307.00,9900,304.85
2015-05-28,307.65,311.90,305.90,307.10,9400,304.95
2015-05-27,307.90,313.75,303.25,305.80,12300,303.66
2015-05-26,304.00,317.10,302.55,305.90,5400,303.76
2015-05-25,305.00,305.00,302.35,303.85,2300,301.72
2015-05-22,303.15,304.95,301.20,302.70,3600,300.58
2015-05-21,303.60,305.50,300.00,303.20,7800,301.07
2015-05-20,306.50,306.95,301.15,302.80,19300,300.68
2015-05-19,304.30,306.15,302.10,303.95,204900,301.82
2015-05-18,304.85,305.00,302.10,303.35,5400,301.22
2015-05-15,307.65,309.00,301.50,304.05,9200,301.92
2015-05-14,304.85,311.30,303.85,305.80,12800,303.66
2015-05-13,309.20,315.90,304.00,306.15,11400,304.00
2015-05-12,319.60,324.40,309.25,310.30,17300,308.12
2015-05-11,310.00,329.00,310.00,315.95,51300,313.74
2015-05-08,301.70,312.80,300.20,305.10,26900,302.96
2015-05-07,303.60,308.50,293.00,295.05,77700,292.98
2015-05-06,303.80,315.00,298.70,303.95,72100,301.82
2015-05-05,290.20,307.20,286.80,304.40,148200,302.27
2015-05-04,282.40,304.25,282.40,290.00,105900,287.97
