Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,36.25,36.80,35.35,35.90,8600,35.90
2015-07-16,36.60,39.00,36.60,36.80,6100,36.80
2015-07-15,37.00,38.10,36.80,37.15,10500,37.15
2015-07-14,36.10,37.90,36.10,37.00,5200,37.00
2015-07-13,37.20,37.65,36.70,36.95,3400,36.95
2015-07-10,37.35,39.00,36.70,37.25,25100,37.25
2015-07-09,37.40,39.00,37.40,37.60,25800,37.60
2015-07-08,34.25,39.40,34.25,37.10,102600,37.10
2015-07-07,32.90,34.80,32.90,34.70,10100,34.70
2015-07-06,31.25,33.70,31.25,33.25,14900,33.25
2015-07-03,31.35,32.80,31.35,31.75,2800,31.75
2015-07-02,31.40,32.10,31.20,31.40,1100,31.40
2015-07-01,30.65,31.50,30.65,31.15,500,31.15
2015-06-30,31.00,31.60,30.65,31.50,1600,31.50
2015-06-29,30.50,32.00,30.50,31.50,6100,31.50
2015-06-26,29.70,31.50,29.70,30.70,8700,30.70
2015-06-25,31.00,31.20,30.20,30.55,6500,30.55
2015-06-24,31.50,33.40,31.50,31.60,9300,31.60
2015-06-23,30.00,33.00,29.60,31.70,6100,31.70
2015-06-22,30.70,30.95,30.00,30.20,1900,30.20
2015-06-19,30.30,30.90,29.90,30.70,4200,30.70
2015-06-18,33.00,33.00,28.90,29.40,9300,29.40
2015-06-17,28.00,29.00,28.00,28.40,5000,28.40
2015-06-16,27.55,28.00,27.55,27.75,3300,27.75
2015-06-15,27.20,28.10,27.20,27.70,000,27.70
2015-06-12,27.50,28.60,27.25,27.70,1300,27.70
2015-06-11,28.50,28.50,27.80,27.85,3400,27.85
2015-06-10,28.00,28.45,27.55,27.80,3800,27.80
2015-06-09,28.25,28.85,27.65,27.95,4100,27.95
2015-06-08,29.35,29.35,28.50,28.60,2200,28.60
2015-06-05,29.50,30.00,29.10,29.50,3500,29.50
2015-06-04,29.15,31.05,29.00,29.50,3000,29.50
2015-06-03,32.00,32.00,29.25,29.90,7200,29.90
2015-06-02,32.30,32.30,31.15,31.60,2500,31.60
2015-06-01,33.00,33.00,32.40,32.40,600,32.40
2015-05-29,32.55,32.60,32.45,32.45,1200,32.45
2015-05-28,33.25,33.25,32.25,32.40,1200,32.40
2015-05-27,33.25,33.30,32.50,32.65,6600,32.65
2015-05-26,33.50,34.55,33.10,33.35,5400,33.35
2015-05-25,33.25,34.50,33.10,33.60,7300,33.60
2015-05-22,33.00,33.10,32.50,32.50,2700,32.50
2015-05-21,32.40,33.20,32.40,32.80,2100,32.80
2015-05-20,33.00,33.20,32.70,33.15,2800,33.15
2015-05-19,33.45,33.50,32.55,32.70,3800,32.70
2015-05-18,33.60,33.60,32.30,32.50,5900,32.50
2015-05-15,32.80,33.00,32.45,32.65,4900,32.65
2015-05-14,32.40,33.30,32.30,32.90,5900,32.90
2015-05-13,32.90,33.15,32.00,32.80,8500,32.80
2015-05-12,32.90,33.85,32.35,32.75,5000,32.75
2015-05-11,33.30,33.80,33.20,33.30,1400,33.30
2015-05-08,33.10,33.95,32.70,32.85,9900,32.85
2015-05-07,33.65,34.00,32.40,32.65,2100,32.65
2015-05-06,34.30,36.00,33.55,34.00,10100,34.00
2015-05-05,35.55,35.75,34.50,34.50,16100,34.50
2015-05-04,38.00,38.00,35.60,36.10,12700,36.10
2015-05-01,37.85,37.85,37.85,37.85,000,37.85
2015-04-30,36.00,39.00,35.70,37.85,18100,37.85
2015-04-29,35.00,36.20,34.60,36.10,4700,36.10
2015-04-28,34.50,35.95,34.00,34.60,13700,34.60
2015-04-27,36.75,36.75,34.65,34.95,6200,34.95
2015-04-24,38.20,38.30,35.80,36.15,19400,36.15
2015-04-23,37.50,38.50,37.00,37.50,21300,37.50
2015-04-22,39.30,39.30,36.50,36.95,20600,36.95
2015-04-21,42.80,43.60,37.00,38.20,145700,38.20
2015-04-20,40.60,42.40,39.50,41.80,126300,41.80
2015-04-17,41.00,42.75,38.15,40.55,109100,40.55
2015-04-16,35.70,40.75,34.65,40.20,80300,40.20
2015-04-15,34.35,36.90,33.80,35.35,17100,35.35
2015-04-14,34.05,34.05,34.05,34.05,000,34.05
2015-04-13,34.30,34.60,33.90,34.05,3700,34.05
2015-04-10,33.40,34.50,33.40,34.50,2500,34.50
2015-04-09,34.35,34.70,33.75,34.05,4600,34.05
2015-04-08,33.40,34.25,33.40,33.90,1900,33.90
2015-04-07,34.85,37.80,33.00,34.05,14100,34.05
