Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,168.60,172.70,160.40,162.90,20400,162.90
2015-07-16,167.90,170.60,167.60,168.70,4500,168.70
2015-07-15,167.40,168.30,165.00,166.40,1400,166.40
2015-07-14,169.00,172.00,163.20,166.60,10900,166.60
2015-07-13,161.70,168.90,161.50,168.20,16300,168.20
2015-07-10,159.00,160.50,158.40,160.20,3900,160.20
2015-07-09,156.90,159.10,155.00,158.70,3700,158.70
2015-07-08,158.00,159.50,156.40,157.40,4200,157.40
2015-07-07,160.00,160.60,158.50,158.50,1800,158.50
2015-07-06,159.50,159.60,158.10,159.20,1600,159.20
2015-07-03,160.90,162.40,159.00,160.90,4500,160.90
2015-07-02,159.00,162.10,158.20,161.40,5400,161.40
2015-07-01,156.50,160.00,156.30,159.00,1900,159.00
2015-06-30,158.00,158.70,154.00,157.70,6500,157.70
2015-06-29,159.00,159.90,155.00,156.80,2500,156.80
2015-06-26,159.30,160.90,158.00,159.50,1700,159.50
2015-06-25,162.90,162.90,157.30,158.00,21400,158.00
2015-06-24,159.50,163.00,159.30,162.50,33400,162.50
2015-06-23,157.10,159.50,157.00,158.90,1500,158.90
2015-06-22,158.00,158.70,155.60,157.40,1700,157.40
2015-06-19,160.00,160.00,157.00,157.50,2100,157.50
2015-06-18,159.40,159.40,157.00,158.50,1300,158.50
2015-06-17,157.80,159.00,156.40,158.00,48900,158.00
2015-06-16,156.60,157.80,153.50,154.50,51400,154.50
2015-06-15,156.80,158.90,155.70,157.40,23300,157.40
2015-06-12,155.80,158.00,152.20,157.50,67500,157.50
2015-06-11,155.50,160.00,152.60,157.70,11300,157.70
2015-06-10,154.00,155.00,151.00,154.40,50000,154.40
2015-06-09,154.80,161.00,151.30,151.60,30400,151.60
2015-06-08,157.90,158.80,151.00,153.10,33400,153.10
2015-06-05,157.00,160.30,153.40,156.10,14200,156.10
2015-06-04,168.00,187.00,156.00,159.50,112300,159.50
2015-06-03,158.00,165.50,153.10,156.30,63600,156.30
2015-06-02,158.00,161.60,156.20,158.50,41200,158.50
2015-06-01,156.40,160.70,156.30,158.60,38000,158.60
2015-05-29,156.10,160.00,154.70,156.00,62100,156.00
2015-05-28,160.60,164.00,155.30,155.50,34600,155.50
2015-05-27,161.00,162.80,158.70,161.00,83000,161.00
2015-05-26,164.90,164.90,160.90,161.50,7200,161.50
2015-05-25,158.50,164.90,158.50,164.40,49200,164.40
2015-05-22,157.10,159.40,156.70,158.10,26200,158.10
2015-05-21,157.50,159.80,154.80,158.30,37600,158.30
2015-05-20,160.10,161.50,157.00,157.50,34800,157.50
2015-05-19,158.90,163.00,155.00,158.60,78600,158.60
2015-05-18,160.90,164.40,159.10,162.90,40200,162.90
2015-05-15,160.30,160.30,157.20,158.50,5000,158.50
2015-05-14,161.90,164.70,157.00,159.00,5600,159.00
2015-05-13,167.00,167.30,163.10,164.10,7500,164.10
2015-05-12,162.90,166.90,162.10,164.80,21400,164.80
2015-05-11,164.60,166.90,153.00,164.90,28900,164.90
2015-05-08,155.00,163.50,152.00,160.80,67900,160.80
2015-05-07,149.90,149.90,142.00,143.00,7100,143.00
2015-05-06,152.60,154.80,145.00,145.70,56900,145.70
2015-05-05,143.80,150.40,138.60,149.40,105900,149.40
2015-05-04,145.90,145.90,140.50,142.10,28600,142.10
2015-05-01,140.40,140.40,140.40,140.40,000,140.40
2015-04-30,144.90,144.90,138.00,140.40,32700,140.40
2015-04-29,149.90,149.90,142.00,143.30,44300,143.30
2015-04-28,147.40,147.40,143.30,144.00,56600,144.00
2015-04-27,148.40,150.30,143.60,147.20,38300,147.20
2015-04-24,151.10,152.40,146.00,148.70,20400,148.70
2015-04-23,151.10,153.60,149.50,151.10,40400,151.10
2015-04-22,152.10,155.10,151.00,152.00,27900,152.00
2015-04-21,152.40,154.00,146.40,152.80,23600,152.80
2015-04-20,155.90,155.90,151.00,152.90,19400,152.90
2015-04-17,160.00,160.20,153.60,155.20,46900,155.20
2015-04-16,157.00,165.00,152.90,157.80,87800,157.80
2015-04-15,156.00,157.80,153.80,155.50,29500,155.50
2015-04-14,155.50,155.50,155.50,155.50,000,155.50
2015-04-13,159.60,162.00,155.00,155.50,23900,155.50
2015-04-10,161.20,161.20,158.20,159.30,6900,159.30
2015-04-09,166.80,166.80,159.40,160.50,54400,160.50
2015-04-08,167.50,169.10,165.50,166.20,3900,166.20
2015-04-07,165.50,170.00,161.10,167.80,12700,167.80
2015-04-06,168.30,169.00,164.30,166.10,4600,166.10
2015-04-03,167.00,167.00,167.00,167.00,000,167.00
2015-04-02,167.00,167.00,167.00,167.00,000,167.00
2015-04-01,169.00,171.50,158.70,167.00,12400,167.00
2015-03-31,152.60,162.40,151.60,161.10,40200,161.10
2015-03-30,149.40,158.40,148.40,153.20,22500,153.20
2015-03-27,153.90,154.00,145.50,149.60,91400,149.60
2015-03-26,145.80,152.00,139.90,150.30,101100,150.30
2015-03-25,148.10,160.00,142.60,145.60,74000,145.60
2015-03-24,146.60,149.20,145.90,148.20,174600,148.20
2015-03-23,151.40,152.80,144.50,145.70,91100,145.70
2015-03-20,149.50,155.00,146.50,154.10,99600,154.10
2015-03-19,152.00,152.90,147.00,148.60,82800,148.60
2015-03-18,145.10,154.10,145.10,150.40,105700,150.40
2015-03-17,152.00,154.90,147.10,149.10,86000,149.10
2015-03-16,153.50,162.20,144.30,151.80,61600,151.80
