Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,91.45,93.95,90.50,93.00,8400,93.00
2015-07-16,91.30,94.85,89.00,90.00,310700,90.00
2015-07-15,94.70,94.70,90.20,90.90,2200,90.90
2015-07-14,96.70,96.70,93.00,93.20,8400,93.20
2015-07-13,90.05,97.00,89.30,94.20,39700,94.20
2015-07-10,91.95,91.95,89.30,89.75,8000,89.75
2015-07-09,90.60,90.60,88.25,89.30,3800,89.30
2015-07-08,88.30,89.85,88.25,89.10,800,89.10
2015-07-07,88.45,89.95,88.00,89.50,7600,89.50
2015-07-06,87.00,90.20,87.00,89.95,1100,89.95
2015-07-03,90.10,90.10,88.55,89.95,11300,89.95
2015-07-02,89.60,91.50,89.60,91.00,2600,91.00
2015-07-01,90.50,90.50,88.35,90.10,2700,90.10
2015-06-30,90.85,92.50,87.35,89.70,502300,89.70
2015-06-29,86.15,90.10,85.80,89.85,1300,89.85
2015-06-26,89.75,89.75,88.00,88.00,2300,88.00
2015-06-25,88.20,88.20,87.10,87.45,200,87.45
2015-06-24,87.90,88.40,87.00,88.00,2900,88.00
2015-06-23,87.00,87.00,85.50,86.00,600,86.00
2015-06-22,85.55,86.15,83.40,84.75,4300,84.75
2015-06-19,86.90,87.00,84.55,84.70,2700,84.70
2015-06-18,88.05,88.05,86.10,86.90,1600,86.90
2015-06-17,87.85,88.95,86.80,87.45,500,87.45
2015-06-16,89.80,89.90,87.20,87.65,3200,87.65
2015-06-15,87.00,90.00,86.10,89.25,1100,89.25
2015-06-12,87.00,90.55,87.00,88.50,300,88.50
2015-06-11,88.05,89.00,86.90,87.55,11000,87.55
2015-06-10,85.70,91.40,85.70,88.60,5600,88.60
2015-06-09,84.10,85.10,84.05,84.55,5300,84.55
2015-06-08,85.90,85.90,81.15,85.00,23400,85.00
2015-06-05,86.30,86.70,83.50,84.70,800,84.70
2015-06-04,83.20,85.55,83.00,83.15,600,83.15
2015-06-03,88.00,88.00,83.00,85.00,2100,85.00
2015-06-02,88.50,88.50,85.00,86.05,2900,86.05
2015-06-01,87.10,88.70,87.05,87.25,8200,87.25
2015-05-29,88.00,89.10,87.00,88.50,2200,88.50
2015-05-28,88.25,90.10,87.00,89.05,6600,89.05
2015-05-27,88.20,90.00,88.20,90.00,15300,90.00
2015-05-26,88.05,89.90,88.05,89.05,000,89.05
2015-05-25,88.65,89.25,88.10,88.95,2300,88.95
2015-05-22,88.05,90.60,88.05,90.60,3100,90.60
2015-05-21,90.50,90.50,88.50,88.50,200,88.50
2015-05-20,88.65,90.60,88.65,90.45,900,90.45
2015-05-19,89.00,90.60,89.00,90.60,1400,90.60
2015-05-18,91.45,91.50,90.10,90.60,500,90.60
2015-05-15,90.00,90.00,89.30,90.00,1500,90.00
2015-05-14,89.00,90.50,89.00,90.50,800,90.50
2015-05-13,89.00,90.70,89.00,90.70,600,90.70
2015-05-12,88.05,90.00,88.00,89.05,3300,89.05
2015-05-11,88.75,89.45,87.50,87.80,6400,87.80
2015-05-08,89.00,89.10,86.90,89.00,2000,89.00
2015-05-07,86.00,89.80,86.00,88.65,4800,88.65
2015-05-06,91.00,91.00,87.15,88.00,1700,88.00
2015-05-05,91.00,91.75,91.00,91.75,2600,91.75
2015-05-04,88.90,91.95,88.30,90.70,3300,90.70
2015-05-01,87.15,87.15,87.15,87.15,000,87.15
2015-04-30,88.40,88.40,87.15,87.15,200,87.15
2015-04-29,88.25,89.50,87.75,88.40,4500,88.40
2015-04-28,87.50,89.00,87.35,88.80,200,88.80
2015-04-27,86.25,88.15,86.20,87.25,1000,87.25
2015-04-24,87.00,88.40,87.00,87.40,1700,87.40
2015-04-23,90.00,91.00,88.00,88.00,2400,88.00
2015-04-22,88.75,88.75,87.00,88.00,25300,88.00
2015-04-21,91.20,91.20,87.30,87.95,1200,87.95
2015-04-20,94.00,94.00,88.40,90.60,7000,90.60
2015-04-17,96.70,96.70,93.25,94.85,4300,94.85
2015-04-16,98.80,100.50,97.20,97.90,5700,97.90
2015-04-15,101.05,102.00,98.50,100.50,6100,100.50
2015-04-14,101.65,101.65,101.65,101.65,000,101.65
2015-04-13,98.50,103.00,98.50,101.65,14400,101.65
2015-04-10,93.90,100.00,93.90,97.80,33300,97.80
2015-04-09,92.80,93.00,86.75,92.55,4200,92.55
2015-04-08,87.80,89.50,85.75,88.85,6300,88.85
2015-04-07,86.00,87.05,86.00,87.00,1600,87.00
2015-04-06,88.00,88.00,85.00,86.40,2300,86.40
2015-04-03,86.85,86.85,86.85,86.85,000,86.85
2015-04-02,86.85,86.85,86.85,86.85,000,86.85
2015-04-01,87.00,87.95,86.05,86.85,2300,86.85
2015-03-31,88.80,88.80,84.00,86.80,13400,86.80
2015-03-30,87.25,90.10,85.60,86.05,12500,86.05
2015-03-27,89.60,90.00,87.50,88.45,10500,88.45
2015-03-26,91.15,91.15,87.00,90.15,1300,90.15
2015-03-25,89.00,94.00,88.00,93.35,15600,93.35
2015-03-24,89.50,91.90,88.50,89.60,2200,89.60
2015-03-23,92.05,92.05,86.00,88.50,5900,88.50
2015-03-20,91.20,93.20,90.00,92.05,6300,92.05
2015-03-19,95.05,95.40,91.40,91.70,2300,91.70
2015-03-18,94.35,94.35,92.00,92.85,3100,92.85
2015-03-17,95.00,95.00,92.55,92.65,6300,92.65
2015-03-16,95.60,96.70,94.00,94.60,1000,94.60
2015-03-13,95.15,95.75,93.00,94.15,3800,94.15
2015-03-12,97.50,99.25,95.70,96.30,7900,96.30
2015-03-11,95.15,101.00,94.00,97.05,527100,97.05
2015-03-10,97.25,97.25,95.00,95.70,3500,95.70
2015-03-09,97.05,97.50,96.75,96.75,2700,96.75
2015-03-06,96.15,96.15,96.15,96.15,000,96.15
2015-03-05,97.30,98.00,96.00,96.15,4200,96.15
2015-03-04,98.00,98.80,97.25,97.70,1700,97.70
2015-03-03,100.00,100.00,97.35,97.85,2800,97.85
2015-03-02,98.00,99.50,98.00,98.25,600,98.25
2015-02-27,100.20,100.90,98.40,99.20,2800,99.20
2015-02-26,99.30,101.40,97.50,99.00,4900,99.00
2015-02-25,99.90,102.00,99.00,99.20,6800,99.20
2015-02-24,99.00,101.00,97.40,100.40,3900,100.40
2015-02-23,101.10,101.20,97.00,98.70,14500,98.70
2015-02-20,101.00,103.60,101.00,102.10,9000,102.10
2015-02-19,105.50,106.00,101.00,102.10,15500,102.10
2015-02-18,102.90,104.00,99.90,103.10,12900,103.10
2015-02-17,105.50,105.50,105.50,105.50,000,105.50
2015-02-16,110.10,110.10,105.00,105.50,5600,105.50
2015-02-13,115.75,116.00,103.00,111.25,583600,111.25
2015-02-12,115.00,115.60,114.50,115.00,15200,115.00
2015-02-11,115.00,115.70,115.00,115.00,19500,115.00
2015-02-10,115.60,118.20,115.00,117.55,13900,117.55
