Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,15.80,16.00,15.50,15.50,2300,15.50
2015-07-16,15.25,17.00,14.50,15.30,8200,15.30
2015-07-15,16.00,16.00,16.00,16.00,100,16.00
2015-07-14,15.05,16.70,15.05,15.90,7900,15.90
2015-07-13,15.00,16.20,14.70,16.20,3100,16.20
2015-07-10,16.40,16.50,14.90,15.40,4700,15.40
2015-07-09,15.30,16.95,15.30,16.40,1000,16.40
2015-07-08,16.00,16.00,16.00,16.00,000,16.00
2015-07-07,16.00,16.00,16.00,16.00,200,16.00
2015-07-06,16.90,16.90,16.90,16.90,500,16.90
2015-07-03,15.75,15.85,15.75,15.85,1100,15.85
2015-07-02,16.80,16.95,15.40,16.85,800,16.85
2015-07-01,15.20,15.20,15.20,15.20,100,15.20
2015-06-30,15.85,16.00,15.50,15.85,800,15.85
2015-06-29,15.00,17.00,15.00,17.00,1000,17.00
2015-06-26,15.00,17.80,15.00,16.35,4500,16.35
2015-06-25,16.05,16.05,16.05,16.05,000,16.05
2015-06-24,16.05,16.05,16.00,16.05,300,16.05
2015-06-23,16.70,17.45,15.00,17.20,6600,17.20
2015-06-22,14.70,15.00,14.70,15.00,100,15.00
2015-06-19,15.40,15.75,15.35,15.40,800,15.40
2015-06-18,15.50,15.70,15.15,15.70,1400,15.70
2015-06-17,15.55,15.55,15.55,15.55,000,15.55
2015-06-16,17.80,17.80,15.00,15.55,1700,15.55
2015-06-15,15.20,16.50,14.30,15.65,2900,15.65
2015-06-12,16.25,16.25,16.25,16.25,200,16.25
2015-06-11,16.20,16.50,16.20,16.50,1200,16.50
2015-06-10,17.25,17.25,17.25,17.25,100,17.25
2015-06-09,15.00,17.00,14.65,17.00,5700,17.00
2015-06-08,15.50,16.50,14.55,16.50,4100,16.50
2015-06-05,15.80,17.50,15.80,16.00,1500,16.00
2015-06-04,14.50,17.00,14.50,16.60,3900,16.60
2015-06-03,16.80,16.80,14.15,14.95,3000,14.95
2015-06-02,16.00,18.15,16.00,16.25,3600,16.25
2015-06-01,15.90,17.05,15.90,16.80,5000,16.80
2015-05-29,16.02,17.10,16.00,16.50,7300,16.50
2015-05-28,17.00,17.00,16.80,16.80,1300,16.80
2015-05-27,17.10,17.10,16.31,16.95,1300,16.95
2015-05-26,14.97,17.20,14.30,17.05,16400,17.05
2015-05-25,14.00,15.96,14.00,14.97,1600,14.97
2015-05-22,16.50,17.94,15.01,15.59,4300,15.59
2015-05-21,14.05,16.20,14.05,15.40,10300,15.40
2015-05-20,16.00,16.30,13.05,14.10,7700,14.10
2015-05-19,12.00,13.62,11.52,13.62,9200,13.62
2015-05-18,11.40,11.40,11.35,11.35,200,11.35
2015-05-15,11.75,11.75,11.75,11.75,000,11.75
2015-05-14,10.91,11.75,10.91,11.75,300,11.75
