Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,69.50,70.40,68.00,68.10,500,68.10
2015-07-16,70.00,70.80,68.00,69.60,11900,69.60
2015-07-15,67.00,70.70,67.00,69.70,11400,69.70
2015-07-14,68.00,68.00,65.30,66.00,1600,66.00
2015-07-13,67.00,68.00,65.15,67.10,7400,67.10
2015-07-10,63.00,65.00,63.00,64.90,5000,64.90
2015-07-09,62.00,64.40,61.55,63.50,10900,63.50
2015-07-08,61.35,62.25,61.25,62.00,7000,62.00
2015-07-07,64.00,64.00,61.55,62.05,3700,62.05
2015-07-06,62.00,63.40,60.65,62.05,13700,62.05
2015-07-03,59.50,63.00,59.50,61.90,2500,61.90
2015-07-02,60.95,63.50,60.00,62.95,20000,62.95
2015-07-01,57.10,60.90,57.10,60.30,7700,60.30
2015-06-30,56.00,57.50,56.00,57.35,9400,57.35
2015-06-29,55.30,56.55,55.20,56.20,5400,56.20
2015-06-26,56.10,57.45,56.10,57.00,3600,57.00
2015-06-25,56.00,57.40,55.50,57.00,5900,57.00
2015-06-24,55.10,57.30,55.00,56.20,34200,56.20
2015-06-23,54.35,54.35,54.35,54.35,200,54.35
2015-06-22,55.60,55.60,55.00,55.60,2400,55.60
2015-06-19,54.15,56.00,54.00,54.75,11000,54.75
2015-06-18,56.90,56.90,54.00,54.00,300,54.00
2015-06-17,53.00,55.00,52.00,54.00,600,54.00
2015-06-16,56.00,56.00,54.35,54.35,1200,54.35
2015-06-15,54.00,54.00,54.00,54.00,000,54.00
2015-06-12,55.00,55.00,54.00,54.00,600,54.00
2015-06-11,57.55,57.60,57.55,57.60,000,57.60
2015-06-10,58.70,58.70,56.00,57.80,4200,57.80
2015-06-09,62.00,64.00,53.25,55.30,1700,55.30
2015-06-08,59.70,59.70,53.20,54.40,4100,54.40
2015-06-05,56.00,56.05,55.40,56.00,3200,56.00
2015-06-04,58.00,59.45,56.00,56.10,700,56.10
2015-06-03,63.70,63.70,57.10,57.10,2700,57.10
2015-06-02,63.15,63.15,58.00,58.00,2500,58.00
2015-06-01,59.90,61.40,58.60,59.35,9200,59.35
2015-05-29,63.55,63.55,56.05,59.35,99000,59.35
