Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,579.00,593.00,562.00,569.50,26800,569.50
2015-07-16,580.00,586.00,570.00,574.00,19800,574.00
2015-07-15,590.00,591.00,570.00,572.50,23500,572.50
2015-07-14,610.00,610.00,581.50,587.25,23800,579.25
2015-07-13,590.00,610.00,585.00,600.00,62300,591.83
2015-07-10,585.00,594.00,571.00,588.25,24400,580.24
2015-07-09,569.75,629.50,565.00,578.25,31200,570.37
2015-07-08,604.75,604.75,552.50,569.00,30900,561.25
2015-07-07,605.00,620.00,590.00,595.00,27000,586.89
2015-07-06,574.00,619.00,536.50,604.00,41900,595.77
2015-07-03,574.75,594.75,561.25,573.75,53100,565.93
2015-07-02,580.25,585.00,550.00,565.00,24800,557.30
2015-07-01,600.00,600.00,562.00,574.25,24600,566.43
2015-06-30,598.25,605.50,565.00,570.00,30900,562.23
2015-06-29,592.00,629.00,559.25,597.25,53900,589.11
2015-06-26,560.75,610.00,560.75,591.00,48600,582.95
2015-06-25,552.00,584.00,552.00,570.75,22100,562.97
2015-06-24,545.25,570.00,531.00,563.25,25200,555.58
2015-06-23,572.25,574.50,511.50,565.50,54400,557.80
2015-06-22,500.75,548.75,500.00,548.75,56600,541.27
2015-06-19,504.00,518.75,486.00,499.00,47400,492.20
2015-06-18,535.00,535.00,491.50,502.50,67500,495.65
2015-06-17,551.00,554.00,525.00,531.25,25500,524.01
2015-06-16,561.00,569.75,539.25,547.00,22000,539.55
2015-06-15,570.00,570.00,555.00,561.50,23200,553.85
2015-06-12,599.00,599.00,543.00,558.00,28600,550.40
2015-06-11,593.75,596.25,558.00,561.25,25900,553.60
2015-06-10,605.00,605.00,585.00,592.00,29800,583.94
2015-06-09,565.00,602.00,565.00,599.50,49500,591.33
2015-06-08,601.75,601.75,570.50,578.25,72400,570.37
2015-06-05,560.00,570.00,550.00,563.50,36300,555.82
2015-06-04,573.00,573.00,545.00,559.00,30800,551.38
2015-06-03,573.25,575.00,526.75,549.75,27700,542.26
2015-06-02,570.00,589.75,550.00,554.00,19200,546.45
2015-06-01,562.00,580.00,546.00,567.50,21100,559.77
2015-05-29,520.00,559.00,500.00,548.30,27400,540.83
2015-05-28,485.20,517.00,472.10,515.00,27100,507.98
2015-05-27,499.95,514.50,481.00,492.80,21400,486.09
2015-05-26,508.80,544.00,485.00,501.10,42900,494.27
2015-05-25,436.00,505.00,432.00,497.80,77900,491.02
2015-05-22,418.00,444.00,394.10,436.00,59700,430.06
2015-05-21,414.80,414.80,371.50,401.60,40300,396.13
2015-05-20,393.00,393.00,365.10,370.70,14800,365.65
2015-05-19,380.50,387.50,376.10,379.00,19600,373.84
2015-05-18,390.00,399.90,374.00,382.00,44500,376.80
2015-05-15,360.50,395.00,360.00,389.30,39600,384.00
2015-05-14,337.90,362.00,336.10,358.10,40800,353.22
2015-05-13,335.00,343.90,332.00,338.80,16600,334.18
2015-05-12,321.00,339.00,321.00,334.40,18100,329.84
2015-05-11,339.50,339.50,325.00,329.30,17500,324.81
2015-05-08,341.00,355.00,331.30,334.40,101900,329.84
2015-05-07,316.40,366.00,316.40,341.70,78000,337.05
2015-05-06,328.80,328.80,314.00,317.70,16100,313.37
2015-05-05,338.00,350.00,323.00,331.90,35100,327.38
2015-05-04,288.00,339.40,282.20,327.60,73700,323.14
2015-05-01,282.90,282.90,282.90,282.90,000,279.05
2015-04-30,290.00,292.90,279.20,282.90,10100,279.05
2015-04-29,290.00,293.00,283.60,286.70,9600,282.79
2015-04-28,288.00,293.00,288.00,290.20,9100,286.25
2015-04-27,285.40,296.00,281.20,290.40,14200,286.44
2015-04-24,288.00,295.90,278.50,290.40,12700,286.44
2015-04-23,289.00,292.70,282.50,284.50,10000,280.62
2015-04-22,300.00,302.80,285.10,286.60,12400,282.70
