Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,45.55,48.50,45.55,46.90,500,46.90
2015-07-16,45.00,49.90,44.95,46.60,2400,46.60
2015-07-15,44.75,45.50,44.35,45.50,1100,45.50
2015-07-14,44.05,47.50,44.00,47.50,400,47.50
2015-07-13,46.50,46.50,45.00,45.00,500,45.00
2015-07-10,46.95,46.95,46.95,46.95,000,46.95
2015-07-09,46.90,47.00,44.00,46.95,3800,46.95
2015-07-08,44.15,46.00,43.30,44.10,3100,44.10
2015-07-07,49.00,50.00,45.00,47.00,7900,47.00
2015-07-06,45.00,46.00,45.00,45.95,600,45.95
2015-07-03,44.05,47.65,44.05,44.55,500,44.55
2015-07-02,44.00,50.20,43.90,45.90,3900,45.90
2015-07-01,44.00,45.95,42.10,42.30,4800,42.30
2015-06-30,40.85,47.00,40.85,46.75,8400,46.75
2015-06-29,34.70,39.20,34.70,39.20,900,39.20
2015-06-26,38.00,38.25,38.00,38.00,3700,38.00
2015-06-25,37.00,38.00,37.00,38.00,000,38.00
2015-06-24,37.00,37.00,37.00,37.00,100,37.00
2015-06-23,34.35,38.00,34.35,37.40,400,37.40
2015-06-22,36.05,36.30,36.05,36.30,100,36.30
2015-06-19,45.90,45.90,34.05,36.90,4400,36.90
2015-06-18,39.70,39.70,38.65,38.65,000,38.65
2015-06-17,38.30,38.35,36.00,37.35,100,37.35
2015-06-16,39.65,39.65,39.65,39.65,000,39.65
2015-06-15,40.95,40.95,35.00,36.45,1400,36.45
2015-06-12,40.45,40.45,40.45,40.45,000,40.45
2015-06-11,40.20,40.20,40.20,40.20,000,40.20
2015-06-10,38.90,41.00,37.25,38.80,800,38.80
2015-06-09,37.00,40.85,33.85,39.00,200,39.00
2015-06-08,40.00,40.00,40.00,40.00,000,40.00
2015-06-05,34.60,40.45,34.45,39.75,1100,39.75
2015-06-04,40.10,40.10,35.70,40.05,000,40.05
2015-06-03,40.90,40.90,40.70,40.70,000,40.70
2015-06-02,40.00,40.00,39.95,39.95,000,39.95
2015-06-01,38.00,45.75,37.00,37.50,600,37.50
2015-05-29,35.50,38.30,35.50,38.25,100,38.25
2015-05-28,35.50,43.00,35.45,37.45,1200,37.45
2015-05-27,40.00,44.00,38.40,38.75,2800,38.75
2015-05-26,41.00,41.00,39.00,39.05,200,39.05
2015-05-25,36.00,37.55,36.00,36.55,1400,36.55
2015-05-22,41.05,41.05,36.00,38.00,200,38.00
2015-05-21,35.30,40.50,34.70,36.00,400,36.00
2015-05-20,38.00,38.00,38.00,38.00,000,38.00
2015-05-19,38.00,38.00,38.00,38.00,400,38.00
2015-05-18,35.35,39.85,35.35,37.20,200,37.20
2015-05-15,38.00,40.00,35.15,37.90,500,37.90
2015-05-14,40.90,40.90,40.90,40.90,000,40.90
2015-05-13,38.55,41.00,38.50,40.90,400,40.90
2015-05-12,38.00,40.00,38.00,38.90,100,38.90
2015-05-11,35.05,41.45,35.05,41.40,200,41.40
2015-05-08,41.40,41.40,39.00,39.00,100,39.00
2015-05-07,41.40,41.40,41.40,41.40,000,41.40
2015-05-06,42.00,42.00,40.00,40.00,100,40.00
2015-05-05,41.75,44.00,38.00,42.00,1700,42.00
2015-05-04,37.00,40.40,35.15,40.40,000,40.40
2015-05-01,37.00,37.00,37.00,37.00,000,37.00
2015-04-30,37.00,37.00,37.00,37.00,000,37.00
2015-04-29,37.00,37.00,37.00,37.00,000,37.00
2015-04-28,38.60,41.70,38.00,38.85,500,38.85
2015-04-27,44.20,44.25,40.00,41.95,1200,41.95
2015-04-24,38.05,43.95,38.05,42.70,1400,42.70
2015-04-23,40.90,40.95,39.00,40.15,500,40.15
2015-04-22,38.80,42.90,37.20,38.85,1500,38.85
2015-04-21,43.00,43.00,40.00,40.00,600,40.00
2015-04-20,46.35,46.35,42.00,42.25,2900,42.25
2015-04-17,44.95,44.95,40.65,42.55,1600,42.55
2015-04-16,57.10,57.10,38.30,43.85,7900,43.85
2015-04-15,39.95,47.80,39.95,47.60,7700,47.60
2015-04-14,39.90,39.90,39.90,39.90,000,39.90
2015-04-13,38.00,41.70,38.00,39.90,6300,39.90
2015-04-10,41.00,41.85,38.00,41.00,3700,41.00
2015-04-09,38.50,42.00,35.15,37.90,6500,37.90
2015-04-08,39.00,39.00,36.05,38.10,900,38.10
2015-04-07,39.85,39.85,37.00,38.10,200,38.10
2015-04-06,45.00,45.00,35.90,37.25,1700,37.25
2015-04-03,38.00,38.00,38.00,38.00,000,38.00
2015-04-02,38.00,38.00,38.00,38.00,000,38.00
2015-04-01,38.25,38.25,35.20,38.00,3300,38.00
2015-03-31,40.30,40.30,34.10,37.00,1300,37.00
2015-03-30,31.05,38.70,31.00,36.00,2100,36.00
2015-03-27,33.05,33.05,33.05,33.05,000,33.05
2015-03-26,38.90,38.90,35.00,35.00,300,35.00
