Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,10.63,10.63,10.00,10.21,20500,10.21
2015-07-16,11.06,11.06,10.25,10.76,45100,10.76
2015-07-15,9.57,10.17,9.25,10.06,19400,10.06
2015-07-14,10.23,10.23,9.01,9.25,12000,9.25
2015-07-13,9.55,9.84,9.16,9.48,33300,9.48
2015-07-10,10.69,10.69,9.28,9.49,18800,9.49
2015-07-09,10.70,10.70,9.65,9.80,22400,9.80
2015-07-08,9.50,10.25,9.20,9.87,38400,9.87
2015-07-07,9.16,9.39,8.55,9.39,55900,9.39
2015-07-06,8.00,8.80,8.00,8.54,13500,8.54
2015-07-03,8.00,8.16,8.00,8.16,5800,8.16
2015-07-02,8.50,8.54,8.11,8.35,7800,8.35
2015-07-01,8.50,8.50,7.81,8.32,21200,8.32
2015-06-30,7.95,8.10,7.95,8.10,6800,8.10
2015-06-29,7.61,8.00,7.60,7.72,1200,7.72
2015-06-26,7.83,8.15,7.70,7.78,21300,7.78
2015-06-25,8.28,8.28,8.00,8.05,3000,8.05
2015-06-24,8.00,8.19,8.00,8.03,3800,8.03
2015-06-23,8.17,8.24,7.95,8.01,11600,8.01
2015-06-22,8.25,8.25,7.92,8.01,9000,8.01
2015-06-19,8.10,8.44,7.94,8.28,10800,8.28
2015-06-18,8.04,8.20,7.96,8.06,7300,8.06
2015-06-17,8.05,8.15,7.85,8.14,8300,8.14
2015-06-16,8.35,8.35,7.74,7.92,14500,7.92
2015-06-15,8.44,8.44,7.95,8.00,69800,8.00
2015-06-12,8.49,8.55,8.03,8.09,144900,8.09
2015-06-11,8.40,8.90,8.13,8.38,60300,8.38
2015-06-10,8.60,8.95,8.55,8.55,26000,8.55
2015-06-09,9.51,9.65,8.90,8.99,38200,8.99
2015-06-08,9.00,9.34,8.64,9.34,25400,9.34
2015-06-05,8.25,9.09,8.24,8.85,62600,8.85
2015-06-04,8.67,8.68,8.67,8.67,3800,8.67
2015-06-03,10.07,10.07,9.12,9.12,54100,9.12
2015-06-02,9.50,9.60,9.15,9.60,25300,9.60
2015-06-01,9.15,9.15,9.15,9.15,15900,9.15
2015-05-29,8.72,8.72,8.36,8.72,17200,8.72
2015-05-28,8.04,8.33,8.04,8.33,37800,8.33
2015-05-27,7.43,7.99,7.43,7.94,21100,7.94
2015-05-26,8.00,8.10,7.68,7.76,20900,7.76
2015-05-25,7.22,7.98,7.22,7.98,202200,7.98
2015-05-22,7.60,7.95,7.60,7.60,63600,7.60
2015-05-21,7.99,7.99,7.99,7.99,31000,7.99
2015-05-20,8.43,8.43,8.41,8.41,31500,8.41
2015-05-19,9.75,10.00,9.34,9.34,51900,9.34
2015-05-18,10.00,10.97,10.00,10.37,11900,10.37
2015-05-15,10.49,10.80,10.01,10.15,25800,10.15
2015-05-14,11.00,11.00,10.33,10.49,34300,10.49
2015-05-13,11.11,11.38,10.60,10.72,27300,10.72
2015-05-12,11.50,11.50,11.00,11.02,10000,11.02
