Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,2.13,2.50,2.13,2.31,3500,2.31
2015-07-16,2.32,2.45,2.32,2.36,300,2.36
2015-07-15,2.18,2.40,2.18,2.27,15900,2.27
2015-07-14,2.40,2.40,2.40,2.40,000,2.40
2015-07-13,2.25,2.47,2.25,2.40,11200,2.40
2015-07-10,2.35,2.40,2.21,2.28,4000,2.28
2015-07-09,2.33,2.35,2.25,2.35,6000,2.35
2015-07-08,2.26,2.31,2.18,2.18,12700,2.18
2015-07-07,2.15,2.29,2.12,2.28,5000,2.28
2015-07-06,2.35,2.35,2.17,2.33,18200,2.33
2015-07-03,2.33,2.39,2.18,2.33,14500,2.33
2015-07-02,2.20,2.35,2.15,2.18,42100,2.18
2015-07-01,2.35,2.45,2.26,2.26,27400,2.26
2015-06-30,2.33,2.35,2.33,2.35,2600,2.35
2015-06-29,2.25,2.25,2.25,2.25,2700,2.25
2015-06-26,2.25,2.25,2.25,2.25,600,2.25
2015-06-25,2.36,2.36,2.25,2.26,75100,2.26
2015-06-24,2.26,2.26,2.14,2.25,25300,2.25
2015-06-23,2.13,2.33,2.13,2.16,1200,2.16
2015-06-22,2.42,2.42,2.24,2.24,2000,2.24
2015-06-19,2.20,2.35,2.16,2.35,8000,2.35
2015-06-18,2.30,2.38,2.25,2.25,5900,2.25
2015-06-17,2.36,2.50,2.36,2.36,15400,2.36
2015-06-16,2.33,2.48,2.33,2.48,1300,2.48
2015-06-15,2.45,2.55,2.45,2.45,21600,2.45
2015-06-12,2.45,2.57,2.45,2.57,8400,2.57
2015-06-11,2.68,2.68,2.57,2.57,4200,2.57
2015-06-10,2.66,2.80,2.66,2.70,1000,2.70
2015-06-09,2.79,2.79,2.79,2.79,000,2.79
2015-06-08,2.60,2.82,2.60,2.79,6100,2.79
2015-06-05,2.84,2.84,2.66,2.70,2400,2.70
2015-06-04,2.65,2.80,2.65,2.80,200,2.80
2015-06-03,2.60,2.82,2.59,2.74,13000,2.74
2015-06-02,3.04,3.04,2.71,2.71,6800,2.71
2015-06-01,3.00,3.11,2.80,2.98,5600,2.98
