Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,0.98,0.98,0.98,0.98,000,0.98
2015-07-16,0.98,0.98,0.98,0.98,000,0.98
2015-07-15,0.98,0.98,0.98,0.98,000,0.98
2015-07-14,0.98,0.98,0.98,0.98,000,0.98
2015-07-13,0.95,0.95,0.95,0.95,000,0.95
2015-07-10,0.95,0.95,0.95,0.95,000,0.95
2015-07-09,0.95,0.95,0.95,0.95,000,0.95
2015-07-08,0.95,0.95,0.95,0.95,000,0.95
2015-07-07,0.95,0.95,0.95,0.95,300,0.95
2015-07-06,0.92,0.92,0.92,0.92,200,0.92
2015-07-03,0.90,0.91,0.90,0.91,19300,0.91
2015-07-02,0.95,0.95,0.91,0.91,500,0.91
2015-07-01,0.91,0.91,0.91,0.91,000,0.91
2015-06-30,0.91,0.91,0.91,0.91,000,0.91
2015-06-29,0.91,0.91,0.91,0.91,000,0.91
2015-06-26,0.91,0.91,0.91,0.91,2500,0.91
2015-06-25,0.95,0.95,0.95,0.95,000,0.95
2015-06-24,0.95,0.95,0.95,0.95,500,0.95
2015-06-23,0.95,0.95,0.95,0.95,3000,0.95
2015-06-22,0.91,0.91,0.91,0.91,1600,0.91
2015-06-19,0.95,0.95,0.95,0.95,000,0.95
2015-06-18,0.95,0.95,0.95,0.95,000,0.95
2015-06-17,0.95,0.95,0.95,0.95,000,0.95
2015-06-16,0.95,0.95,0.95,0.95,000,0.95
2015-06-15,0.95,0.95,0.95,0.95,1000,0.95
2015-06-12,0.99,0.99,0.99,0.99,000,0.99
2015-06-11,0.99,0.99,0.99,0.99,000,0.99
2015-06-10,0.99,0.99,0.99,0.99,000,0.99
2015-06-09,0.99,0.99,0.99,0.99,000,0.99
2015-06-08,0.99,0.99,0.99,0.99,000,0.99
2015-06-05,0.99,0.99,0.99,0.99,000,0.99
2015-06-04,0.99,0.99,0.99,0.99,000,0.99
2015-06-03,0.99,0.99,0.99,0.99,000,0.99
2015-06-02,0.99,0.99,0.99,0.99,000,0.99
2015-06-01,0.99,0.99,0.99,0.99,1000,0.99
2015-05-29,0.95,0.95,0.95,0.95,000,0.95
2015-05-28,0.95,0.95,0.95,0.95,000,0.95
2015-05-27,0.95,0.95,0.95,0.95,000,0.95
2015-05-26,0.95,0.95,0.95,0.95,000,0.95
2015-05-25,0.95,0.95,0.95,0.95,000,0.95
2015-05-22,0.95,0.95,0.95,0.95,000,0.95
2015-05-21,0.95,0.95,0.95,0.95,000,0.95
2015-05-20,0.95,0.95,0.95,0.95,300,0.95
2015-05-19,0.95,0.95,0.95,0.95,000,0.95
2015-05-18,0.95,0.95,0.95,0.95,000,0.95
2015-05-15,0.95,0.95,0.95,0.95,000,0.95
2015-05-14,0.95,0.95,0.95,0.95,1000,0.95
2015-05-13,0.99,0.99,0.99,0.99,800,0.99
2015-05-12,0.95,0.95,0.95,0.95,000,0.95
2015-05-11,0.95,0.95,0.95,0.95,000,0.95
2015-05-08,0.95,0.95,0.95,0.95,000,0.95
2015-05-07,0.95,0.95,0.95,0.95,800,0.95
2015-05-06,1.00,1.00,1.00,1.00,000,1.00
2015-05-05,1.00,1.00,1.00,1.00,000,1.00
2015-05-04,1.00,1.00,1.00,1.00,000,1.00
2015-05-01,1.00,1.00,1.00,1.00,000,1.00
2015-04-30,1.00,1.00,1.00,1.00,000,1.00
2015-04-29,1.00,1.00,1.00,1.00,000,1.00
2015-04-28,1.00,1.00,1.00,1.00,1000,1.00
2015-04-27,0.96,0.96,0.96,0.96,000,0.96
2015-04-24,0.96,0.96,0.96,0.96,300,0.96
2015-04-23,0.92,0.92,0.91,0.92,2000,0.92
2015-04-22,0.88,0.88,0.88,0.88,1400,0.88
2015-04-21,0.88,0.88,0.88,0.88,1000,0.88
2015-04-20,0.84,0.84,0.84,0.84,1500,0.84
2015-04-17,0.80,0.80,0.79,0.80,13500,0.80
2015-04-16,0.76,0.77,0.73,0.77,6000,0.77
2015-04-15,0.77,0.77,0.74,0.74,8500,0.74
2015-04-14,0.74,0.74,0.74,0.74,000,0.74
2015-04-13,0.74,0.74,0.74,0.74,12400,0.74
2015-04-10,0.74,0.74,0.68,0.71,10200,0.71
2015-04-09,0.71,0.71,0.66,0.71,7100,0.71
2015-04-08,0.68,0.68,0.68,0.68,100,0.68
2015-04-07,0.65,0.65,0.65,0.65,000,0.65
2015-04-06,0.65,0.65,0.65,0.65,100,0.65
2015-04-03,0.65,0.65,0.65,0.65,000,0.65
2015-04-02,0.65,0.65,0.65,0.65,000,0.65
2015-04-01,0.65,0.65,0.65,0.65,15300,0.65
2015-03-31,0.62,0.62,0.62,0.62,000,0.62
2015-03-30,0.62,0.62,0.62,0.62,000,0.62
2015-03-27,0.62,0.62,0.62,0.62,200,0.62
2015-03-26,0.63,0.63,0.63,0.63,000,0.63
2015-03-25,0.65,0.65,0.63,0.63,20300,0.63
2015-03-24,0.66,0.66,0.66,0.66,000,0.66
2015-03-23,0.66,0.66,0.66,0.66,000,0.66
2015-03-20,0.63,0.66,0.63,0.66,21900,0.66
2015-03-19,0.63,0.63,0.63,0.63,500,0.63
2015-03-18,0.60,0.60,0.60,0.60,1200,0.60
2015-03-17,0.58,0.58,0.58,0.58,000,0.58
2015-03-16,0.64,0.64,0.58,0.58,000,0.58
2015-03-13,0.61,0.61,0.61,0.61,000,0.61
2015-03-12,0.61,0.61,0.61,0.61,000,0.61
2015-03-11,0.61,0.61,0.61,0.61,000,0.61
2015-03-10,0.61,0.61,0.61,0.61,500,0.61
2015-03-09,0.64,0.64,0.64,0.64,5700,0.64
2015-03-06,0.64,0.64,0.64,0.64,000,0.64
2015-03-05,0.64,0.64,0.64,0.64,000,0.64
2015-03-04,0.64,0.64,0.64,0.64,000,0.64
2015-03-03,0.64,0.64,0.64,0.64,000,0.64
2015-03-02,0.64,0.64,0.64,0.64,000,0.64
2015-02-27,0.64,0.64,0.64,0.64,000,0.64
2015-02-26,0.64,0.64,0.64,0.64,000,0.64
2015-02-25,0.64,0.64,0.64,0.64,000,0.64
2015-02-24,0.64,0.64,0.64,0.64,000,0.64
2015-02-23,0.64,0.64,0.64,0.64,000,0.64
2015-02-20,0.64,0.64,0.64,0.64,500,0.64
2015-02-19,0.64,0.64,0.64,0.64,000,0.64
2015-02-18,0.64,0.64,0.64,0.64,000,0.64
2015-02-17,0.67,0.67,0.67,0.67,000,0.67
2015-02-16,0.67,0.67,0.67,0.67,000,0.67
2015-02-13,0.67,0.67,0.67,0.67,000,0.67
2015-02-12,0.67,0.67,0.67,0.67,000,0.67
2015-02-11,0.67,0.67,0.67,0.67,15000,0.67
2015-02-10,0.67,0.67,0.67,0.67,000,0.67
2015-02-09,0.67,0.67,0.67,0.67,000,0.67
2015-02-06,0.69,0.69,0.67,0.67,2000,0.67
2015-02-05,0.69,0.69,0.69,0.69,000,0.69
2015-02-04,0.69,0.69,0.69,0.69,1400,0.69
2015-02-03,0.71,0.71,0.71,0.71,000,0.71
2015-02-02,0.71,0.71,0.71,0.71,200,0.71
