Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,18.00,18.20,16.31,16.47,4100,16.47
2015-07-16,15.73,18.70,15.73,17.49,100,17.49
2015-07-15,16.10,17.00,16.10,16.86,200,16.86
2015-07-14,17.00,17.00,17.00,17.00,000,17.00
2015-07-13,15.50,17.90,15.50,17.00,400,17.00
2015-07-10,16.80,16.95,16.80,16.83,600,16.83
2015-07-09,15.50,16.45,15.10,15.81,2200,15.81
2015-07-08,17.00,17.15,16.00,16.00,1500,16.00
2015-07-07,17.59,17.59,14.50,14.91,300,14.91
2015-07-06,14.75,15.08,14.50,14.86,1600,14.86
2015-07-03,14.15,16.49,14.15,14.57,600,14.57
2015-07-02,17.25,17.25,14.99,14.99,2200,14.99
2015-07-01,15.05,15.40,14.75,15.06,1500,15.06
2015-06-30,17.60,17.60,14.80,14.90,3500,14.90
2015-06-29,14.50,16.60,14.50,16.55,1800,16.55
2015-06-26,14.15,14.15,14.15,14.15,000,14.15
2015-06-25,15.50,15.50,14.80,14.80,1100,14.80
2015-06-24,15.65,15.65,14.60,14.60,300,14.60
2015-06-23,14.50,14.50,14.50,14.50,200,14.50
2015-06-22,15.00,15.65,14.60,14.85,2800,14.85
2015-06-19,14.25,15.70,14.25,15.70,900,15.70
2015-06-18,15.40,16.65,14.90,15.50,100,15.50
2015-06-17,13.85,15.75,13.85,15.65,000,15.65
2015-06-16,15.35,15.35,14.00,14.05,1700,14.05
2015-06-15,14.65,16.35,14.30,14.60,1700,14.60
2015-06-12,15.00,17.75,15.00,15.15,900,15.15
2015-06-11,15.50,18.25,15.45,15.50,300,15.50
2015-06-10,15.40,18.70,15.40,17.70,300,17.70
2015-06-09,15.10,20.80,15.10,16.50,200,16.50
2015-06-08,16.30,17.95,15.65,17.95,1000,17.95
2015-06-05,16.25,17.30,16.25,16.75,900,16.75
2015-06-04,17.75,17.75,17.75,17.75,000,17.75
2015-06-03,16.50,18.20,16.35,17.75,800,17.75
2015-06-02,17.40,17.40,17.40,17.40,100,17.40
2015-06-01,16.65,16.70,16.50,16.55,1200,16.55
2015-05-29,16.25,16.55,16.25,16.50,1000,16.50
2015-05-28,17.60,17.65,16.50,16.50,3000,16.50
2015-05-27,16.25,16.30,16.25,16.30,000,16.30
2015-05-26,17.00,17.00,17.00,17.00,000,17.00
2015-05-25,17.00,17.00,17.00,17.00,000,17.00
2015-05-22,15.65,17.35,15.65,17.00,2200,17.00
2015-05-21,16.20,16.85,15.75,16.20,000,16.20
2015-05-20,16.15,17.95,16.00,16.10,8800,16.10
2015-05-19,17.00,17.00,16.95,16.95,000,16.95
2015-05-18,16.80,18.00,16.80,18.15,000,18.15
2015-05-15,17.50,17.50,17.10,17.10,000,17.10
2015-05-14,17.50,17.50,17.50,17.50,000,17.50
2015-05-13,17.50,17.50,17.50,17.50,200,17.50
2015-05-12,18.75,18.75,18.75,18.75,000,18.75
2015-05-11,18.10,18.85,18.10,18.15,100,18.15
2015-05-08,17.55,19.40,17.55,19.40,200,19.40
2015-05-07,19.00,19.00,19.00,19.00,000,19.00
2015-05-06,18.00,19.00,18.00,19.00,000,19.00
2015-05-05,19.45,19.45,19.45,19.45,000,19.45
