Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,21.30,21.30,20.55,20.70,22900,20.70
2015-07-16,21.20,21.40,20.75,21.05,24600,21.05
2015-07-15,21.55,21.60,21.05,21.15,29700,21.15
2015-07-14,21.55,21.75,21.30,21.40,23800,21.40
2015-07-13,21.60,21.90,21.30,21.50,26800,21.50
2015-07-10,21.85,22.00,21.50,21.65,20100,21.65
2015-07-09,21.80,22.00,21.50,21.85,39100,21.85
2015-07-08,21.70,22.20,20.60,21.85,60700,21.85
2015-07-07,22.10,22.15,21.75,21.90,20100,21.90
2015-07-06,21.40,22.05,21.40,21.90,37000,21.90
2015-07-03,22.10,22.30,21.85,22.05,34200,22.05
2015-07-02,22.10,22.20,21.85,21.95,13400,21.95
2015-07-01,21.95,22.25,21.80,21.95,32400,21.95
2015-06-30,22.15,22.35,21.85,21.90,23200,21.90
2015-06-29,21.55,22.45,21.25,22.05,63900,22.05
2015-06-26,21.85,22.10,21.50,21.90,54700,21.90
2015-06-25,21.80,22.00,21.55,21.85,28300,21.85
2015-06-24,21.80,22.00,21.65,21.90,31200,21.90
2015-06-23,21.80,22.40,21.60,21.70,33400,21.70
2015-06-22,21.50,22.70,21.40,22.05,32800,22.05
2015-06-19,21.10,21.70,21.00,21.50,30000,21.50
2015-06-18,21.60,21.80,21.05,21.25,39100,21.25
2015-06-17,20.90,21.20,20.70,21.15,51700,21.15
2015-06-16,20.70,21.00,20.50,20.95,37300,20.95
2015-06-15,21.30,21.40,20.65,20.80,132500,20.80
2015-06-12,20.70,21.35,20.30,21.10,79000,21.10
2015-06-11,20.80,21.25,20.10,20.50,49200,20.50
2015-06-10,20.80,21.25,20.60,20.80,84000,20.80
2015-06-09,20.95,21.80,20.30,20.95,98700,20.95
2015-06-08,20.00,21.20,19.70,21.00,45700,21.00
2015-06-05,20.05,20.05,19.65,19.95,33700,19.95
2015-06-04,19.90,20.75,19.25,20.25,169900,20.25
2015-06-03,20.60,20.75,19.10,19.95,54200,19.95
2015-06-02,20.75,21.40,20.55,21.05,58400,21.05
2015-06-01,20.70,20.95,20.20,20.40,27200,20.40
2015-05-29,21.30,21.60,20.90,21.00,28500,21.00
2015-05-28,21.80,21.85,21.45,21.60,46000,21.60
2015-05-27,21.55,22.25,21.20,21.70,45100,21.70
2015-05-26,21.80,22.40,21.20,21.95,165400,21.95
2015-05-25,22.40,22.40,21.55,21.85,58800,21.85
2015-05-22,21.80,22.20,21.65,21.90,31800,21.90
2015-05-21,21.90,22.45,21.75,21.90,46300,21.90
2015-05-20,21.85,22.40,21.55,22.10,73200,22.10
2015-05-19,20.55,21.80,20.50,21.50,41300,21.50
2015-05-18,20.75,21.05,20.20,20.75,37100,20.75
2015-05-15,20.95,20.95,20.15,20.35,57600,20.35
2015-05-14,20.05,20.50,19.90,20.30,18300,20.30
2015-05-13,20.40,20.50,20.00,20.40,32200,20.40
2015-05-12,20.05,20.45,19.85,20.30,18900,20.30
2015-05-11,20.00,20.80,19.80,20.35,43200,20.35
2015-05-08,19.50,20.90,18.00,20.45,364000,20.45
2015-05-07,19.70,20.20,19.30,19.55,15600,19.55
2015-05-06,20.70,20.95,19.85,20.35,71000,20.35
2015-05-05,21.10,21.55,20.95,21.10,68400,21.10
2015-05-04,21.00,21.20,20.65,20.95,36600,20.95
2015-05-01,20.75,20.75,20.75,20.75,000,20.75
