Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,9.51,9.51,9.48,9.48,2500,9.48
2015-07-16,9.51,9.88,9.18,9.27,12000,9.27
2015-07-15,9.59,10.10,9.52,9.66,1100,9.66
2015-07-14,9.70,9.87,9.70,9.87,6200,9.87
2015-07-13,9.28,9.99,9.28,9.40,900,9.40
2015-07-10,9.72,9.74,9.53,9.61,4500,9.61
2015-07-09,9.67,10.45,9.61,10.01,5600,10.01
2015-07-08,10.00,10.25,9.63,10.11,9100,10.11
2015-07-07,9.70,10.13,9.70,10.13,13600,10.13
2015-07-06,9.40,9.65,8.50,9.65,35900,9.65
2015-07-03,8.20,8.86,8.20,8.78,3000,8.78
2015-07-02,8.30,8.30,8.01,8.06,3200,8.06
2015-07-01,7.98,8.69,7.60,8.00,7100,8.00
2015-06-30,7.79,7.98,7.60,7.98,1100,7.98
2015-06-29,7.99,7.99,7.60,7.90,200,7.90
2015-06-26,7.80,7.80,7.80,7.80,1000,7.80
2015-06-25,7.98,7.98,7.98,7.98,000,7.98
2015-06-24,7.45,8.02,7.45,7.83,5100,7.83
2015-06-23,7.27,7.64,7.27,7.59,6900,7.59
2015-06-22,7.93,7.93,7.93,7.93,000,7.93
2015-06-19,7.21,7.21,7.21,7.21,1000,7.21
2015-06-18,7.35,7.50,7.32,7.50,1500,7.50
2015-06-17,7.32,7.90,7.32,7.90,1000,7.90
2015-06-16,7.20,7.98,7.20,7.81,2100,7.81
2015-06-15,7.25,7.90,7.25,7.90,300,7.90
2015-06-12,7.98,7.98,7.98,7.98,000,7.98
2015-06-11,7.50,7.50,7.15,7.50,1600,7.50
2015-06-10,7.42,7.42,7.42,7.42,000,7.42
2015-06-09,8.00,8.80,7.42,7.42,1100,7.42
2015-06-08,8.23,8.24,8.23,8.24,200,8.24
2015-06-05,7.99,8.00,7.99,8.00,1500,8.00
2015-06-04,7.40,7.40,7.40,7.40,000,7.40
2015-06-03,7.40,7.40,7.40,7.40,000,7.40
2015-06-02,7.40,8.10,7.40,7.50,2100,7.50
2015-06-01,8.49,8.49,8.49,8.49,000,8.49
2015-05-29,8.49,8.49,8.49,8.49,000,8.49
2015-05-28,7.60,8.49,7.60,8.49,2000,8.49
2015-05-27,7.75,7.75,7.47,7.64,1700,7.64
2015-05-26,7.60,7.60,7.60,7.60,000,7.60
2015-05-25,7.60,7.60,7.60,7.60,000,7.60
2015-05-22,7.60,8.24,7.60,7.60,500,7.60
2015-05-21,8.21,8.21,8.21,8.21,000,8.21
2015-05-20,8.21,8.21,8.21,8.21,000,8.21
2015-05-19,8.25,8.85,8.21,8.21,1200,8.21
2015-05-18,7.11,7.70,7.10,7.70,300,7.70
2015-05-15,7.41,7.41,7.41,7.41,000,7.41
2015-05-14,7.41,7.41,7.41,7.41,000,7.41
2015-05-13,8.05,8.05,7.41,7.41,2200,7.41
2015-05-12,7.62,7.62,7.62,7.62,000,7.62
2015-05-11,7.52,7.62,7.52,7.62,400,7.62
2015-05-08,7.52,7.52,7.52,7.52,000,7.52
2015-05-07,7.52,7.52,7.52,7.52,000,7.52
2015-05-06,7.52,7.52,7.52,7.52,200,7.52
2015-05-05,8.01,8.01,8.01,8.01,300,8.01
2015-05-04,8.11,8.11,8.11,8.11,200,8.11
2015-05-01,8.89,8.89,8.89,8.89,000,8.89
2015-04-30,8.94,8.94,7.60,8.89,5600,8.89
2015-04-29,8.99,8.99,8.00,8.00,000,8.00
