Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,659.90,671.95,654.20,659.25,31000,659.25
2015-07-16,644.00,656.00,640.80,651.60,16900,651.60
2015-07-15,638.00,647.95,637.00,640.90,19100,638.40
2015-07-14,630.00,639.00,624.25,634.80,17500,632.324
2015-07-13,629.90,629.90,615.00,625.90,18300,623.459
2015-07-10,629.95,629.95,605.00,610.60,14700,608.218
2015-07-09,635.00,649.90,615.50,620.90,17700,618.478
2015-07-08,635.00,640.10,625.00,628.40,24100,625.949
2015-07-07,626.00,650.40,624.55,638.00,60700,635.511
2015-07-06,610.20,626.20,603.20,622.80,28900,620.371
2015-07-03,625.70,626.00,615.00,616.80,32500,614.394
2015-07-02,613.80,627.45,609.65,625.15,37400,622.711
2015-07-01,608.00,614.50,603.80,611.10,31800,608.716
2015-06-30,581.00,619.55,581.00,601.35,74100,599.004
2015-06-29,595.00,598.90,577.00,581.55,69500,579.281
2015-06-26,620.10,629.00,610.00,613.90,86400,611.505
2015-06-25,634.30,644.00,607.50,610.85,165500,608.467
2015-06-24,700.00,700.00,620.00,628.90,242100,626.447
2015-06-23,720.45,731.45,713.00,720.25,4900,717.44
2015-06-22,720.00,721.70,699.30,718.05,6200,715.249
2015-06-19,722.00,729.50,712.00,715.00,6800,712.211
2015-06-18,731.80,733.55,718.00,719.75,6500,716.942
2015-06-17,730.00,739.00,725.25,727.05,6300,724.214
2015-06-16,723.00,739.00,719.95,727.20,5200,724.363
2015-06-15,728.40,733.00,719.10,723.20,6900,720.379
2015-06-12,735.00,741.05,710.10,725.80,9100,722.969
2015-06-11,748.00,760.00,738.05,742.15,15800,739.255
2015-06-10,755.50,755.50,745.00,746.40,6000,743.488
2015-06-09,740.00,769.40,738.45,746.45,10500,743.538
2015-06-08,763.00,767.45,732.00,753.00,5200,750.063
2015-06-05,755.00,764.05,751.40,753.00,2300,750.063
2015-06-04,768.00,773.05,755.00,758.25,5100,755.292
2015-06-03,754.00,767.95,730.00,757.65,8800,754.695
2015-06-02,770.00,770.95,746.40,754.75,6200,751.806
2015-06-01,775.00,775.00,761.00,765.90,6300,762.912
2015-05-29,749.10,799.80,747.20,786.65,22500,783.581
2015-05-28,765.00,773.80,745.95,747.00,14300,744.086
2015-05-27,782.20,783.00,757.95,763.15,23000,760.173
2015-05-26,795.00,799.30,785.00,788.25,11800,785.175
2015-05-25,795.00,800.00,788.00,796.40,16600,793.293
2015-05-22,778.00,800.00,778.00,792.95,12500,789.857
2015-05-21,781.00,790.00,776.00,782.40,14500,779.348
2015-05-20,800.00,820.00,783.00,791.15,49500,788.064
2015-05-19,771.00,789.00,764.00,773.20,20800,770.184
2015-05-18,776.00,785.00,760.00,771.25,10500,768.242
2015-05-15,733.25,781.95,732.00,773.50,22700,770.483
2015-05-14,714.75,729.00,707.00,725.45,4100,722.62
2015-05-13,685.15,724.00,685.15,716.30,13200,713.506
2015-05-12,704.95,705.00,683.85,686.60,4800,683.922
2015-05-11,705.10,707.30,688.00,698.25,4400,695.526
