Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,269.00,270.50,265.15,265.95,92300,265.95
2015-07-16,260.30,269.75,260.15,268.60,131500,268.60
2015-07-15,261.90,263.40,258.45,259.25,82300,259.25
2015-07-14,263.80,264.50,258.35,260.30,122100,260.30
2015-07-13,258.50,262.90,258.00,262.25,78200,262.25
2015-07-10,259.80,260.70,255.55,257.90,90900,257.90
2015-07-09,256.00,258.50,253.60,256.90,98200,256.90
2015-07-08,255.00,256.70,250.30,255.20,132900,255.20
2015-07-07,262.00,264.30,257.10,257.85,95700,257.85
2015-07-06,256.00,262.00,255.45,261.30,95600,261.30
2015-07-03,257.10,262.45,257.10,260.80,97400,260.80
2015-07-02,260.90,262.50,256.60,257.30,98700,257.30
2015-07-01,254.10,261.60,254.10,259.25,118200,259.25
2015-06-30,259.00,261.25,254.50,255.80,113100,255.80
2015-06-29,260.10,262.60,255.45,258.20,131500,258.20
2015-06-26,271.50,272.25,265.85,267.50,98400,267.50
2015-06-25,275.00,275.05,270.80,272.55,29000,272.55
2015-06-24,280.00,281.40,272.00,275.50,69700,275.50
2015-06-23,273.95,279.50,273.15,277.60,99200,277.60
2015-06-22,266.25,274.50,263.75,271.50,65000,271.50
2015-06-19,262.00,267.60,262.00,266.50,99900,266.50
2015-06-18,267.00,267.00,260.05,260.90,86200,260.90
2015-06-17,265.65,270.20,265.55,267.00,96000,267.00
2015-06-16,262.90,265.00,261.15,264.40,105500,264.40
2015-06-15,258.50,265.05,258.05,261.90,99800,261.90
2015-06-12,254.30,261.95,253.00,259.10,85800,259.10
2015-06-11,267.90,267.95,256.05,258.25,72300,258.25
2015-06-10,264.90,268.70,262.40,265.10,101200,265.10
2015-06-09,258.70,264.60,258.05,261.25,69400,261.25
2015-06-08,266.00,266.00,256.00,259.10,63900,259.10
2015-06-05,256.00,264.90,253.00,263.15,244500,263.15
2015-06-04,262.55,262.90,251.75,256.45,182800,256.45
2015-06-03,268.00,268.00,256.65,261.50,124400,261.50
2015-06-02,268.00,271.95,266.55,268.30,125900,268.30
2015-06-01,272.20,272.50,267.20,270.10,194100,270.10
2015-05-29,281.90,283.00,272.00,272.65,166400,272.65
2015-05-28,277.00,281.50,273.25,281.25,232600,281.25
2015-05-27,270.90,278.65,270.90,277.35,55800,277.35
2015-05-26,282.00,282.00,275.00,276.20,49400,276.20
2015-05-25,272.30,281.90,272.30,280.30,94700,280.30
2015-05-22,272.95,279.40,272.95,277.15,107200,277.15
2015-05-21,274.50,275.45,270.55,272.95,73100,272.95
2015-05-20,272.75,275.90,271.55,272.85,4368100,272.85
2015-05-19,274.00,274.75,269.00,271.25,85100,271.25
2015-05-18,269.55,273.70,268.25,272.90,69300,272.90
2015-05-15,271.90,272.90,264.90,270.05,135800,270.05
2015-05-14,265.00,272.00,262.00,271.30,124700,271.30
2015-05-13,261.00,266.00,256.35,264.60,199000,264.60
2015-05-12,267.60,267.60,256.00,261.15,1178100,261.15
2015-05-11,259.15,265.50,252.60,264.95,237400,264.95
2015-05-08,257.00,261.45,255.30,256.50,117200,256.50
2015-05-07,270.00,270.75,250.00,253.00,306200,253.00
2015-05-06,279.65,279.65,259.00,271.75,859100,271.75
2015-05-05,276.00,279.65,273.00,277.15,183900,277.15
2015-05-04,268.70,276.00,266.40,274.80,85000,274.80
2015-05-01,266.00,266.00,266.00,266.00,000,266.00
2015-04-30,264.00,268.00,255.75,266.00,167900,266.00
2015-04-29,271.80,271.80,262.10,264.45,245400,264.45
2015-04-28,267.10,275.70,267.00,270.95,194300,270.95
2015-04-27,274.05,274.05,267.15,271.30,94900,271.30
2015-04-24,276.90,277.20,271.75,273.30,80200,273.30
2015-04-23,278.95,281.50,275.05,275.70,79800,275.70
2015-04-22,277.00,278.00,272.85,276.85,88700,276.85
2015-04-21,276.70,278.70,269.80,275.40,100300,275.40
2015-04-20,280.00,280.00,273.60,276.30,146400,276.30
2015-04-17,276.95,279.90,274.00,278.35,108700,278.35
2015-04-16,281.95,281.95,272.40,275.25,207200,275.25
2015-04-15,287.80,288.60,276.15,279.40,93200,279.40
2015-04-14,285.75,285.75,285.75,285.75,000,285.75
2015-04-13,287.95,288.00,283.80,285.75,126400,285.75
2015-04-10,288.90,291.90,284.50,286.85,275400,286.85
2015-04-09,284.00,287.95,281.00,286.80,246700,286.80
2015-04-08,274.15,280.30,272.60,278.05,236000,278.05
2015-04-07,275.00,275.00,268.65,271.50,168000,271.50
2015-04-06,285.10,285.40,274.85,277.65,112100,277.65
2015-04-03,281.75,281.75,281.75,281.75,000,281.75
2015-04-02,281.75,281.75,281.75,281.75,000,281.75
2015-04-01,274.80,283.70,272.65,281.75,141600,281.75
2015-03-31,273.30,276.60,271.00,272.75,92400,272.75
2015-03-30,266.00,272.25,265.50,270.95,85700,270.95
2015-03-27,269.90,273.20,257.65,264.50,218400,264.50
2015-03-26,278.00,281.40,269.55,270.35,117300,270.35
2015-03-25,281.40,281.85,275.80,279.35,107700,279.35
2015-03-24,277.00,281.60,276.05,278.55,120400,278.55
2015-03-23,275.00,279.25,272.00,275.40,117500,275.40
2015-03-20,280.00,288.00,273.60,275.55,206400,275.55
2015-03-19,285.15,289.65,278.55,280.05,160700,280.05
2015-03-18,278.00,285.70,276.10,282.85,144000,282.85
2015-03-17,274.05,280.70,272.25,278.75,200600,278.75
2015-03-16,273.00,279.25,270.05,271.60,218100,271.60
2015-03-13,290.05,291.55,271.10,272.40,777500,272.40
2015-03-12,288.30,291.50,287.25,289.15,109400,289.15
2015-03-11,285.50,291.75,282.35,287.45,169500,287.45
2015-03-10,290.00,292.90,284.55,285.60,150300,285.60
2015-03-09,296.00,296.00,287.55,289.55,119000,289.55
2015-03-06,295.60,295.60,295.60,295.60,000,295.60
2015-03-05,292.70,297.70,291.70,295.60,224800,295.60
2015-03-04,305.00,306.20,290.00,291.90,352100,291.90
2015-03-03,310.80,313.05,302.20,305.85,298000,297.35
2015-03-02,296.05,310.95,293.75,308.70,509600,300.12
2015-02-27,280.70,294.30,277.00,293.55,448900,285.39
2015-02-26,274.00,280.00,272.30,279.00,186300,271.25
2015-02-25,273.00,274.50,271.00,272.90,141900,265.32
2015-02-24,273.00,274.70,268.70,270.95,166300,263.42
2015-02-23,281.20,281.20,271.50,272.95,177400,265.36
2015-02-20,276.90,281.60,273.45,278.55,191900,270.81
