Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,2110.00,2119.95,2098.15,2108.80,1900,2108.80
2015-07-16,2119.00,2135.95,2094.00,2097.30,2800,2097.30
2015-07-15,2112.50,2130.00,2097.00,2105.20,3300,2105.20
2015-07-14,2099.90,2120.00,2072.25,2110.65,3300,2110.65
2015-07-13,2044.90,2099.00,2044.90,2076.90,6700,2076.90
2015-07-10,2010.00,2049.00,1990.00,2028.45,6100,2028.45
2015-07-09,1984.00,2030.75,1984.00,2008.65,2800,2008.65
2015-07-08,1981.80,1999.30,1975.00,1989.55,3800,1989.55
2015-07-07,1995.00,2009.00,1985.10,1991.60,2900,1991.60
2015-07-06,1980.00,1996.00,1979.00,1983.85,2300,1983.85
2015-07-03,2005.00,2019.00,1975.05,1981.15,1900,1981.15
2015-07-02,2010.00,2032.55,2000.00,2003.15,2200,1990.65
2015-07-01,2028.25,2046.90,1995.00,1998.55,3000,1986.08
2015-06-30,2000.75,2035.00,1990.00,2022.70,1400,2010.08
2015-06-29,2000.05,2000.05,1974.95,1982.00,1200,1957.21
2015-06-26,2014.00,2028.20,2008.05,2015.45,700,1990.24
2015-06-25,2014.75,2031.20,2010.10,2019.00,1100,1993.75
2015-06-24,1990.00,2057.85,1990.00,2010.80,3100,1985.65
2015-06-23,2005.00,2009.00,1990.00,1991.45,1200,1966.54
2015-06-22,2014.00,2020.00,1987.00,2003.25,2300,1978.19
2015-06-19,2014.00,2042.75,1996.00,2001.20,2100,1976.17
2015-06-18,1989.70,2024.90,1986.50,2000.20,4100,1975.18
2015-06-17,1956.20,2015.00,1944.90,1977.50,4300,1952.77
2015-06-16,1930.50,1978.00,1924.30,1946.95,2300,1922.60
2015-06-15,1950.00,1955.00,1918.50,1928.80,1800,1904.68
2015-06-12,1975.00,1975.00,1907.15,1939.40,2800,1915.14
2015-06-11,1994.50,2002.30,1955.00,1964.45,5900,1939.88
2015-06-10,2020.00,2020.00,1945.00,1996.20,3200,1971.23
2015-06-09,2020.00,2030.00,1978.40,2004.35,2200,1979.28
2015-06-08,2070.00,2088.20,2020.95,2029.80,1500,2004.41
2015-06-05,2105.00,2105.00,2075.00,2080.10,2300,2054.08
2015-06-04,2118.05,2118.05,2084.15,2092.25,1800,2066.08
2015-06-03,2165.00,2165.00,2110.00,2134.30,3700,2107.61
2015-06-02,2190.00,2198.10,2142.35,2161.55,2300,2134.51
2015-06-01,2200.00,2209.95,2180.25,2185.65,2000,2158.31
2015-05-29,2180.50,2236.45,2180.50,2208.50,2300,2180.88
2015-05-28,2245.50,2283.65,2212.00,2219.85,2100,2192.09
2015-05-27,2227.00,2252.00,2174.95,2229.30,2200,2201.42
2015-05-26,2204.50,2245.00,2195.25,2226.75,900,2198.90
2015-05-25,2212.20,2226.75,2180.05,2193.85,700,2166.41
2015-05-22,2205.00,2250.00,2198.00,2220.40,9300,2192.63
2015-05-21,2168.60,2215.00,2168.60,2203.20,2000,2175.64
2015-05-20,2180.00,2200.00,2171.00,2184.25,1200,2156.93
2015-05-19,2175.00,2194.05,2169.00,2172.05,1300,2144.88
2015-05-18,2151.00,2190.05,2150.00,2179.10,2400,2151.84
2015-05-15,2180.00,2183.10,2146.00,2155.00,1500,2128.05
2015-05-14,2197.70,2203.30,2145.00,2173.45,1400,2146.27
