Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,562.79999,568.00,557.95001,559.54999,37400,559.54999
2015-07-16,550.45001,564.75,550.45001,560.75,37500,560.75
2015-07-15,552.00,554.70001,548.54999,550.50,24900,550.50
2015-07-14,554.25,554.50,547.00,549.00,24700,549.00
2015-07-13,547.75,556.00,545.00,552.00,36700,552.00
2015-07-10,564.00,564.00,543.00,545.40002,26900,545.40002
2015-07-09,560.34998,563.00,545.00,546.79999,51700,546.79999
2015-07-08,566.54999,577.15002,554.40002,561.90002,76800,561.90002
2015-07-07,545.00,574.50,545.00,571.45001,92900,571.45001
2015-07-06,545.00,547.25,536.00,540.84998,53800,540.84998
2015-07-03,547.00,551.09998,542.00,544.75,26500,544.75
2015-07-02,557.70001,561.50,543.00,544.75,36200,544.75
2015-07-01,551.84998,566.09998,551.84998,554.90002,31700,554.90002
2015-06-30,552.45001,561.84998,549.00,551.09998,36400,551.09998
2015-06-29,557.90002,559.50,541.50,554.79999,49900,554.79999
2015-06-26,556.75,568.00,555.00,562.75,50200,562.75
2015-06-25,542.00,558.50,540.59998,556.00,39500,556.00
2015-06-24,548.00,554.50,540.00,544.90002,18100,544.90002
2015-06-23,553.50,555.75,548.04999,549.40002,12300,549.40002
2015-06-22,556.04999,562.00,545.00,550.34998,44800,550.34998
2015-06-19,547.95001,556.79999,542.00,552.65002,61700,552.65002
2015-06-18,535.00,543.00,535.00,541.75,32300,541.75
2015-06-17,526.00,535.79999,523.09998,532.00,35500,532.00
2015-06-16,536.59998,536.59998,521.20001,525.25,82900,525.25
2015-06-15,535.00,545.95001,533.09998,536.09998,29300,536.09998
2015-06-12,537.50,541.70001,534.50,537.50,20900,537.50
2015-06-11,550.50,551.00,534.00,539.15002,54300,539.15002
2015-06-10,545.00,555.20001,535.45001,549.45001,36800,549.45001
2015-06-09,536.00,540.29999,522.00,535.40002,38400,535.40002
2015-06-08,543.79999,547.00,531.20001,535.00,43700,535.00
2015-06-05,533.00,550.00,533.00,542.00,140300,542.00
2015-06-04,540.00,544.50,531.34998,539.95001,126200,539.95001
2015-06-03,548.90002,548.90002,535.04999,541.54999,41500,541.54999
2015-06-02,556.00,557.79999,544.00,545.54999,55300,545.54999
2015-06-01,551.70001,564.04999,550.09998,555.09998,55000,555.09998
2015-05-29,556.29999,564.29999,550.25,552.70001,78500,552.70001
2015-05-28,552.90002,563.70001,549.09998,551.00,44300,551.00
2015-05-27,546.90002,554.09998,546.00,550.00,23500,550.00
2015-05-26,550.59998,554.40002,548.09998,548.84998,25900,548.84998
2015-05-25,549.79999,555.79999,547.00,549.54999,33100,549.54999
2015-05-22,555.00,558.54999,544.79999,548.75,88600,548.75
2015-05-21,576.65002,576.84998,535.79999,549.65002,227500,549.65002
