Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,38.25,38.50,37.10,37.55,4800,37.55
2015-07-16,39.50,39.80,37.90,38.30,4100,38.30
2015-07-15,39.50,40.35,37.90,39.00,9900,39.00
2015-07-14,38.50,40.10,37.45,39.10,12500,39.10
2015-07-13,38.25,40.50,38.20,38.70,5400,38.70
2015-07-10,40.50,40.95,38.85,39.20,10100,39.20
2015-07-09,40.05,41.00,39.00,39.10,4400,39.10
2015-07-08,38.40,42.00,38.40,39.65,27400,39.65
2015-07-07,35.95,40.25,35.00,39.30,43600,39.30
2015-07-06,33.75,35.40,32.55,34.95,11200,34.95
2015-07-03,35.00,35.50,32.70,33.80,12600,33.80
2015-07-02,32.05,35.00,32.05,34.20,6900,34.20
2015-07-01,31.70,35.50,31.70,33.50,16700,33.50
2015-06-30,33.00,33.00,32.00,32.65,6300,32.65
2015-06-29,32.00,32.75,31.50,32.60,5300,32.60
2015-06-26,34.50,34.50,32.00,33.15,4200,33.15
2015-06-25,32.55,33.40,32.50,32.80,6100,32.80
2015-06-24,33.60,33.95,32.55,32.95,8500,32.95
2015-06-23,33.20,33.80,32.15,33.05,15600,33.05
2015-06-22,33.35,34.05,31.30,32.35,34900,32.35
2015-06-19,32.05,34.15,32.05,33.35,5000,33.35
2015-06-18,33.90,34.80,33.00,33.25,7500,33.25
2015-06-17,35.50,35.50,33.65,33.75,600,33.75
2015-06-16,32.65,34.95,32.10,33.85,5700,33.85
2015-06-15,34.05,34.05,32.90,33.50,4100,33.50
2015-06-12,36.45,36.45,32.00,32.60,16600,32.60
2015-06-11,34.80,34.95,32.00,32.35,17900,32.35
2015-06-10,37.90,37.90,34.00,34.35,2000,34.35
2015-06-09,33.50,35.95,33.50,34.40,9000,34.40
2015-06-08,34.20,35.45,32.50,33.50,18200,33.50
2015-06-05,34.15,35.95,34.15,35.75,4700,35.75
2015-06-04,34.50,36.35,33.50,34.10,6700,34.10
2015-06-03,35.80,35.90,31.90,34.80,53500,34.80
2015-06-02,36.10,36.50,35.50,35.65,16400,35.65
2015-06-01,36.35,38.40,35.75,36.15,29300,36.15
2015-05-29,35.30,38.85,35.00,36.35,22500,36.35
2015-05-28,37.50,37.50,34.50,35.50,9400,35.50
2015-05-27,37.00,37.60,36.15,36.45,20200,36.45
2015-05-26,40.00,40.00,36.80,37.35,5800,37.35
2015-05-25,37.60,39.00,37.00,37.45,7800,37.45
2015-05-22,40.10,41.30,38.65,39.15,31600,39.15
2015-05-21,40.20,43.00,40.20,42.40,26600,42.40
2015-05-20,41.00,42.00,40.50,40.80,14200,40.80
2015-05-19,42.00,42.00,39.80,40.45,12400,40.45
2015-05-18,41.60,43.00,40.95,42.00,8000,42.00
2015-05-15,42.50,43.80,41.30,42.15,16900,42.15
2015-05-14,39.40,43.00,39.40,42.45,32900,42.45
2015-05-13,39.20,40.75,38.00,38.85,9500,38.85
2015-05-12,39.65,40.20,38.00,39.05,11600,39.05
2015-05-11,41.40,42.40,40.00,40.10,8500,40.10
2015-05-08,38.00,41.70,38.00,40.05,22300,40.05
2015-05-07,37.30,40.00,36.00,37.40,35400,37.40
2015-05-06,41.00,41.00,38.00,39.05,22100,39.05
2015-05-05,43.90,43.90,39.65,40.70,21700,40.70
2015-05-04,39.65,45.00,39.00,42.50,93200,42.50
2015-05-01,37.75,37.75,37.75,37.75,000,37.75
2015-04-30,34.10,37.75,34.10,37.75,45800,37.75
2015-04-29,36.35,38.00,33.15,34.35,73900,34.35
2015-04-28,36.15,37.00,32.70,36.35,158600,36.35
2015-04-27,39.10,39.80,35.65,36.30,41300,36.30
2015-04-24,41.80,41.80,38.60,39.60,48500,39.60
2015-04-23,43.70,43.90,41.00,41.80,48900,41.80
2015-04-22,39.45,42.55,38.90,42.45,191900,42.45
2015-04-21,41.00,42.50,38.10,38.70,47100,38.70
2015-04-20,44.00,44.00,39.50,40.25,55400,40.25
2015-04-17,45.70,46.50,40.60,42.00,112600,42.00
2015-04-16,43.70,43.70,41.00,43.70,256500,43.70
2015-04-15,39.75,39.75,39.75,39.75,11600,39.75
2015-04-14,36.15,36.15,36.15,36.15,000,36.15
2015-04-13,36.15,36.15,36.15,36.15,16900,36.15
2015-04-10,29.00,31.50,29.00,30.15,12600,30.15
2015-04-09,32.75,32.75,29.00,29.75,18100,29.75
2015-04-08,27.00,32.85,26.25,30.05,117100,30.05
2015-04-07,28.90,28.90,26.05,27.30,14800,27.30
2015-04-06,23.85,26.20,23.85,26.20,28000,26.20
2015-04-03,23.85,23.85,23.85,23.85,000,23.85
2015-04-02,23.85,23.85,23.85,23.85,000,23.85
2015-04-01,21.90,23.85,21.90,23.85,9900,23.85
2015-03-31,21.00,22.45,21.00,21.70,7600,21.70
2015-03-30,21.50,22.20,20.80,22.00,1200,22.00
2015-03-27,22.25,23.00,19.90,20.45,10200,20.45
2015-03-26,20.75,22.00,20.75,21.60,1800,21.60
2015-03-25,24.50,24.50,20.95,21.35,4900,21.35
2015-03-24,22.20,23.35,22.15,23.25,1100,23.25
2015-03-23,21.05,24.00,20.60,23.35,5500,23.35
2015-03-20,23.00,23.25,22.50,22.50,2500,22.50
2015-03-19,24.50,24.50,22.60,23.15,2600,23.15
2015-03-18,21.25,23.95,20.15,23.95,21600,23.95
2015-03-17,20.05,23.00,20.00,21.80,4600,21.80
2015-03-16,23.60,23.90,21.05,22.05,22500,22.05
2015-03-13,25.75,25.75,23.35,23.35,17100,23.35
2015-03-12,23.40,25.60,23.40,25.30,36700,25.30
2015-03-11,25.00,25.65,23.25,24.00,24900,24.00
2015-03-10,24.50,24.50,23.05,24.40,48800,24.40
2015-03-09,22.30,22.30,20.75,22.30,13200,22.30
2015-03-06,20.30,20.30,20.30,20.30,000,20.30
2015-03-05,20.10,20.30,19.55,20.30,5200,20.30
2015-03-04,19.90,20.50,19.25,19.35,4500,19.35
2015-03-03,20.35,20.90,20.20,20.20,6700,20.20
2015-03-02,21.70,21.75,20.00,21.25,3500,21.25
2015-02-27,21.40,21.40,19.80,20.20,1200,20.20
2015-02-26,21.45,21.45,19.80,20.75,2200,20.75
2015-02-25,20.15,21.15,20.15,20.55,1000,20.55
2015-02-24,20.50,21.70,20.45,20.60,2300,20.60
2015-02-23,20.60,21.80,20.40,21.00,4700,21.00
2015-02-20,19.75,21.05,19.75,20.80,4500,20.80
2015-02-19,21.50,21.50,19.75,20.05,3100,20.05
2015-02-18,19.60,21.00,19.50,20.50,3000,20.50
2015-02-17,20.15,20.15,20.15,20.15,000,20.15
2015-02-16,20.10,20.90,19.05,20.15,2700,20.15
2015-02-13,20.90,21.85,19.90,20.00,11300,20.00
2015-02-12,21.90,22.95,20.85,20.90,11000,20.90
2015-02-11,22.05,23.45,21.90,21.90,8900,21.90
2015-02-10,24.75,24.75,23.05,23.05,5100,23.05
2015-02-09,25.05,25.05,23.00,24.25,31800,24.25
2015-02-06,25.90,25.90,23.80,23.90,14400,23.90
2015-02-05,27.60,27.60,25.00,25.05,16500,25.05
2015-02-04,26.30,26.30,26.20,26.30,3700,26.30
2015-02-03,25.05,25.05,25.05,25.05,6400,25.05
2015-02-02,22.05,23.90,22.05,23.90,1800,23.90
2015-01-30,24.00,24.40,22.30,22.80,7500,22.80
2015-01-29,22.00,23.55,21.50,23.45,1700,23.45
2015-01-28,24.75,24.75,22.45,22.45,7700,22.45
2015-01-27,25.80,25.80,23.60,23.60,1100,23.60
2015-01-26,24.80,24.80,24.80,24.80,000,24.80
2015-01-23,26.75,26.75,24.55,24.80,7000,24.80
2015-01-22,26.50,26.95,25.70,25.80,21500,25.80
2015-01-21,26.90,27.10,26.25,27.05,90100,27.05
2015-01-20,25.85,25.85,24.00,25.85,84300,25.85
2015-01-19,24.65,24.65,24.65,24.65,8800,24.65
2015-01-16,23.50,23.50,22.20,23.50,14100,23.50
2015-01-15,20.60,22.40,20.60,22.40,13800,22.40
2015-01-14,20.05,21.35,20.05,21.35,9900,21.35
2015-01-13,20.50,20.60,19.30,20.35,13900,20.35
2015-01-12,19.35,19.70,18.05,19.65,14600,19.65
2015-01-09,19.10,19.40,18.75,18.75,3200,18.75
2015-01-08,18.25,19.70,18.25,19.70,3600,19.70
