Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,69.00,71.00,67.60,67.95,54300,67.95
2015-07-16,68.40,69.00,66.50,67.95,19600,67.95
2015-07-15,70.10,71.50,67.00,67.40,151600,67.40
2015-07-14,69.95,69.95,68.30,68.70,8500,68.70
2015-07-13,69.00,70.25,68.40,69.00,17000,69.00
2015-07-10,68.95,69.50,66.15,67.70,13300,67.70
2015-07-09,70.25,70.75,67.00,67.60,18400,67.60
2015-07-08,68.00,70.00,67.10,68.05,17400,68.05
2015-07-07,68.95,70.80,67.40,68.20,39800,68.20
2015-07-06,62.75,71.00,62.75,67.05,51500,67.05
2015-07-03,63.00,63.80,63.00,63.35,9600,63.35
2015-07-02,63.90,64.00,62.10,63.05,9400,63.05
2015-07-01,60.20,63.95,59.40,63.45,14700,63.45
2015-06-30,59.00,60.50,58.00,59.75,11300,59.75
2015-06-29,59.00,59.95,56.60,59.00,21000,59.00
2015-06-26,61.20,61.90,59.35,60.55,20800,60.55
2015-06-25,58.20,61.95,58.05,61.50,117800,61.50
2015-06-24,61.00,61.00,58.00,59.00,14300,59.00
2015-06-23,57.95,61.25,57.95,59.00,40900,59.00
2015-06-22,57.95,57.95,56.40,56.85,8900,56.85
2015-06-19,56.55,57.25,56.00,56.65,16700,56.65
2015-06-18,56.00,56.45,55.30,55.75,6000,55.75
2015-06-17,55.45,56.00,54.35,55.60,10200,55.60
2015-06-16,54.25,54.65,53.25,54.30,6100,54.30
2015-06-15,55.70,56.00,54.35,54.90,9000,54.90
2015-06-12,52.40,55.00,52.40,54.15,36400,54.15
2015-06-11,57.40,57.40,52.10,53.00,7700,53.00
2015-06-10,54.85,58.00,54.80,55.15,15400,55.15
2015-06-09,55.85,55.85,52.40,53.75,13000,53.75
2015-06-08,56.10,57.60,55.00,55.15,8200,55.15
2015-06-05,58.00,58.90,57.20,57.20,6400,57.20
2015-06-04,55.50,58.35,54.00,57.50,12400,57.50
2015-06-03,59.40,60.75,53.20,55.50,34600,55.50
2015-06-02,60.00,60.95,58.50,59.00,16700,59.00
2015-06-01,62.60,63.00,60.55,60.90,10000,60.90
2015-05-29,62.80,62.80,61.00,61.15,10700,61.15
2015-05-28,64.95,64.95,61.00,62.00,9700,62.00
2015-05-27,61.25,65.00,61.20,64.55,9800,64.55
2015-05-26,63.25,65.45,62.00,62.35,13900,62.35
2015-05-25,65.00,65.50,63.90,64.15,8000,64.15
2015-05-22,68.80,69.95,66.00,66.45,14900,66.45
2015-05-21,68.50,69.00,67.00,68.05,9100,68.05
2015-05-20,69.45,71.60,67.00,67.70,37000,67.70
2015-05-19,65.00,72.00,65.00,68.50,92500,68.50
2015-05-18,63.50,65.50,63.20,65.05,20000,65.05
2015-05-15,63.55,64.80,62.50,62.80,9000,62.80
2015-05-14,61.95,64.00,59.10,62.95,13700,62.95
2015-05-13,61.90,62.40,60.90,61.60,6100,61.60
2015-05-12,63.10,63.70,60.80,61.05,18400,61.05
2015-05-11,67.50,67.50,62.55,63.05,23600,63.05
2015-05-08,58.80,64.30,58.80,62.50,19000,62.50
2015-05-07,62.75,63.00,57.50,58.80,26500,58.80
2015-05-06,66.00,66.05,62.00,62.65,28100,62.65
2015-05-05,67.55,69.20,66.35,66.75,9800,66.75
2015-05-04,66.50,69.00,66.50,67.95,12000,67.95
2015-05-01,65.90,65.90,65.90,65.90,000,65.90
2015-04-30,66.10,67.00,65.10,65.90,15700,65.90
2015-04-29,68.30,68.40,66.00,67.20,16700,67.20
2015-04-28,71.00,73.30,65.90,67.20,84900,67.20
2015-04-27,73.10,74.00,67.00,71.10,175100,71.10
2015-04-24,72.00,72.00,63.00,65.10,52000,65.10
2015-04-23,71.50,74.00,70.50,70.90,60400,70.90
2015-04-22,74.90,74.90,65.30,69.10,55200,69.10
2015-04-21,76.40,79.70,74.30,75.30,46800,75.30
2015-04-20,74.20,81.70,73.70,77.50,161800,77.50
2015-04-17,69.80,78.40,66.90,72.90,61600,72.90
2015-04-16,68.90,69.00,64.00,68.50,16900,68.50
2015-04-15,69.40,70.00,65.50,66.00,43500,33.00
2015-04-14,68.05,68.05,68.05,68.05,000,34.025
2015-04-13,67.45,69.00,66.50,68.05,23000,34.025
2015-04-10,65.50,66.95,65.15,66.15,27200,33.075
2015-04-09,67.35,67.40,64.00,64.60,26100,32.30
2015-04-08,64.40,69.00,64.00,66.50,71000,33.25
2015-04-07,64.20,64.45,61.60,63.85,23100,31.925
2015-04-06,62.50,64.65,62.50,63.30,29000,31.65
2015-04-03,62.05,62.05,62.05,62.05,000,31.025
2015-04-02,124.10,124.10,124.10,124.10,000,62.05
2015-04-01,115.95,125.00,113.00,124.10,49700,62.05
2015-03-31,113.00,118.00,113.00,114.80,14700,57.40
2015-03-30,110.00,113.90,107.50,111.10,18200,55.55
2015-03-27,110.90,110.90,104.10,105.80,21800,52.90
2015-03-26,112.00,113.90,106.80,108.70,21600,54.35
2015-03-25,110.40,114.20,109.00,111.40,11100,55.70
2015-03-24,115.40,118.00,107.60,108.20,20800,54.10
2015-03-23,123.80,123.80,113.10,115.90,26100,57.95
2015-03-20,123.60,124.50,118.00,119.10,11100,59.55
2015-03-19,124.50,126.00,121.80,122.40,22300,61.20
2015-03-18,123.10,125.50,122.20,122.40,19400,61.20
2015-03-17,127.00,130.00,122.40,124.60,51000,62.30
2015-03-16,124.70,126.00,122.10,123.90,33400,61.95
2015-03-13,122.90,127.30,119.50,121.10,100000,60.55
2015-03-12,111.10,120.50,110.00,118.40,53200,59.20
2015-03-11,112.50,112.60,108.00,109.10,31300,54.55
2015-03-10,111.90,115.00,110.00,111.20,30200,55.60
2015-03-09,112.10,112.10,108.00,109.10,15600,54.55
2015-03-06,110.10,110.10,110.10,110.10,000,55.05
2015-03-05,113.60,113.90,108.50,110.10,41100,55.05
2015-03-04,117.00,117.30,112.00,113.50,40400,56.75
2015-03-03,119.80,119.80,115.20,116.60,95500,58.30
2015-03-02,119.00,120.40,116.10,118.30,41900,59.15
2015-02-27,112.00,114.00,110.00,112.20,11600,56.10
2015-02-26,112.70,113.20,108.90,110.00,5700,55.00
2015-02-25,114.00,117.00,112.40,113.20,20400,56.60
2015-02-24,118.00,121.40,112.20,113.70,45800,56.85
2015-02-23,117.20,125.00,115.90,117.20,143200,58.60
2015-02-20,112.00,116.60,110.00,115.00,57600,57.50
2015-02-19,105.50,110.00,105.20,108.70,56100,54.35
2015-02-18,108.80,110.00,103.30,104.10,32500,52.05
2015-02-17,105.90,105.90,105.90,105.90,000,52.95
2015-02-16,110.50,112.00,105.00,105.90,19600,52.95
2015-02-13,111.00,111.00,108.00,110.75,15100,55.375
2015-02-12,112.25,115.00,108.65,110.35,26400,55.175
2015-02-11,104.70,115.40,104.70,111.85,64400,55.925
2015-02-10,103.00,112.00,103.00,106.90,37200,53.45
2015-02-09,112.40,113.40,101.80,106.20,91500,53.10
2015-02-06,114.05,114.05,100.05,108.10,59500,54.05
2015-02-05,111.50,116.95,111.50,112.75,93800,56.375
2015-02-04,116.10,118.50,110.60,111.95,146800,55.975
2015-02-03,112.00,117.20,109.00,113.05,306300,56.525
2015-02-02,113.00,114.90,108.10,110.95,131700,55.475
2015-01-30,112.00,116.00,102.00,110.75,354300,55.375
2015-01-29,96.00,106.05,95.00,106.05,235700,53.025
2015-01-28,93.20,95.75,85.05,89.80,60500,44.90
2015-01-27,94.00,99.00,91.00,93.00,85400,46.50
2015-01-26,91.05,91.05,91.05,91.05,000,45.525
2015-01-23,93.85,95.95,89.25,91.05,18000,45.525
2015-01-22,92.00,92.80,89.10,90.80,63400,45.40
2015-01-21,90.00,94.00,90.00,90.80,48700,45.40
2015-01-20,90.50,95.90,89.00,92.10,112300,46.05
2015-01-19,80.55,92.00,77.40,87.80,107700,43.90
2015-01-16,78.45,81.00,77.00,78.65,32800,39.325
2015-01-15,81.70,83.40,78.55,79.95,8600,39.975
2015-01-14,83.50,85.05,82.05,82.35,7900,41.175
2015-01-13,83.50,85.60,83.50,84.45,2000,42.225
2015-01-12,80.80,87.10,80.80,83.05,42600,41.525
2015-01-09,88.55,92.90,83.20,84.90,62600,42.45
2015-01-08,83.00,89.00,82.20,88.50,104600,44.25
2015-01-07,74.00,82.00,74.00,81.10,117900,40.55
2015-01-06,78.00,79.70,74.00,74.00,19500,37.00
2015-01-05,76.00,85.00,76.00,79.30,100800,39.65
2015-01-02,73.95,75.00,72.25,74.20,22800,37.10
2015-01-01,71.50,72.70,71.00,72.30,4000,36.15
2014-12-31,75.20,75.20,72.60,73.40,15300,36.70
2014-12-30,72.10,73.00,72.00,72.75,16600,36.375
2014-12-29,71.00,75.80,71.00,73.05,45700,36.525
2014-12-26,64.05,72.30,64.00,72.25,75300,36.125
2014-12-25,65.75,65.75,65.75,65.75,000,32.875
2014-12-24,62.25,66.20,60.15,65.75,30900,32.875
2014-12-23,64.00,64.00,60.30,62.25,6500,31.125
2014-12-22,63.50,64.00,61.10,63.80,20700,31.90
2014-12-19,61.00,63.95,60.75,62.65,9900,31.325
2014-12-18,58.45,60.50,57.05,60.50,21200,30.25
2014-12-17,57.00,57.00,53.00,55.00,9000,27.50
2014-12-16,55.90,57.60,55.00,55.05,10800,27.525
2014-12-15,55.25,59.15,55.25,58.15,4800,29.075
2014-12-12,58.95,63.00,57.00,57.20,10100,28.60
2014-12-11,58.50,59.00,56.75,58.05,1800,29.025
2014-12-10,58.90,60.90,57.00,57.55,3100,28.775
2014-12-09,58.05,59.80,58.00,58.10,15200,29.05
2014-12-08,61.00,62.20,60.00,60.35,9400,30.175
2014-12-05,64.00,64.00,61.50,62.00,3900,31.00
2014-12-04,61.70,61.70,61.70,61.70,300,30.85
2014-12-03,58.75,58.80,58.75,58.80,900,29.40
2014-12-02,57.90,58.60,55.75,56.00,42800,28.00
2014-12-01,58.40,58.75,55.20,55.85,10100,27.925
2014-11-28,53.65,57.10,53.60,57.10,10700,28.55
2014-11-27,54.65,56.00,53.50,54.40,900,27.20
2014-11-26,54.85,55.00,53.00,53.70,12400,26.85
2014-11-25,54.90,55.00,52.25,54.15,8300,27.075
2014-11-24,57.00,57.00,54.30,55.00,16400,27.50
2014-11-21,54.10,56.70,53.65,56.05,93200,28.025
2014-11-20,55.55,56.00,53.30,54.00,18400,27.00
