Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,322.00,350.00,320.40,343.40,23100,343.40
2015-07-16,334.50,334.50,324.20,325.10,3000,325.10
2015-07-15,329.20,339.00,324.00,330.00,9200,330.00
2015-07-14,311.80,340.00,311.80,328.10,29100,328.10
2015-07-13,307.70,312.00,303.00,309.20,6300,309.20
2015-07-10,302.00,307.50,301.40,302.00,2500,302.00
2015-07-09,306.90,307.90,301.30,303.40,2400,303.40
2015-07-08,302.00,315.80,296.00,302.10,7500,302.10
2015-07-07,305.40,315.00,305.30,309.00,10000,309.00
2015-07-06,295.00,310.00,294.20,302.80,4700,302.80
2015-07-03,305.00,314.00,300.00,300.60,10500,300.60
2015-07-02,288.00,323.40,288.00,304.20,58700,304.20
2015-07-01,290.00,300.00,282.20,285.90,10000,285.90
2015-06-30,276.10,292.00,276.00,290.30,14400,290.30
2015-06-29,283.00,283.00,270.00,278.40,4900,278.40
2015-06-26,286.40,295.60,281.60,283.90,7200,283.90
2015-06-25,275.00,287.50,275.00,285.00,3900,285.00
2015-06-24,278.00,282.50,276.00,278.30,2100,278.30
2015-06-23,285.50,287.00,276.20,280.50,2400,280.50
2015-06-22,287.00,288.00,280.00,285.00,5400,285.00
2015-06-19,275.00,297.00,275.00,288.10,4000,288.10
2015-06-18,268.00,285.50,266.70,283.20,12700,283.20
2015-06-17,265.00,271.80,265.00,269.70,1000,269.70
2015-06-16,265.00,270.00,263.00,266.70,1400,266.70
2015-06-15,258.20,272.00,256.50,270.30,3600,270.30
2015-06-12,260.00,265.00,255.60,260.40,6400,260.40
2015-06-11,273.40,273.40,254.50,265.60,14700,265.60
2015-06-10,249.30,271.50,249.00,268.60,13000,268.60
2015-06-09,239.10,252.00,233.60,248.90,3200,248.90
2015-06-08,233.00,244.90,228.40,234.50,1900,234.50
2015-06-05,231.80,237.90,229.40,235.60,700,235.60
2015-06-04,232.00,234.70,228.60,230.30,1500,230.30
2015-06-03,240.00,244.90,226.00,231.20,2800,231.20
2015-06-02,243.90,248.30,240.30,244.00,1200,244.00
2015-06-01,253.00,253.00,240.80,246.30,5100,246.30
2015-05-29,260.00,263.30,255.10,256.00,1800,256.00
2015-05-28,259.00,263.00,245.00,263.00,10900,263.00
2015-05-27,248.90,255.00,236.40,252.10,20400,252.10
