Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,29.90,30.00,29.10,29.35,9200,29.35
2015-07-16,30.00,30.40,29.30,29.45,19000,29.45
2015-07-15,30.25,30.90,29.20,29.50,45100,29.50
2015-07-14,32.90,32.90,29.65,29.85,18700,29.85
2015-07-13,30.05,30.85,29.85,30.10,16600,30.10
2015-07-10,30.50,31.15,29.30,29.45,22600,29.45
2015-07-09,28.70,31.45,28.70,29.95,82900,29.95
2015-07-08,28.45,29.50,28.10,28.65,17300,28.65
2015-07-07,29.60,30.55,29.30,29.60,51100,29.60
2015-07-06,27.95,29.45,27.20,29.05,52000,29.05
2015-07-03,27.60,29.65,27.60,28.05,49100,28.05
2015-07-02,27.50,28.30,27.30,27.50,21300,27.50
2015-07-01,28.00,28.20,27.05,27.30,24700,27.30
2015-06-30,26.70,27.45,26.60,26.85,7700,26.85
2015-06-29,26.15,27.20,26.10,26.60,19800,26.60
2015-06-26,27.80,27.95,27.10,27.70,9800,27.70
2015-06-25,27.20,29.30,26.80,27.70,52200,27.70
2015-06-24,27.50,27.90,26.80,27.20,18300,27.20
2015-06-23,27.85,28.00,26.80,27.40,16100,27.40
2015-06-22,27.30,28.25,26.70,27.50,38200,27.50
2015-06-19,28.00,28.60,26.40,26.65,57900,26.65
2015-06-18,28.00,29.30,27.35,27.65,129200,27.65
2015-06-17,26.30,31.25,25.30,28.25,215400,28.25
2015-06-16,26.10,27.00,25.85,26.05,10000,26.05
2015-06-15,27.10,27.50,26.30,26.65,14100,26.65
2015-06-12,28.90,29.50,26.50,27.00,70400,27.00
2015-06-11,29.10,29.70,29.10,29.40,304200,29.40
2015-06-10,31.50,31.50,28.95,29.10,11900,29.10
2015-06-09,30.60,30.60,29.50,29.55,8600,29.55
2015-06-08,30.55,31.95,29.25,30.40,11800,30.40
2015-06-05,29.70,30.10,29.25,29.85,9300,29.85
2015-06-04,29.05,30.00,29.00,29.45,6700,29.45
2015-06-03,31.00,31.00,28.60,29.50,10700,29.50
2015-06-02,32.15,33.30,30.60,31.00,7000,31.00
2015-06-01,33.75,33.75,31.90,32.30,2800,32.30
2015-05-29,33.00,33.45,32.50,32.50,4700,32.50
2015-05-28,33.90,33.95,32.50,33.20,5500,33.20
2015-05-27,32.95,33.35,32.35,32.50,8100,32.50
2015-05-26,34.40,34.40,33.10,33.60,12000,33.60
2015-05-25,33.20,33.90,33.00,33.35,5200,33.35
