Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,113.00,147.00,113.00,139.80,600,139.80
2015-07-16,130.00,130.00,130.00,130.00,000,130.00
2015-07-15,130.00,130.00,130.00,130.00,000,130.00
2015-07-14,130.00,130.00,130.00,130.00,200,130.00
2015-07-13,127.10,130.00,127.10,130.00,000,130.00
2015-07-10,132.50,139.90,132.00,139.00,500,139.00
2015-07-09,130.00,149.80,130.00,132.50,400,132.50
2015-07-08,130.10,130.10,130.10,130.10,100,130.10
2015-07-07,130.10,130.20,130.10,130.20,000,130.20
2015-07-06,130.00,130.00,130.00,130.00,000,130.00
2015-07-03,130.00,130.00,130.00,130.00,000,130.00
2015-07-02,130.00,130.00,130.00,130.00,000,130.00
2015-07-01,143.00,143.00,130.00,130.00,000,130.00
2015-06-30,139.00,139.00,130.20,138.00,600,138.00
2015-06-29,144.00,144.00,127.00,138.00,000,138.00
2015-06-26,144.00,144.00,131.00,137.50,800,137.50
2015-06-25,132.80,132.80,132.80,132.80,000,132.80
2015-06-24,132.80,132.80,132.80,132.80,000,132.80
2015-06-23,133.00,133.00,132.10,132.80,000,132.80
2015-06-22,132.00,132.00,132.00,132.00,200,132.00
2015-06-19,132.00,132.00,132.00,132.00,000,132.00
2015-06-18,132.00,132.00,132.00,132.00,000,132.00
2015-06-17,143.00,143.00,143.00,143.00,000,143.00
2015-06-16,130.00,143.00,130.00,143.00,000,143.00
2015-06-15,132.00,147.90,132.00,147.90,300,147.90
2015-06-12,132.00,139.00,130.00,139.00,200,139.00
2015-06-11,132.50,132.50,132.50,132.50,000,132.50
2015-06-10,149.00,149.00,148.00,148.00,000,148.00
2015-06-09,149.00,149.00,149.00,149.00,000,149.00
2015-06-08,134.50,134.50,134.50,134.50,000,134.50
2015-06-05,134.50,134.50,134.50,134.50,000,134.50
2015-06-04,136.20,143.50,132.00,134.50,100,134.50
2015-06-03,134.00,134.00,134.00,134.00,000,134.00
2015-06-02,134.00,134.00,134.00,134.00,000,134.00
2015-06-01,134.00,134.00,134.00,134.00,000,134.00
2015-05-29,134.00,134.00,134.00,134.00,000,134.00
2015-05-28,134.00,134.00,134.00,134.00,000,134.00
2015-05-27,137.00,137.00,137.00,137.00,000,137.00
2015-05-26,149.00,149.00,137.00,137.00,000,137.00
2015-05-25,139.00,140.00,139.00,140.00,000,140.00
2015-05-22,140.00,140.00,140.00,140.00,000,140.00
2015-05-21,132.00,132.00,132.00,132.00,100,132.00
2015-05-20,132.10,134.00,132.10,132.20,100,132.20
2015-05-19,141.70,141.70,141.70,141.70,000,141.70
2015-05-18,141.70,141.70,141.70,141.70,000,141.70
2015-05-15,147.00,147.00,130.00,141.70,400,141.70
2015-05-14,125.10,138.90,125.10,138.90,000,138.90
2015-05-13,126.30,142.00,126.30,128.10,000,128.10
2015-05-12,131.60,131.60,131.60,131.60,400,131.60
2015-05-11,146.00,146.00,146.00,146.00,000,146.00
2015-05-08,134.00,134.00,134.00,134.00,000,134.00
2015-05-07,134.00,134.00,134.00,134.00,000,134.00
2015-05-06,134.00,134.00,134.00,134.00,000,134.00
2015-05-05,137.60,137.60,137.60,137.60,000,137.60
2015-05-04,137.60,137.60,137.60,137.60,000,137.60
2015-05-01,137.60,137.60,137.60,137.60,000,137.60
2015-04-30,137.60,137.60,137.60,137.60,000,137.60
2015-04-29,131.20,131.20,131.20,131.20,000,131.20
2015-04-28,125.00,125.00,125.00,125.00,000,125.00
2015-04-27,125.00,125.00,125.00,125.00,000,125.00
2015-04-24,125.00,125.00,125.00,125.00,000,125.00
2015-04-23,139.00,139.70,127.20,127.80,300,127.80
2015-04-22,138.00,143.50,133.00,133.10,400,133.10
2015-04-21,139.90,139.90,139.90,139.90,000,139.90
2015-04-20,139.90,139.90,139.90,139.90,000,139.90
2015-04-17,130.50,139.90,129.20,139.90,200,139.90
2015-04-16,133.30,136.00,133.30,136.00,15000,136.00
2015-04-15,153.00,153.00,138.70,140.20,100,140.20
2015-04-14,146.00,146.00,146.00,146.00,000,146.00
2015-04-13,141.00,146.00,141.00,146.00,000,146.00
2015-04-10,142.00,142.00,141.70,141.70,100,141.70
2015-04-09,149.10,149.10,149.10,149.10,000,149.10
2015-04-08,149.20,149.20,149.10,149.10,000,149.10
2015-04-07,146.40,151.80,142.60,142.70,100,142.70
2015-04-06,140.00,146.40,140.00,146.40,000,146.40
2015-04-03,139.60,139.60,139.60,139.60,000,139.60
2015-04-02,139.60,139.60,139.60,139.60,000,139.60
2015-04-01,132.95,139.60,132.95,139.60,12500,139.60
2015-03-31,134.00,134.00,126.00,133.00,100,133.00
2015-03-30,128.50,132.30,121.50,131.00,400,131.00
2015-03-27,125.00,129.70,119.50,127.60,227700,127.60
2015-03-26,125.30,125.30,125.30,125.30,000,125.30
2015-03-25,125.00,127.00,120.00,125.30,43100,125.30
2015-03-24,115.50,126.20,115.50,125.30,88200,125.30
2015-03-23,127.00,128.40,120.10,120.20,400,120.20
2015-03-20,135.00,135.00,133.10,133.10,1000,133.10
2015-03-19,140.00,143.00,133.10,133.10,100,133.10
2015-03-18,146.00,148.00,130.00,130.20,200,130.20
2015-03-17,158.50,158.50,138.60,140.60,700,140.60
