Date,Open,High,Low,Close,Volume,Adj Close
2015-06-05,144.35,146.25,143.00,145.05,232100,145.05
2015-06-04,143.00,144.95,142.75,144.30,150800,144.30
2015-06-03,142.80,143.30,141.05,142.90,159200,142.90
2015-06-02,142.50,142.55,141.25,142.40,110700,142.40
2015-06-01,145.15,146.70,142.35,143.00,190100,143.00
2015-05-29,142.80,144.25,141.60,143.70,96600,143.70
2015-05-28,143.10,144.10,140.50,143.30,132000,143.30
2015-05-27,143.00,143.50,141.90,143.20,58100,143.20
2015-05-26,143.15,143.70,141.60,143.00,108400,143.00
2015-05-25,141.05,143.15,141.05,142.65,109600,142.65
2015-05-22,139.20,141.85,137.50,140.85,1579400,140.85
2015-05-21,140.40,140.70,139.00,139.45,80500,139.45
2015-05-20,139.35,141.20,139.30,140.30,119300,140.30
2015-05-19,139.85,141.15,138.25,138.75,719600,138.75
2015-05-18,140.00,141.10,139.00,139.65,15569200,139.65
2015-05-15,139.60,141.55,139.00,139.70,90800,139.70
2015-05-14,139.20,140.70,138.40,139.50,159600,139.50
2015-05-13,138.90,141.60,138.50,140.95,419100,140.95
2015-05-12,142.90,142.90,138.80,139.25,100300,139.25
2015-05-11,140.10,143.25,140.00,142.90,130400,142.90
2015-05-08,141.40,142.20,139.65,140.00,643900,140.00
2015-05-07,141.50,141.50,138.20,139.90,107600,139.90
2015-05-06,142.25,142.35,140.10,140.50,93400,140.50
2015-05-05,143.00,146.55,141.65,143.00,86200,143.00
2015-05-04,142.90,144.15,141.15,143.85,66800,143.85
2015-05-01,142.30,142.30,142.30,142.30,000,142.30
2015-04-30,143.25,144.80,140.50,142.30,86400,142.30
2015-04-29,144.55,144.55,142.55,143.15,294700,143.15
2015-04-28,144.50,146.40,143.70,144.20,176000,144.20
2015-04-27,146.00,147.60,144.45,144.80,95100,144.80
2015-04-24,145.85,147.90,144.05,145.80,82700,145.80
2015-04-23,147.40,148.85,146.00,146.60,147500,146.60
2015-04-22,149.00,149.30,146.60,146.90,58400,146.90
2015-04-21,149.25,151.95,148.30,148.85,91900,148.85
2015-04-20,150.95,152.45,148.55,149.20,110200,149.20
2015-04-17,150.70,151.40,149.20,150.20,134800,150.20
2015-04-16,151.75,152.20,147.60,150.75,69800,150.75
2015-04-15,155.35,155.65,150.90,151.55,260700,151.55
2015-04-14,154.25,154.25,154.25,154.25,000,154.25
2015-04-13,152.90,155.70,150.50,154.25,195700,154.25
2015-04-10,150.75,153.45,150.30,152.75,183100,152.75
2015-04-09,148.50,151.75,147.40,150.75,112000,150.75
2015-04-08,148.50,149.70,147.00,147.30,192000,147.30
2015-04-07,147.90,148.25,145.75,147.75,264800,147.75
2015-04-06,146.45,149.05,145.85,148.00,589900,148.00
2015-04-03,146.35,146.35,146.35,146.35,000,146.35
2015-04-02,146.35,146.35,146.35,146.35,000,146.35
2015-04-01,145.65,146.85,145.20,146.35,49200,146.35
2015-03-31,145.10,146.30,144.50,145.20,60100,145.20
2015-03-30,145.15,145.50,143.60,144.80,53200,144.80
2015-03-27,147.20,147.20,143.45,144.55,241900,144.55
2015-03-26,147.00,149.40,144.40,145.05,503500,145.05
2015-03-25,147.95,148.50,146.20,146.40,85800,146.40
2015-03-24,149.05,150.80,147.50,147.85,190300,147.85
2015-03-23,148.50,151.70,148.50,149.15,414100,149.15
2015-03-20,145.60,149.60,144.60,146.90,943900,146.90
2015-03-19,147.15,149.25,145.00,146.10,110200,146.10
2015-03-18,147.60,148.00,146.00,146.55,233300,146.55
2015-03-17,147.00,148.90,146.15,147.55,248100,147.55
2015-03-16,146.30,147.60,145.90,146.70,96200,146.70
2015-03-13,149.25,150.25,145.80,146.60,106900,146.60
2015-03-12,148.50,152.35,148.20,149.55,311000,149.55
2015-03-11,148.50,149.75,147.40,147.90,118000,147.90
2015-03-10,150.15,150.45,146.80,148.45,566600,148.45
2015-03-09,154.20,154.45,149.20,150.10,135800,150.10
2015-03-06,155.00,155.00,155.00,155.00,000,154.31
2015-03-05,154.20,156.00,151.60,155.00,151100,154.31
2015-03-04,156.60,157.05,153.05,154.00,536800,153.31
2015-03-03,156.00,156.35,154.35,155.45,117700,154.76
2015-03-02,156.90,158.90,155.60,156.60,222300,155.90
2015-02-27,152.20,157.30,152.20,156.85,720300,156.15
2015-02-26,154.35,156.45,151.00,152.80,403400,152.12
2015-02-25,157.00,157.85,152.75,154.45,156400,153.76
2015-02-24,156.20,157.60,155.65,156.70,199100,156.00
2015-02-23,153.25,157.50,150.20,155.80,429800,155.11
2015-02-20,154.30,154.80,152.40,153.30,374700,152.62
2015-02-19,153.30,155.00,151.30,154.30,193000,153.61
2015-02-18,152.90,155.00,151.40,154.70,385200,154.01
2015-02-17,152.70,152.70,152.70,152.70,000,152.02
2015-02-16,152.00,154.05,152.00,152.70,247000,152.02
2015-02-13,151.70,152.50,149.25,151.20,592000,150.53
2015-02-12,148.10,151.70,146.20,150.35,797400,149.68
2015-02-11,146.00,148.75,145.10,145.80,238800,145.15
2015-02-10,140.70,146.00,140.15,145.00,165500,144.35
2015-02-09,142.85,143.35,139.90,141.40,117000,140.77
2015-02-06,143.50,144.60,141.70,143.05,103000,142.41
2015-02-05,146.10,146.70,142.90,143.40,114400,142.76
2015-02-04,147.10,149.10,145.75,146.10,92700,145.45
2015-02-03,149.30,149.30,146.55,147.10,95600,146.45
2015-02-02,148.00,148.40,146.00,147.90,118600,147.24
2015-01-30,148.65,150.40,146.15,147.95,372600,147.29
2015-01-29,149.45,149.75,147.75,148.70,130400,148.04
2015-01-28,150.25,151.60,148.80,149.20,516700,148.54
