Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,41.55,50.60,41.55,50.60,41100,50.60
2015-07-16,43.50,43.50,40.35,42.20,3400,42.20
2015-07-15,42.15,42.50,41.55,42.30,2700,42.30
2015-07-14,44.00,44.55,42.50,42.95,5500,42.95
2015-07-13,45.00,45.00,42.45,42.95,1000,42.95
2015-07-10,45.75,46.00,43.50,44.05,2000,44.05
2015-07-09,44.90,45.25,44.00,45.10,1600,45.10
2015-07-08,44.20,45.70,43.70,44.75,1400,44.75
2015-07-07,43.25,45.95,43.25,44.35,5200,44.35
2015-07-06,40.45,43.25,40.45,42.90,2400,42.90
2015-07-03,41.00,42.25,40.60,41.35,3200,41.35
2015-07-02,41.95,42.00,40.30,41.90,4300,41.90
2015-07-01,38.00,40.80,38.00,39.55,3100,39.55
2015-06-30,37.20,39.70,37.20,39.55,2400,39.55
2015-06-29,36.40,38.30,36.40,38.00,3800,38.00
2015-06-26,38.90,40.30,38.35,38.35,700,38.35
2015-06-25,40.05,40.05,39.70,39.90,200,39.90
2015-06-24,37.30,42.05,37.30,40.20,6100,40.20
2015-06-23,37.00,39.40,37.00,38.60,3100,38.60
2015-06-22,36.95,37.70,35.75,37.00,3600,37.00
2015-06-19,39.70,39.70,36.25,36.45,1900,36.45
2015-06-18,34.70,35.65,34.45,35.35,1300,35.35
2015-06-17,35.80,35.80,34.00,34.00,4200,34.00
2015-06-16,32.30,34.00,32.25,34.00,3700,34.00
2015-06-15,32.10,34.95,32.10,33.40,700,33.40
2015-06-12,35.00,35.00,33.00,33.00,1000,33.00
2015-06-11,35.50,36.25,34.25,34.55,1100,34.55
2015-06-10,36.00,36.00,35.00,35.40,4100,35.40
2015-06-09,36.25,37.70,36.25,36.25,400,36.25
2015-06-08,36.85,37.85,36.85,37.85,1100,37.85
2015-06-05,38.50,38.50,37.15,37.75,500,37.75
2015-06-04,37.40,38.55,37.00,37.95,700,37.95
2015-06-03,38.70,39.25,36.35,37.40,3200,37.40
2015-06-02,40.55,40.55,38.75,39.45,1000,39.45
2015-06-01,41.15,41.15,40.05,40.05,800,40.05
2015-05-29,41.00,41.00,40.20,40.25,600,40.25
2015-05-28,41.00,41.00,40.00,40.50,1500,40.50
2015-05-27,40.40,41.50,40.40,41.45,1100,41.45
2015-05-26,41.00,41.00,40.50,40.50,1300,40.50
2015-05-25,41.75,41.75,41.00,41.25,500,41.25
2015-05-22,43.00,43.25,41.70,42.00,1900,42.00
2015-05-21,43.95,43.95,40.55,42.90,5500,42.90
2015-05-20,41.20,42.00,41.20,42.00,1900,42.00
2015-05-19,41.75,43.35,41.60,42.00,3000,42.00
2015-05-18,41.05,41.90,40.00,41.00,2000,41.00
2015-05-15,40.55,40.55,40.00,40.25,4300,40.25
2015-05-14,41.20,42.30,40.00,41.00,1300,41.00
2015-05-13,40.50,40.80,40.15,40.30,900,40.30
2015-05-12,40.75,40.75,39.80,40.10,2000,40.10
2015-05-11,42.00,42.75,42.00,42.50,1100,42.50
2015-05-08,41.75,42.00,40.70,41.05,1700,41.05
2015-05-07,42.75,42.75,41.10,41.25,1700,41.25
2015-05-06,45.50,45.50,43.00,43.30,6100,43.30
2015-05-05,45.40,47.35,43.75,44.00,2500,44.00
2015-05-04,45.20,47.00,44.90,46.55,4400,46.55
2015-05-01,45.65,45.65,45.65,45.65,000,45.65
2015-04-30,45.50,46.00,44.50,45.65,7700,45.65
2015-04-29,44.30,44.30,43.60,43.75,2600,43.75
2015-04-28,43.15,45.90,43.00,43.75,2500,43.75
2015-04-27,44.85,44.85,42.50,42.60,2200,42.60
2015-04-24,45.50,46.45,44.55,44.75,2400,44.75
2015-04-23,46.50,47.20,45.75,46.05,800,46.05
2015-04-22,48.00,48.00,45.80,46.70,700,46.70
2015-04-21,47.30,47.30,45.50,46.35,1100,46.35
2015-04-20,46.20,47.80,45.20,45.35,1400,45.35
2015-04-17,46.50,48.00,46.10,46.25,1000,46.25
2015-04-16,48.00,48.00,46.50,46.85,18800,46.85
2015-04-15,47.30,51.10,47.30,48.15,12900,48.15
2015-04-14,48.10,48.10,48.10,48.10,000,48.10
2015-04-13,43.15,49.90,43.15,48.10,22600,48.10
2015-04-10,46.00,46.55,45.25,46.25,3000,46.25
2015-04-09,45.30,46.00,45.10,45.75,2600,45.75
2015-04-08,47.00,48.30,46.00,46.15,4000,46.15
2015-04-07,48.00,49.00,45.70,46.00,7800,46.00
2015-04-06,42.00,46.85,41.10,45.65,12700,45.65
2015-04-03,40.40,40.40,40.40,40.40,000,40.40
2015-04-02,40.40,40.40,40.40,40.40,000,40.40
2015-04-01,39.30,41.00,39.30,40.40,1700,40.40
2015-03-31,40.60,40.60,39.50,39.70,26600,39.70
2015-03-30,40.80,41.00,39.00,39.95,9800,39.95
2015-03-27,41.00,41.00,38.50,39.00,19400,39.00
2015-03-26,41.00,41.20,38.30,39.70,23300,39.70
2015-03-25,41.00,43.00,40.65,41.95,6400,41.95
2015-03-24,41.00,41.50,40.20,40.65,6400,40.65
2015-03-23,40.80,41.40,40.40,41.00,2800,41.00
2015-03-20,42.00,43.60,41.10,41.30,13300,41.30
2015-03-19,43.30,44.75,42.60,43.10,3800,43.10
2015-03-18,45.00,45.00,43.50,43.85,3000,43.85
2015-03-17,45.50,45.50,43.50,45.30,15000,45.30
2015-03-16,46.05,46.05,45.05,45.50,1600,45.50
2015-03-13,46.40,46.95,44.80,45.40,16500,45.40
2015-03-12,47.50,47.85,46.45,46.55,8200,46.55
2015-03-11,48.00,48.00,47.00,47.10,2200,47.10
2015-03-10,48.10,48.65,47.10,47.50,19200,47.50
2015-03-09,46.25,49.50,46.10,48.00,9400,48.00
