Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,34.50,34.75,33.25,33.60,71100,33.60
2015-07-16,36.00,36.05,34.35,34.55,136200,34.55
2015-07-15,32.20,36.95,32.10,36.05,277100,36.05
2015-07-14,32.20,32.60,31.60,31.90,45100,31.90
2015-07-13,32.40,32.60,31.75,31.95,30000,31.95
2015-07-10,32.05,33.85,32.05,32.50,83600,32.50
2015-07-09,31.85,32.45,31.80,31.95,29100,31.95
2015-07-08,31.85,32.50,31.30,31.70,33500,31.70
2015-07-07,32.45,32.60,32.00,32.15,24000,32.15
2015-07-06,31.45,32.00,31.45,31.95,17100,31.95
2015-07-03,31.70,32.60,31.70,32.10,24900,32.10
2015-07-02,32.10,32.65,31.75,31.95,32900,31.95
2015-07-01,32.00,32.50,31.60,32.10,76400,32.10
2015-06-30,30.30,30.85,29.95,30.40,36100,30.40
2015-06-29,31.00,31.20,30.00,30.35,54400,30.35
2015-06-26,32.25,32.30,31.25,31.50,41500,31.50
2015-06-25,32.05,32.85,32.05,32.40,17100,32.40
2015-06-24,32.40,33.25,32.30,32.45,23500,32.45
2015-06-23,32.60,33.10,31.95,32.20,19400,32.20
2015-06-22,34.00,34.00,32.85,32.95,17100,32.95
2015-06-19,33.30,34.25,32.90,33.45,38000,33.45
2015-06-18,33.35,33.60,32.70,32.95,25200,32.95
2015-06-17,31.90,33.90,31.50,33.05,131500,33.05
2015-06-16,31.35,32.00,31.20,31.40,26200,31.40
2015-06-15,31.80,31.80,31.20,31.40,9000,31.40
2015-06-12,30.50,32.40,30.50,31.40,37400,31.40
2015-06-11,32.95,32.95,30.55,30.95,26300,30.95
2015-06-10,29.95,33.30,29.50,32.60,144100,32.60
2015-06-09,29.75,30.70,29.25,29.50,42600,29.50
2015-06-08,30.50,31.15,29.60,29.60,38400,29.60
2015-06-05,29.45,30.80,29.45,30.45,54000,30.45
2015-06-04,30.00,30.30,28.90,29.70,33300,29.70
2015-06-03,30.55,30.55,28.75,29.70,76400,29.70
2015-06-02,31.65,31.70,30.20,30.45,40800,30.45
2015-06-01,30.90,31.85,30.55,31.10,57300,31.10
2015-05-29,30.15,31.95,29.85,30.15,135900,30.15
2015-05-28,33.75,34.05,29.90,30.10,185700,30.10
2015-05-27,34.20,34.20,33.30,33.45,28600,33.45
